"lines","pres_year","district","state_abb","cd","stcd","dem_pct","rep_pct","dpres"
"2012-2021",2008,"AL-01","AL",1,101,38.5,60.9,38.73
"2012-2021",2008,"AL-02","AL",2,102,35,64.5,35.18
"2012-2021",2008,"AL-03","AL",3,103,36.6,62.6,36.9
"2012-2021",2008,"AL-04","AL",4,104,25.5,73.3,25.81
"2012-2021",2008,"AL-05","AL",5,105,36.3,62.6,36.7
"2012-2021",2008,"AL-06","AL",6,106,25,74.1,25.23
"2012-2021",2008,"AL-07","AL",7,107,71.5,28.1,71.79
"2012-2021",2008,"AK-AL","AK",1,201,38.1,59.7,38.96
"2012-2021",2008,"AZ-01","AZ",1,301,47.8,51,48.38
"2012-2021",2008,"AZ-02","AZ",2,302,48.9,49.8,49.54
"2012-2021",2008,"AZ-03","AZ",3,303,58.2,40.7,58.85
"2012-2021",2008,"AZ-04","AZ",4,304,34.4,64.2,34.89
"2012-2021",2008,"AZ-05","AZ",5,305,36.3,62.6,36.7
"2012-2021",2008,"AZ-06","AZ",6,306,41.2,57.7,41.66
"2012-2021",2008,"AZ-07","AZ",7,307,64.7,34.1,65.49
"2012-2021",2008,"AZ-08","AZ",8,308,38.4,60.6,38.79
"2012-2021",2008,"AZ-09","AZ",9,309,51.3,47.4,51.98
"2012-2021",2008,"AR-01","AR",1,401,39.2,58,40.33
"2012-2021",2008,"AR-02","AR",2,402,44.3,53.8,45.16
"2012-2021",2008,"AR-03","AR",3,403,33.9,63.7,34.73
"2012-2021",2008,"AR-04","AR",4,404,37.4,59.9,38.44
"2012-2021",2008,"CO-01","CO",1,601,70.9,27.6,71.98
"2012-2021",2008,"CO-02","CO",2,602,61.2,37.2,62.2
"2012-2021",2008,"CO-03","CO",3,603,48.4,49.9,49.24
"2012-2021",2008,"CO-04","CO",4,604,41.9,56.4,42.62
"2012-2021",2008,"CO-05","CO",5,605,39.7,58.8,40.3
"2012-2021",2008,"CO-06","CO",6,606,53.6,44.9,54.42
"2012-2021",2008,"CO-07","CO",7,607,57.4,40.7,58.51
"2012-2021",2008,"CT-01","CT",1,701,65.8,32.9,66.67
"2012-2021",2008,"CT-02","CT",2,702,58.6,40,59.43
"2012-2021",2008,"CT-03","CT",3,703,62.6,36.2,63.36
"2012-2021",2008,"CT-04","CT",4,704,59.6,39.7,60.02
"2012-2021",2008,"CT-05","CT",5,705,56.4,42.4,57.09
"2012-2021",2008,"DE-AL","DE",1,801,61.9,36.9,62.65
"2012-2021",2008,"GA-01","GA",1,1001,44.4,55,44.67
"2012-2021",2008,"GA-02","GA",2,1002,57.9,41.6,58.19
"2012-2021",2008,"GA-03","GA",3,1003,34,65.3,34.24
"2012-2021",2008,"GA-04","GA",4,1004,73.2,26.3,73.57
"2012-2021",2008,"GA-05","GA",5,1005,84.4,15,84.91
"2012-2021",2008,"GA-06","GA",6,1006,40.1,59,40.46
"2012-2021",2008,"GA-07","GA",7,1007,39.1,60.1,39.42
"2012-2021",2008,"GA-08","GA",8,1008,37.8,61.6,38.03
"2012-2021",2008,"GA-09","GA",9,1009,24.3,74.7,24.55
"2012-2021",2008,"GA-10","GA",10,1010,38.8,60.4,39.11
"2012-2021",2008,"GA-11","GA",11,1011,34.7,64.3,35.05
"2012-2021",2008,"GA-12","GA",12,1012,43.9,55.6,44.12
