"kind","st","label","x","y","anchor"
"state","AK","AK",118.6,515.1,"right"
"state","AL","AL",507.8,400.3,"right"
"state","AR","AR",420.4,417.1,"right"
"state","AZ","AZ",244.8,368,"right"
"state","CA","CA",94.8,192.2,"right"
"state","CO","CO",285.4,299.4,"right"
"state","CT","CT",782.7,96.2,"right"
"state","DE","DE",721.1,234.4,"left"
"state","FL","FL",533.2,506.3,"right"
"state","GA","GA",570.1,399.5,"centre"
"state","HI","HI",262.3,562.9,"left"
"state","IA","IA",384.8,202.9,"right"
"state","ID","ID",202.5,162.3,"right"
"state","IL","IL",433.7,247.2,"right"
"state","IN","IN",498.8,239.1,"right"
"state","KS","KS",354,312,"right"
"state","KY","KY",504.1,331.7,"right"
"state","LA","LA",445.2,440.7,"right"
"state","MA","MA",784.1,73.3,"right"
"state","MD","MD",626.7,245.6,"right"
"state","ME","ME",823.2,7.6,"right"
"state","MI","MI",464.6,118.1,"centre"
"state","MN","MN",377.3,119.5,"right"
"state","MO","MO",421.7,328.3,"right"
"state","MS","MS",479.6,405.9,"right"
"state","MT","MT",254.6,113.6,"right"
"state","NC","NC",608.6,362.3,"right"
"state","ND","ND",332.9,122.5,"right"
"state","NE","NE",344.7,253.5,"right"
"state","NH","NH",791.6,15.3,"right"
"state","NJ","NJ",740.1,182.4,"right"
"state","NM","NM",297.4,380.6,"right"
"state","NV","NV",181.8,247,"right"
"state","NY","NY",671.9,114.6,"centre"
"state","OH","OH",562.2,215,"left"
"state","OK","OK",351.2,365.2,"right"
"state","OR","OR",118.9,142.5,"right"
"state","PA","PA",621.1,175.1,"right"
"state","RI","RI",836.2,95.6,"right"
"state","SC","SC",622.4,389.4,"right"
"state","SD","SD",324.2,178.5,"right"
"state","TN","TN",489,357,"right"
"state","TX","TX",316.1,442.8,"right"
"state","UT","UT",235,276,"right"
"state","VA","VA",606.1,345.7,"right"
"state","VT","VT",767.8,19.8,"right"
"state","WA","WA",157.4,70.3,"right"
"state","WI","WI",439.5,150.4,"right"
"state","WV","WV",591.2,310.9,"right"
"state","WY","WY",277.9,214.7,"right"
"cell","CA","−1",106.7,191.9,"centre"
"cell","CO","+1",318.4,342.8,"centre"
"cell","FL","+1",518.7,484.6,"centre"
"cell","IL","−1",464.9,333.9,"centre"
"cell","MI","−1",469.3,105.7,"centre"
"cell","MT","+1",259.2,129.6,"centre"
"cell","NC","+1",612.1,373.8,"centre"
"cell","NY","−1",788,150.5,"centre"
"cell","OH","−1",592.6,221.5,"centre"
"cell","OR","+1",159.3,155.1,"centre"
"cell","PA","−1",632,179.8,"centre"
"cell","TX","+1",302.6,469.8,"centre"
"cell","TX","+1",292.1,454.5,"centre"
"cell","WV","−1",606.1,310.1,"centre"
