"state","part","x","y"
"California",1,106,134
"California",1,105,146
"California",1,101,151
"California",1,101,155
"California",1,93,164
"California",1,93,168
"California",1,96,173
"California",1,98,179
"California",1,98,185
"California",1,96,189
"California",1,96,196
"California",1,95,198
"California",1,101,210
"California",1,102,214
"California",1,101,220
"California",1,107,226
"California",1,111,220
"California",1,112,222
"California",1,110,228
"California",1,112,231
"California",1,105,232
"California",1,105,239
"California",1,108,245
"California",1,112,246
"California",1,113,250
"California",1,110,253
"California",1,108,253
"California",1,108,260
"California",1,111,263
"California",1,115,275
"California",1,118,281
"California",1,118,285
"California",1,122,289
"California",1,121,295
"California",1,119,300
"California",1,121,304
"California",1,127,304
"California",1,131,307
"California",1,135,308
"California",1,140,313
"California",1,142,316
"California",1,147,320
"California",1,151,320
"California",1,152,327
"California",1,157,327
"California",1,163,336
"California",1,166,340
"California",1,167,346
"California",1,167,349
"California",1,168,356
"California",1,210,361
"California",1,215,360
"California",1,215,356
"California",1,212,355
"California",1,213,348
"California",1,217,345
"California",1,218,337
"California",1,221,334
"California",1,226,331
"California",1,224,327
"California",1,222,321
"California",1,220,317
"California",1,221,315
"California",1,153,213
"California",1,169,152
"California",1,153,148
"California",1,106,134
"Wisconsin",14,593,98
"Wisconsin",14,589,100
"Wisconsin",14,590,112
"Wisconsin",14,584,116
"Wisconsin",14,581,120
"Wisconsin",14,585,125
"Wisconsin",14,583,129
"Wisconsin",14,584,136
"Wisconsin",14,583,139
"Wisconsin",14,587,143
"Wisconsin",14,596,147
"Wisconsin",14,597,150
"Wisconsin",14,604,155
"Wisconsin",14,607,159
"Wisconsin",14,608,165
"Wisconsin",14,611,170
"Wisconsin",14,609,173
"Wisconsin",14,610,177
"Wisconsin",14,613,182
"Wisconsin",14,617,183
"Wisconsin",14,618,185
"Wisconsin",14,642,184
"Wisconsin",14,661,182
"Wisconsin",14,661,176
"Wisconsin",14,659,172
"Wisconsin",14,659,165
"Wisconsin",14,661,157
"Wisconsin",14,660,153
"Wisconsin",14,663,138
"Wisconsin",14,668,127
"Wisconsin",14,665,128
"Wisconsin",14,660,133
"Wisconsin",14,658,138
"Wisconsin",14,655,136
"Wisconsin",14,657,131
"Wisconsin",14,660,128
"Wisconsin",14,655,123
"Wisconsin",14,656,116
"Wisconsin",14,651,113
"Wisconsin",14,651,111
"Wisconsin",14,644,110
"Wisconsin",14,640,110
"Wisconsin",14,636,108
"Wisconsin",14,621,105
"Wisconsin",14,619,101
"Wisconsin",14,616,100
"Wisconsin",14,611,99
"Wisconsin",14,609,97
"Wisconsin",14,611,94
"Wisconsin",14,609,92
"Wisconsin",14,605,95
"Wisconsin",14,596,99
"Wisconsin",14,593,98
"Idaho",42,233,81
"Idaho",42,234,85
"Idaho",42,237,87
"Idaho",42,238,90
"Idaho",42,234,96
"Idaho",42,230,103
"Idaho",42,225,106
"Idaho",42,221,113
"Idaho",42,225,119
"Idaho",42,222,125
"Idaho",42,213,162
"Idaho",42,239,168
"Idaho",42,258,172
"Idaho",42,262,173
"Idaho",42,304,180
"Idaho",42,312,129
"Idaho",42,309,123
"Idaho",42,305,126
"Idaho",42,291,125
"Idaho",42,283,124
"Idaho",42,283,117
"Idaho",42,279,115
"Idaho",42,279,110
"Idaho",42,276,104
"Idaho",42,276,98
"Idaho",42,274,96
"Idaho",42,269,100
"Idaho",42,266,97
"Idaho",42,269,89
"Idaho",42,268,88
"Idaho",42,270,81
"Idaho",42,273,76
"Idaho",42,270,75
"Idaho",42,265,69
"Idaho",42,261,60
"Idaho",42,257,56
"Idaho",42,258,50
"Idaho",42,254,43
"Idaho",42,259,23
"Idaho",42,245,20
"Idaho",42,234,71
"Idaho",42,233,81
"Minnesota",53,519,52
"Minnesota",53,520,59
"Minnesota",53,520,69
"Minnesota",53,524,82
"Minnesota",53,524,101
"Minnesota",53,527,108
"Minnesota",53,527,116
"Minnesota",53,527,118
"Minnesota",53,524,122
"Minnesota",53,525,126
"Minnesota",53,529,129
"Minnesota",53,529,167
"Minnesota",53,553,167
"Minnesota",53,583,166
"Minnesota",53,608,165
"Minnesota",53,607,159
"Minnesota",53,604,155
"Minnesota",53,597,150
"Minnesota",53,596,147
"Minnesota",53,587,143
"Minnesota",53,583,139
