"state","app_pop","seats","overseas","resident_pop","people_per_seat"
"California",39576757,52,38534,39538223,761091
"Texas",29183290,38,37785,29145505,767981
"Florida",21570527,28,32340,21538187,770376
"New York",20215751,26,14502,20201249,777529
"Pennsylvania",13011844,17,9144,13002700,765403
"Illinois",12822739,17,10231,12812508,754279
"Ohio",11808848,15,9400,11799448,787257
"Georgia",10725274,14,13366,10711908,766091
"North Carolina",10453948,14,14560,10439388,746711
"Michigan",10084442,13,7111,10077331,775726
"New Jersey",9294493,12,5499,9288994,774541
"Virginia",8654542,11,23149,8631393,786777
"Washington",7715946,10,10665,7705281,771595
"Arizona",7158923,9,7421,7151502,795436
"Massachusetts",7033469,9,3552,7029917,781497
"Tennessee",6916897,9,6057,6910840,768544
"Indiana",6790280,9,4752,6785528,754476
"Maryland",6185278,8,8054,6177224,773160
"Missouri",6160281,8,5368,6154913,770035
"Wisconsin",5897473,8,3755,5893718,737184
"Colorado",5782171,8,8457,5773714,722771
"Minnesota",5709752,8,3258,5706494,713719
"South Carolina",5124712,7,6287,5118425,732102
"Alabama",5030053,7,5774,5024279,718579
"Louisiana",4661468,6,3711,4657757,776911
"Kentucky",4509342,6,3506,4505836,751557
"Oregon",4241500,6,4244,4237256,706917
"Oklahoma",3963516,5,4163,3959353,792703
"Connecticut",3608298,5,2354,3605944,721660
"Utah",3275252,4,3636,3271616,818813
"Iowa",3192406,4,2037,3190369,798102
"Nevada",3108462,4,3848,3104614,777116
"Arkansas",3013756,4,2232,3011524,753439
"Mississippi",2963914,4,2635,2961279,740978
"Kansas",2940865,4,2985,2937880,735216
"New Mexico",2120220,3,2698,2117522,706740
"Nebraska",1963333,3,1829,1961504,654444
"Idaho",1841377,2,2271,1839106,920688
"West Virginia",1795045,2,1329,1793716,897522
"Hawaii",1460137,2,4866,1455271,730068
"New Hampshire",1379089,2,1560,1377529,689544
"Maine",1363582,2,1223,1362359,681791
"Rhode Island",1098163,2,784,1097379,549082
"Montana",1085407,2,1182,1084225,542704
"Delaware",990837,1,889,989948,990837
"South Dakota",887770,1,1103,886667,887770
"North Dakota",779702,1,608,779094,779702
"Alaska",736081,1,2690,733391,736081
"Vermont",643503,1,426,643077,643503
"Wyoming",577719,1,868,576851,577719
