"year","n","strong_dem","weak_dem","lean_dem","pure_ind","lean_rep","weak_rep","strong_rep"
1952,1689,23.2,25.8,10.2,4.9,7.6,14,14.3
1954,1088,22.8,26.5,8.9,7.5,6.2,14.6,13.4
1956,1690,21.5,23.8,6.6,9.2,8.6,14.8,15.5
1958,1382,27.4,23.5,6.9,7.4,5.4,17.1,12.3
1960,1132,23.7,24.9,5.8,9.4,6.5,14.3,15.4
1962,1237,24,24.3,7.5,8.1,6.5,16.9,12.8
1964,1536,27.1,25.1,9.4,7.9,5.7,13.7,11.1
1966,1263,18.2,28,9.1,12.4,7.1,15.4,9.7
1968,1531,20.3,25.7,10,10.6,8.8,14.8,9.7
1970,1490,20,24,10.5,13,7.9,15.4,9.3
1972,2695,14.7,25.4,11.1,14.8,10.5,13.1,10.3
1974,1558,18.7,20.2,12.6,16.2,9.2,13.7,9.3
1976,2218,15.2,24.1,11.7,15.3,9.8,14.4,9.4
1978,2269,15,24.1,14.5,16.4,9.6,12.7,7.8
1980,1612,17.7,23,11.4,15.1,10.3,14,8.5
1982,1403,20.2,23.9,11,13,8,14.2,9.6
1984,2228,17,19.9,10.9,12.6,12.4,14.8,12.4
1986,2157,18,21.9,10.5,13.6,10.8,14.6,10.5
1988,2026,17.5,17.7,11.8,12,13.3,13.8,13.8
1990,1965,20,19.1,12.5,12,11.9,14.9,9.6
1992,2470,18,17.4,14.3,12.8,12.3,14,11.1
1994,1780,15.4,18.8,12.8,10.7,11.7,14.5,16
1996,1706,19.3,19.5,13.7,9.2,10.7,15.1,12.5
1998,1269,18.8,18.6,14.3,11.4,10.5,15.6,10.8
2000,1792,19.3,15.2,15,12.5,12.8,11.9,13.2
2002,1467,16.9,17.1,13.9,6.5,13.4,16,16.2
2004,1195,17,14.9,17.6,10.1,11.5,12.7,16.2
2008,2282,25.4,17.2,17.2,11.6,9.8,8.8,10.1
2012,5890,25.2,14.8,12.7,13.4,10.4,10.6,12.9
2016,4247,21,13.2,11.5,13.6,11.8,12,17
2020,8245,23.8,10.9,11.8,11.7,10.7,10.1,21
2024,5483,24,11.2,13,6.9,13.1,10.5,21.3
