"GEOID20","pop","district_2022","district_2026"
"120210104191007",242,26,19
"120210106022000",0,19,19
"120210106042016",50,19,22
"120210112141006",282,26,22
"120210102151004",64,19,19
"120210105131002",98,26,19
"120210112042002",0,26,22
"120210112141001",263,26,22
"120610509032070",20,8,9
"120610506083000",0,8,9
"120610509091066",5,8,9
"120610508102027",141,8,9
"121050144012003",20,18,18
"121050123072008",27,11,18
"121050153021044",19,18,18
"121050153012003",48,18,18
"121050157023029",11,18,9
"120570120022023",6,14,15
"120174509021020",30,12,15
"120174503101042",0,12,15
"120174506024022",50,12,15
"120174503092136",10,12,15
"120174501062036",11,12,15
"120174504022055",23,12,15
"120860180032015",1114,28,28
"120570003011031",30,15,12
"120570134131036",81,16,14
"120570062002006",52,14,14
"120570141171006",102,14,14
"120570139241021",66,16,14
"120570069005002",46,14,14
"120570127023020",73,15,14
"120570001012004",89,15,15
"120570132052008",208,16,14
"120150305013004",8,17,17
"120150105041003",13,17,17
"120150301012074",9,17,17
"120150302013018",50,17,17
"120150301022014",32,17,17
"120150301022051",0,17,17
"120860145003007",36,28,28
"120860196004002",72,28,28
"120860102121014",49,28,28
"120860013024005",23,24,24
"120860090402027",51,26,26
"120860101931048",77,28,28
"120860090403060",19,26,26
"120860139002022",99,26,26
"120860113021027",141,28,28
"120860145003015",87,28,28
"120860090591006",75,26,26
"120860039133000",69,24,25
"120419502011011",20,3,3
"120419502011010",30,3,3
"121050107022001",19,15,18
"121050139011011",36,18,18
"121050141301048",19,18,18
"121050125112007",149,9,18
"121050124131056",56,11,18
"121050141302063",18,18,18
"121050141302036",14,18,18
"121050125122034",30,9,18
"120610502012002",0,8,9
"120610501011027",112,8,9
"120610507071003",71,8,9
"120610507041002",29,8,9
"120860030013017",46,27,27
"120860058063000",15,27,27
"120860024021010",136,26,24
"120860008072003",208,26,26
"120860150022007",38,28,28
"120860102052000",61,28,28
"120860002252009",24,24,25
"120860003121002",50,24,24
"120860004053012",50,24,24
"120610503031012",331,8,9
"120610502012068",18,8,9
"120570119092003",80,14,12
"120850004002020",84,21,21
"120850016011014",35,21,21
"120850006042026",0,21,21
"120459602001060",0,2,2
"120570031003004",37,14,15
"120570021003022",28,14,12
"120570119093011",52,14,12
"120570055003009",95,14,14
"120850005022007",8,21,21
"120850006102009",82,21,21
"120860002061025",0,24,24
"120860154001000",143,28,28
"120860090103028",162,26,26
"120860102012003",394,28,28
"120210111131103",0,26,22
"120210112122001",29,26,22
"120210114003023",102,18,22
"120210104323011",0,19,19
"120210002001010",50,19,19
"120990077301004",35,23,22
"120310143112017",56,5,5
"120310106012042",18,4,4
"120310111002028",75,4,4
"120310120003014",0,4,4
"120310117001034",31,4,4
"121079506003066",112,6,6
"121079503001133",1,6,6
"120379702001090",0,2,2
"120860084311011",15,27,28
"120860057014000",110,27,27
"121319506052020",29,1,1
"121319503053057",0,1,1
"120570114173000",41,15,12
"120570110032020",41,15,12
"120570005002017",36,15,12
"120570016001013",0,14,12
"120570119101019",80,14,12
"120570126002000",0,15,14
"120570066003009",56,14,14
"120570120012037",89,14,15
"120310172001034",0,4,4
"120310107001010",9,4,4
"120310128005003",75,4,4
"120860112041067",49,28,28
"120860058061007",48,27,27
"120860090103000",0,26,26
"120860070041002",142,27,27
"120860110033016",191,28,28
"120860055062016",77,27,27
"120860058032002",167,27,27
"120860113023031",39,28,28
"120860027091002",721,24,24
"120860090492005",0,26,26
"120860069023011",29,27,27
"120860031003000",355,26,24
"120830010091056",25,3,3
"120830007033010",23,6,6
"120830014033019",19,6,6
"120830023023049",32,3,3
"120830010081011",21,3,3
"120830012081006",38,6,6
"120830019003019",0,3,3
"120830021003047",0,3,3
"120830009041015",21,6,6
"120830019003033",33,3,3
"120830022022032",30,3,3
"120830023023013",12,3,3
"120830010051012",16,3,3
"120830007041238",0,6,6
"120830011033042",12,6,6
"120830024011015",0,3,3
"120830011022050",0,6,6
"120850005022010",0,21,21
"121050149041002",57,15,18
"121050164003076",12,15,18
"121050104023005",0,18,18
"121050138013023",23,18,18
"121050137011009",25,18,18
"121050150002007",0,18,18
"121050115021036",176,18,18
"121050119081005",112,15,18
"121050142031011",27,18,18
"120830026022019",28,3,3
"120830014012015",30,3,3
"120830018001033",0,3,3
"120830010052024",35,3,3
"120830010052157",66,3,3
"120830008052006",10,6,6
"120830027032032",23,3,3
"120830024023005",0,3,3
"120830010132036",0,3,3
"120830025061008",0,3,3
"120830025041056",0,3,3
"120830026052021",40,3,3
"120830018002069",4,3,3
"120830019001222",0,3,3
"120830010113020",23,3,3
"120830004023022",16,6,6
"120830011051085",83,6,6
"120830026041017",7,3,3
"120830026041010",13,3,3
"120830010121253",4,3,3
"120830025041043",0,3,3
"120830026024023",63,3,3
"120830012061064",0,6,6
"120830011031012",9,6,6
"120830011033031",18,6,6
"120830010101062",3,3,3
"120830010082014",19,3,3
"120830019001009",0,3,3
"120830004023037",6,6,6
"120830005012040",0,6,6
"120830009012027",7,6,6
"120830023023052",50,3,3
"120150202032032",42,17,17
"120150204022176",5,17,17
"120150206011044",48,17,17
"120150209003030",36,17,17
"120150210011056",24,17,17
"120150302013063",31,17,17
"120990060051036",31,22,23
"120990026001003",0,22,23
"120990058072011",106,22,23
"120990059222003",620,22,23
"120990060112003",46,22,23
"120990077493010",658,22,22
"120990053005007",19,22,23
"120990077312007",54,23,22
"120990077771005",62,23,22
"120990011021002",0,20,21
"120990004082003",25,21,21
"120970426032014",46,9,9
"120970432032034",0,9,9
"120970409032007",14,9,9
"120970433041067",25,9,9
"120970409011021",262,9,9
"120970434002044",16,9,9
"120970433042000",729,9,9
"120970423001033",34,9,9
"120310144241006",286,5,5
"120310139012025",268,5,5
"120310105012002",49,4,4
"120310168123011",116,5,5
"120310123003027",39,4,4
"120990066073006",23,22,23
"120990060081012",163,22,23
"120990014042018",0,21,23
"120174506022036",33,12,15
"120860110122008",110,28,28
"121319503053031",0,1,1
"121319501032092",1,1,1
"120570122132006",22,15,14
"120570138011021",22,14,14
"120570045001000",9,14,14
"120570134131037",32,16,14
"120570140031079",23,16,14
"120570115201008",67,14,12
"120570035002017",28,14,15
"120570107011014",38,15,15
"120570003011005",81,15,12
"120710104153015",73,19,19
"120710502122004",62,19,19
"120710502061006",67,19,19
"120710402092018",7,17,19
"120710402092033",22,17,19
"120710019121028",18,19,19
"120710103072010",33,19,19
"120710102032049",37,19,19
"120710403081002",11,17,19
"120610509052009",56,8,9
"120610509061015",42,8,9
"120610501012005",23,8,9
"120210108082045",0,19,22
"120210001021054",6,19,19
"120210104282036",50,26,22
"120210114001051",0,18,22
"120830003032002",0,3,3
"120830001012031",34,3,3
"120830008052008",12,6,6
"120499701013066",32,18,16
"121030202082006",100,14,16
"121030265023004",14,13,13
"120570026001016",13,14,14
"120860102072012",78,28,28
"120570058005038",47,14,14
"120570127011010",0,15,14
"120570115212008",0,15,12
"120570128001042",32,15,14
"120570134121008",24,16,14
"120830027052046",23,3,3
"120830027052056",23,3,3
"120970431001013",91,9,9
"120970432032021",123,9,9
"120970408082074",39,9,18
"120970408051044",9,9,18
"120970433011013",0,9,9
"120970438012186",0,9,9
"120970429012036",148,9,9
"120970410061025",80,9,9
"120970410061018",52,9,9
"120970428003032",117,9,9
"120970429012045",41,9,9
"120970411021012",59,9,18
"120559616041017",68,18,9
"120559606022000",41,18,9
"120559614011054",8,18,9
"120860170001012",85,28,28
"120860102111009",111,28,28
"120860006092001",106,26,26
"120860004182012",148,24,24
"120860009052020",40,26,24
"120860038043008",45,24,25
"120610502011028",11,8,9
"120610507071025",38,8,9
"120610508052003",0,8,9
"120610509031006",11,8,9
"120610503052037",17,8,9
"120610509031042",45,8,9
"121150021023016",13,17,17
"121150025074036",34,17,17
"121150027212016",12,17,17
"121150027392030",19,17,17
"121150027423063",6,17,17
"121150027423091",43,17,17
"121150027451078",6,17,17
"121150027401039",20,17,17
"121150020131003",24,17,17
"120350602113007",171,6,6
"120350602082015",77,6,6
"120350602101001",0,6,6
"120990078201031",16,21,22
"120990078202001",13,21,22
"120570034001006",75,14,15
"120570025001003",0,14,12
"120570017001002",87,14,12
"120570059003019",92,14,14
"120570123011013",174,15,14
"120570107013010",23,15,15
"120570108052001",0,15,12
"120570122074012",29,15,14
"120350602191009",96,6,6
"120970420001011",0,9,9
"120970436001038",40,9,9
"120970408073027",32,9,18
"120970417003003",53,9,9
"120970410032036",0,9,9
"120970409041031",0,9,9
"120970408051037",138,9,18
"120970431002037",0,9,9
"120970409031003",183,9,9
"120970425001004",198,9,9
"120150209002078",5,17,17
"120150203034007",15,17,17
"120150103022080",21,17,17
"120111103093004",161,25,26
"120830012061012",0,6,6
"120830010121112",21,3,3
"120830012112014",47,6,6
"120830011052064",0,6,6
"120830009032041",29,6,6
"120830010121212",0,3,3
"120830012044027",40,6,6
"120830020011000",275,3,3
"120830017003003",0,3,3
"120830004021025",5,6,6
"120150210021013",25,17,17
"120150301022009",27,17,17
"120150301021066",4,17,17
"120150210011061",16,17,17
"120150206021025",51,17,17
"120150203011001",1,17,17
"120150202042028",43,17,17
"120570109001018",0,15,15
"120570119113005",270,14,12
"120570113041014",82,15,12
"120570144001001",296,14,14
"120570027013022",41,14,12
"120570122073012",50,15,14
"120570115221008",0,15,12
"120570125031005",111,15,14
"120570113043027",19,15,12
"120570002012009",92,15,12
"120570014002011",67,14,12
"120710102051098",0,19,19
"120710102061017",20,19,19
"120090713473000",0,8,8
"120090612023055",37,8,8
"120090713462022",25,8,8
"120090714021023",17,8,8
"120090713374008",39,8,8
"120090642012007",65,8,8
"120090713473002",73,8,8
"120090651232025",0,8,8
"120090641271005",0,8,8
"120090624021014",31,8,8
"120090649021018",27,8,8
"120090685012032",7,8,8
"120090713411039",33,8,8
"120090713452015",54,8,8
"120559614011037",43,18,9
"120559616051180",12,18,9
"120570015001007",41,14,12
"120559617021109",0,18,9
"120990002192002",23,21,21
"121079506003039",1,6,6
"121079502022059",4,6,6
"121079501002037",0,6,6
"120559605041010",38,18,9
"120610502011017",19,8,9
"120710010012059",21,19,17
"120860009081012",181,26,24
"120860006031003",79,26,26
"120860072003001",12,27,27
"120860084094019",69,27,27
"120860082083018",65,27,27
"120860084221006",39,27,27
"120860078061015",32,27,27
"120860106093003",506,27,27
"120860106233000",135,27,27
"120860102051005",62,28,28
"120860103012037",38,28,28
"121150025093020",56,17,17
"121319503051038",17,2,2
"121319501021039",1,2,2
"120759702002061",51,3,3
"120759703031046",40,3,3
"120860047012019",54,26,26
"120860078072019",25,27,27
"120860064032007",116,27,27
"120860171013004",123,28,28
