"district","dem_wins_old","dem_wins_new","mean_old","mean_new","pres2024_old","pres2024_new"
1,0,0,0.293684,0.293684,0.312322,0.312322
2,0,0,0.415946,0.415946,0.408376,0.408376
3,0,0,0.401986,0.401986,0.393657,0.393657
4,0,0,0.428885,0.428885,0.440162,0.440162
5,0,0,0.37113,0.37113,0.391521,0.391521
6,0,0,0.357308,0.357308,0.348459,0.348459
7,0,0,0.43801,0.43801,0.436929,0.436929
8,0,0,0.381824,0.414539,0.387244,0.418054
9,11,0,0.556327,0.429826,0.517763,0.410347
10,13,13,0.626224,0.633707,0.615103,0.621454
11,0,0,0.403079,0.408754,0.41795,0.420797
12,0,0,0.339626,0.441797,0.325713,0.422238
13,0,0,0.444715,0.437807,0.44013,0.432759
14,13,0,0.565064,0.445906,0.538829,0.446869
15,0,0,0.450481,0.42098,0.443199,0.399573
16,0,0,0.416304,0.444619,0.422002,0.430944
17,0,0,0.390177,0.397766,0.379499,0.388799
18,0,0,0.355264,0.417301,0.351835,0.414456
19,0,0,0.342676,0.338939,0.353185,0.347927
20,13,13,0.751732,0.73216,0.699788,0.687513
21,0,0,0.425997,0.428107,0.416566,0.418226
22,13,6,0.585986,0.480736,0.526908,0.446966
23,13,13,0.564315,0.611263,0.52809,0.569693
24,13,13,0.746214,0.787848,0.651553,0.695366
25,10,7,0.54276,0.506729,0.509621,0.453892
26,1,6,0.381702,0.482749,0.324117,0.407456
27,5,5,0.481137,0.481773,0.4261,0.426505
28,5,5,0.450932,0.450332,0.372124,0.371884
