"election","year","dem_old","dem_new","rep_old","rep_new","rep_gain"
"president-2016",2016,11,9,17,19,2
"senator-2016",2016,8,6,20,22,2
"ag-2018",2018,10,9,18,19,1
"gov-2018",2018,10,9,18,19,1
"senator-2018",2018,10,9,18,19,1
"trea-2018",2018,10,9,18,19,1
"president-2020",2020,8,6,20,22,2
"ag-2022",2022,6,4,22,24,2
"gov-2022",2022,6,4,22,24,2
"senator-2022",2022,8,4,20,24,4
"trea-2022",2022,7,4,21,24,3
"president-2024",2024,8,4,20,24,4
"senator-2024",2024,8,4,20,24,4
