"district","election","year","share_old","share_new"
1,"ag-2018",2018,0.296519,0.296519
2,"ag-2018",2018,0.438447,0.438447
3,"ag-2018",2018,0.414483,0.414483
4,"ag-2018",2018,0.445347,0.445347
5,"ag-2018",2018,0.374708,0.374708
6,"ag-2018",2018,0.362951,0.362951
7,"ag-2018",2018,0.440669,0.440669
8,"ag-2018",2018,0.378417,0.414965
9,"ag-2018",2018,0.588883,0.448915
10,"ag-2018",2018,0.638662,0.645806
11,"ag-2018",2018,0.399492,0.405955
12,"ag-2018",2018,0.333708,0.440574
13,"ag-2018",2018,0.422704,0.416437
14,"ag-2018",2018,0.563187,0.432146
15,"ag-2018",2018,0.448209,0.428499
16,"ag-2018",2018,0.411153,0.444059
17,"ag-2018",2018,0.400408,0.408136
18,"ag-2018",2018,0.360057,0.423355
19,"ag-2018",2018,0.344705,0.342137
20,"ag-2018",2018,0.794651,0.771539
21,"ag-2018",2018,0.43708,0.440147
22,"ag-2018",2018,0.636909,0.517834
23,"ag-2018",2018,0.594603,0.646071
24,"ag-2018",2018,0.813713,0.850335
25,"ag-2018",2018,0.575915,0.546872
26,"ag-2018",2018,0.435754,0.550097
27,"ag-2018",2018,0.52982,0.530689
28,"ag-2018",2018,0.519988,0.519068
1,"ag-2022",2022,0.2602,0.2602
2,"ag-2022",2022,0.363,0.363
3,"ag-2022",2022,0.349,0.349
4,"ag-2022",2022,0.3781,0.3781
5,"ag-2022",2022,0.331,0.331
6,"ag-2022",2022,0.3006,0.3006
7,"ag-2022",2022,0.3811,0.3811
8,"ag-2022",2022,0.3303,0.3586
9,"ag-2022",2022,0.4864,0.3606
10,"ag-2022",2022,0.5707,0.5775
11,"ag-2022",2022,0.3501,0.3538
12,"ag-2022",2022,0.2837,0.3823
13,"ag-2022",2022,0.3983,0.3906
14,"ag-2022",2022,0.5118,0.3959
15,"ag-2022",2022,0.3929,0.3564
16,"ag-2022",2022,0.3665,0.3935
17,"ag-2022",2022,0.343,0.3494
18,"ag-2022",2022,0.2939,0.3575
19,"ag-2022",2022,0.3008,0.297
20,"ag-2022",2022,0.7044,0.6901
21,"ag-2022",2022,0.3671,0.3682
22,"ag-2022",2022,0.5323,0.4234
23,"ag-2022",2022,0.5132,0.5551
24,"ag-2022",2022,0.6911,0.7382
25,"ag-2022",2022,0.4975,0.4594
26,"ag-2022",2022,0.3055,0.4134
27,"ag-2022",2022,0.4272,0.4276
28,"ag-2022",2022,0.3703,0.3701
1,"gov-2018",2018,0.321846,0.321846
2,"gov-2018",2018,0.462396,0.462396
3,"gov-2018",2018,0.440815,0.440815
4,"gov-2018",2018,0.475416,0.475416
5,"gov-2018",2018,0.410725,0.410725
6,"gov-2018",2018,0.393115,0.393115
7,"gov-2018",2018,0.476968,0.476968
8,"gov-2018",2018,0.408537,0.446681
9,"gov-2018",2018,0.618217,0.477462
10,"gov-2018",2018,0.675,0.682016
11,"gov-2018",2018,0.431015,0.437854
12,"gov-2018",2018,0.374872,0.490549
13,"gov-2018",2018,0.478986,0.473314
14,"gov-2018",2018,0.618425,0.485801
15,"gov-2018",2018,0.495431,0.468339
16,"gov-2018",2018,0.450558,0.484411
17,"gov-2018",2018,0.426133,0.434332
18,"gov-2018",2018,0.390755,0.454148
19,"gov-2018",2018,0.372213,0.369221
20,"gov-2018",2018,0.804127,0.777263
21,"gov-2018",2018,0.464982,0.467913
22,"gov-2018",2018,0.640876,0.531389
23,"gov-2018",2018,0.612981,0.664718
24,"gov-2018",2018,0.820939,0.861231
25,"gov-2018",2018,0.582787,0.552093
26,"gov-2018",2018,0.451283,0.556837
27,"gov-2018",2018,0.537372,0.538337
28,"gov-2018",2018,0.531241,0.530275
1,"gov-2022",2022,0.264845,0.264845
2,"gov-2022",2022,0.379644,0.379644
3,"gov-2022",2022,0.356884,0.356884
4,"gov-2022",2022,0.389892,0.389892
5,"gov-2022",2022,0.341083,0.341083
6,"gov-2022",2022,0.314947,0.314947
7,"gov-2022",2022,0.397543,0.397543
8,"gov-2022",2022,0.349265,0.378612
9,"gov-2022",2022,0.49152,0.365981
10,"gov-2022",2022,0.584822,0.591579
11,"gov-2022",2022,0.36786,0.371808
12,"gov-2022",2022,0.300896,0.396856
13,"gov-2022",2022,0.415375,0.40781
14,"gov-2022",2022,0.525711,0.409352
15,"gov-2022",2022,0.407221,0.371296
16,"gov-2022",2022,0.381264,0.40953
17,"gov-2022",2022,0.353319,0.359646
18,"gov-2022",2022,0.304602,0.370404
19,"gov-2022",2022,0.303191,0.298404
20,"gov-2022",2022,0.699234,0.683871
21,"gov-2022",2022,0.373983,0.375188
22,"gov-2022",2022,0.525113,0.421883
23,"gov-2022",2022,0.515883,0.55759
24,"gov-2022",2022,0.685114,0.733697
25,"gov-2022",2022,0.495979,0.455925
26,"gov-2022",2022,0.294993,0.399839
27,"gov-2022",2022,0.416423,0.416927
28,"gov-2022",2022,0.360258,0.359891
1,"president-2016",2016,0.299418,0.299418
2,"president-2016",2016,0.438388,0.438388
3,"president-2016",2016,0.423209,0.423209
4,"president-2016",2016,0.44538,0.44538
5,"president-2016",2016,0.384963,0.384963
6,"president-2016",2016,0.378491,0.378491
7,"president-2016",2016,0.459775,0.459775
8,"president-2016",2016,0.391747,0.430292
9,"president-2016",2016,0.637636,0.48905
10,"president-2016",2016,0.669687,0.678223
11,"president-2016",2016,0.422363,0.436222
12,"president-2016",2016,0.352136,0.477782
13,"president-2016",2016,0.458968,0.45197
14,"president-2016",2016,0.61383,0.471591
15,"president-2016",2016,0.479903,0.449274
16,"president-2016",2016,0.433881,0.471012
17,"president-2016",2016,0.414148,0.423588
18,"president-2016",2016,0.388947,0.452286
19,"president-2016",2016,0.380603,0.378409
20,"president-2016",2016,0.792345,0.763476
21,"president-2016",2016,0.446826,0.449772
22,"president-2016",2016,0.646482,0.53442
23,"president-2016",2016,0.603622,0.655559
24,"president-2016",2016,0.824895,0.855652
25,"president-2016",2016,0.573105,0.560049
26,"president-2016",2016,0.519782,0.60249
27,"president-2016",2016,0.589648,0.590787
28,"president-2016",2016,0.580682,0.579335
1,"president-2020",2020,0.335646,0.335646
2,"president-2020",2020,0.444523,0.444523
3,"president-2020",2020,0.428774,0.428774
4,"president-2020",2020,0.466051,0.466051
5,"president-2020",2020,0.420069,0.420069
6,"president-2020",2020,0.380596,0.380596
7,"president-2020",2020,0.471977,0.471977
8,"president-2020",2020,0.410787,0.445561
9,"president-2020",2020,0.587997,0.465784
10,"president-2020",2020,0.660714,0.6667
11,"president-2020",2020,0.445163,0.451626
12,"president-2020",2020,0.35496,0.47035
13,"president-2020",2020,0.46591,0.460618
14,"president-2020",2020,0.596894,0.48559
15,"president-2020",2020,0.484077,0.446345
16,"president-2020",2020,0.455043,0.472278
17,"president-2020",2020,0.419586,0.429999
18,"president-2020",2020,0.384763,0.448845
19,"president-2020",2020,0.394156,0.389057
20,"president-2020",2020,0.763407,0.743021
21,"president-2020",2020,0.452501,0.455572
