"district","plan","total_pop","total_vap","white_pct","black_pct","hispanic_pct","asian_pct","native_pct","pacific_pct","minority_pct"
1,"new",769221,605557,0.721569,0.135398,0.0668839,0.0424089,0.0318335,0.0037932,0.278431
2,"new",769221,619356,0.65485,0.230895,0.0642232,0.0278257,0.0234179,0.00184385,0.34515
3,"new",769221,624295,0.67726,0.158834,0.106371,0.038855,0.0194764,0.0015922,0.32274
4,"new",769221,590934,0.55326,0.316631,0.0781678,0.035823,0.0215912,0.00272281,0.44674
5,"new",769221,606741,0.674912,0.128035,0.108582,0.0703809,0.0182582,0.00273428,0.325088
6,"new",769221,634516,0.7476,0.112171,0.0977564,0.0205952,0.0206078,0.00160752,0.2524
7,"new",769221,616306,0.6459,0.105328,0.189714,0.0472168,0.0195487,0.00196331,0.3541
8,"new",769220,627948,0.684929,0.108792,0.142407,0.045507,0.0207645,0.00251135,0.315071
9,"new",769221,606265,0.491613,0.10667,0.363876,0.0351942,0.0184424,0.00210799,0.508387
10,"new",769221,605765,0.358291,0.278377,0.304118,0.0528026,0.0179591,0.00283443,0.641709
11,"new",769221,622027,0.618238,0.107611,0.198197,0.0529221,0.0170443,0.00226357,0.381762
12,"new",769221,611856,0.588875,0.106983,0.248058,0.046609,0.01898,0.00182723,0.411125
13,"new",769221,643737,0.768746,0.0642825,0.102809,0.0435069,0.0186287,0.00179266,0.231254
14,"new",769221,595835,0.551693,0.133952,0.260216,0.0466774,0.0207457,0.00225734,0.448307
15,"new",769221,619782,0.639147,0.150461,0.149486,0.0471311,0.0193568,0.00180709,0.360853
16,"new",769221,635485,0.706733,0.119814,0.129068,0.0269841,0.0162065,0.00143985,0.293267
17,"new",769221,655953,0.781192,0.0693602,0.11002,0.0208689,0.0152084,0.00110679,0.218808
18,"new",769221,599646,0.56254,0.153065,0.249157,0.0255167,0.021461,0.00191613,0.43746
19,"new",769221,645329,0.72602,0.0507245,0.189195,0.0211303,0.0124324,0.00112966,0.27398
20,"new",769221,613033,0.301168,0.420757,0.23262,0.0368414,0.0113583,0.0019428,0.698832
21,"new",769221,627454,0.675227,0.131088,0.150687,0.0283622,0.015386,0.00166068,0.324773
22,"new",769221,595366,0.489581,0.135723,0.309925,0.0492285,0.012992,0.0015923,0.510419
23,"new",769221,620743,0.475762,0.231358,0.258964,0.029679,0.0163755,0.00168508,0.524238
24,"new",769221,605907,0.115958,0.477185,0.409225,0.0213746,0.0110991,0.00147547,0.884042
25,"new",769221,648772,0.589853,0.0741524,0.277436,0.0320436,0.00977539,0.00125468,0.410147
26,"new",769221,615491,0.12535,0.106599,0.742724,0.0388438,0.00759231,0.00098458,0.87465
27,"new",769221,636033,0.167873,0.0705765,0.742755,0.0262345,0.00859232,0.00091347,0.832127
28,"new",769221,609100,0.153249,0.103282,0.732514,0.0222656,0.0114366,0.00095879,0.846751
1,"old",769221,605557,0.721569,0.135398,0.0668839,0.0424089,0.0318335,0.0037932,0.278431
2,"old",769221,619356,0.65485,0.230895,0.0642232,0.0278257,0.0234179,0.00184385,0.34515
3,"old",769221,624295,0.67726,0.158834,0.106371,0.038855,0.0194764,0.0015922,0.32274
4,"old",769221,590934,0.55326,0.316631,0.0781678,0.035823,0.0215912,0.00272281,0.44674
5,"old",769221,606741,0.674912,0.128035,0.108582,0.0703809,0.0182582,0.00273428,0.325088
6,"old",769221,634516,0.7476,0.112171,0.0977564,0.0205952,0.0206078,0.00160752,0.2524
7,"old",769221,616306,0.6459,0.105328,0.189714,0.0472168,0.0195487,0.00196331,0.3541
8,"old",769221,633719,0.749069,0.0968174,0.100507,0.0317759,0.0201572,0.00213028,0.250931
9,"old",769221,593636,0.323402,0.130238,0.50036,0.0519898,0.0189409,0.00312313,0.676598
10,"old",769221,610303,0.38535,0.259758,0.286269,0.0609369,0.0174536,0.00285596,0.61465
11,"old",769221,618709,0.632747,0.127596,0.170937,0.0460782,0.0176626,0.00190235,0.367253
12,"old",769221,626932,0.783056,0.0529435,0.117182,0.0250585,0.0213181,0.0015536,0.216944
13,"old",769221,650487,0.77194,0.0708531,0.0955669,0.0410185,0.0180618,0.00188167,0.22806
14,"old",769221,620281,0.494228,0.19127,0.259669,0.0500531,0.0162765,0.00184594,0.505772
15,"old",769221,599800,0.549226,0.154033,0.227442,0.0601801,0.0205902,0.00205068,0.450774
16,"old",769221,607353,0.645139,0.119762,0.186727,0.0360252,0.0185312,0.0018309,0.354861
17,"old",769221,654821,0.790796,0.0556091,0.115406,0.019923,0.0150301,0.00108579,0.209204
18,"old",769221,603562,0.597993,0.132131,0.236798,0.0200145,0.0212654,0.00163198,0.402007
19,"old",769221,650465,0.740732,0.0606966,0.162233,0.0221518,0.0127124,0.00116993,0.259268
20,"old",769221,595408,0.23539,0.50114,0.229777,0.0337214,0.0118624,0.00207253,0.76461
21,"old",769221,629736,0.680863,0.124768,0.151414,0.0279673,0.0155335,0.00162925,0.319137
22,"old",769220,625981,0.553161,0.1588,0.246533,0.033477,0.0151618,0.00153519,0.446839
23,"old",769221,632647,0.5841,0.13166,0.205076,0.0442664,0.0106252,0.00150321,0.4159
