"group","respondents","pct_1","pct_2","pct_3","pct_4"
"Extremely liberal",235,3.8,3.4,4.7,88.1
"Liberal",758,0.8,3.7,9.2,86.3
"Slightly liberal",515,1.4,6,20.2,72.4
"Moderate, middle of the road",1085,2.6,17.6,25.8,54
"Slightly conservative",532,4.9,29.5,31.4,34.2
"Conservative",928,9.9,48.8,26.2,15.1
"Extremely conservative",278,27.7,46.4,13.3,12.6
"Haven't thought much about it",679,7.1,24.3,21.5,47.1
