"year","respondents","never","rape_incest_life","need_established","always","pct_missing"
1980,1547,11.5,32.7,19,36.8,0.6
1982,1359,13.2,30.8,19.6,36.4,1.4
1984,2171,13.3,30.3,20,36.4,0.9
1986,2120,13.3,29,18.4,39.3,0.5
1988,1996,12.7,33.2,18.5,35.6,0.7
1990,1932,12.2,33.2,14.4,40.2,0.9
1992,2406,10.7,28.3,14.3,46.8,0.7
1994,1730,12.4,30.7,13.9,43,1.4
1996,1679,11.9,29.5,16.2,42.3,0.3
1998,1258,12.3,29.1,16.7,41.9,0.7
2000,1758,12.2,29.9,15.1,42.8,0.6
2004,1047,13.3,31.7,17.7,37.3,12.5
2008,1031,15.5,28.7,15.5,40.3,55.3
2012,5855,11.5,27.4,15.3,45.7,0.6
2016,4207,12.9,26.5,14.6,45.9,1.1
2020,7900,11,24.3,13.9,50.8,0.9
2024,5021,5.8,23.2,21.1,49.9,5
