"YEAR","STATE","STATE_ABV","TOTAL_BALLOTS_COUNTED","VOTE_FOR_HIGHEST_OFFICE","VAP","NONCITIZEN_PCT","INELIGIBLE_PRISON","INELIGIBLE_PROBATION","INELIGIBLE_PAROLE","INELIGIBLE_FELONS_TOTAL","ELIGIBLE_OVERSEAS","VEP","VEP_TURNOUT_RATE","VAP_TURNOUT_RATE","rate_vap_hi","rate_vep_hi","rate_vap_tb","rate_vep_tb","gap_hi","gap_tb","presidential","vep_recon","vep_recon_pct_err","pub_vep_err","pub_vap_err","inelig_pct"
1980,"Alabama","AL",NA,1341929,2753078,0.4,6543,10985,2547,14583,NA,2727483,NA,NA,48.7429,49.2003,NA,NA,0.457408,NA,TRUE,2727483,-0.0000114391,NA,NA,0.929687
1980,"Alaska","AK",162653,158445,277261,2,822,1181,93,1506,NA,270210,60.2,58.66,57.1465,58.6377,58.6642,60.195,1.49121,1.53081,TRUE,270210,-0.0000814182,-0.00496651,0.00421891,2.54309
1980,"Arizona","AZ",898183,873945,1968947,3.4,4372,12584,1093,11757,NA,1890246,47.52,45.62,44.3864,46.2345,45.6174,47.5167,1.84804,1.8993,TRUE,1890246,-0.0000104748,-0.00327466,-0.00257099,3.99711
1980,"Arkansas","AR",NA,837582,1624917,0.5,2911,2400,2855,6966,NA,1609826,NA,NA,51.5461,52.0293,NA,NA,0.483209,NA,TRUE,1609826,0.0000257792,NA,NA,0.928724
1980,"California","CA",8775459,8587063,17551451,10.8,24569,0,15253,39822,NA,15616072,56.2,50,48.9251,54.9886,49.9985,56.195,6.06353,6.19657,TRUE,15616072,0.00000186987,-0.004953,-0.00151839,11.0269
1980,"Colorado","CO",1225549,1184415,2118092,2,2629,0,927,3556,NA,2072174,59.14,57.86,55.919,57.1581,57.861,59.1432,1.23913,1.28216,TRUE,2072174,0.00000772136,0.00315111,0.000989985,2.16789
1980,"Connecticut","CT",1423403,1406285,2305904,3.8,4308,22981,1932,17731,NA,2200549,64.68,61.73,60.9863,63.9061,61.7286,64.684,2.91982,2.95536,TRUE,2200549,-0.000015996,0.00399477,-0.00136776,4.56892
1980,"Delaware","DE",239136,235900,430879,1.3,1474,3762,619,3974,NA,421304,56.76,55.5,54.7485,55.9928,55.4996,56.7609,1.24427,1.26134,TRUE,421304,-0.000101352,0.000913735,-0.000428194,2.2222
1980,"District of Columbia","DC",178434,175237,496230,4.5,3145,0,0,3145,NA,470755,37.9,35.96,35.3137,37.2247,35.9579,37.9038,1.91101,1.94587,TRUE,470755,-0.0000743487,0.00379284,-0.00207726,5.13371
1980,"Florida","FL",NA,3686930,7575002,5.8,20735,38906,8823,49011,NA,7086641,NA,NA,48.6723,52.0265,NA,NA,3.35415,NA,TRUE,7086641,-0.00000163688,NA,NA,6.44701
1980,"Georgia","GA",NA,1596695,3870251,0.9,12178,58450,3169,44572,NA,3790847,NA,NA,41.2556,42.1197,NA,NA,0.86415,NA,TRUE,3790847,-0.00000683225,NA,NA,2.05165
1980,"Hawaii","HI",318026,303287,695906,6.9,985,0,0,985,NA,646903,49.16,45.7,43.5816,46.8829,45.6996,49.1613,3.30131,3.46175,TRUE,646903,0.0000751272,0.00131166,-0.000437128,7.04161
1980,"Idaho","ID",446045,437431,644004,1.5,817,0,0,817,NA,633527,70.41,69.26,67.9236,69.0469,69.2612,70.4066,1.12329,1.14541,TRUE,633527,-0.00000947079,-0.00337171,0.00121577,1.62685
1980,"Illinois","IL",4868890,4749721,8216218,4.1,11899,0,0,11899,NA,7867454,61.89,59.26,57.8091,60.3718,59.2595,61.8865,2.56268,2.62697,TRUE,7867454,0.000000788057,-0.0035244,-0.000496418,4.24482
1980,"Indiana","IN",2275433,2242033,3885473,0.8,6683,0,0,6683,NA,3847706,59.14,58.56,57.703,58.2693,58.5626,59.1374,0.566381,0.574819,TRUE,3847706,0.00000561373,-0.00260749,0.00257398,0.972005
1980,"Iowa","IA",1314258,1317661,2093321,0.7,2481,8815,639,7528,NA,2071140,63.46,62.78,62.946,63.6201,62.7834,63.4558,0.674124,0.672383,TRUE,2071140,-0.0000119258,-0.00422202,0.00339538,1.05961
1980,"Kansas","KS",NA,979795,1726471,1.1,2494,0,0,2494,NA,1704986,NA,NA,56.7513,57.4665,NA,NA,0.715139,NA,TRUE,1704986,-0.0000106159,NA,NA,1.24445
1980,"Kentucky","KY",NA,1294627,2592185,0.5,3588,12400,8120,17908,NA,2561316,NA,NA,49.9435,50.5454,NA,NA,0.601919,NA,TRUE,2561316,0.00000292818,NA,NA,1.19085
1980,"Louisiana","LA",NA,1548591,2910776,1.1,8889,0,0,8889,NA,2869868,NA,NA,53.202,53.9604,NA,NA,0.758358,NA,TRUE,2869868,0.000016168,NA,NA,1.4054
1980,"Maine","ME",NA,523011,810240,1.3,0,0,0,0,NA,799707,NA,NA,64.5501,65.4003,NA,NA,0.850195,NA,TRUE,799707,-0.0000150055,NA,NA,1.29999
1980,"Maryland","MD",1557709,1540496,3081409,2.7,7731,41661,6436,34998,NA,2963213,52.57,50.55,49.9932,51.9874,50.5518,52.5682,1.99412,2.0164,TRUE,2963213,-0.00000145113,-0.00175735,0.00184171,3.83578
1980,"Massachusetts","MA",2566807,2524298,4281265,4,0,0,0,0,NA,4110014,62.45,59.95,58.9615,61.4182,59.9544,62.4525,2.45674,2.49811,TRUE,4110014,0.00000973233,0.00251233,0.004406,4.00001
1980,"Michigan","MI",3978647,3909725,6514790,1.9,15124,0,0,15124,NA,6375885,62.4,61.07,60.0131,61.3205,61.071,62.4015,1.30744,1.33049,TRUE,6375885,-0.000000156841,0.00148623,0.000993846,2.13215
1980,"Minnesota","MN",2079451,2051980,2929927,1,2001,27000,1534,17035,NA,2883593,72.11,70.97,70.0352,71.1605,70.9728,72.1132,1.12534,1.1404,TRUE,2883593,-0.00000936332,0.00319351,0.00279215,1.5814
1980,"Mississippi","MS",NA,892620,1719825,0.4,3902,4864,2292,8626,NA,1704320,NA,NA,51.9018,52.374,NA,NA,0.472175,NA,TRUE,1704320,-0.0000176023,NA,NA,0.901545
1980,"Missouri","MO",NA,2099824,3571609,0.7,5726,17400,2395,16821,NA,3529787,NA,NA,58.7921,59.4887,NA,NA,0.696587,NA,TRUE,3529787,-0.00000745087,NA,NA,1.17096
1980,"Montana","MT",371976,363952,559165,0.7,739,0,0,739,NA,554512,67.08,66.52,65.0885,65.6346,66.5235,67.0817,0.546168,0.558209,TRUE,554512,-0.0000279525,0.00168624,0.00347697,0.832134
1980,"Nebraska","NE",651281,640854,1129653,0.8,1446,7980,292,5728,NA,1114888,58.42,57.65,56.7302,57.4815,57.6532,58.4167,0.751305,0.763529,TRUE,1114888,-0.0000200917,-0.00328011,0.00319085,1.30704
1980,"Nevada","NV",297318,247885,602463,4,1839,4989,1052,5386,NA,572978,51.89,49.35,41.1453,43.2626,49.3504,51.89,2.1173,2.53953,TRUE,572978,0.0000837728,-0.0000496005,0.00041654,4.89408
1980,"New Hampshire","NH",402415,383990,671558,1.6,326,0,0,326,NA,660487,60.93,59.92,57.179,58.1374,59.9226,60.927,0.958427,1.00442,TRUE,660487,0.000010901,-0.00298705,0.0025979,1.64855
1980,"New Jersey","NJ",2999879,2975684,5420255,4.9,5884,29239,8911,29415,NA,5125248,58.53,55.35,54.8993,58.0593,55.3457,58.5314,3.15998,3.18567,TRUE,5125248,-0.00000965807,0.00139204,-0.00428287,5.44268
1980,"New Mexico","NM",464848,456971,897946,2.3,1279,2794,884,3560,NA,873733,53.2,51.77,50.8907,52.301,51.7679,53.2025,1.41029,1.4346,TRUE,873733,0.0000276972,0.00252297,-0.00207632,2.69649
