"state_a","state_b","vap_a","vap_b","vep_a","vep_b","swing"
"California","West Virginia",52.7418,54.413,62.2618,55.5574,8.37552
"California","Alabama",52.7418,56.4584,62.2618,58.6957,7.2827
"California","Wyoming",52.7418,58.969,62.2618,61.232,7.25701
"Texas","West Virginia",48.4825,54.413,56.8321,55.5574,7.20511
"California","Mississippi",52.7418,55.1014,62.2618,57.751,6.87035
"California","Indiana",52.7418,55.9378,62.2618,59.0473,6.41048
"New Jersey","Ohio",58.9582,63.1814,67.5127,65.3969,6.33896
"New Jersey","Wyoming",58.9582,58.969,67.5127,61.232,6.29146
"Florida","Ohio",58.9577,63.1814,67.3962,65.3969,6.22301
"Florida","Wyoming",58.9577,58.969,67.3962,61.232,6.17552
"New Jersey","North Dakota",58.9582,61.447,67.5127,63.8895,6.11193
"California","Louisiana",52.7418,57.7312,62.2618,61.1474,6.10378
"California","Tennessee",52.7418,54.503,62.2618,57.9195,6.10344
"Florida","North Dakota",58.9577,61.447,67.3962,63.8895,5.99599
"New Jersey","Alaska",58.9582,60.8338,67.5127,63.547,5.84131
"Florida","Alaska",58.9577,60.8338,67.3962,63.547,5.72536
"New Jersey","Missouri",58.9582,61.7766,67.5127,64.6245,5.70657
"Massachusetts","Montana",61.6777,67.1807,68.4413,68.3467,5.59752
"Florida","Missouri",58.9577,61.7766,67.3962,64.6245,5.59063
"New Jersey","South Dakota",58.9582,61.533,67.5127,64.5123,5.57511
"New York","West Virginia",53.8443,54.413,60.5012,55.5574,5.51246
"New Jersey","South Carolina",58.9582,59.1685,67.5127,62.2618,5.46116
"Florida","South Dakota",58.9577,61.533,67.3962,64.5123,5.45916
"Washington","Montana",63.6235,67.1807,70.2293,68.3467,5.43981
"Nevada","Ohio",58.5547,63.1814,66.1547,65.3969,5.38452
"Florida","South Carolina",58.9577,59.1685,67.3962,62.2618,5.34522
"Nevada","Wyoming",58.5547,58.969,66.1547,61.232,5.33702
"California","New Mexico",52.7418,55.3924,62.2618,59.7122,5.20011
"Texas","Oklahoma",48.4825,50.29,56.8321,53.4641,5.17547
"Nevada","North Dakota",58.5547,61.447,66.1547,63.8895,5.15749
"Maryland","Montana",63.198,67.1807,69.4259,68.3467,5.06194
"New Jersey","Kentucky",58.9582,59.258,67.5127,62.9021,4.91034
"Nevada","Alaska",58.5547,60.8338,66.1547,63.547,4.88687
"Florida","Kentucky",58.9577,59.258,67.3962,62.9021,4.79439
"New Jersey","Kansas",58.9582,59.5295,67.5127,63.3224,4.76152
"Nevada","Missouri",58.5547,61.7766,66.1547,64.6245,4.75213
"Florida","Kansas",58.9577,59.5295,67.3962,63.3224,4.64558
"Nevada","South Dakota",58.5547,61.533,66.1547,64.5123,4.62067
"Massachusetts","Ohio",61.6777,63.1814,68.4413,65.3969,4.54803
"Virginia","Vermont",65.8445,69.6481,71.4594,70.7472,4.51587
"Nevada","South Carolina",58.5547,59.1685,66.1547,62.2618,4.50672
"Georgia","Ohio",61.258,63.1814,67.9661,65.3969,4.49267
"Virginia","Montana",65.8445,67.1807,71.4594,68.3467,4.4489
"New York","Alabama",53.8443,56.4584,60.5012,58.6957,4.41963
"Georgia","North Dakota",61.258,61.447,67.9661,63.8895,4.26564
"New Jersey","Idaho",58.9582,59.8573,67.5127,64.1758,4.23595
"District of Columbia","Wyoming",58.5335,58.969,64.941,61.232,4.14454
"Florida","Idaho",58.9577,59.8573,67.3962,64.1758,4.12
"Texas","Arkansas",48.4825,49.7607,56.8321,54.0554,4.05494
"Arizona","Wyoming",57.6008,58.969,63.8777,61.232,4.01391
"New York","Mississippi",53.8443,55.1014,60.5012,57.751,4.00728
"District of Columbia","North Dakota",58.5335,61.447,64.941,63.8895,3.96501
"Nevada","Kentucky",58.5547,59.258,66.1547,62.9021,3.9559
"Massachusetts","Missouri",61.6777,61.7766,68.4413,64.6245,3.91565
"Georgia","Missouri",61.258,61.7766,67.9661,64.6245,3.86029
"New Jersey","Delaware",58.9582,62.0293,67.5127,66.7758,3.80793
"Nevada","Kansas",58.5547,59.5295,66.1547,63.3224,3.80708
"New Jersey","Utah",58.9582,59.9522,67.5127,64.7121,3.79451
"Colorado","Vermont",68.5503,69.6481,73.4011,70.7472,3.75174
"Georgia","South Dakota",61.258,61.533,67.9661,64.5123,3.72882
"District of Columbia","Alaska",58.5335,60.8338,64.941,63.547,3.69439
"Florida","Delaware",58.9577,62.0293,67.3962,66.7758,3.69198
"Florida","Utah",58.9577,59.9522,67.3962,64.7121,3.67857
"Nebraska","Montana",63.8,67.1807,68.6101,68.3467,3.64403
"Arizona","Alaska",57.6008,60.8338,63.8777,63.547,3.56376
"District of Columbia","Missouri",58.5335,61.7766,64.941,64.6245,3.55965
"New York","Indiana",53.8443,55.9378,60.5012,59.0473,3.54741
"North Carolina","Montana",65.9856,67.1807,70.6469,68.3467,3.49533
"District of Columbia","South Dakota",58.5335,61.533,64.941,64.5123,3.42819
"Illinois","Wyoming",57.8484,58.969,63.5149,61.232,3.4036
"Connecticut","Ohio",61.4141,63.1814,66.9992,65.3969,3.36957
"District of Columbia","South Carolina",58.5335,59.1685,64.941,62.2618,3.31424
"Nevada","Idaho",58.5547,59.8573,66.1547,64.1758,3.28151
"New York","Tennessee",53.8443,54.503,60.5012,57.9195,3.24037
"Arizona","South Carolina",57.6008,59.1685,63.8777,62.2618,3.18361
"Connecticut","North Dakota",61.4141,61.447,66.9992,63.8895,3.14254
"Oregon","Vermont",67.6487,69.6481,71.8744,70.7472,3.1266
"New Jersey","Connecticut",58.9582,61.4141,67.5127,66.9992,2.96939
"California","New York",52.7418,53.8443,62.2618,60.5012,2.86307
"Arizona","Louisiana",57.6008,57.7312,63.8777,61.1474,2.86068
"Florida","Connecticut",58.9577,61.4141,67.3962,66.9992,2.85344
"Nevada","Utah",58.5547,59.9522,66.1547,64.7121,2.84007
"District of Columbia","Kentucky",58.5335,59.258,64.941,62.9021,2.76342
"Rhode Island","Wyoming",58.3163,58.969,63.323,61.232,2.74375
"Connecticut","Missouri",61.4141,61.7766,66.9992,64.6245,2.73719
"Iowa","Vermont",67.1964,69.6481,70.9528,70.7472,2.65734
"Arizona","Kentucky",57.6008,59.258,63.8777,62.9021,2.63279
"District of Columbia","Kansas",58.5335,59.5295,64.941,63.3224,2.6146
"Connecticut","South Dakota",61.4141,61.533,66.9992,64.5123,2.60572
"Illinois","South Carolina",57.8484,59.1685,63.5149,62.2618,2.5733
"Virginia","Pennsylvania",65.8445,68.3552,71.4594,71.437,2.53307
"Delaware","Ohio",62.0293,63.1814,66.7758,65.3969,2.53103
"Arizona","Kansas",57.6008,59.5295,63.8777,63.3224,2.48397
"New York","New Mexico",53.8443,55.3924,60.5012,59.7122,2.33704
"Utah","North Dakota",59.9522,61.447,64.7121,63.8895,2.31742
"District of Columbia","Idaho",58.5335,59.8573,64.941,64.1758,2.08902
"New Mexico","Alabama",55.3924,56.4584,59.7122,58.6957,2.08259
"Utah","Alaska",59.9522,60.8338,64.7121,63.547,2.0468
"Illinois","Kentucky",57.8484,59.258,63.5149,62.9021,2.02248
"Massachusetts","Delaware",61.6777,62.0293,68.4413,66.7758,2.01701
"Pennsylvania","Vermont",68.3552,69.6481,71.437,70.7472,1.9828
"Georgia","Delaware",61.258,62.0293,67.9661,66.7758,1.96164
"Rhode Island","South Carolina",58.3163,59.1685,63.323,62.2618,1.91345
"Utah","Missouri",59.9522,61.7766,64.7121,64.6245,1.91206
"Idaho","North Dakota",59.8573,61.447,64.1758,63.8895,1.87598
"Illinois","Kansas",57.8484,59.5295,63.5149,63.3224,1.87366
"Virginia","Iowa",65.8445,67.1964,71.4594,70.9528,1.85853
"Washington","Nebraska",63.6235,63.8,70.2293,68.6101,1.79578
"Utah","South Dakota",59.9522,61.533,64.7121,64.5123,1.7806
"District of Columbia","Utah",58.5335,59.9522,64.941,64.7121,1.64759
"Idaho","Alaska",59.8573,60.8338,64.1758,63.547,1.60536
"Maryland","Nebraska",63.198,63.8,69.4259,68.6101,1.41791
"Rhode Island","Kentucky",58.3163,59.258,63.323,62.9021,1.36263
"Michigan","Maine",71.6968,72.7596,74.8469,74.5489,1.36072
"Arizona","Rhode Island",57.6008,58.3163,63.8777,63.323,1.27016
"Rhode Island","Kansas",58.3163,59.5295,63.323,63.3224,1.21381
"New Mexico","Indiana",55.3924,55.9378,59.7122,59.0473,1.21037
"Michigan","New Hampshire",71.6968,71.7767,74.8469,73.7445,1.18227
"Oregon","Pennsylvania",67.6487,68.3552,71.8744,71.437,1.1438
"Georgia","Connecticut",61.258,61.4141,67.9661,66.9992,1.1231
"Arkansas","Oklahoma",49.7607,50.29,54.0554,53.4641,1.12053
"Virginia","North Carolina",65.8445,65.9856,71.4594,70.6469,0.953577
"Indiana","Alabama",55.9378,56.4584,59.0473,58.6957,0.87222
"Connecticut","Delaware",61.4141,62.0293,66.9992,66.7758,0.838544
"Tennessee","Mississippi",54.503,55.1014,57.9195,57.751,0.766908
"Illinois","Rhode Island",57.8484,58.3163,63.5149,63.323,0.659851
"Arizona","Illinois",57.6008,57.8484,63.8777,63.5149,0.610312
