"year","n"
1900,4
1901,21
1902,13
1903,15
1904,27
1905,22
1906,17
1907,16
1908,29
1909,27
1910,27
1911,38
1912,64
1913,57
1914,86
1915,103
1916,152
1917,201
1918,230
1919,349
1920,433
1921,623
1922,786
1923,1130
1924,1521
1925,1989
1926,2630
1927,3530
1928,4334
1929,5679
1930,7186
1931,8568
1932,10207
1933,11583
1934,13595
1935,16222
1936,18426
1937,21568
1938,24252
1939,26536
1940,29309
1941,33678
1942,41777
1943,43672
1944,43108
1945,46825
1946,58265
1947,66472
1948,64823
1949,66788
1950,69826
1951,73781
1952,79403
1953,81898
1954,88119
1955,92606
1956,97853
1957,102585
1958,105010
1959,107068
1960,110237
1961,112365
1962,112493
1963,114474
1964,114938
1965,112028
1966,109160
1967,106751
1968,106871
1969,107765
1970,110997
1971,106214
1972,99157
1973,96500
1974,96891
1975,96162
1976,96565
1977,98984
1978,99086
1979,100755
1980,101392
1981,101921
1982,104183
1983,103245
1984,104492
1985,107242
1986,108902
1987,111499
1988,115390
1989,118195
1990,119396
1991,115690
1992,115023
1993,113882
1994,113286
1995,111169
1996,109831
1997,109026
1998,110728
1999,108897
2000,109084
2001,106498
2002,103158
2003,97371
2004,90282
2005,83618
2006,79598
2007,58110
2008,28444
2009,659
