"n","p","pmine","pairs","certain"
1,0,0,0,FALSE
2,0.00273973,0.00273973,1,FALSE
3,0.00820417,0.00547195,3,FALSE
4,0.0163559,0.00819668,6,FALSE
5,0.0271356,0.0109139,10,FALSE
6,0.0404625,0.0136238,15,FALSE
7,0.0562357,0.0163262,21,FALSE
8,0.0743353,0.0190212,28,FALSE
9,0.0946238,0.0217088,36,FALSE
10,0.116948,0.024389,45,FALSE
11,0.141141,0.0270619,55,FALSE
12,0.167025,0.0297275,66,FALSE
13,0.19441,0.0323858,78,FALSE
14,0.223103,0.0350368,91,FALSE
15,0.252901,0.0376805,105,FALSE
16,0.283604,0.040317,120,FALSE
17,0.315008,0.0429463,136,FALSE
18,0.346911,0.0455684,153,FALSE
19,0.379119,0.0481832,171,FALSE
20,0.411438,0.050791,190,FALSE
21,0.443688,0.0533915,210,FALSE
22,0.475695,0.055985,231,FALSE
23,0.507297,0.0585713,253,FALSE
24,0.538344,0.0611506,276,FALSE
25,0.5687,0.0637228,300,FALSE
26,0.598241,0.0662879,325,FALSE
27,0.626859,0.068846,351,FALSE
28,0.654461,0.0713971,378,FALSE
29,0.680969,0.0739413,406,FALSE
30,0.706316,0.0764784,435,FALSE
31,0.730455,0.0790086,465,FALSE
32,0.753348,0.0815319,496,FALSE
33,0.774972,0.0840482,528,FALSE
34,0.795317,0.0865577,561,FALSE
35,0.814383,0.0890603,595,FALSE
36,0.832182,0.091556,630,FALSE
37,0.848734,0.0940449,666,FALSE
38,0.864068,0.0965269,703,FALSE
39,0.87822,0.0990022,741,FALSE
40,0.891232,0.101471,780,FALSE
41,0.903152,0.103932,820,FALSE
42,0.91403,0.106387,861,FALSE
43,0.923923,0.108836,903,FALSE
44,0.932885,0.111277,946,FALSE
45,0.940976,0.113712,990,FALSE
46,0.948253,0.11614,1035,FALSE
47,0.954774,0.118562,1081,FALSE
48,0.960598,0.120977,1128,FALSE
49,0.96578,0.123385,1176,FALSE
50,0.970374,0.125787,1225,FALSE
51,0.974432,0.128182,1275,FALSE
52,0.978005,0.13057,1326,FALSE
53,0.981138,0.132952,1378,FALSE
54,0.983877,0.135328,1431,FALSE
55,0.986262,0.137697,1485,FALSE
56,0.988332,0.140059,1540,FALSE
57,0.990122,0.142415,1596,FALSE
58,0.991665,0.144765,1653,FALSE
59,0.992989,0.147108,1711,FALSE
60,0.994123,0.149445,1770,FALSE
61,0.995089,0.151775,1830,FALSE
62,0.99591,0.154099,1891,FALSE
63,0.996604,0.156416,1953,FALSE
64,0.99719,0.158727,2016,FALSE
65,0.997683,0.161032,2080,FALSE
66,0.998096,0.163331,2145,FALSE
67,0.99844,0.165623,2211,FALSE
68,0.998726,0.167909,2278,FALSE
69,0.998964,0.170189,2346,FALSE
70,0.99916,0.172462,2415,FALSE
71,0.999321,0.174729,2485,FALSE
72,0.999453,0.17699,2556,FALSE
73,0.999561,0.179245,2628,FALSE
74,0.999649,0.181494,2701,FALSE
75,0.99972,0.183736,2775,FALSE
76,0.999777,0.185973,2850,FALSE
77,0.999824,0.188203,2926,FALSE
78,0.999861,0.190427,3003,FALSE
79,0.999891,0.192645,3081,FALSE
80,0.999914,0.194857,3160,FALSE
81,0.999933,0.197063,3240,FALSE
82,0.999948,0.199263,3321,FALSE
83,0.99996,0.201457,3403,FALSE
84,0.999969,0.203644,3486,FALSE
85,0.999976,0.205826,3570,FALSE
86,0.999982,0.208002,3655,FALSE
87,0.999986,0.210172,3741,FALSE
88,0.999989,0.212336,3828,FALSE
89,0.999992,0.214494,3916,FALSE
90,0.999994,0.216646,4005,FALSE
91,0.999995,0.218792,4095,FALSE
92,0.999997,0.220932,4186,FALSE
93,0.999997,0.223067,4278,FALSE
94,0.999998,0.225195,4371,FALSE
95,0.999999,0.227318,4465,FALSE
96,0.999999,0.229435,4560,FALSE
97,0.999999,0.231546,4656,FALSE
98,0.999999,0.233651,4753,FALSE
99,1,0.235751,4851,FALSE
100,1,0.237845,4950,FALSE
101,1,0.239933,5050,FALSE
102,1,0.242015,5151,FALSE
103,1,0.244092,5253,FALSE
104,1,0.246163,5356,FALSE
105,1,0.248228,5460,FALSE
106,1,0.250288,5565,FALSE
107,1,0.252342,5671,FALSE
108,1,0.25439,5778,FALSE
109,1,0.256433,5886,FALSE
110,1,0.25847,5995,FALSE
111,1,0.260502,6105,FALSE
112,1,0.262528,6216,FALSE
113,1,0.264548,6328,FALSE
114,1,0.266563,6441,FALSE
115,1,0.268573,6555,FALSE
116,1,0.270577,6670,FALSE
117,1,0.272575,6786,FALSE
118,1,0.274568,6903,FALSE
119,1,0.276555,7021,FALSE
120,1,0.278537,7140,FALSE
121,1,0.280514,7260,FALSE
122,1,0.282485,7381,FALSE
123,1,0.284451,7503,FALSE
124,1,0.286411,7626,FALSE
125,1,0.288367,7750,FALSE
126,1,0.290316,7875,FALSE
127,1,0.292261,8001,FALSE
128,1,0.2942,8128,FALSE
129,1,0.296133,8256,FALSE
130,1,0.298062,8385,FALSE
131,1,0.299985,8515,FALSE
132,1,0.301903,8646,FALSE
133,1,0.303815,8778,FALSE
134,1,0.305723,8911,FALSE
135,1,0.307625,9045,FALSE
136,1,0.309522,9180,FALSE
137,1,0.311413,9316,FALSE
138,1,0.3133,9453,FALSE
139,1,0.315181,9591,FALSE
140,1,0.317057,9730,FALSE
141,1,0.318929,9870,FALSE
142,1,0.320794,10011,FALSE
143,1,0.322655,10153,FALSE
144,1,0.324511,10296,FALSE
145,1,0.326362,10440,FALSE
146,1,0.328207,10585,FALSE
147,1,0.330048,10731,FALSE
148,1,0.331883,10878,FALSE
149,1,0.333714,11026,FALSE
150,1,0.335539,11175,FALSE
151,1,0.33736,11325,FALSE
152,1,0.339175,11476,FALSE
153,1,0.340986,11628,FALSE
154,1,0.342791,11781,FALSE
155,1,0.344592,11935,FALSE
156,1,0.346387,12090,FALSE
157,1,0.348178,12246,FALSE
158,1,0.349964,12403,FALSE
159,1,0.351745,12561,FALSE
160,1,0.353521,12720,FALSE
161,1,0.355292,12880,FALSE
162,1,0.357058,13041,FALSE
163,1,0.35882,13203,FALSE
164,1,0.360576,13366,FALSE
165,1,0.362328,13530,FALSE
166,1,0.364075,13695,FALSE
167,1,0.365818,13861,FALSE
168,1,0.367555,14028,FALSE
169,1,0.369288,14196,FALSE
170,1,0.371016,14365,FALSE
171,1,0.372739,14535,FALSE
172,1,0.374458,14706,FALSE
173,1,0.376171,14878,FALSE
174,1,0.37788,15051,FALSE
175,1,0.379585,15225,FALSE
176,1,0.381285,15400,FALSE
177,1,0.38298,15576,FALSE
178,1,0.38467,15753,FALSE
179,1,0.386356,15931,FALSE
180,1,0.388037,16110,FALSE
181,1,0.389714,16290,FALSE
182,1,0.391386,16471,FALSE
183,1,0.393053,16653,FALSE
184,1,0.394716,16836,FALSE
185,1,0.396375,17020,FALSE
186,1,0.398028,17205,FALSE
187,1,0.399678,17391,FALSE
188,1,0.401322,17578,FALSE
189,1,0.402963,17766,FALSE
190,1,0.404598,17955,FALSE
191,1,0.406229,18145,FALSE
192,1,0.407856,18336,FALSE
193,1,0.409479,18528,FALSE
194,1,0.411096,18721,FALSE
195,1,0.41271,18915,FALSE
196,1,0.414319,19110,FALSE
197,1,0.415923,19306,FALSE
198,1,0.417524,19503,FALSE
199,1,0.419119,19701,FALSE
200,1,0.420711,19900,FALSE
201,1,0.422298,20100,FALSE
202,1,0.423881,20301,FALSE
203,1,0.425459,20503,FALSE
204,1,0.427033,20706,FALSE
205,1,0.428603,20910,FALSE
206,1,0.430169,21115,FALSE
207,1,0.43173,21321,FALSE
208,1,0.433287,21528,FALSE
209,1,0.434839,21736,FALSE
210,1,0.436388,21945,FALSE
211,1,0.437932,22155,FALSE
212,1,0.439472,22366,FALSE
213,1,0.441007,22578,FALSE
214,1,0.442539,22791,FALSE
215,1,0.444066,23005,FALSE
216,1,0.445589,23220,FALSE
217,1,0.447108,23436,FALSE
218,1,0.448623,23653,FALSE
219,1,0.450134,23871,FALSE
220,1,0.45164,24090,FALSE
221,1,0.453142,24310,FALSE
222,1,0.454641,24531,FALSE
223,1,0.456135,24753,FALSE
224,1,0.457625,24976,FALSE
225,1,0.459111,25200,FALSE
226,1,0.460593,25425,FALSE
227,1,0.462071,25651,FALSE
228,1,0.463544,25878,FALSE
229,1,0.465014,26106,FALSE
230,1,0.46648,26335,FALSE
231,1,0.467941,26565,FALSE
232,1,0.469399,26796,FALSE
233,1,0.470853,27028,FALSE
234,1,0.472303,27261,FALSE
235,1,0.473748,27495,FALSE
236,1,0.47519,27730,FALSE
237,1,0.476628,27966,FALSE
238,1,0.478062,28203,FALSE
239,1,0.479492,28441,FALSE
240,1,0.480918,28680,FALSE
241,1,0.48234,28920,FALSE
242,1,0.483758,29161,FALSE
243,1,0.485173,29403,FALSE
244,1,0.486583,29646,FALSE
245,1,0.48799,29890,FALSE
246,1,0.489392,30135,FALSE
247,1,0.490791,30381,FALSE
248,1,0.492187,30628,FALSE
249,1,0.493578,30876,FALSE
250,1,0.494965,31125,FALSE
251,1,0.496349,31375,FALSE
252,1,0.497729,31626,FALSE
253,1,0.499105,31878,FALSE
254,1,0.500477,32131,FALSE
255,1,0.501846,32385,FALSE
256,1,0.503211,32640,FALSE
257,1,0.504572,32896,FALSE
258,1,0.505929,33153,FALSE
259,1,0.507283,33411,FALSE
260,1,0.508632,33670,FALSE
261,1,0.509979,33930,FALSE
262,1,0.511321,34191,FALSE
263,1,0.51266,34453,FALSE
264,1,0.513995,34716,FALSE
265,1,0.515327,34980,FALSE
266,1,0.516655,35245,FALSE
267,1,0.517979,35511,FALSE
268,1,0.519299,35778,FALSE
269,1,0.520616,36046,FALSE
270,1,0.52193,36315,FALSE
271,1,0.52324,36585,FALSE
272,1,0.524546,36856,FALSE
273,1,0.525848,37128,FALSE
274,1,0.527147,37401,FALSE
275,1,0.528443,37675,FALSE
276,1,0.529735,37950,FALSE
277,1,0.531023,38226,FALSE
278,1,0.532308,38503,FALSE
279,1,0.533589,38781,FALSE
280,1,0.534867,39060,FALSE
281,1,0.536142,39340,FALSE
282,1,0.537413,39621,FALSE
283,1,0.53868,39903,FALSE
284,1,0.539944,40186,FALSE
285,1,0.541204,40470,FALSE
286,1,0.542461,40755,FALSE
287,1,0.543715,41041,FALSE
288,1,0.544965,41328,FALSE
289,1,0.546211,41616,FALSE
290,1,0.547455,41905,FALSE
291,1,0.548695,42195,FALSE
292,1,0.549931,42486,FALSE
293,1,0.551164,42778,FALSE
294,1,0.552394,43071,FALSE
295,1,0.55362,43365,FALSE
296,1,0.554843,43660,FALSE
297,1,0.556063,43956,FALSE
298,1,0.557279,44253,FALSE
299,1,0.558492,44551,FALSE
300,1,0.559701,44850,FALSE
301,1,0.560908,45150,FALSE
302,1,0.562111,45451,FALSE
303,1,0.56331,45753,FALSE
304,1,0.564507,46056,FALSE
305,1,0.5657,46360,FALSE
306,1,0.56689,46665,FALSE
307,1,0.568076,46971,FALSE
