"label","note","keys","dup_keys","flagged","pct","pairs","max_group"
"first + last name","no date of any kind",4763545,652532,2546122,38.2465,18421684,695
"last name + full date of birth","first name ignored",6362826,242477,536786,8.06332,398345,75
"first + last name + birth year","the coarsest key a Georgia-style public file allows",6394943,190835,453027,6.80513,398104,22
"first initial + last name + full date of birth","a fuzzy key: first name abbreviated to its initial",6614960,39011,81186,1.21953,46720,15
"first + last name + full date of birth","the Crosscheck key",6653955,3149,6329,0.0950709,3212,4
"first + last name + full date of birth + middle initial","Crosscheck's own tightening",6655700,1424,2859,0.0429464,1447,4
