"year","seats","contested","uncontested","mean","median","sd","p25","p75","within5","within10","peak_dem","peak_rep","band_40_45","band_45_50","band_50_55"
1946,435,347,88,46.86,44.2,14.83,36.55,53.85,25.94,46.97,55.31,41.76,57,56,33
1948,435,346,89,54.43,52,14.48,44.23,62.88,32.66,56.07,55.2,46.87,42,61,52
1950,435,331,104,50.08,47.4,14.24,39.15,58.85,27.19,49.85,58.19,44.23,50,51,39
1952,435,337,98,47.9,45.2,14.07,37.4,55.6,24.63,47.18,54.09,39.4,53,40,42
1954,435,344,91,51.24,47.4,13.74,40.9,60.18,27.33,52.33,57.71,45.18,61,62,30
1956,435,358,77,49.86,47.3,13.64,39.3,59.18,24.58,50.28,54.23,43.27,61,39,49
1958,436,335,101,54.95,51.4,13.91,44.25,64.85,31.04,51.34,63.62,46.21,48,61,43
1960,437,356,81,53.54,50.65,13.95,42.4,62.82,24.16,53.65,57.07,41.88,65,46,40
1962,435,372,63,52.16,51.6,13.91,40.48,62.58,19.89,47.85,56.17,40.09,57,34,40
1964,435,390,45,57.07,54.55,13.94,45.3,67.6,27.69,48.46,65.96,44.23,57,46,60
1966,435,376,59,50.25,50.85,15.59,35.8,61.62,19.15,39.36,58.29,33.48,22,40,32
1968,435,385,50,50.78,52.1,16.5,36,62.8,16.88,34.81,56.32,34.47,33,25,38
1970,435,372,63,53.24,52.05,17.11,38.18,68.5,14.52,31.72,70.28,34.87,37,30,23
1972,435,380,55,51.82,51.85,17.14,37.08,65.35,13.95,31.84,62.91,36.15,36,30,23
1974,435,375,60,57.2,55.4,16.18,44.95,70.6,24.27,43.2,71.79,45.76,38,49,42
1976,435,383,52,56.21,56.5,17.37,42.3,70.8,17.23,35.25,70.82,34.35,30,23,43
1978,435,365,70,54.54,55.3,17.61,41.4,67.8,18.08,35.07,60.16,35.34,28,23,42
1980,435,380,55,51.85,52.1,18.9,37.4,67.85,18.68,34.74,69,44.99,30,39,31
1982,435,378,57,54.61,54.4,16.99,41.28,67.33,18.78,36.51,63.82,43.96,37,33,38
1984,435,367,68,50.54,52.9,18.39,34.3,64.4,14.99,30.52,61.13,26.57,19,24,31
1986,435,360,75,53.78,54.95,19.52,35.58,71.23,12.5,23.33,71.64,28.86,21,23,21
1988,435,354,81,52.71,56.4,19.72,33,69.47,9.32,18.64,69.36,27.61,18,15,18
1990,435,349,86,55.03,57.86,16.04,40.74,66.43,14.33,31.23,62.48,35.61,25,23,27
1992,435,401,34,53.77,54.26,15.38,41.64,65.91,20.2,40.4,55.99,42.29,37,35,46
1994,435,382,53,49.33,49.52,16.29,35.4,61.2,22.25,40.84,57.78,29.51,31,41,44
1996,435,408,27,51.18,49.11,17.38,37.02,64.87,18.87,36.76,56.29,36.91,36,43,34
1998,435,340,95,52.24,51.34,18.41,36.16,66.79,12.35,33.82,58.62,35.44,33,23,19
2000,435,370,65,51.86,49.28,19.32,34.3,68.58,11.35,25.68,69.47,31.9,31,23,19
2002,435,352,83,49.91,47.43,18.73,32.63,67.07,10.23,20.45,68.11,30.52,19,17,19
2004,435,366,69,51.28,45.1,18.25,35.02,67.35,6.01,20.49,67.11,34.47,35,12,10
2006,435,376,59,53.33,49.9,17.08,38.85,68.25,15.96,32.18,68.73,39.31,48,32,28
2008,435,379,56,55.3,55.5,17.44,39.7,69.1,12.66,30.87,67.76,37.68,38,24,22
2010,435,408,27,49.46,47.8,17.15,34.2,61.45,20.34,37.99,56.5,32.31,35,44,39
2012,435,387,48,51.68,47.3,17.13,38.25,65.75,15.76,36.69,66.68,40.29,60,30,31
2014,435,358,77,47.26,41.95,16.61,34.15,59.7,12.85,31.56,57.45,36.09,36,15,28
2016,435,371,64,49.53,43.14,17.57,35.86,64.16,8.63,28.84,63.48,39.62,52,15,17
2018,435,392,43,52.26,50.03,16.37,39.66,64.24,22.19,42.6,55.91,45.03,48,48,39
2020,435,408,27,51.15,49.99,16.79,38.02,63.49,18.14,36.52,59.64,39.62,40,37,37
2022,435,400,35,50.13,50.14,16.36,35.87,62.87,18.25,36,55.62,35.03,30,32,41
2024,435,397,38,49.82,49.62,15.67,36.39,62.05,16.88,37.28,55.49,35.62,40,22,45
