"state","codes_with_no_ground","codes_in_state","share_of_state"
"CA",791,2593,30.5
"TX",610,2600,23.5
"(none)",509,509,100
"FL",460,1473,31.2
"PA",343,2176,15.8
"NY",328,2154,15.2
"VA",311,1214,25.6
"NC",228,1081,21.1
"DC",220,277,79.4
"GA",201,952,21.1
"OH",183,1416,12.9
"LA",180,719,25
"IL",179,1575,11.4
"MI",167,1159,14.4
"KY",166,946,17.5
"IN",161,968,16.6
"AL",155,811,19.1
"TN",149,785,19
"MA",146,685,21.3
"CT",141,429,32.9
"MD",128,605,21.2
"NJ",125,723,17.3
"MO",122,1157,10.5
"CO",118,645,18.3
"AZ",113,530,21.3
"WI",113,896,12.6
"WV",113,851,13.3
"MN",111,992,11.2
"WA",111,716,15.5
"SC",110,534,20.6
"MS",104,531,19.6
"OK",101,765,13.2
"AR",91,706,12.9
"IA",85,1055,8.1
"NV",73,254,28.7
"ME",59,485,12.2
"NM",56,427,13.1
"OR",53,481,11
"UT",49,347,14.1
"KS",44,748,5.9
"VT",43,308,14
"ID",41,320,12.8
"HI",40,137,29.2
"MT",35,404,8.7
"NE",34,620,5.5
"NH",34,281,12.1
"AK",28,273,10.3
"DE",28,96,29.2
"ND",19,407,4.7
"WY",16,195,8.2
"SD",10,385,2.6
"RI",9,90,10
"MH",2,2,100
