"place","name","threshold","touching","wholly_inside","pop"
"0636770","Irvine","0%",15,3,308160
"0636770","Irvine","1%",11,3,308160
"0636770","Irvine","5%",10,3,308160
"4261000","Pittsburgh","0%",33,13,303620
"4261000","Pittsburgh","1%",32,13,303620
"4261000","Pittsburgh","5%",30,13,303620
