"lev","uid","part","x","y","code"
"b",1,1,12.415,9.414,"15213"
"b",1,1,12.412,9.441,"15213"
"b",1,1,12.41,9.45,"15213"
"b",1,1,12.409,9.459,"15213"
"b",1,1,12.407,9.488,"15213"
"b",1,1,12.406,9.497,"15213"
"b",1,1,12.409,9.497,"15213"
"b",1,1,12.417,9.498,"15213"
"b",1,1,12.42,9.498,"15213"
"b",1,1,12.436,9.499,"15213"
"b",1,1,12.48,9.501,"15213"
"b",1,1,12.484,9.5,"15213"
"b",1,1,12.5,9.499,"15213"
"b",1,1,12.505,9.498,"15213"
"b",1,1,12.509,9.497,"15213"
"b",1,1,12.535,9.492,"15213"
"b",1,1,12.544,9.49,"15213"
"b",1,1,12.552,9.488,"15213"
"b",1,1,12.56,9.486,"15213"
"b",1,1,12.561,9.421,"15213"
"b",1,1,12.553,9.42,"15213"
"b",1,1,12.518,9.416,"15213"
"b",1,1,12.513,9.416,"15213"
"b",1,1,12.503,9.414,"15213"
"b",1,1,12.499,9.413,"15213"
"b",1,1,12.494,9.413,"15213"
"b",1,1,12.478,9.411,"15213"
"b",1,1,12.476,9.411,"15213"
"b",1,1,12.432,9.406,"15213"
"b",1,1,12.416,9.405,"15213"
"b",1,1,12.415,9.414,"15213"
"b",2,1,12.925,10.166,"15213"
"b",2,1,12.94,10.174,"15213"
"b",2,1,12.969,10.189,"15213"
"b",2,1,12.984,10.197,"15213"
"b",2,1,12.995,10.204,"15213"
"b",2,1,12.999,10.206,"15213"
"b",2,1,13.02,10.176,"15213"
"b",2,1,13.035,10.149,"15213"
"b",2,1,13.001,10.099,"15213"
"b",2,1,12.999,10.096,"15213"
"b",2,1,12.993,10.088,"15213"
"b",2,1,12.991,10.085,"15213"
"b",2,1,12.986,10.091,"15213"
"b",2,1,12.971,10.107,"15213"
"b",2,1,12.969,10.109,"15213"
"b",2,1,12.966,10.109,"15213"
"b",2,1,12.963,10.109,"15213"
"b",2,1,12.96,10.108,"15213"
"b",2,1,12.959,10.108,"15213"
"b",2,1,12.957,10.107,"15213"
"b",2,1,12.954,10.106,"15213"
"b",2,1,12.952,10.104,"15213"
"b",2,1,12.939,10.139,"15213"
"b",2,1,12.938,10.141,"15213"
"b",2,1,12.931,10.154,"15213"
"b",2,1,12.925,10.166,"15213"
"b",3,1,12.817,10.049,"15213"
"b",3,1,12.858,10.109,"15213"
"b",3,1,12.846,10.126,"15213"
"b",3,1,12.862,10.134,"15213"
"b",3,1,12.909,10.158,"15213"
"b",3,1,12.912,10.16,"15213"
"b",3,1,12.925,10.166,"15213"
"b",3,1,12.931,10.154,"15213"
"b",3,1,12.938,10.141,"15213"
"b",3,1,12.939,10.139,"15213"
"b",3,1,12.952,10.104,"15213"
"b",3,1,12.947,10.095,"15213"
"b",3,1,12.94,10.086,"15213"
"b",3,1,12.859,9.971,"15213"
"b",3,1,12.853,9.983,"15213"
"b",3,1,12.84,10.003,"15213"
"b",3,1,12.821,10.041,"15213"
"b",3,1,12.817,10.049,"15213"
"b",4,1,12.859,9.971,"15213"
"b",4,1,12.94,10.086,"15213"
"b",4,1,12.947,10.095,"15213"
"b",4,1,12.952,10.104,"15213"
"b",4,1,12.954,10.106,"15213"
"b",4,1,12.957,10.107,"15213"
"b",4,1,12.959,10.108,"15213"
"b",4,1,12.96,10.108,"15213"
"b",4,1,12.963,10.109,"15213"
"b",4,1,12.966,10.109,"15213"
"b",4,1,12.969,10.109,"15213"
"b",4,1,12.971,10.107,"15213"
"b",4,1,12.986,10.091,"15213"
"b",4,1,12.991,10.085,"15213"
"b",4,1,12.97,10.055,"15213"
"b",4,1,12.954,10.032,"15213"
"b",4,1,12.906,9.964,"15213"
"b",4,1,12.884,9.933,"15213"
"b",4,1,12.879,9.938,"15213"
"b",4,1,12.878,9.939,"15213"
"b",4,1,12.872,9.946,"15213"
"b",4,1,12.863,9.962,"15213"
"b",4,1,12.859,9.971,"15213"
"b",5,1,12.884,9.933,"15213"
"b",5,1,12.906,9.964,"15213"
"b",5,1,12.954,10.032,"15213"
"b",5,1,12.97,10.055,"15213"
"b",5,1,12.991,10.085,"15213"
"b",5,1,12.993,10.088,"15213"
"b",5,1,12.999,10.096,"15213"
"b",5,1,13.001,10.099,"15213"
"b",5,1,13.007,10.068,"15213"
"b",5,1,13.009,10.06,"15213"
"b",5,1,13.012,10.037,"15213"
"b",5,1,13.01,10.031,"15213"
"b",5,1,12.967,9.969,"15213"
"b",5,1,12.966,9.967,"15213"
"b",5,1,12.965,9.959,"15213"
"b",5,1,12.973,9.932,"15213"
"b",5,1,12.958,9.926,"15213"
"b",5,1,12.914,9.908,"15213"
"b",5,1,12.899,9.902,"15213"
"b",5,1,12.897,9.909,"15213"
"b",5,1,12.889,9.926,"15213"
"b",5,1,12.888,9.928,"15213"
"b",5,1,12.884,9.933,"15213"
"b",6,1,12.966,9.967,"15213"
"b",6,1,12.967,9.969,"15213"
"b",6,1,13.01,10.031,"15213"
"b",6,1,13.012,10.037,"15213"
"b",6,1,13.009,10.06,"15213"
"b",6,1,13.007,10.068,"15213"
"b",6,1,13.001,10.099,"15213"
"b",6,1,13.035,10.149,"15213"
"b",6,1,13.039,10.138,"15213"
"b",6,1,13.065,10.023,"15213"
"b",6,1,13.057,10.012,"15213"
"b",6,1,13.049,10,"15213"
"b",6,1,13.011,9.946,"15213"
"b",6,1,12.996,9.94,"15213"
"b",6,1,12.973,9.932,"15213"
"b",6,1,12.965,9.959,"15213"
"b",6,1,12.966,9.967,"15213"
"b",7,1,12.899,9.902,"15213"
"b",7,1,12.914,9.908,"15213"
"b",7,1,12.958,9.926,"15213"
"b",7,1,12.973,9.932,"15213"
"b",7,1,12.996,9.94,"15213"
"b",7,1,13.011,9.946,"15213"
"b",7,1,13.049,10,"15213"
"b",7,1,13.057,10.012,"15213"
"b",7,1,13.065,10.023,"15213"
"b",7,1,13.099,9.876,"15213"
"b",7,1,13.089,9.873,"15213"
"b",7,1,13.004,9.841,"15213"
"b",7,1,12.97,9.828,"15213"
"b",7,1,12.933,9.814,"15213"
"b",7,1,12.926,9.832,"15213"
"b",7,1,12.906,9.885,"15213"
"b",7,1,12.899,9.902,"15213"
"b",8,1,13.004,9.841,"15213"
"b",8,1,13.089,9.873,"15213"
"b",8,1,13.099,9.876,"15213"
"b",8,1,13.108,9.836,"15213"
"b",8,1,13.099,9.833,"15213"
"b",8,1,13.091,9.83,"15213"
"b",8,1,13.072,9.823,"15213"
"b",8,1,13.063,9.819,"15213"
"b",8,1,13.018,9.803,"15213"
"b",8,1,13.004,9.841,"15213"
"b",9,1,13.063,9.819,"15213"
"b",9,1,13.072,9.823,"15213"
"b",9,1,13.091,9.83,"15213"
"b",9,1,13.099,9.833,"15213"
"b",9,1,13.108,9.836,"15213"
"b",9,1,13.111,9.821,"15213"
"b",9,1,13.121,9.776,"15213"
"b",9,1,13.125,9.762,"15213"
"b",9,1,13.11,9.758,"15213"
"b",9,1,13.106,9.758,"15213"
"b",9,1,13.078,9.754,"15213"
"b",9,1,13.077,9.76,"15213"
"b",9,1,13.07,9.79,"15213"
"b",9,1,13.069,9.794,"15213"
