"lev","uid","code","sq_km","share_in_city","pop"
"z",1,"15034",2.743,0,1612
"z",2,"15104",7.01,0,7858
"z",3,"15106",25.772,0.0265,19166
"z",4,"15120",12.797,0.1302,17950
"z",5,"15122",34.03,0,19340
"z",6,"15136",28.789,0,23663
"z",7,"15147",26.749,0,16356
"z",8,"15201",5.673,1,12802
"z",9,"15202",12.669,0,20081
"z",10,"15203",4.467,1,10720
"z",11,"15204",5.111,0.9977,8213
"z",12,"15205",30.286,0.1868,23594
"z",13,"15206",13.155,0.9996,28774
"z",14,"15207",12.648,0.9566,10615
"z",15,"15208",3.903,0.994,9601
"z",16,"15209",12.844,0,12044
"z",17,"15210",12.488,0.8831,25123
"z",18,"15211",4.088,1,10935
"z",19,"15212",15.42,0.7653,27016
"z",20,"15213",6.32,1,31075
"z",21,"15214",11.884,0.658,14072
"z",22,"15215",16.899,0.0397,12489
"z",23,"15216",8.891,0.5333,22966
"z",24,"15217",10.261,1,26851
"z",25,"15218",6.059,0.2229,13497
"z",26,"15219",6.889,1,10949
"z",27,"15220",12.287,0.4774,17840
"z",28,"15221",16.096,0.1471,28913
"z",29,"15222",3.323,1,5976
"z",30,"15223",5.086,0,7080
"z",31,"15224",3.956,1,10568
"z",32,"15226",6.447,0.8466,13931
"z",33,"15227",15.85,0.0787,30036
"z",34,"15228",8.23,0,18110
"z",35,"15229",10.499,0,14625
"z",36,"15232",2.118,1,12042
"z",37,"15233",4.73,1,2656
"z",38,"15234",8.041,0.1419,13966
"z",39,"15235",38.447,0.0063,34610
"z",40,"15236",27.681,0.0972,31594
"z",41,"15237",62.49,0,45670
"z",42,"15238",42.71,0,13266
"z",43,"15260",0.236,1,29
"z",44,"15282",0.337,1,5066
"z",45,"15290",0.1,1,0
"c",1,"4261000",151.113,1,303620
