"name","value","note"
"pop_source","2020 Census, table P1, summary level 860","the population weighting every count below"
"zctas_counted","33774","tabulation areas with a 2020 census count"
"acs_vs_count_median_pct","6","median gap between the survey estimate and the census count, ZIP areas of 100+"
"acs_vs_count_over_10pct","11448","of those ZIP areas where the two differ by more than a tenth"
"acs_vs_count_n","31972","ZIP areas of 100+ with both readings"
"moe_median_pct","13.8","median margin of error as a share of the survey estimate"
"n_scf","896","distinct three-digit prefixes among the tabulation areas"
"scf_out_of_frame","12","three-digit prefixes outside the drawn frame"
"scf_out_of_frame_states","AK, HI, PR","where they are"
"apo_lon","8.249","longitude the compilation gives for postal code 09096"
"apo_lat","50.083","latitude the compilation gives for postal code 09096"
"no_ground_military","509","codes with no ground that are military or diplomatic mail channels"
"no_ground_states","52","states holding at least one postal code with no ground"
"no_ground_top_state","CA","the state with the most postal codes that name no ground"
"no_ground_top_state_n","791","how many it has"
"zcta_max_counties","6","counties the widest ZIP area reaches into"
"zcta_max_counties_code","00650","the ZIP area that reaches into the most counties"
"counties_with_uncovered_land","729","counties holding land no tabulation area covers"
"uncovered_sq_km","1845990","square kilometres of land under no tabulation area"
"uncovered_pct","20.2","share of the country's land under no tabulation area"
"uncovered_over_2sqmi_pct","99.99","share of the uncovered land lying in pieces larger than two square miles"
"uncovered_parts","729","separate uncovered pieces, one per county"
"kept_median_pct","95.7","median share of its 2010 land a surviving ZIP area still holds"
"big_median_touching","20","median ZIP areas with a real piece inside one of the 100 largest cities"
"big_median_pct_wholly","38.4","median share of those ZIP areas that are wholly inside the city"
"big_cities_none_wholly","4","of the 100 largest cities that contain no ZIP area whole"
"pgh_15260_parts","2","disconnected pieces of ZIP area 15260"
"pgh_15213_rings","3","rings in the polygon for 15213: one outline and two holes"
"pgh_15260_sq_km","0.24","land area of 15260"
"pgh_15213_sq_km","6.32","land area of 15213"
"pgh_15213_pop","31075","2020 census count for 15213"
"pgh_15260_pop","29","2020 census count for 15260"
"blocks_aland_gap_pct","0.25","largest land-area gap between a ZIP area and the blocks assigned to it here"
"blocks_15213","301","census blocks making up ZIP area 15213"
"blocks_15260","6","census blocks making up ZIP area 15260"
"pa_zip_areas","1833","Pennsylvania ZIP areas measured against districts"
"pa_districts","17","Pennsylvania seats in the 119th Congress"
"n_usps","41488","postal codes in the compilation"
"n_zcta","33791","ZIP Code Tabulation Areas"
"n_both","33642","codes that are also areas"
"n_no_ground","7846","postal codes with no area"
"n_no_code","149","areas with no code in the compilation"
"pct_no_ground","18.9","share of postal codes with no area"
"pop_in_zctas","334726586","people counted inside a tabulation area in 2020"
"irvine_touching","11","ZIP areas with a real piece inside the City of Irvine"
"irvine_wholly","3","of those wholly inside Irvine"
"pgh_touching","32","ZIP areas with a real piece inside the City of Pittsburgh"
"pgh_wholly","13","of those wholly inside Pittsburgh"
"fetch_date","2026-08-13","every source above fetched on this date"
