"lev","uid","part","x","y"
"z",1,1,19.675,1.012
"z",1,1,19.983,1.07
"z",1,1,20.169,1.507
"z",1,1,20.273,1.52
"z",1,1,20.563,1.752
"z",1,1,21.235,2.057
"z",1,1,21.359,1.863
"z",1,1,21.664,1.891
"z",1,1,21.982,2.005
"z",1,1,22.093,1.641
"z",1,1,21.972,1.541
"z",1,1,21.798,1.285
"z",1,1,21.525,0.501
"z",1,1,21.323,0.06
"z",1,1,21.121,-0.27
"z",1,1,20.938,-0.188
"z",1,1,20.74,-0.056
"z",1,1,20.76,0.276
"z",1,1,20.535,0.454
"z",1,1,19.675,1.012
"z",2,1,19.876,7.633
"z",2,1,19.948,8.178
"z",2,1,20.033,8.395
"z",2,1,20.386,8.356
"z",2,1,20.473,8.362
"z",2,1,20.705,8.275
"z",2,1,20.969,8.238
"z",2,1,21.163,8.23
"z",2,1,21.377,8.136
"z",2,1,21.558,8.335
"z",2,1,22.022,8.113
"z",2,1,22.312,8.203
"z",2,1,22.396,7.908
"z",2,1,23.026,8.01
"z",2,1,23.299,8.37
"z",2,1,23.689,8.496
"z",2,1,23.748,8.293
"z",2,1,23.837,8.179
"z",2,1,23.989,8.061
"z",2,1,24.134,7.886
"z",2,1,24.408,7.432
"z",2,1,24.44,7.297
"z",2,1,24.207,7.062
"z",2,1,23.944,6.904
"z",2,1,23.84,6.415
"z",2,1,23.355,6.4
"z",2,1,23.341,6.219
"z",2,1,23.459,5.952
"z",2,1,23.376,5.733
"z",2,1,22.418,6.008
"z",2,1,22.186,6.113
"z",2,1,21.627,6.503
"z",2,1,21.182,6.924
"z",2,1,20.763,7.22
"z",2,1,19.947,7.587
"z",2,1,19.876,7.633
"z",3,1,-2.545,4.011
"z",3,1,-2.186,4.053
"z",3,1,-2.121,4.245
"z",3,1,-2.153,4.437
"z",3,1,-2.079,4.934
"z",3,1,-1.903,5.033
"z",3,1,-1.906,5.176
"z",3,1,-1.702,5.718
"z",3,1,-1.632,6.199
"z",3,1,-1.623,6.437
"z",3,1,-1.164,6.4
"z",3,1,-1.112,6.345
"z",3,1,-0.871,6.353
"z",3,1,-0.755,6.374
"z",3,1,0.128,6.05
"z",3,1,0.298,6.018
"z",3,1,1.001,6.073
"z",3,1,1.5,6.059
"z",3,1,2.594,5.974
"z",3,1,2.535,6.91
"z",3,1,2.807,6.783
"z",3,1,2.923,7.082
"z",3,1,3.306,6.858
"z",3,1,3.33,6.533
"z",3,1,3.489,6.457
"z",3,1,3.457,6.367
"z",3,1,3.516,6.082
"z",3,1,3.605,6.015
"z",3,1,3.764,5.994
"z",3,1,3.921,6.028
"z",3,1,4.407,6.247
"z",3,1,4.467,6.679
"z",3,1,4.507,6.714
"z",3,1,4.539,6.638
"z",3,1,4.941,6.416
"z",3,1,4.827,6.21
"z",3,1,5.091,6.196
"z",3,1,5.188,5.94
"z",3,1,5.169,5.846
"z",3,1,5.485,5.933
"z",3,1,5.932,6.116
"z",3,1,4.854,5.351
"z",3,1,4.748,5.228
"z",3,1,4.962,5.143
"z",3,1,5.231,5.379
"z",3,1,5.305,5.307
"z",3,1,5.387,5.18
"z",3,1,5.243,5.024
"z",3,1,4.929,4.797
"z",3,1,4.862,4.728
"z",3,1,5.051,4.655
"z",3,1,5.119,4.565
"z",3,1,5.356,4.827
"z",3,1,5.441,4.691
"z",3,1,5.376,4.448
"z",3,1,5.379,4.247
"z",3,1,5.342,4.189
"z",3,1,5.387,4.096
"z",3,1,5.246,3.798
"z",3,1,4.374,3.799
"z",3,1,4.344,3.716
"z",3,1,4.282,3.386
"z",3,1,4.214,3.124
"z",3,1,4.762,2.927
"z",3,1,4.98,2.903
"z",3,1,5.018,2.871
"z",3,1,4.793,2.803
"z",3,1,5.025,2.399
"z",3,1,5.394,2.213
"z",3,1,5.428,2.251
"z",3,1,5.334,2.323
"z",3,1,5.515,2.506
"z",3,1,5.552,2.116
"z",3,1,5.614,2.087
"z",3,1,5.607,2.066
"z",3,1,4.793,1.895
"z",3,1,4.469,1.746
"z",3,1,4.256,1.542
"z",3,1,4.218,1.531
"z",3,1,4.127,1.549
"z",3,1,3.854,1.684
"z",3,1,3.763,1.908
"z",3,1,3.734,1.698
"z",3,1,3.589,1.698
"z",3,1,3.643,1.933
"z",3,1,3.293,1.942
"z",3,1,3.015,1.845
"z",3,1,3.081,2.156
"z",3,1,2.734,2.779
"z",3,1,2.231,3.386
"z",3,1,2.116,3.256
"z",3,1,1.878,2.841
"z",3,1,1.683,2.73
"z",3,1,1.388,2.765
"z",3,1,0.969,3.002
"z",3,1,0.377,2.796
"z",3,1,0.229,2.716
"z",3,1,-0.186,2.339
"z",3,1,-0.931,2.327
"z",3,1,-1.666,3.133
"z",3,1,-0.928,2.801
"z",3,1,-1.108,3.224
"z",3,1,-0.863,3.372
"z",3,1,-0.931,3.633
"z",3,1,-1.092,3.642
"z",3,1,-1.165,3.522
"z",3,1,-1.508,3.436
"z",3,1,-1.609,3.522
"z",3,1,-1.577,3.727
"z",3,1,-1.677,3.613
"z",3,1,-1.893,3.964
"z",3,1,-2.049,4.012
"z",3,1,-2.461,3.941
"z",3,1,-2.668,4.079
"z",3,1,-2.545,4.011
"z",4,1,16.601,5.622
"z",4,1,16.89,5.856
"z",4,1,17.019,6.068
"z",4,1,17.387,6.968
"z",4,1,17.551,7.276
"z",4,1,17.767,7.593
"z",4,1,18.064,7.827
"z",4,1,18.503,8.001
"z",4,1,18.869,8.083
"z",4,1,19.187,8.032
"z",4,1,19.947,7.587
"z",4,1,20.763,7.22
"z",4,1,21.182,6.924
"z",4,1,20.922,6.722
"z",4,1,20.873,6.769
"z",4,1,20.687,6.641
"z",4,1,20.625,6.519
"z",4,1,20.53,6.417
"z",4,1,20.624,6.293
"z",4,1,20.232,5.97
"z",4,1,20.078,6.066
"z",4,1,19.906,5.932
"z",4,1,19.92,5.885
"z",4,1,19.883,5.768
"z",4,1,19.985,5.506
"z",4,1,19.945,5.245
"z",4,1,19.954,5.065
"z",4,1,20.017,4.931
"z",4,1,20.041,4.685
"z",4,1,20.37,4.599
"z",4,1,20.4,4.708
"z",4,1,20.402,4.459
"z",4,1,20.517,4.394
"z",4,1,20.435,4.203
"z",4,1,20.463,3.864
"z",4,1,20.366,3.845
"z",4,1,20.209,3.857
"z",4,1,20.07,3.802
"z",4,1,19.925,3.639
"z",4,1,19.283,3.564
"z",4,1,18.956,3.668
"z",4,1,19.015,3.821
"z",4,1,18.834,3.815
"z",4,1,18.708,3.582
"z",4,1,18.578,3.662
"z",4,1,18.513,3.737
"z",4,1,18.305,3.726
"z",4,1,18.22,3.85
"z",4,1,18.053,3.649
"z",4,1,17.74,3.715
"z",4,1,17.662,3.997
"z",4,1,17.67,4.118
"z",4,1,17.574,4.556
"z",4,1,17.407,4.766
"z",4,1,17.139,4.97
"z",4,1,17.024,4.798
"z",4,1,16.771,4.954
"z",4,1,16.601,5.622
"z",5,1,15.463,0.804
"z",5,1,15.524,0.949
"z",5,1,15.779,1.168
"z",5,1,15.866,1.3
"z",5,1,15.91,2.235
"z",5,1,16.072,2.338
"z",5,1,16.402,2.978
"z",5,1,16.514,2.915
"z",5,1,17.692,3.247
"z",5,1,17.79,2.966
"z",5,1,17.992,2.8
"z",5,1,18.038,2.572
"z",5,1,18.234,2.233
"z",5,1,18.285,2.196
"z",5,1,18.75,1.637
"z",5,1,18.999,1.718
"z",5,1,19.278,1.7
"z",5,1,19.403,1.797
"z",5,1,19.395,2.053
"z",5,1,19.426,2
"z",5,1,19.92,2.523
"z",5,1,19.54,3.199
"z",5,1,19.118,2.988
"z",5,1,18.828,3.181
"z",5,1,19.001,3.652
"z",5,1,19.283,3.564
"z",5,1,19.925,3.639
"z",5,1,20.07,3.802
"z",5,1,20.209,3.857
"z",5,1,20.366,3.845
"z",5,1,20.463,3.864
"z",5,1,20.435,4.203
"z",5,1,20.517,4.394
"z",5,1,20.402,4.459
"z",5,1,20.4,4.708
"z",5,1,20.37,4.599
"z",5,1,20.041,4.685
"z",5,1,20.017,4.931
"z",5,1,19.954,5.065
"z",5,1,19.945,5.245
"z",5,1,19.985,5.506
"z",5,1,19.883,5.768
"z",5,1,19.92,5.885
"z",5,1,19.906,5.932
"z",5,1,20.078,6.066
"z",5,1,20.232,5.97
"z",5,1,20.624,6.293
"z",5,1,20.53,6.417
"z",5,1,20.625,6.519
"z",5,1,20.687,6.641
"z",5,1,20.873,6.769
"z",5,1,20.922,6.722
"z",5,1,21.182,6.924
"z",5,1,21.627,6.503
"z",5,1,22.186,6.113
"z",5,1,22.418,6.008
"z",5,1,23.281,5.758
"z",5,1,22.22,4.798
"z",5,1,22.926,4.256
"z",5,1,23.033,4.109
"z",5,1,23.389,3.74
"z",5,1,23.375,3.564
"z",5,1,23.277,3.285
"z",5,1,23.529,3.17
"z",5,1,23.654,3.003
"z",5,1,23.819,2.708
"z",5,1,23.902,2.754
"z",5,1,24.445,2.726
"z",5,1,24.428,2.336
"z",5,1,24.171,2.25
"z",5,1,23.158,2.048
"z",5,1,22.573,1.848
"z",5,1,22.093,1.641
"z",5,1,21.982,2.005
"z",5,1,21.664,1.891
"z",5,1,21.359,1.863
"z",5,1,21.235,2.057
"z",5,1,20.563,1.752
"z",5,1,20.273,1.52
"z",5,1,20.169,1.507
"z",5,1,19.983,1.07
"z",5,1,19.675,1.012
"z",5,1,20.535,0.454
"z",5,1,20.76,0.276
"z",5,1,20.74,-0.056
"z",5,1,20.938,-0.188
"z",5,1,20.881,-0.425
"z",5,1,20.527,-0.398
"z",5,1,20.271,-0.175
"z",5,1,19.504,-0.561
"z",5,1,19.325,-0.553
"z",5,1,19.522,-0.734
"z",5,1,19.795,-1.545
"z",5,1,19.802,-1.613
"z",5,1,19.742,-1.852
"z",5,1,19.967,-2.098
"z",5,1,20.526,-2.087
"z",5,1,20.61,-2.304
"z",5,1,20.803,-2.5
"z",5,1,18.557,-2.23
"z",5,1,18.474,-2.372
"z",5,1,18.275,-2.246
"z",5,1,18.141,-2.346
"z",5,1,17.989,-2.141
"z",5,1,17.818,-2.079
"z",5,1,17.52,-1.914
"z",5,1,17.468,-2.083
"z",5,1,17.372,-2.792
"z",5,1,17.28,-2.956
"z",5,1,17.032,-2.481
"z",5,1,16.613,-1.468
"z",5,1,16.58,-1.419
"z",5,1,16.477,-1.343
"z",5,1,16.268,-1.275
"z",5,1,15.776,-1.019
"z",5,1,15.814,-0.976
"z",5,1,15.8,-0.662
"z",5,1,15.867,-0.348
"z",5,1,15.982,-0.167
"z",5,1,16.347,-0.043
"z",5,1,16.259,0.142
