"place","name","threshold","touching","wholly_inside","pop","pct_wholly"
"3651000","New York","1%",213,210,8516202,98.6
"0644000","Los Angeles","1%",127,71,3857897,55.9
"1714000","Chicago","1%",61,47,2707648,77
"4835000","Houston","1%",133,49,2300419,36.8
"0455000","Phoenix","1%",59,30,1624832,50.8
"4260000","Philadelphia","1%",49,46,1582432,93.9
"4865000","San Antonio","1%",64,19,1458954,29.7
"0666000","San Diego","1%",50,33,1385061,66
"4819000","Dallas","1%",63,23,1299553,36.5
"0668000","San Jose","1%",34,9,990054,26.5
"4805000","Austin","1%",49,16,967862,32.7
"1235000","Jacksonville","1%",37,30,961739,81.1
"4827000","Fort Worth","1%",46,9,941311,19.6
"3918000","Columbus","1%",48,8,906480,16.7
"3712000","Charlotte","1%",31,15,886283,48.4
"1836003","Indianapolis city (balance)","1%",38,13,882043,34.2
"0667000","San Francisco","1%",28,28,836321,100
"5363000","Seattle","1%",31,24,741440,77.4
"0820000","Denver","1%",37,19,713734,51.4
"4055000","Oklahoma City","1%",57,25,688693,43.9
"4752006","Nashville-Davidson metropolitan government (balance)","1%",35,18,684298,51.4
"4824000","El Paso","1%",24,13,678147,54.2
"1150000","Washington","1%",57,57,672079,100
"2507000","Boston","1%",34,30,663972,88.2
"3240000","Las Vegas","1%",22,5,650873,22.7
"4159000","Portland","1%",33,17,642715,51.5
"2622000","Detroit","1%",33,25,636644,75.8
"4748000","Memphis","1%",32,21,629063,65.6
"2148006","Louisville/Jefferson County metro government (balance)","1%",29,1,627210,3.4
"2404000","Baltimore","1%",32,15,577193,46.9
"5553000","Milwaukee","1%",28,10,569756,35.7
"3502000","Albuquerque","1%",18,3,562488,16.7
"0627000","Fresno","1%",21,7,543615,33.3
"0477000","Tucson","1%",30,11,543348,36.7
"0664000","Sacramento","1%",25,9,524802,36
"2938000","Kansas City","1%",53,30,508233,56.6
"0446000","Mesa","1%",13,1,507478,7.7
"1304000","Atlanta","1%",28,13,499287,46.4
"3137000","Omaha","1%",31,17,488197,54.8
"0816000","Colorado Springs","1%",29,5,483099,17.2
"3755000","Raleigh","1%",20,5,470763,25
"0643000","Long Beach","1%",16,7,458491,43.8
"5182000","Virginia Beach","1%",12,12,457066,100
"1245000","Miami","1%",23,10,446663,43.5
"0653000","Oakland","1%",18,9,438072,50
"2743000","Minneapolis","1%",23,16,426845,69.6
"4075000","Tulsa","1%",33,16,412322,48.5
"0603526","Bakersfield","1%",11,1,408366,9.1
"2079000","Wichita","1%",30,6,396488,20
"4804000","Arlington","1%",15,3,394769,20
"1271000","Tampa","1%",22,12,393389,54.5
"0804000","Aurora","1%",17,4,390201,23.5
"2255000","New Orleans","1%",20,20,376035,100
"3916000","Cleveland","1%",26,7,367523,26.9
"1571550","Urban Honolulu CDP","1%",14,12,346323,85.7
"0602000","Anaheim","1%",7,1,344553,14.3
"3231900","Henderson","1%",13,2,324523,15.4
"2146027","Lexington-Fayette urban county","1%",17,12,321122,70.6
"7276770","San Juan zona urbana","1%",20,12,320691,60
"0675000","Stockton","1%",13,2,320470,15.4
"4817000","Corpus Christi","1%",19,9,317383,47.4
"0662000","Riverside","1%",9,2,316241,22.2
"1253000","Orlando","1%",21,2,311732,9.5
"0669000","Santa Ana","1%",7,1,311639,14.3
"3915000","Cincinnati","1%",30,12,309595,40
"0636770","Irvine","1%",11,3,308160,27.3
"2758000","St. Paul","1%",14,11,307762,78.6
"3451000","Newark","1%",9,8,307188,88.9
"4261000","Pittsburgh","1%",32,13,303620,40.6
"3728000","Greensboro","1%",17,4,298564,23.5
"2965000","St. Louis","1%",28,18,293109,64.3
"3128000","Lincoln","1%",22,5,291932,22.7
"3436000","Jersey City","1%",8,6,289691,75
"0203000","Anchorage municipality","1%",18,17,289069,94.4
"3719000","Durham","1%",10,2,288465,20
"4858016","Plano","1%",7,1,287339,14.3
"0412000","Chandler","1%",6,0,278123,0
"3611000","Buffalo","1%",18,10,276397,55.6
"5548000","Madison","1%",17,5,275568,29.4
"0613392","Chula Vista","1%",8,0,275030,0
"0427400","Gilbert","1%",8,1,271118,12.5
"3251800","North Las Vegas","1%",10,4,270773,40
"3260600","Reno","1%",14,2,268959,14.3
"3977000","Toledo","1%",15,8,268461,53.3
"1825000","Fort Wayne","1%",17,2,266235,11.8
"4845000","Lubbock","1%",16,8,261078,50
"1263000","St. Petersburg","1%",15,7,260646,46.7
"4841464","Laredo","1%",5,1,255949,20
"4837000","Irving","1%",6,1,255036,16.7
"5116000","Chesapeake","1%",6,5,251153,83.3
"3775000","Winston-Salem","1%",13,2,250887,15.4
"0427820","Glendale","1%",15,0,250193,0
"4829000","Garland","1%",7,1,245298,14.3
"0465000","Scottsdale","1%",11,1,242169,9.1
"1608830","Boise City","1%",12,2,235701,16.7
"5103000","Arlington CDP","1%",11,8,235463,72.7
"5157000","Norfolk","1%",14,14,235037,100
"3223770","Enterprise CDP","1%",11,2,232043,18.2
"5367000","Spokane","1%",14,5,229228,35.7
"0669088","Santa Clarita","1%",7,0,229021,0
