"check","value"
"postal codes in the compilation","41,488"
"ZIP Code Tabulation Areas in the gazetteer","33,791"
"codes in both lists","33,642"
"postal codes with no tabulation area","7,846"
"2020 census population counted inside a tabulation area","334,726,586"
"median gap, ACS estimate against the census count","6%"
"land under no tabulation area","1,845,990 sq km, 20.2% of the country"
"of it in pieces over two square miles, the Bureau's stated threshold","99.99%"
"ZIP areas reaching into two or more counties","10,180 of 33,791"
"ZIP areas reaching into two or more states","137"
"ZIP areas that changed shape between 2010 and 2020","30,912 of 32,940"
"15213 rebuilt from its own census blocks","301 blocks, 31,075 people -- the published count exactly"
"Pennsylvania ZIP areas split between districts (2% threshold)","223 of 1,833"
