"list","what_it_is","count"
"postal codes in circulation","routing keys, compiled from mail addresses",41488
"ZIP Code Tabulation Areas","areas, built from census blocks",33791
"in both","a code that is also an area",33642
"postal code with no tabulation area","a code that names no ground at all",7846
"tabulation area with no postal code","ground the compilation does not list",149
