"scf","d1","zctas","pop","x","y","state","in_frame"
"006","0",46,1086416,3152.3,-18.2,"PR",0
"007","0",46,1197021,3230.8,-8,"PR",0
"008","0",6,0,3377.2,14.7,NA,0
"009","0",40,1002398,3227.3,14.9,"PR",0
"010","0",62,472839,1902,2370.3,"MA",1
"011","0",13,171760,1906.7,2359.2,"MA",1
"012","0",32,128186,1843.3,2383.8,"MA",1
"013","0",30,82872,1898.4,2412.8,"MA",1
"014","0",21,224307,1954.4,2426.2,"MA",1
"015","0",45,398528,1963.5,2386.4,"MA",1
"016","0",11,214258,1961.1,2391.8,"MA",1
"017","0",27,412856,1987.6,2405.7,"MA",1
"018","0",32,779194,1998.5,2444.2,"MA",1
"019","0",32,510471,2023.6,2443.7,"MA",1
"020","0",26,427635,2016.8,2392.6,"MA",1
"021","0",53,1414778,2017.7,2415.2,"MA",1
"022","0",4,32744,2015.7,2415.5,"MA",1
"023","0",28,475561,2039.4,2385,"MA",1
"024","0",27,438951,2006.5,2414.5,"MA",1
"025","0",25,127562,2081.3,2347,"MA",1
"026","0",35,159709,2103.1,2364.8,"MA",1
"027","0",36,557621,2031.6,2353.4,"MA",1
"028","0",63,698642,2004.4,2339.4,"RI",1
"029","0",18,398808,2003.5,2350.7,"RI",1
"030","0",34,401291,1974.2,2461.4,"NH",1
"031","0",7,158345,1967.9,2477,"NH",1
"032","0",58,196592,1944.8,2522.7,"NH",1
"033","0",4,63697,1951.9,2503.1,"NH",1
"034","0",25,83722,1911.9,2452,"NH",1
"035","0",20,44471,1925.5,2636.7,"NH",1
"036","0",8,13153,1892.5,2479.6,"NH",1
"037","0",24,78640,1894.9,2528.9,"NH",1
"038","0",67,337708,1999.3,2509.3,"NH",1
"039","0",11,52482,2018.6,2515,"ME",1
"040","0",62,363613,2025.8,2572.5,"ME",1
"041","0",9,118710,2040.6,2574.9,"ME",1
"042","0",48,179398,2024.3,2632,"ME",1
"043","0",21,83738,2060.7,2653.2,"ME",1
"044","0",66,174327,2112.8,2746.7,"ME",1
"045","0",29,49555,2082.2,2621.1,"ME",1
"046","0",59,73427,2184.2,2727.5,"ME",1
"047","0",39,67315,2108.7,2946.3,"ME",1
"048","0",18,40788,2113.3,2653.4,"ME",1
"049","0",64,158864,2061.5,2699.1,"ME",1
"050","0",49,62737,1870.6,2545.6,"VT",1
"051","0",16,29470,1872.9,2485.7,"VT",1
"052","0",11,33158,1837.5,2441.4,"VT",1
"053","0",21,39487,1872.7,2442.9,"VT",1
"054","0",48,248157,1796.3,2611.9,"VT",1
"056","0",33,86872,1842.8,2597.5,"VT",1
"057","0",40,82037,1824.3,2521.4,"VT",1
"058","0",40,57807,1869.5,2645,"VT",1
"059","0",7,3352,1903.6,2656.1,"VT",1
"060","0",61,678776,1902.5,2323.4,"CT",1
"061","0",14,294103,1905.2,2317.7,"CT",1
"062","0",33,163528,1948.9,2334.2,"CT",1
"063","0",36,263260,1964,2298.6,"CT",1
"064","0",54,713652,1901.7,2279.4,"CT",1
"065","0",12,292753,1897.7,2266.6,"CT",1
"066","0",10,245441,1879.8,2248.8,"CT",1
"067","0",38,333264,1874.9,2294.3,"CT",1
"068","0",25,486315,1859.1,2245.2,"CT",1
"069","0",6,135274,1854.5,2227.6,"CT",1
"070","0",79,1823422,1809.6,2180.1,"NJ",1
"071","0",12,441288,1810.7,2179.3,"NJ",1
"072","0",7,196453,1810.3,2169.8,"NJ",1
"073","0",7,292390,1821.6,2179,"NJ",1
"074","0",37,466135,1798.2,2207.3,"NJ",1
"075","0",12,214339,1807.7,2198.9,"NJ",1
"076","0",39,513421,1819.8,2201.4,"NJ",1
"077","0",41,614013,1825.2,2131.5,"NJ",1
"078","0",45,363225,1764,2187.8,"NJ",1
"079","0",29,268514,1786.8,2174,"NJ",1
"080","0",87,1206258,1771.3,2065.6,"NJ",1
"081","0",9,154707,1757.4,2073.9,"NJ",1
"082","0",29,253639,1809.4,2012.8,"NJ",1
"083","0",33,239299,1772.5,2023.4,"NJ",1
"084","0",4,53982,1822.9,2023.3,"NJ",1
"085","0",31,327440,1789.6,2118,"NJ",1
"086","0",15,282309,1780.5,2111.8,"NJ",1
"087","0",25,505129,1829.5,2099.5,"NJ",1
"088","0",54,958385,1789.2,2147.5,"NJ",1
"089","0",3,114646,1795.5,2144,"NJ",1
"100","1",42,1603996,1827.8,2186.8,"NY",1
"101","1",22,66467,1829.1,2187.6,"NY",1
"102","1",5,15082,1825.5,2178.9,"NY",1
"103","1",13,495747,1818.3,2162.8,"NY",1
"104","1",25,1477398,1832.9,2196.4,"NY",1
"105","1",63,674924,1833.8,2230.2,"NY",1
"106","1",6,85249,1837.4,2218.9,"NY",1
"107","1",9,244533,1831.8,2207,"NY",1
"108","1",4,89138,1839.3,2205.3,"NY",1
"109","1",59,587325,1802,2233,"NY",1
"110","1",14,258931,1850.1,2188.9,"NY",1
"111","1",7,239227,1831.7,2185.9,"NY",1
"112","1",38,2735593,1832.1,2173.3,"NY",1
"113","1",26,1232668,1838.4,2185.6,"NY",1
"114","1",26,791140,1844.1,2181.1,"NY",1
"115","1",40,755614,1857.5,2184.6,"NY",1
"116","1",5,124164,1846.9,2170.3,"NY",1
"117","1",77,1577357,1884.6,2201.7,"NY",1
"118","1",3,76800,1866,2195.1,"NY",1
"119","1",44,275052,1932.9,2226.1,"NY",1
"120","1",66,338164,1777.8,2408.8,"NY",1
"121","1",68,283054,1792.8,2402.1,"NY",1
"122","1",12,155680,1792.2,2397.1,"NY",1
"123","1",8,167169,1777.8,2408,"NY",1
"124","1",82,152475,1783.8,2320.5,"NY",1
"125","1",63,450318,1808.2,2284.6,"NY",1
"126","1",3,87745,1810.6,2288.1,"NY",1
"127","1",59,99977,1747.9,2268.1,"NY",1
"128","1",65,228827,1786.7,2466.3,"NY",1
"129","1",72,155480,1740.7,2607.2,"NY",1
"130","1",50,385180,1591.9,2392.5,"NY",1
"131","1",51,174366,1577.9,2401.9,"NY",1
"132","1",17,233100,1596.6,2395.7,"NY",1
"133","1",53,137555,1669.7,2421.6,"NY",1
"134","1",62,177389,1659.4,2414.9,"NY",1
"135","1",2,74875,1671.1,2418.5,"NY",1
"136","1",83,233169,1616,2544.4,"NY",1
"137","1",39,132661,1642.7,2306.3,"NY",1
"138","1",41,132921,1655.5,2323.1,"NY",1
"139","1",5,82856,1637.8,2299.8,"NY",1
"140","1",61,446606,1396.5,2335.6,"NY",1
"141","1",35,197078,1390.1,2343.9,"NY",1
"142","1",29,592039,1387.7,2339.7,"NY",1
"143","1",5,64031,1369.6,2357.4,"NY",1
"144","1",45,305190,1483.6,2368.2,"NY",1
"145","1",56,328446,1493.7,2373.6,"NY",1
"146","1",25,481148,1476.7,2385.2,"NY",1
"147","1",62,171166,1393.6,2254.4,"NY",1
"148","1",74,279606,1548.4,2300.8,"NY",1
"149","1",4,45919,1566.7,2278.9,"NY",1
"150","1",71,455283,1332.4,2056.3,"PA",1
"151","1",28,368554,1341.7,2049.2,"PA",1
"152","1",43,696291,1341.6,2049.9,"PA",1
"153","1",55,186704,1330.3,2013.6,"PA",1
"154","1",70,135466,1371.1,1998.7,"PA",1
"155","1",37,85792,1444.2,2015.2,"PA",1
"156","1",72,302882,1377.9,2044.8,"PA",1
"157","1",63,106204,1412.1,2089.4,"PA",1
"158","1",30,87959,1426.9,2158.2,"PA",1
"159","1",43,135418,1436.3,2055.2,"PA",1
"160","1",35,204320,1334.8,2093.5,"PA",1
"161","1",42,211375,1299.2,2121.5,"PA",1
"162","1",39,83648,1376.6,2116.7,"PA",1
"163","1",43,139916,1341.5,2180.6,"PA",1
"164","1",33,124944,1306.8,2212.7,"PA",1
"165","1",14,180594,1302.8,2231.9,"PA",1
"166","1",67,199397,1475.6,2081,"PA",1
"167","1",22,45159,1429.7,2223.5,"PA",1
"168","1",55,200001,1500.8,2128.5,"PA",1
"169","1",32,63263,1535.4,2242.4,"PA",1
"170","1",86,652422,1598,2083.2,"PA",1
"171","1",10,180991,1604.9,2082.8,"PA",1
"172","1",49,211259,1543.1,2029.4,"PA",1
"173","1",48,349217,1609.8,2036.9,"PA",1
"174","1",7,184002,1621.3,2047.7,"PA",1
"175","1",47,344963,1656.3,2069.3,"PA",1
"176","1",4,176297,1654.2,2063.5,"PA",1
"177","1",40,165305,1566.9,2187.2,"PA",1
"178","1",54,231192,1597.8,2151.8,"PA",1
"179","1",45,120714,1642.6,2135.3,"PA",1
"180","1",55,562664,1712.9,2145.8,"PA",1
"181","1",7,178714,1707.1,2139,"PA",1
"182","1",36,144577,1667.5,2166.8,"PA",1
"183","1",36,178187,1720.4,2196.7,"PA",1
"184","1",51,198343,1688.6,2235.7,"PA",1
"185","1",11,119334,1674.2,2225.1,"PA",1
"186","1",36,170257,1651.9,2205.2,"PA",1
"187","1",8,136908,1662.7,2202.4,"PA",1
"188","1",34,72604,1621.2,2263.8,"PA",1
"189","1",39,381426,1743.3,2113.7,"PA",1
"190","1",68,1163515,1746.3,2082.6,"PA",1
"191","1",50,1604167,1751,2080.3,"PA",1
"193","1",34,459372,1706,2064.3,"PA",1
"194","1",32,552487,1723.9,2094.7,"PA",1
"195","1",42,223949,1683,2108.9,"PA",1
"196","1",10,226664,1677.2,2102.8,"PA",1
"197","1",19,346604,1715.6,2029.3,"DE",1
"198","1",10,219956,1720.9,2045.6,"DE",1
"199","1",39,423710,1754.1,1950.7,"DE",1
"200","2",27,688669,1620.1,1927.2,"DC",1
"201","2",45,1014526,1578.3,1919.5,"VA",1
"202","2",7,0,1619.1,1924.7,"DC",1
"203","2",5,772,1621.7,1922.8,"DC",1
"204","2",6,60,1619.9,1928.1,"DC",1
"205","2",12,44,1619.3,1926.2,"DC",1
"206","2",61,374705,1650.9,1884.5,"MD",1
"207","2",53,1076085,1632.8,1931.3,"MD",1
"208","2",40,740010,1602.2,1945.9,"MD",1
"209","2",8,332638,1616.8,1942.2,"MD",1
"210","2",48,800998,1646,1979.6,"MD",1
"211","2",30,488155,1636.9,1977,"MD",1
"212","2",43,1197806,1645.7,1979.4,"MD",1
"214","2",5,92803,1661.4,1943.6,"MD",1
"215","2",23,96279,1441.9,1971,"MD",1
"216","2",58,170685,1702.7,1940.2,"MD",1
"217","2",56,520930,1572.1,1983.7,"MD",1
"218","2",37,182064,1760.4,1887,"MD",1
"219","2",15,103744,1693.8,2022.8,"MD",1
"220","2",19,512943,1601.6,1912.4,"VA",1
"221","2",16,492670,1601.6,1905.7,"VA",1
"222","2",11,239357,1613.8,1921.9,"VA",1
"223","2",14,350792,1615.5,1912.4,"VA",1
"224","2",24,244906,1605.1,1849,"VA",1
"225","2",25,211648,1601.9,1848.3,"VA",1
"226","2",29,203703,1514.5,1926,"VA",1
"227","2",35,87015,1547.6,1862.8,"VA",1
"228","2",28,173505,1477.3,1854.2,"VA",1
"229","2",40,276577,1508.1,1807.5,"VA",1
"230","2",48,244219,1616.6,1781.3,"VA",1
"231","2",45,409761,1627.3,1767,"VA",1
"232","2",23,586082,1610,1768.6,"VA",1
"233","2",29,284751,1732.4,1710.1,"VA",1
"234","2",45,600003,1738.1,1716,"VA",1
"235","2",14,237981,1729.9,1719.4,"VA",1
"236","2",24,392298,1710.3,1736.6,"VA",1
"237","2",7,97821,1723.8,1711.7,"VA",1
"238","2",55,359546,1624.6,1728.7,"VA",1
"239","2",36,101369,1545.2,1700.2,"VA",1
"240","2",43,364718,1391.4,1689.2,"VA",1
