"date","city","county","state","postal","lat","long","fips","candidate","event_type","notes"
2024-10-26,"Phoenix","Maricopa","Arizona","AZ",33.5722,-112.0891,"04013","Walz","Campaign","Walz event"
2024-10-26,"State College","Centre","Pennsylvania","PA",40.7880126,-77.8732139,"42027","Trump","Campaign","Trump event"
2024-10-26,"Novi","Oakland","Michigan","MI",42.4811325,-83.5357262,"26125","Trump","Campaign","Trump event"
2024-10-26,"Harrisburg","Dauphin","Pennsylvania","PA",40.2745727,-76.8994227,"42043","Vance","Campaign","Vance event"
2024-10-27,"Philadelphia","Philadelphia","Pennsylvania","PA",40.0077,-75.1339,"42101","Harris","Campaign","Harris event"
2024-10-27,"Henderson","Clark","Nevada","NV",36.0376783,-115.0139534,"32003","Walz","Campaign","Walz event on reproductive freedom"
2024-10-27,"New York","New York","New York","NY",40.6943,-73.9249,"36061","Trump","Campaign","Rally at Madison Square Garden"
2024-10-28,"Saginaw","Saginaw","Michigan","MI",43.4199,-83.9501,"26145","Harris","Campaign","Harris meets workers and touris Corning Incorporated’s Hemlock Semiconductor facility"
2024-10-28,"Ann Arbor","Washtenaw","Michigan","MI",42.273313,-83.7789746,"26161","Harris","Campaign","Harris/Walz rally"
2024-10-28,"Manitowoc","Manitowoc","Wisconsin","WI",44.1023865,-87.7687959,"55071","Walz","Campaign","Walz event at Wisconsin Aluminum Foundry Co."
2024-10-28,"Waukesha","Waukesha","Wisconsin","WI",42.9987326,-88.3217568,"55133","Walz","Campaign","Walz event at Copilot Coffee Co."
2024-10-28,"Powder Springs","Cobb","Georgia","GA",33.8650872,-84.7039814,"13067","Trump","Campaign","Trump attends faith summit"
2024-10-28,"Atlanta","Fulton","Georgia","GA",33.7473456,-84.4159076,"13121","Trump","Campaign","Trump rally"
2024-10-28,"Wausau","Marathon","Wisconsin","WI",44.9623911,-89.7020596,"55073","Vance","Campaign","Vance event"
2024-10-28,"Racine","Racine","Wisconsin","WI",42.7083839,-87.9164651,"55101","Vance","Campaign","Vance event"
2024-10-28,"Macomb","Macomb","Michigan","MI",42.6730276,-82.9578042,"26099","Harris","Campaign","Harris tours an International Union of Painters and Allied Trades training facility"
2024-10-29,"Washington","District of Columbia","District of Columbia","DC",38.893859,-77.0971485,"11001","Harris","Campaign","Remarks on the Ellipse"
2024-10-29,"Savannah","Chatham","Georgia","GA",32.0919945,-81.1460978,"13051","Walz","Campaign","Walz attends Get-Out-the-Early-Vote rally"
2024-10-29,"Columbus","Muscogee","Georgia","GA",32.4909786,-84.9565242,"13215","Walz","Campaign","Walz rally"
2024-10-29,"Allentown","Lehigh","Pennsylvania","PA",40.5930701,-75.5250195,"42077","Trump","Campaign","Trump rally"
2024-10-29,"Drexel Hill","Delaware","Pennsylvania","PA",39.9503061,-75.3274821,"42045","Trump","Campaign","Trump roundtable event with Building America's Future"
2024-10-29,"Saginaw","Saginaw","Michigan","MI",43.4199,-83.9501,"26145","Vance","Campaign","Vance event"
2024-10-29,"Holland","Ottawa","Michigan","MI",42.765947,-86.1482053,"26139","Vance","Campaign","Vance event"
2024-10-30,"Madison","Dane","Wisconsin","WI",43.0827,-89.3923,"55025","Harris","Campaign","Harris rally"
2024-10-30,"Harrisburg","Dauphin","Pennsylvania","PA",40.2745727,-76.8994227,"42043","Harris","Campaign","Harris event"
2024-10-30,"Raleigh","Wake","North Carolina","NC",35.8324,-78.6438,"37183","Harris","Campaign","Harris rally"
2024-10-30,"Rocky Mount","Nash and Edgecombe","North Carolina","NC",35.9844564,-77.9022986,"37127","Trump","Campaign","Trump rally "
2024-10-30,"Green Bay","Brown","Wisconsin","WI",44.515,-87.9896,"55009","Trump","Campaign","Trump rally"
2024-10-30,"Bedford","Bedford","Pennsylvania","PA",40.014441,-78.5117047,"42009","Vance","Campaign","Vance town hall"
2024-10-30,"Charlotte","Mecklenburg","North Carolina","NC",35.2030383,-80.9482419,"37119","Walz","Campaign","Walz event"
2024-10-30,"Greensboro","Guilford","North Carolina","NC",36.1002311,-79.9159503,"37081","Walz","Campaign","Walz events"
2024-10-30,"Asheville","Buncombe","North Carolina","NC",35.5949541,-82.5997781,"37021","Walz","Campaign","Walz event"
2024-10-31,"Reno","Washoe","Nevada","NV",39.5497,-119.8483,"32031","Harris","Campaign","Harris rally"
2024-10-31,"Phoenix","Maricopa","Arizona","AZ",33.5722,-112.0891,"04013","Harris","Campaign","Harris rally at Talking Stick Amphitheatre"
2024-10-31,"Las Vegas","Clark","Nevada","NV",36.2333,-115.2654,"32003","Harris","Campaign","Harris rally"
2024-10-31,"Henderson","Clark","Nevada","NV",36.0376783,-115.0139534,"32003","Trump","Campaign","Trump rally"
2024-10-31,"Albuquerque","Bernalillo","New Mexico","NM",35.082298,-106.8416291,"35001","Trump","Campaign","Trump rally"
2024-10-31,"Bristol Township","Bucks","Pennsylvania","PA",40.1226906,-74.9071587,"42017","Walz","Campaign","Walz event at Boilermakers Local 13 Union Hall"
2024-10-31,"Erie","Erie","Pennsylvania","PA",42.1153771,-80.1121465,"42049","Walz","Campaign","Walz event"
2024-10-31,"Chalfont","Montgomery","Pennsylvania","PA",40.2904629,-75.2178848,"42091","Walz","Campaign","Walz visits Bharatiya Temple for Diwali celebration"
2024-10-31,"High Point","Guilford","North Carolina","NC",35.9994631,-80.0662409,"37081","Vance","Campaign","Vance town hall at High Point University with Turning Point Action"
2024-11-01,"Milwaukee","Milwaukee","Wisconsin","WI",43.0642,-87.9673,"55079","Trump","Campaign","Trump rally"
2024-11-01,"Dearborn","Wayne","Michigan","MI",42.3146565,-83.2546089,"26163","Trump","Campaign","Trump event"
2024-11-01,"Janesville","Rock","Wisconsin","WI",42.6822887,-89.0920945,"55105","Harris","Campaign","Harris visit to local union"
2024-11-01,"West Allis","Milwaukee","Wisconsin","WI",43.0023312,-88.0481001,"55079","Harris","Campaign","Harris rally and concert"
2024-11-01,"Little Chute","Outagamie","Wisconsin","WI",44.2903179,-88.340688,"55087","Harris","Campaign","Harris event"
2024-11-01,"Detroit","Wayne","Michigan","MI",42.3266374,-83.0503179,"26163","Walz","Campaign","Walz event"
2024-11-01,"Flint","Genesee","Michigan","MI",43.0124563,-83.7789869,"26049","Walz","Campaign","Walz event"
2024-11-01,"Traverse City","Grand Traverse","Michigan","MI",44.748911,-85.646207,"26055","Walz","Campaign","Walz event"
2024-11-01,"Warren","Macomb","Michigan","MI",42.4927979,-83.0682988,"26099","Trump","Campaign","Trump event"
2024-11-01,"Portage","Kalamazoo","Michigan","MI",42.201337,-85.6297171,"26077","Vance","Campaign","Vance event"
2024-11-01,"Selma","Johnston","North Carolina","NC",35.5462052,-78.3144339,"37101","Vance","Campaign","Vance event"
2024-11-02,"Atlanta","Fulton","Georgia","GA",33.7473456,-84.4159076,"13121","Harris","Campaign","Harris rally "
2024-11-02,"Charlotte","Mecklenburg","North Carolina","NC",35.2030383,-80.9482419,"37119","Harris","Campaign","Harris rally"
2024-11-02,"Las Vegas","Clark","Nevada","NV",36.2333,-115.2654,"32003","Walz","Campaign","Walz remarks at canvass lunch"
2024-11-02,"Flagstaff","Coconino","Arizona","AZ",35.18132,-111.6903598,"04005","Walz","Campaign","Walz attends get-out-the-vote event"
2024-11-02,"Tucson","Pima","Arizona","AZ",32.1558028,-111.0489548,"04019","Walz","Campaign","Walz rally"
2024-11-02,"Salem","Salem independent city","Virginia","VA",37.2885251,-80.108126,"51775","Trump","Campaign","Trump rally"
2024-11-02,"Greensboro","Guilford","North Carolina","NC",36.1002311,-79.9159503,"37081","Trump","Campaign","Trump event"
2024-11-02,"Gastonia","Gaston","North Carolina","NC",35.2593154,-81.2845395,"37071","Trump","Campaign","Trump event"
2024-11-02,"Scottsdale","Maricopa","Arizona","AZ",33.6743869,-112.0236042,"04013","Vance","Campaign","Harris event"
2024-11-02,"Las Vegas","Clark","Nevada","NV",36.2333,-115.2654,"32003","Vance","Campaign","Walz event"
2024-11-03,"Detroit","Wayne","Michigan","MI",42.3266374,-83.0503179,"26163","Harris","Campaign","Harris remarks at Greater Emmanuel Institutional Church of God in Christ;  Kuzzo’s Chicken and Waffles in the Livernois district "
2024-11-03,"Pontiac","Oakland","Michigan","MI",42.6518772,-83.3327499,"26125","Harris","Campaign","Harris visit to Elam barber shop in Pontiac"
2024-11-03,"East Lansing","Ingham","Michigan","MI",42.7490016,-84.5174747,"26065","Harris","Campaign","Harris event at Michigan State University’s Jamison Field House"
2024-11-03,"Gastonia","Gaston","North Carolina","NC",35.2593154,-81.2845395,"37071","Walz","Campaign","Walz event at barbecue restaurant RayNathan's"
2024-11-03,"Smyrna","Cobb","Georgia","GA",33.8543468,-84.5570564,"13067","Walz","Campaign","Walz rally with musical guests said to include Bon Jovi and Michael Stipe"
2024-11-03,"Lititz","Lancaster","Pennsylvania","PA",40.1527339,-76.3242309,"42071","Trump","Campaign","Trump rally"
2024-11-03,"Kinston","Lenoir","North Carolina","NC",35.2742757,-77.6216069,"37107","Trump","Campaign","Trump rally"
2024-11-03,"Macon","Bibb","Georgia","GA",32.8326909,-83.7267418,"13021","Trump","Campaign","Trump rally"
2024-11-03,"Raleigh","Wake","North Carolina","NC",35.8324,-78.6438,"37183","Vance","Campaign","Vance rally with Donald Trump Jr. "
2024-11-03,"Aston","Delaware","Pennsylvania","PA",39.8623275,-75.4324382,"42045","Vance","Campaign","Vance rally with Donald Trump Jr. "
2024-11-03,"Derry","Rockingham","New Hampshire","NH",42.8915409,-71.3186088,"33015","Vance","Campaign","Vance rally"
2024-11-04,"Scranton","Lackawanna","Pennsylvania","PA",41.4044,-75.6649,"42069","Harris","Campaign","Harris rally"
2024-11-04,"Allentown","Lehigh","Pennsylvania","PA",40.5930701,-75.5250195,"42077","Harris","Campaign","Harris rally"
2024-11-04,"Reading","Berks","Pennsylvania","PA",40.3337602,-75.9665859,"42011","Harris","Campaign","Harris event"
2024-11-04,"Pittsburgh","Allegheny","Pennsylvania","PA",40.4396,-79.9763,"42003","Harris","Campaign","Harris rally"
2024-11-04,"Philadelphia","Philadelphia","Pennsylvania","PA",40.0077,-75.1339,"42101","Harris","Campaign","Harris rally"
2024-11-04,"La Crosse","La Crosse","Wisconsin","WI",43.8223729,-91.2993139,"55063","Walz","Campaign","Walz attends get-out-the-vote event"
2024-11-04,"Stevens Point","Portage","Wisconsin","WI",44.5307997,-89.5922689,"55097","Walz","Campaign","Walz attends get-out-the-vote event"
2024-11-04,"Milwaukee","Milwaukee","Wisconsin","WI",43.0642,-87.9673,"55079","Walz","Campaign","Walz attends get-out-the-vote rally"
2024-11-04,"Detroit","Wayne","Michigan","MI",42.3266374,-83.0503179,"26163","Walz","Campaign","Walz rally"
2024-11-04,"Raleigh","Wake","North Carolina","NC",35.8324,-78.6438,"37183","Trump","Campaign","Trump rally"
2024-11-04,"Reading","Berks","Pennsylvania","PA",40.3337602,-75.9665859,"42011","Trump","Campaign","Trump rally "
2024-11-04,"Pittsburgh","Allegheny","Pennsylvania","PA",40.4396,-79.9763,"42003","Trump","Campaign","Trump rally"
2024-11-04,"Grand Rapids","Kent","Michigan","MI",42.9615,-85.6557,"26081","Trump","Campaign","Trump rally"
2024-11-04,"La Crosse","La Crosse","Wisconsin","WI",43.8223729,-91.2993139,"55063","Vance","Campaign","Vance rally"
2024-11-04,"Flint","Genesee","Michigan","MI",43.0124563,-83.7789869,"26049","Vance","Campaign","Vance rally"
2024-11-04,"Atlanta","Fulton","Georgia","GA",33.7473456,-84.4159076,"13121","Vance","Campaign","Vance rally"
2024-11-04,"Newtown","Bucks","Pennsylvania","PA",40.2294174,-74.9421847,"42017","Vance","Campaign","Vance rally"
