"date","city","county","state","postal","lat","long","fips","candidate","event_type","notes"
2024-09-05,"Erie","Erie","Pennsylvania","PA",42.1153771,-80.1121465,"42049","Walz","Campaign","Walz event"
2024-09-05,"Phoenix","Maricopa","Arizona","AZ",33.5722,-112.0891,"04013","Vance","Campaign","Vance event"
2024-09-06,"Charlotte","Mecklenburg","North Carolina","NC",35.2030383,-80.9482419,"37119","Trump","Campaign","Trump speaks to Fraternal Order of Police"
2024-09-07,"Washington","District of Columbia","District of Columbia","DC",38.893859,-77.0971485,"11001","Walz","Campaign","Walz remarks at Human Rights Campaign event"
2024-09-07,"Mosinee","Marathon","Wisconsin","WI",44.7857422,-89.7039635,"55073","Trump","Campaign","Trump event"
2024-09-09,"Reno","Washoe","Nevada","NV",39.5497,-119.8483,"32031","Walz","Campaign","Walz meets first responders"
2024-09-10,"Las Vegas","Clark","Nevada","NV",36.2333,-115.2654,"32003","Walz","Campaign","Walz drop by coffee shop after fundraiser"
2024-09-10,"Tempe","Maricopa","Arizona","AZ",33.3919156,-111.9693863,"04013","Walz","Campaign","Walz meets students"
2024-09-12,"Charlotte","Mecklenburg","North Carolina","NC",35.2030383,-80.9482419,"37119","Harris","Campaign","Harris rally"
2024-09-12,"Greensboro","Guilford","North Carolina","NC",36.1002311,-79.9159503,"37081","Harris","Campaign","Harris rally"
2024-09-12,"Grand Rapids","Kent","Michigan","MI",42.9615,-85.6557,"26081","Walz","Campaign","Walz event"
2024-09-12,"Tucson","Pima","Arizona","AZ",32.1558028,-111.0489548,"04019","Trump","Campaign","Trump rally "
2024-09-13,"East Lansing","Ingham","Michigan","MI",42.7490016,-84.5174747,"26065","Walz","Campaign","Walz event - speaks to MSU students"
2024-09-13,"Wausau","Marathon","Wisconsin","WI",44.9623911,-89.7020596,"55073","Walz","Campaign","Walz at volunteer appreciation event"
2024-09-13,"Wilkes-Barre","Luzerne","Pennsylvania","PA",41.246077,-75.8879325,"42079","Harris","Campaign","Harris rally"
2024-09-13,"Las Vegas","Clark","Nevada","NV",36.2333,-115.2654,"32003","Trump","Campaign","Trump rally "
2024-09-13,"Johnstown","Cambria","Pennsylvania","PA",40.3269357,-78.9598965,"42021","Harris","Campaign","Harris event"
2024-09-14,"Superior","Douglas","Wisconsin","WI",46.6966163,-92.1504433,"55031","Walz","Campaign","Walz rally "
2024-09-16,"Atlanta","Fulton","Georgia","GA",33.7473456,-84.4159076,"13121","Vance","Campaign","Vance speaks at Georgia Faith and Freedom Coalition dinner"
2024-09-17,"Flint","Genesee","Michigan","MI",43.0124563,-83.7789869,"26049","Trump","Campaign","Trump town hall"
2024-09-17,"Sparta","Kent","Michigan","MI",43.1553416,-85.7295224,"26081","Vance","Campaign","Vance event"
2024-09-17,"Eau Claire","Eau Claire","Wisconsin","WI",44.8197654,-91.5224738,"55035","Vance","Campaign","Vance event"
2024-09-17,"Macon","Bibb","Georgia","GA",32.8326909,-83.7267418,"13021","Walz","Campaign","Walz visits campaign field office, greets restaurant patrons"
2024-09-17,"Asheville","Buncombe","North Carolina","NC",35.5949541,-82.5997781,"37021","Walz","Campaign","Walz rally "
2024-09-17,"Philadelphia","Philadelphia","Pennsylvania","PA",40.0077,-75.1339,"42101","Harris","Campaign","Interview with NABJ journalists"
2024-09-17,"Atlanta","Fulton","Georgia","GA",33.7473456,-84.4159076,"13121","Walz","Campaign","Walz meets with Georgia Tech students"
2024-09-18,"Uniondale","Nassau","New York","NY",40.7157841,-73.6371684,"36059","Trump","Campaign","Trump rally"
2024-09-18,"Raleigh","Wake","North Carolina","NC",35.8324,-78.6438,"37183","Vance","Campaign","Vance event"
2024-09-19,"Washington","District of Columbia","District of Columbia","DC",38.893859,-77.0971485,"11001","Trump","Campaign","Two Trump events focused on antisemitism"
2024-09-19,"Farmington Hills","Oakland","Michigan","MI",42.4842119,-83.4184747,"26125","Harris","Campaign","Harris town hall with Oprah Winfrey"
2024-09-20,"Madison","Dane","Wisconsin","WI",43.0827,-89.3923,"55025","Harris","Campaign","Campaign rally"
2024-09-20,"Atlanta","Fulton","Georgia","GA",33.7473456,-84.4159076,"13121","Harris","Campaign","Harris event"
2024-09-21,"Bethlehem","Lehigh","Pennsylvania","PA",40.6252992,-75.4073117,"42077","Walz","Campaign","Walz campaign event"
2024-09-22,"Wilmington","New Hanover","North Carolina","NC",34.2157586,-77.9538195,"37129","Trump","Campaign","Trump rally"
2024-09-22,"Leesport","Berks","Pennsylvania","PA",40.4448424,-75.9778107,"42011","Vance","Campaign","Vance event"
2024-09-23,"Indiana","Indiana","Pennsylvania","PA",40.6220225,-79.1664877,"42063","Trump","Campaign","Trump event"
2024-09-23,"Charlotte","Mecklenburg","North Carolina","NC",35.2030383,-80.9482419,"37119","Vance","Campaign","Two Vance events "
2024-09-23,"Smithton","Westmoreland","Pennsylvania","PA",40.1535176,-79.7464273,"42129","Trump","Campaign","Trump remarks at meeting of Protecting America Initiative"
2024-09-24,"Savannah","Chatham","Georgia","GA",32.0919945,-81.1460978,"13051","Trump","Campaign","Trump speech on economics"
2024-09-25,"Pittsburgh","Allegheny","Pennsylvania","PA",40.4396,-79.9763,"42003","Harris","Campaign","Harris speech on economic plan"
