"table","cells","what_it_counts"
"P1",71,"Everyone, by race"
"P2",73,"Everyone, by Hispanic origin and race"
"P3",71,"People 18 and over, by race"
"P4",73,"People 18 and over, by Hispanic origin and race"
"H1",3,"Housing units: total, occupied, vacant"
"P5",10,"People living in group quarters, by type of institution"
