"group","pes_2020","ccm_2010","differs_from_zero","differs_from_2010","change"
"Black or African American",-3.3,-2.06,"Yes","No",-1.24
"American Indian or Alaska Native, on reservation",-5.64,-4.88,"Yes","No",-0.76
"Hispanic or Latino",-4.99,-1.54,"Yes","Yes",-3.45
"Native Hawaiian or Other Pacific Islander",1.28,1.02,"No","No",0.26
"Asian",2.62,0,"Yes","Yes",2.62
"White, not Hispanic",1.64,0.83,"Yes","Yes",0.81
