"delivery","statute","due","delivered","days_late"
"Apportionment counts, to the President","13 U.S.C. 141(b): within 9 months of Census Day",2020-12-31,2021-04-26,116
"Redistricting data, to the states","13 U.S.C. 141(c): within 1 year of Census Day",2021-04-01,2021-08-12,133
