"quantity","value"
"Total population",10711908
"Population 18 and over",8220274
"Population in group quarters",255178
"Housing units",4410956
"Occupied housing units",4020808
"Vacant housing units",390148
"White alone",5555483
"Black or African American alone",3320513
"American Indian or Alaska Native alone",50618
"Asian alone",479028
"Native Hawaiian or Other Pacific Islander alone",7299
"Some Other Race alone",555059
"Two or more races",743908
"Hispanic or Latino, of any race",1123457
"White alone, not Hispanic",5362156
