"series","frac","k","intercept","slope","r2"
"surnames",0.01,1566,6.94,-0.7987,0.9875
"surnames",0.01125,1762,6.9654,-0.8095,0.9878
"surnames",0.01266,1983,6.9906,-0.82,0.9882
"surnames",0.01425,2232,7.0154,-0.83,0.9886
"surnames",0.01604,2512,7.0399,-0.8398,0.9891
"surnames",0.01805,2827,7.0667,-0.8502,0.9894
"surnames",0.02031,3181,7.0934,-0.8604,0.9897
"surnames",0.02285,3579,7.1203,-0.8706,0.99
"surnames",0.02572,4028,7.1504,-0.8816,0.9901
"surnames",0.02894,4533,7.1801,-0.8924,0.9903
"surnames",0.03257,5101,7.209,-0.9026,0.9905
"surnames",0.03665,5740,7.2411,-0.9138,0.9906
"surnames",0.04125,6461,7.2761,-0.9258,0.9906
"surnames",0.04642,7270,7.3125,-0.9381,0.9905
"surnames",0.05,7831,7.3353,-0.9456,0.9905
"surnames",0.05223,8180,7.3486,-0.95,0.9905
"surnames",0.05878,9206,7.3836,-0.9614,0.9907
"surnames",0.06615,10360,7.4194,-0.9729,0.9908
"surnames",0.07444,11659,7.4555,-0.9842,0.991
"surnames",0.08377,13120,7.4932,-0.9959,0.9911
"surnames",0.09427,14765,7.5322,-1.0078,0.9912
"surnames",0.1,15662,7.5525,-1.014,0.9912
"surnames",0.10608,16614,7.5726,-1.02,0.9912
"surnames",0.11938,18697,7.6113,-1.0314,0.9914
"surnames",0.13434,21040,7.6489,-1.0424,0.9916
"surnames",0.15118,23678,7.6847,-1.0527,0.992
"surnames",0.17013,26646,7.718,-1.0621,0.9924
"surnames",0.19145,29985,7.75,-1.071,0.9928
"surnames",0.21544,33742,7.7819,-1.0798,0.9932
"surnames",0.24245,37973,7.813,-1.0882,0.9935
"surnames",0.25,39155,7.8209,-1.0904,0.9936
"surnames",0.27283,42731,7.843,-1.0963,0.9939
"surnames",0.30703,48087,7.8719,-1.1039,0.9943
"surnames",0.34551,54114,7.899,-1.111,0.9947
"surnames",0.38882,60897,7.9255,-1.1178,0.995
"surnames",0.43755,68530,7.9509,-1.1242,0.9954
"surnames",0.49239,77119,7.9753,-1.1303,0.9957
"surnames",0.5,78310,7.9784,-1.1311,0.9957
"surnames",0.5541,86784,8,-1.1364,0.996
"surnames",0.62355,97661,8.0262,-1.1428,0.9962
"surnames",0.7017,109901,8.0536,-1.1494,0.9964
"surnames",0.78965,123676,8.0833,-1.1565,0.9966
"surnames",0.88862,139177,8.1177,-1.1646,0.9966
"surnames",1,156621,8.1676,-1.1762,0.9962
"counties",0.01,31,6.935,-0.5359,0.9874
"counties",0.01125,35,6.9377,-0.5395,0.9889
"counties",0.01266,39,6.9411,-0.5435,0.9899
"counties",0.01425,44,6.9471,-0.5505,0.9904
"counties",0.01604,50,6.9535,-0.5575,0.9909
"counties",0.01805,56,6.9561,-0.5602,0.9919
"counties",0.02031,63,6.9568,-0.5609,0.9929
"counties",0.02285,71,6.9556,-0.5598,0.9937
"counties",0.02572,80,6.9544,-0.5587,0.9944
"counties",0.02894,90,6.9557,-0.5598,0.9951
"counties",0.03257,101,6.9592,-0.5628,0.9954
"counties",0.03665,114,6.9689,-0.5706,0.9947
"counties",0.04125,128,6.9804,-0.5796,0.9937
"counties",0.04642,144,6.9928,-0.5891,0.9927
"counties",0.05,155,7.0027,-0.5963,0.9917
"counties",0.05223,162,7.0099,-0.6016,0.9906
"counties",0.05878,182,7.0308,-0.6163,0.9879
"counties",0.06615,205,7.0529,-0.6315,0.9857
"counties",0.07444,231,7.0807,-0.6499,0.9823
"counties",0.08377,260,7.1134,-0.6709,0.9782
"counties",0.09427,292,7.1489,-0.693,0.9743
"counties",0.1,310,7.1666,-0.7038,0.9731
"counties",0.10608,329,7.1852,-0.7149,0.9719
"counties",0.11938,370,7.2249,-0.7383,0.9693
"counties",0.13434,416,7.2642,-0.7607,0.968
"counties",0.15118,469,7.3034,-0.7825,0.9676
"counties",0.17013,527,7.3472,-0.8061,0.9665
"counties",0.19145,593,7.3963,-0.832,0.965
"counties",0.21544,668,7.4459,-0.8574,0.9644
"counties",0.24245,752,7.5013,-0.8851,0.9631
"counties",0.25,775,7.5169,-0.8928,0.9626
"counties",0.27283,846,7.559,-0.9133,0.9622
"counties",0.30703,952,7.6169,-0.9409,0.962
"counties",0.34551,1071,7.6762,-0.9685,0.9621
"counties",0.38882,1205,7.7311,-0.9935,0.9633
"counties",0.43755,1356,7.7851,-1.0175,0.9647
"counties",0.49239,1526,7.846,-1.044,0.9654
"counties",0.5,1550,7.8545,-1.0476,0.9654
"counties",0.5541,1718,7.9133,-1.0726,0.9655
"counties",0.62355,1933,7.988,-1.1037,0.965
"counties",0.7017,2175,8.0776,-1.1403,0.9631
"counties",0.78965,2448,8.198,-1.1884,0.9575
"counties",0.88862,2755,8.3724,-1.2567,0.9442
"counties",1,3100,8.7628,-1.4063,0.8701
"receipts",0.01,29,8.8046,-0.9432,0.8205
"receipts",0.01125,32,8.796,-0.9318,0.8334
"receipts",0.01266,36,8.8026,-0.9401,0.8539
"receipts",0.01425,41,8.8142,-0.9538,0.8746
"receipts",0.01604,46,8.8263,-0.9676,0.8904
"receipts",0.01805,52,8.8358,-0.9777,0.9049
"receipts",0.02031,58,8.8398,-0.9819,0.9158
"receipts",0.02285,65,8.8419,-0.9839,0.9256
"receipts",0.02572,74,8.8431,-0.9851,0.9352
"receipts",0.02894,83,8.838,-0.9805,0.942
"receipts",0.03257,93,8.8322,-0.9754,0.9478
"receipts",0.03665,105,8.8226,-0.9675,0.953
"receipts",0.04125,118,8.81,-0.9573,0.9568
"receipts",0.04642,133,8.7973,-0.9474,0.9604
"receipts",0.05,143,8.7876,-0.9401,0.9621
"receipts",0.05223,149,8.7813,-0.9355,0.9628
"receipts",0.05878,168,8.7632,-0.9223,0.9649
"receipts",0.06615,189,8.7439,-0.9088,0.9665
"receipts",0.07444,213,8.7282,-0.8982,0.9687
"receipts",0.08377,240,8.7181,-0.8915,0.9716
"receipts",0.09427,270,8.7135,-0.8886,0.9745
"receipts",0.1,286,8.7169,-0.8907,0.976
"receipts",0.10608,303,8.7208,-0.8931,0.9774
"receipts",0.11938,341,8.7291,-0.8981,0.98
"receipts",0.13434,384,8.7397,-0.9043,0.9822
"receipts",0.15118,432,8.7494,-0.9097,0.9841
"receipts",0.17013,487,8.7622,-0.9168,0.9857
"receipts",0.19145,548,8.7788,-0.9257,0.9869
"receipts",0.21544,616,8.8025,-0.9381,0.9873
"receipts",0.24245,693,8.8376,-0.9559,0.9865
"receipts",0.25,715,8.8485,-0.9614,0.9861
"receipts",0.27283,780,8.8838,-0.9788,0.9844
"receipts",0.30703,878,8.9515,-1.0116,0.979
"receipts",0.34551,988,9.0549,-1.0605,0.9669
"receipts",0.38882,1112,9.2186,-1.1361,0.9422
"receipts",0.43755,1251,9.4317,-1.2322,0.9136
"receipts",0.49239,1408,9.6909,-1.3466,0.8874
"receipts",0.5,1430,9.7276,-1.3626,0.8845
"receipts",0.5541,1585,9.9925,-1.4768,0.8661
"receipts",0.62355,1783,10.3381,-1.6229,0.8492
"receipts",0.7017,2007,10.7271,-1.7839,0.8372
"receipts",0.78965,2258,11.1673,-1.9623,0.8277
"receipts",0.88862,2541,11.7466,-2.1922,0.8083
"receipts",1,2860,13.0419,-2.6956,0.683
"committees",0.01,12,8.8302,-0.881,0.9387
"committees",0.01125,12,8.8302,-0.881,0.9387
"committees",0.01266,12,8.8302,-0.881,0.9387
"committees",0.01425,13,8.8391,-0.8998,0.9437
"committees",0.01604,14,8.8433,-0.9083,0.9491
"committees",0.01805,16,8.8497,-0.9207,0.9573
"committees",0.02031,18,8.8565,-0.9326,0.9629
"committees",0.02285,20,8.8628,-0.9431,0.9675
"committees",0.02572,23,8.874,-0.9605,0.9719
"committees",0.02894,25,8.8828,-0.9735,0.9738
"committees",0.03257,29,8.9,-0.9974,0.9762
"committees",0.03665,32,8.913,-1.0145,0.9774
"committees",0.04125,36,8.9218,-1.0255,0.98
"committees",0.04642,41,8.9283,-1.0333,0.9828
"committees",0.05,44,8.9376,-1.0439,0.9832
"committees",0.05223,46,8.9456,-1.0528,0.983
"committees",0.05878,52,8.969,-1.078,0.9825
"committees",0.06615,58,8.9884,-1.0981,0.9827
"committees",0.07444,65,9.005,-1.1144,0.9837
"committees",0.08377,74,9.0189,-1.1276,0.9854
"committees",0.09427,83,9.0344,-1.1416,0.9864
"committees",0.1,88,9.045,-1.1509,0.9865
"committees",0.10608,93,9.0532,-1.158,0.9869
"committees",0.11938,105,9.0724,-1.174,0.9875
"committees",0.13434,118,9.0927,-1.1903,0.9879
"committees",0.15118,133,9.1192,-1.2109,0.9876
"committees",0.17013,149,9.1548,-1.2376,0.986
"committees",0.19145,168,9.2046,-1.2737,0.9827
"committees",0.21544,189,9.2583,-1.3113,0.9796
"committees",0.24245,213,9.3272,-1.3579,0.9749
"committees",0.25,220,9.3446,-1.3695,0.9742
"committees",0.27283,240,9.385,-1.3959,0.9738
"committees",0.30703,270,9.4322,-1.4259,0.9745
"committees",0.34551,303,9.4839,-1.4578,0.9748
"committees",0.38882,341,9.5418,-1.4925,0.9748
"committees",0.43755,384,9.6034,-1.5283,0.9747
"committees",0.49239,432,9.6773,-1.5701,0.9735
"committees",0.5,439,9.6889,-1.5766,0.9732
"committees",0.5541,486,9.7748,-1.6238,0.9699
"committees",0.62355,547,9.9043,-1.6932,0.9632
"committees",0.7017,616,10.046,-1.7672,0.9574
"committees",0.78965,693,10.2341,-1.8628,0.9467
"committees",0.88862,780,10.5031,-1.9963,0.9267
"committees",1,878,11.0838,-2.2769,0.8289
"targets",0.01,12,8.913,-1.0111,0.9684
"targets",0.01125,12,8.913,-1.0111,0.9684
"targets",0.01266,12,8.913,-1.0111,0.9684
"targets",0.01425,12,8.913,-1.0111,0.9684
"targets",0.01604,12,8.913,-1.0111,0.9684
"targets",0.01805,13,8.9141,-1.0136,0.9718
"targets",0.02031,15,8.9163,-1.0176,0.976
"targets",0.02285,17,8.9176,-1.0199,0.9797
"targets",0.02572,19,8.927,-1.0361,0.9814
"targets",0.02894,22,8.951,-1.0739,0.9757
"targets",0.03257,24,8.9814,-1.1198,0.9663
"targets",0.03665,27,9.0177,-1.1719,0.9617
"targets",0.04125,31,9.0447,-1.2084,0.9648
"targets",0.04642,35,9.0552,-1.2218,0.9693
"targets",0.05,37,9.055,-1.2215,0.9713
"targets",0.05223,39,9.0524,-1.2184,0.9727
"targets",0.05878,44,9.0424,-1.207,0.9753
"targets",0.06615,49,9.033,-1.1966,0.9772
"targets",0.07444,55,9.0187,-1.1815,0.9785
"targets",0.08377,62,9.0018,-1.1646,0.9793
"targets",0.09427,70,8.9822,-1.1457,0.9795
"targets",0.1,74,8.973,-1.1371,0.9797
"targets",0.10608,79,8.9646,-1.1295,0.9802
"targets",0.11938,89,8.9563,-1.1221,0.9821
"targets",0.13434,100,8.9522,-1.1186,0.9841
"targets",0.15118,112,8.9615,-1.1262,0.9857
"targets",0.17013,127,8.9821,-1.1424,0.9865
"targets",0.19145,142,9.0129,-1.1658,0.9854
"targets",0.21544,160,9.0483,-1.1918,0.9843
"targets",0.24245,180,9.1006,-1.2289,0.9801
"targets",0.25,186,9.1186,-1.2414,0.9784
"targets",0.27283,203,9.1772,-1.2815,0.9719
"targets",0.30703,228,9.2673,-1.3413,0.9629
"targets",0.34551,257,9.3694,-1.4071,0.9551
"targets",0.38882,289,9.4815,-1.4771,0.948
"targets",0.43755,326,9.6124,-1.5564,0.9407
"targets",0.49239,366,9.774,-1.6515,0.9299
"targets",0.5,372,9.7983,-1.6656,0.9284
"targets",0.5541,412,9.9584,-1.757,0.9205
"targets",0.62355,464,10.1759,-1.8781,0.9104
"targets",0.7017,522,10.4217,-2.0112,0.9008
"targets",0.78965,587,10.7493,-2.184,0.8838
"targets",0.88862,661,11.2336,-2.4328,0.8503
"targets",1,744,12.0385,-2.8356,0.7707
"pageviews",0.01,44,6.8849,-0.7634,0.9794
"pageviews",0.01125,49,6.8787,-0.7566,0.9809
"pageviews",0.01266,56,6.8722,-0.7497,0.9828
"pageviews",0.01425,63,6.8669,-0.7444,0.9844
"pageviews",0.01604,70,6.8644,-0.742,0.9859
"pageviews",0.01805,79,6.8623,-0.7401,0.9876
"pageviews",0.02031,89,6.859,-0.7372,0.9889
"pageviews",0.02285,100,6.8567,-0.7353,0.9901
"pageviews",0.02572,113,6.8561,-0.7347,0.9913
"pageviews",0.02894,127,6.8571,-0.7355,0.9924
