"series","rank","value","who"
"surnames",97,225734,"PRICE"
"surnames",101,223440,"TRAN"
"surnames",105,216911,"POWELL"
"surnames",109,211657,"PERRY"
"surnames",113,208066,"ROMERO"
"surnames",117,201992,"VASQUEZ"
"surnames",121,197137,"PATTERSON"
"surnames",126,191130,"GRIFFIN"
"surnames",131,186848,"HERRERA"
"surnames",136,182917,"GIBSON"
"surnames",141,177585,"STEVENS"
"surnames",147,172463,"WOODS"
"surnames",152,169750,"WELLS"
"surnames",158,162492,"WEBB"
"surnames",164,156875,"MUNOZ"
"surnames",170,154538,"DIXON"
"surnames",177,150906,"SALAZAR"
"surnames",183,147096,"MEYER"
"surnames",190,144026,"SANTOS"
"surnames",198,139234,"FERGUSON"
"surnames",205,137217,"PAYNE"
"surnames",213,132277,"PIERCE"
"surnames",221,129826,"ARMSTRONG"
"surnames",230,127488,"GEORGE"
"surnames",239,125396,"CONTRERAS"
"surnames",248,122836,"GREENE"
"surnames",257,117441,"LARSON"
"surnames",267,114522,"LAWSON"
"surnames",277,109854,"SIMS"
"surnames",288,106689,"HANSON"
"surnames",299,102949,"LUCAS"
"surnames",310,100117,"FIGUEROA"
"surnames",322,97208,"CURTIS"
"surnames",334,91795,"CHAMBERS"
"surnames",347,88252,"POWERS"
"surnames",360,85781,"GREGORY"
"surnames",374,83110,"LARA"
"surnames",388,80540,"WOLFE"
"surnames",403,78701,"SIMON"
"surnames",419,76051,"SERRANO"
"surnames",435,74664,"CHRISTENSEN"
"surnames",451,71361,"WALTON"
"surnames",468,69776,"MACK"
"surnames",486,67360,"HODGES"
"surnames",505,64946,"ANDRADE"
"surnames",524,62929,"PATTON"
"surnames",544,61073,"SPARKS"
"surnames",565,58520,"MELENDEZ"
"surnames",587,55865,"ZUNIGA"
"surnames",609,54003,"MORROW"
"surnames",632,52173,"SINGLETON"
"surnames",657,50649,"BOND"
"surnames",682,48861,"CALLAHAN"
"surnames",708,47279,"BARRY"
"surnames",735,45892,"JOHNS"
"surnames",763,44406,"XU"
"surnames",792,42592,"MCINTYRE"
"surnames",822,41103,"BUCK"
"surnames",854,39517,"MORSE"
"surnames",886,38580,"PACE"
"surnames",920,37355,"CANO"
"surnames",955,35970,"LEAL"
"surnames",992,34539,"COFFEY"
"surnames",1030,33500,"ROLLINS"
"surnames",1069,32189,"GAMBLE"
"surnames",1110,31110,"JUSTICE"
"surnames",1152,29903,"DONAHUE"
"surnames",1196,28803,"CROWE"
"surnames",1242,27844,"HATCHER"
"surnames",1289,26668,"THAO"
"surnames",1339,25704,"MICHEL"
"surnames",1390,25045,"OTT"
"surnames",1443,24047,"SWAIN"
"surnames",1498,23246,"STOVER"
"surnames",1555,22548,"HEARD"
"surnames",1615,21611,"LAI"
"surnames",1676,21010,"LINK"
"surnames",1741,20069,"GAGNON"
"surnames",1807,19441,"CARUSO"
"surnames",1876,18785,"EDDY"
"surnames",1948,18077,"QUEEN"
"surnames",2022,17473,"PUTNAM"
"surnames",2099,16745,"WHITTINGTON"
"surnames",2180,16231,"LIGHT"
"surnames",2263,15658,"MCNALLY"
"surnames",2349,15128,"SOLORZANO"
"surnames",2439,14482,"NEGRETE"
"surnames",2532,13910,"JOY"
"surnames",2629,13405,"OGLE"
"surnames",2730,12860,"ROBB"
"surnames",2834,12370,"CEPEDA"
"surnames",2942,11969,"CLANCY"
"surnames",3055,11480,"FORTUNE"
"surnames",3171,11113,"HANNON"
"surnames",3292,10715,"NEWSOM"
"surnames",3418,10208,"STOWE"
"surnames",3549,9810,"RAGAN"
"surnames",3684,9387,"AN"
"surnames",3825,9048,"OSTRANDER"
"surnames",3971,8664,"GALBRAITH"
"surnames",4123,8358,"CLAUSEN"
"surnames",4281,8012,"CARPIO"
"surnames",4444,7740,"FAISON"
"surnames",4614,7460,"HAIR"
"surnames",4790,7160,"OTIS"
"surnames",4973,6844,"MCKELVEY"
"surnames",5163,6549,"STYLES"
"surnames",5361,6279,"FANNIN"
"surnames",5565,6031,"HADDEN"
"surnames",5778,5777,"BEDOLLA"
"surnames",5999,5526,"SORRELLS"
"surnames",6228,5266,"MAPES"
"surnames",6466,5052,"BERUMEN"
"surnames",6713,4829,"HARDAWAY"
"surnames",6970,4645,"CAPONE"
"surnames",7236,4449,"PEAKE"
"surnames",7512,4276,"FEASTER"
"surnames",7799,4083,"MOTE"
"surnames",8098,3919,"GUERRIER"
"surnames",8407,3773,"ANG"
"surnames",8728,3607,"WENTZEL"
"surnames",9062,3463,"VAILLANCOURT"
"surnames",9408,3315,"GLENNON"
"surnames",9767,3170,"ROMAIN"
"surnames",10141,3030,"SUTTLE"
"surnames",10528,2907,"SELPH"
"surnames",10930,2784,"LUKENS"
"surnames",11348,2657,"ARTZ"
"surnames",11781,2544,"ZUKOWSKI"
"surnames",12232,2428,"BURKART"
"surnames",12699,2322,"SIMOES"
"surnames",13184,2222,"HINNANT"
"surnames",13688,2120,"MOSCA"
"surnames",14211,2029,"SAULSBERRY"
"surnames",14754,1933,"RENNA"
"surnames",15318,1845,"BANGERT"
"surnames",15903,1764,"SAEPHAN"
"surnames",16511,1690,"SEMLER"
"surnames",17141,1618,"BUTTRAM"
"surnames",17796,1549,"PALKO"
"surnames",18476,1480,"NETT"
"surnames",19182,1416,"SARAVANAN"
"surnames",19915,1353,"MONTESANO"
"surnames",20676,1297,"DORVAL"
"surnames",21466,1241,"KUBAT"
"surnames",22286,1185,"CHHAY"
"surnames",23138,1135,"HAYMORE"
"surnames",24022,1088,"STOY"
"surnames",24940,1043,"HILLEGASS"
"surnames",25893,996,"AGYEMAN"
"surnames",26882,954,"DUFFER"
"surnames",27909,913,"VITUG"
"surnames",28976,873,"PILSON"
"surnames",30083,834,"RIKE"
"surnames",31232,796,"SEEDS"
"surnames",32426,761,"MIMBS"
"surnames",33665,728,"DERICKSON"
"surnames",34951,696,"DEBELL"
"surnames",36286,665,"ROJEK"
"surnames",37673,635,"CREACH"
"surnames",39112,608,"CACCAVALE"
"surnames",40607,581,"IMBURGIA"
"surnames",42158,555,"PEDDIE"
"surnames",43769,531,"DEAHL"
"surnames",45441,508,"SOLARTE"
"surnames",47178,486,"SEREDA"
"surnames",48980,465,"ASHMEAD"
"surnames",50852,444,"GRELLE"
"surnames",52795,425,"VANDERWEELE"
"surnames",54812,406,"LUSKIN"
"surnames",56906,388,"ULRICK"
"surnames",59081,371,"TABLADA"
"surnames",61338,354,"GROLLER"
"surnames",63682,339,"SCHEIDECKER"
"surnames",66115,324,"MUNJAL"
"surnames",68641,309,"FORINGER"
"surnames",71264,296,"STROBBE"
"surnames",73987,283,"WHOOLEY"
"surnames",76814,270,"GRANGROTH"
"surnames",79749,258,"ROMEROREYES"
"surnames",82796,246,"PLENTY"
"surnames",85959,234,"HEGLIN"
"surnames",89244,223,"ATTERSON"
"surnames",92654,213,"DELSESTO"
"surnames",96194,203,"ADDESSI"
"surnames",99869,194,"KLUBER"
