"series","rank","value","who"
"receipts",673,1181527.92,"BENNET, MICHAEL F."
"receipts",690,1131919.91,"CRAPO, MICHAEL D"
"receipts",707,1093681.39,"QUIGLEY, MIKE"
"receipts",725,1042682.68,"BLUMENAUER, EARL"
"receipts",743,1003637.94,"WILLIAMS, NIKEMA N."
"receipts",762,948026.71,"SMITH, SANDY"
"receipts",782,897299.59,"RUTHERFORD, JOHN"
"receipts",801,849298.46,"HAMLEN, WILLIAM P"
"receipts",822,799721.08,"FALLON, PATRICK"
"receipts",842,761154.89,"JAWANDO, WILL"
"receipts",864,710123.92,"LYNCH, STEPHEN"
"receipts",885,663085.61,"OZ, MEHMET DR"
"receipts",908,626215.16,"LUTZ, MARY ANN"
"receipts",931,567548.46,"DANIELS, ANTHONY"
"receipts",954,526945.16,"PENCE, GREGORY J."
"receipts",978,476872.35,"JONES, MARCUS"
"receipts",1003,416650.34,"HUBBARD, CHUCK"
"receipts",1028,378035.27,"SABATINI, ANTHONY"
"receipts",1054,350803.66,"PADORA, JOHN J JR."
"receipts",1081,312654.27,"RATEVOSIAN, JIRAIR"
"receipts",1108,289421.72,"MAJEWSKI, JR"
"receipts",1136,261781.51,"GIDEON, SARA"
"receipts",1165,232443.49,"CARPER, THOMAS R."
"receipts",1194,206275.82,"HILL, TERRI"
"receipts",1225,184205.25,"PORTMAN, ROB THE HONORA"
"receipts",1255,166380.6,"SHELTON, AMANDA LEE"
"receipts",1287,151665.14,"VILLARREAL RIGNEY, JOHN"
"receipts",1320,136294.26,"SIMON, MICHAEL CRAIG MR."
"receipts",1353,123590.25,"COULOMBE, CHRIS MR"
"receipts",1387,110845.09,"NASAR, AHSAN"
"receipts",1422,99784.32,"FREEMAN, ESAU A"
"receipts",1458,86850.99,"FINKENAUER, ABBY"
"receipts",1495,77058.52,"JONES, BRIAN"
"receipts",1533,68534.45,"DUNN, MARIA MS."
"receipts",1572,61660.34,"CASH, TAMBREI"
"receipts",1611,54190.77,"EKPETE KAMA, ULOMA"
"receipts",1652,46624.47,"BEST, BRYON L"
"receipts",1694,41945.95,"HUTCHISON, EVAN HALE"
"receipts",1736,37090.24,"FREEMAN, SARAH"
"receipts",1780,32126.04,"DELUZ, CRAIG"
"receipts",1825,28581.56,"SARBANES, JOHN P. MR."
"receipts",1871,24845,"STOLL, MATTHEW"
"receipts",1919,21614.07,"STEVENSON, JAYME MRS."
"receipts",1967,19194.16,"BRIODY, PATRICK JAMES"
"receipts",2017,16258.57,"SELKER, MARTY"
"receipts",2068,14064.94,"PERKINS, LEONARD REV SR"
"receipts",2120,12028.82,"MURPHY, JUSTIN MICHAEL LL.M."
"receipts",2174,10069.38,"STEEL, CYNTHIA DIANNE"
"receipts",2229,8652.27,"BLOOMBERG, MICHAEL R."
"receipts",2285,7142.12,"HORN, KENDRA"
"receipts",2343,5550,"CRUZ, JOHSIRA"
"receipts",2402,4339.28,"INGALLS, JOSIAH JAMES"
"receipts",2462,3001.13,"MCCARTHY, DANIEL"
"receipts",2525,1744.75,"HYDE, ROBERT FINLEY"
"receipts",2588,1000.14,"QUALLS, KENDALL"
"receipts",2654,500.1,"MORAN, JAMES P. JR."
"receipts",2721,200,"HARRIS, RONALD"
"receipts",2790,51.42,"AWTREY, PATRICK EUGENE MR."
"receipts",2860,0.01,"PARK, CHARLES"
"committees",1,505077660.37,"FF PAC"
"committees",2,366080859.12,"MAKE AMERICA GREAT AGAIN INC."
"committees",3,315025998.46,"WinSenate"
"committees",4,241069107.74,"HMP"
"committees",5,211093032.88,"Senate Leadership Fund"
"committees",6,160499762.25,"Americans for Prosperity Action, Inc. (AFP Action) DBA CVA Action and DBA LIBRE Action"
"committees",7,112321879.52,"PRESERVE AMERICA PAC"
"committees",8,102986088.56,"DCCC"
"committees",9,99891785.59,"SFA Fund, Inc"
"committees",10,86042846.48,"AB PAC"
"committees",11,69583233.16,"RIGHT FOR AMERICA"
"committees",12,62802353.62,"WIN IT BACK PAC"
"committees",13,60227818.91,"American Crossroads"
"committees",14,59326857.44,"DEFEND AMERICAN JOBS"
"committees",15,54394982.49,"KEYSTONE RENEWAL PAC"
"committees",16,53368286.97,"LCV Victory Fund"
"committees",17,50576806.62,"NRCC"
"committees",18,43754853.31,"DSCC"
"committees",19,42747110.92,"RESTORATION PAC"
"committees",20,40665514.98,"Fairshake"
"committees",21,39044058.49,"UNITED DEMOCRACY PROJECT (UDP)"
"committees",22,34523202.41,"Protect Progress"
"committees",23,33816255.22,"Last Best Place PAC"
"committees",24,31564723.68,"MARYLAND'S FUTURE"
"committees",25,29697063.54,"BlackPAC"
"committees",26,29282154.34,"Women Vote"
"committees",27,27330342.49,"One For All Committee"
"committees",28,25817658.83,"Truth and Courage PAC"
"committees",29,23591142.83,"DUTY TO AMERICA PAC"
"committees",30,22914874.23,"MORE JOBS, LESS GOVERNMENT"
"committees",31,22787963.85,"Republican Accountability PAC"
"committees",32,21361846.75,"NRSC"
"committees",33,21318636.17,"CFFE PAC"
"committees",34,21184890.58,"GLCF, INC."
"committees",35,20476000,"RBG PAC"
"committees",36,20102307.24,"Somos PAC"
"committees",37,19009955.72,"BEST OF AMERICA PAC"
"committees",38,18975432.96,"YOUR COMMUNITY PAC"
"committees",39,18655912.21,"CLUB FOR GROWTH ACTION"
"committees",40,18180496.57,"BUCKEYE VALUES PAC"
"committees",41,17599137.38,"Retire Career Politicians"
"committees",42,16581630.12,"FIX WASHINGTON PAC"
"committees",43,14978801.31,"TRUST IN THE MISSION PAC"
"committees",44,14456166.18,"For Our Future"
"committees",45,13848411.21,"VoteVets"
"committees",46,13344390.75,"RJC Victory Fund"
"committees",47,13168914.81,"American Values 2024"
"committees",48,12554191.73,"EDF Action Votes"
"committees",49,12381044.88,"NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND"
"committees",50,11750451.66,"National Association of Realtors Congressional Fund"
"committees",51,11273304.79,"The Sentinel Action Fund"
"committees",52,11065022.74,"Project 218"
"committees",53,10902252.03,"Working America"
"committees",54,10614327.77,"SEIU COPE (Service Employees International Union Committee On Political Education)"
"committees",55,10553442,"FIGHT RIGHT INC"
"committees",57,10039363,"Standing Strong PAC"
"committees",58,9931109.8,"National Nurses United for Patient Protection"
"committees",59,9750711.89,"AMERICA LEADS ACTION INC."
"committees",60,9623630.81,"Giffords PAC"
"committees",62,9367527.36,"WORKERS VOTE"
"committees",63,8832163.23,"The Conservative Caucus dba Americans for Constitutional Liberty"
"committees",64,8655425.23,"WORKING FAMILIES PARTY PAC"
"committees",66,8531652.32,"PROJECT RESCUE AMERICA"
"committees",67,8294040.28,"Protect Freedom Political Action Committee"
"committees",69,8244160.17,"CONSERVATIVE OUTSIDER PAC INC"
"committees",70,8072470.73,"Worker Power PAC"
"committees",72,7927900.58,"TELL IT LIKE IT IS PAC"
"committees",73,7664535.5,"BUCKEYE LEADERSHIP FUND"
"committees",75,7346958.03,"SAG PAC INC."
"committees",76,7330603.74,"CONSERVATIVES FOR AMERICAN EXCELLENCE INC."
"committees",78,6694347.74,"JEFFERSON RISING"
"committees",80,6645033.82,"Battleground New York"
"committees",81,6554190.89,"AMERICAN EXCEPTIONALISM PAC"
"committees",83,6224326.48,"Civic Truth Action"
"committees",85,5941886.77,"SOS AMERICA PAC"
"committees",87,5640592.88,"Forward Blue PAC"
"committees",89,5586700.01,"CHC BOLD PAC"
"committees",90,5528165.37,"314 Action Fund"
"committees",92,5477980.7,"Leadership for Ohio Fund"
"committees",94,5339555.27,"National Association of Realtors Political Action Committee"
"committees",96,5221653.55,"WITH HONOR FUND II, INC."
"committees",98,4944225.6,"Americans 4 Security PAC"
"committees",101,4662300.59,"MILLIONS OF MICHIGANIANS"
"committees",103,4540195.1,"MAHA ALLIANCE"
"committees",105,4404837.76,"NRDC Action Votes"
"committees",107,4317833.74,"PEOPLE POWER PENNSYLVANIA"
"committees",109,4247968.95,"Ohio Works"
"committees",112,4032811.36,"Duty and Country"
"committees",114,3879980.67,"Mainstream Democrats PAC"
"committees",117,3766889.73,"HOUSE FREEDOM ACTION"
"committees",119,3638429.66,"MoveOn.org Political Action"
"committees",122,3546930.18,"New American Jobs Fund"
"committees",124,3505629.24,"Justice Democrats PAC"
"committees",127,3329054.99,"AFSCME WORKING FAMILIES FUND"
"committees",130,3018691.38,"SHOW-ME STRONG PAC"
"committees",133,2873866.02,"Reproductive Freedom For All Freedom Fund"
"committees",135,2841593.34,"Progressive Turnout Project"
"committees",138,2711792.19,"ANTI-PSYCHOPATH PAC INC."
"committees",141,2642964.37,"United We Can"
"committees",144,2579984.5,"Americas PAC"
"committees",147,2331853.09,"Priorities USA Action"
"committees",151,2186933.03,"Heartland Resurgence"
"committees",154,2109156.45,"TURNOUT FOR AMERICA"
"committees",157,2061874.95,"IN UNION USA"
"committees",160,1967036.5,"Next Generation Veteran Fund"
"committees",164,1871000,"EVANGELICALS FOR AMERICA PAC"
"committees",167,1781682.66,"INTEGRITY LEADERSHIP FUND"
"committees",171,1717397.41,"DEMOCRATIC MAJORITY ACTION (DMA PAC)"
"committees",175,1619957.69,"MAKE AMERICA GREAT AGAIN ACTION INC"
"committees",178,1596941.38,"SCHOOL FREEDOM FUND"
"committees",182,1484640.5,"Secure NYS PAC"
"committees",186,1407280.2,"OUR COMMUNITY FIRST ACTION INC"
"committees",190,1318618.82,"Duty First Nevada PAC"
"committees",194,1251575.1,"HOUSE FREEDOM FUND"
"committees",198,1201000,"DEFEND US PAC"
"committees",203,1133000,"Democracy 2025"
"committees",207,1069885.84,"MI Planned Parenthood Votes"
"committees",211,1047773.7,"OPPORTUNITY MATTERS FUND, INC."
"committees",216,1025000,"WON'T PAC DOWN"
"committees",221,994564.05,"NEA Advocacy Fund"
"committees",225,971108.48,"ARIZONA'S BOLD ERA PAC (ABE PAC)"
"committees",230,945915.08,"MAKE DC LISTEN PAC"
"committees",235,930000,"GREAT OPPORTUNITY PAC, INC."
"committees",240,905250,"OUR AMERICAN CENTURY"
"committees",245,874021.79,"FUTURE PENNSYLVANIA PAC"
"committees",251,835000,"AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE"
"committees",256,803000,"CATHOLICVOTE.ORG CANDIDATE FUND"
"committees",262,768336,"MID-ATLANTIC LABORERS POLITICAL EDUCATION FUND"
"committees",267,753795.1,"VOCES DE LA FRONTERA ACTION"
"committees",273,700000,"NATIONAL ASSOCIATION OF HOME BUILDERS"
"committees",279,667193.37,"EMGAGE FEDERAL POLITICAL ACTION COMMITTEE"
"committees",285,643384.6,"BRIGHTER FUTURE ALLIANCE"
"committees",291,621000,"JUST THE TRUTH POLITICAL ACTION COMMITTEE"
"committees",297,584144.59,"Committee To Protect Health Care PAC"
"committees",303,566300,"DRIVING FORCE ACTION"
"committees",310,525994,"Let America Vote PAC"
"committees",317,504176.07,"STICKER PAC"
"committees",323,490000,"Unity First PAC"
"committees",330,469509.22,"Democratic Power, Inc."
"committees",337,455256.46,"Listen to Us"
"committees",345,425511.81,"Orange County PAC"
"committees",352,413676,"Building America"
"committees",360,393500,"ARAB AMERICANS FOR A BETTER AMERICA"
"committees",367,379164.6,"Patriots Prevail PAC"
"committees",375,350008.65,"The Wilderness Society Action Fund"
"committees",383,327100.52,"Fighting for Californians"
"committees",392,305698.36,"November Coalition"
"committees",400,294516.02,"OAKLAND CORPS PAC"
"committees",409,282897.14,"PALMETTO VALUES"
"committees",417,268948.06,"AUTISM HEAR US NOW PAC"
"committees",426,254536.23,"HEALTHCARE FREEDOM SUPER PAC"
"committees",436,228736.51,"COURAGEOUS CONSERVATIVES PAC"
"committees",445,217000,"RESIST RECLAIM REBUILD PAC"
"committees",454,200530.57,"AAPI Victory Fund"
"committees",464,184250,"CONSTITUTIONAL LEADERSHIP PAC"
"committees",474,174835.64,"CENTRAL COAST VALUES PAC"
"committees",484,157714.92,"PLANNED PARENTHOOD TEXAS VOTES VICTORY FUND"
"committees",495,141227.28,"NAKASEC ACTION FUND"
"committees",505,131510.88,"Indivisible Project Inc."
"committees",516,125000,"SAVE AMERICAN FREEDOM"
"committees",527,118965.21,"ILLINOIS AGRICULTURAL ASSOCIATION ACTIVATOR POLITICAL INVOLVEMENT FUND (FED) 'ACTIVATOR'/'ILLINOIS FARM BUREAU ACTIVATOR'"
"committees",539,107746,"ECONOMIC SECURITY PROJECT ACTION INC."
"committees",550,101446.51,"NCAAT IN ACTION"
"committees",562,97642.08,"UAW - V - CAP (UAW VOLUNTARY COMMUNITY ACTION PROGRAM)"
"committees",574,89561.5,"AMERICANS FOR CONSUMER PROTECTION"
"committees",586,81635,"Immigrants' List Civic Action, Inc."
"committees",599,77040,"A SAFER STRONGER OREGON PAC"
"committees",612,71777.02,"Nevada Republican Central Committee"
"committees",625,65000,"VICTORY INCLUDES ACCOUNTABILITY BELIEVABILITY LEADERSHIP AND ELECTABILITY PAC (VIABLE PAC)"
"committees",638,56042.12,"Restoring Liberty PAC"
"committees",652,50000,"AMERICAN ALLIANCE FOR DISABLED CHILDREN PAC"
"committees",666,43253.29,"ASIANS MAKING AMERICA GREAT AGAIN"
"committees",680,39327.73,"National Association of Letter Carriers of U.S.A. Political Fund (Letter Carrier Political Fund)"
"committees",695,36085,"Pass The Torch"
"committees",710,32162.25,"ELEVEN5"
"committees",725,27140,"LGBTQ Victory Fund Federal PAC"
"committees",741,22081.08,"TEAMSTERS 769 POLITICAL COMMITTEE FUND"
"committees",757,19640.38,"SOUTHERN ILLINOIS WORKING FAMILIES PAC"
"committees",773,14049.33,"POINT OF FRICTION"
"committees",790,10750.3,"Arab American Political Action Committee"
"committees",806,9000,"Go America PAC"
"committees",824,6845,"Defeat Bad Leaders"
"committees",841,3004.55,"Straight Ahead Organization"
"committees",860,1500,"Progressive Change Campaign Committee"
"committees",878,1,"TYLER LEE SCAFIDI''S PRESIDENTIAL POLITICAL ACTION COMMITTEE (PAC) FOR EQUITABLE AMERICAN LAW, ORDER, AND JUSTICE"
"targets",1,966596406.64,"HARRIS, KAMALA"
"targets",2,337422894.99,"HARRIS, KAMALA"
"targets",3,322163608.76,"TRUMP, DONALD"
"targets",4,153138089.91,"MORENO, BERNIE"
"targets",5,143746931.52,"BROWN, SHERROD"
"targets",6,131841572.19,"CASEY, ROBERT"
"targets",7,122189231.46,"HALEY, NIKKI"
"targets",8,110875978.39,"MCCORMICK, DAVE"
"targets",9,84774892.5,"SHEEHY, TIM"
"targets",10,83585895.43,"TESTER, R. JON"
"targets",11,79233747.52,"SLOTKIN, ELISSA"
"targets",12,65158566.79,"ROGERS, MICHAEL"
"targets",13,59914538.59,"BALDWIN, TAMMY"
"targets",14,58977528.13,"BROWN, SAM"
"targets",15,48730909.26,"ALLRED, COLIN"
"targets",16,47417214.53,"HOVDE, ERIC"
"targets",17,46362620.76,"GALLEGO, RUBEN"
"targets",18,39023303.49,"ROSEN, JACKY"
"targets",19,36471012.67,"DESANTIS, RON"
"targets",20,35207691.23,"ALSOBROOKS, ANGELA"
"targets",21,32342167.07,"LAKE, KARI"
"targets",22,22247078.42,"OSBORN, DAN"
"targets",23,21074899.08,"KENNEDY, ROBERT"
"targets",24,18726812.51,"BURGUM, DOUG"
"targets",25,17797152.37,"BARRETT, THOMAS"
"targets",26,17519309.38,"HOGAN, LARRY"
"targets",27,16481426.68,"STEEL, MICHELLE"
"targets",28,16463989.26,"DUARTE, JOHN"
"targets",29,16078771.72,"SCOTT, TIMOTHY"
"targets",30,15286384.51,"BUCKHOUT, LAURIE"
"targets",31,14964876.33,"THERIAULT, AUSTIN LEO"
"targets",32,14591137.22,"KENT, JOSEPH"
"targets",33,14527497.36,"SCHWEIKERT, DAVID"
"targets",34,14500058.89,"CHAVEZ-DEREMER, LORI"
"targets",35,14155665.19,"BRESNAHAN, ROB"
"targets",36,14066807.04,"MOLINARO, MARCUS"
"targets",37,14053054.6,"BOWMAN, JAMAAL"
"targets",38,13805378.89,"DESPOSITO, ANTHONY"
"targets",39,13764176.66,"GARCIA, MICHAEL"
"targets",40,13623229.76,"MACKENZIE, RYAN"
"targets",41,13359393.45,"EVANS, TIMOTHY"
"targets",42,13344189.17,"CISCOMANI, JUAN"
"targets",43,12289252.98,"MIN, DAVE"
"targets",44,12196216.8,"BACON, DON"
"targets",45,11861095.88,"VALADAO, DAVID"
"targets",46,11779427.76,"CRUZ, RAFAEL"
"targets",47,11496296.54,"BEGICH, NICHOLAS III"
"targets",48,11394133.52,"PILIP, MAZI"
"targets",49,11159733.76,"HERRELL, STELLA"
"targets",50,10996160.77,"COUGHLIN, KEVIN"
"targets",51,10928544.74,"HOVDE, ERIC"
"targets",52,10786427.13,"MILLER-MEEKS, MARIANNETTE"
"targets",53,10641431.86,"CARAVEO, YADIRA"
"targets",55,10034736.33,"GARVEY, STEVE"
"targets",56,9985079.86,"BUSH, CORI"
"targets",57,9960295.74,"MERRIN, DEREK"
"targets",58,9773927.04,"NUNN, ZACH"
"targets",59,9734364,"JAMES, JOHN"
"targets",61,9348899.31,"CURTIS, JOHN"
"targets",62,9242036.02,"CALVERT, KEN"
"targets",63,9208387.42,"DESANTIS, RONALD"
"targets",64,9156634.83,"RILEY, JOSH"
"targets",66,8791284.55,"DEBBIE, MUCARSEL-POWELL,"
"targets",67,8622476.37,"BAUGH, SCOTT"
"targets",69,8510414.73,"PELTOLA, MARY"
"targets",70,8412381.71,"BIDEN, JOSEPH"
"targets",72,8149861.08,"SUOZZI, THOMAS"
"targets",73,8080911.64,"GOLDEN, JARED"
"targets",75,7988903.62,"GLUESENKAMP PEREZ, MARIE"
"targets",76,7542914.1,"JUNGE, PAUL"
"targets",78,7303021.71,"GILLEN, LAURA"
"targets",79,7282461.72,"LAROSE, FRANK"
"targets",81,6939596,"LATIMER, GEORGE"
"targets",83,6653221.38,"DAVIS, DON"
"targets",84,6624580.55,"RAMASWAMY, VIVEK"
"targets",86,6357196.95,"BYNUM, JANELLE"
"targets",88,6251845.97,"WILD, SUSAN"
"targets",90,6023093.69,"GOOD, ROBERT"
"targets",92,5873675.73,"KIGGANS, JENNIFER"
"targets",94,5637868.7,"GRAY, ADAM"
"targets",96,5502002.04,"TRAN, DEREK"
"targets",98,5482421.96,"SALAS, RUDY"
"targets",100,5229397.67,"MANNION, JOHN"
"targets",102,5099866.94,"STELSON, JANELLE"
"targets",104,4864420.62,"OLIVER, CHASE"
"targets",106,4396845.79,"ELFRETH, SARAH"
"targets",108,4298850.74,"ROLLINS, WILL"
"targets",111,4162052.06,"VINDMAN, YEVGENY"
"targets",113,4021248.2,"BANKS, JAMES E. HON."
"targets",115,3884766.72,"HERRERA, BRANDON"
"targets",118,3785990.23,"SCHAEFER, KURT"
"targets",120,3734882.56,"VASQUEZ, GABRIEL"
"targets",123,3495772.56,"LICCARDO, SAM"
"targets",125,3356024.64,"MARLINGA, CARL"
"targets",128,3164652.96,"GALLEGO, RUBEN"
"targets",130,3045518.57,"GILL, BRANDON"
"targets",133,2861122.88,"RANDALL, EMILY"
"targets",136,2796024.25,"FLORES, MAYRA NOHEMI"
"targets",139,2767667.61,"HORSFORD, STEPHEN"
"targets",142,2668766.69,"AVLON, JOHN"
"targets",145,2602227.88,"TRONE, DAVID"
"targets",148,2477377.55,"RYAN, PATRICK"
"targets",151,2353381.02,"KIM, YOUNG"
"targets",154,2293151.68,"MCDONALD RIVET, KRISTEN"
"targets",157,2226904.53,"TOMA, BEN"
"targets",160,2047321.65,"LOGAN, GEORGE"
"targets",164,2004899.65,"COOKE, REBECCA"
"targets",167,1938396.66,"TIMMONS, WILLIAM R"
"targets",171,1703292.79,"DEATON, JOHN"
"targets",174,1653311.17,"WALKER, BRADLEY MARK MR."
"targets",178,1527265.83,"GONZALES, ERNEST"
"targets",182,1482988.92,"JOHNSON, JULIE"
"targets",186,1417539.46,"BECKER, RICK"
"targets",189,1338250.09,"DAHLSTROM, NANCY"
"targets",193,1201000,"BIDEN, JOSEPH JR"
"targets",197,1153448.53,"NEWHOUSE, DAN"
"targets",202,1083435.27,"MIN, DAVID"
"targets",206,1007627.5,"BARRASSO, JOHN A"
"targets",210,983933.36,"STEIL, BRYAN"
"targets",215,939215.85,"DIMMOCK, AARON"
"targets",219,877985.54,"CARL, JERRY LEE, JR"
"targets",224,788108.6,"HARRIGAN, PAT"
"targets",228,757420.23,"HAYES, JAHANA"
"targets",233,715142.17,"HOSTETTLER, JOHN NATHAN"
"targets",238,691556.33,"SUBRAMANYAM, SUHAS"
"targets",243,665690,"DRAVES, MARY"
"targets",248,621130.47,"CRANK, JEFF"
"targets",253,598457.41,"FRISCH, ADAM"
"targets",259,566410.85,"KNOTT, BRAD"
"targets",264,531017.93,"BOEBERT, LAUREN"
"targets",269,494453.18,"COLLINS, KINA"
"targets",275,453687.2,"HAYES, DENNIS"
"targets",281,420150.37,"EDDY, CHRISTOPHER"
"targets",287,396425.44,"HARIDOPOLOS, MIKE"
"targets",293,383226.67,"DELUZIO, CHRISTOPHER"
"targets",299,368523.73,"BASHAW, CURTIS"
"targets",305,338193.05,"FITZPATRICK, BRIAN"
"targets",312,306297.97,"MARKEY, MICHAEL JAY MR. JR."
"targets",318,271584.58,"MORGAN, PATRICIA"
"targets",325,246488.43,"SPARTZ, VICTORIA"
"targets",332,223829.43,"SMILEY, TIFFANY"
"targets",338,209852.94,"SCHRIER, KIM"
"targets",346,195578.15,"DAVIDS, SHARICE"
"targets",353,174519.88,"MRVAN, FRANK"
"targets",360,161810,"YOUNG, TODD"
"targets",368,150011.42,"BROWN, THEODORE E. JR."
"targets",375,143040.78,"FLOOD, MIKE"
"targets",383,126626,"MCHENRY, PATRICK TIMOTHY"
"targets",391,119880.22,"BECKER, RICK"
"targets",400,108369.39,"RUTHERFORD, JOHN"
"targets",408,100850,"UNDERWOOD, LAUREN"
"targets",416,90288.33,"LALOTA, NICHOLAS JOSEPH"
"targets",425,76952.76,"WHITEHOUSE, SHELDON"
"targets",434,74263.61,"AMO, GABRIEL"
"targets",443,66620.8,"JACQUE, ANDRE"
"targets",452,61365.34,"BALDWIN, TAMMY"
"targets",462,55000,"COREY, MATTHEW MCKINNON"
"targets",472,51157.04,"NEZ, JONATHAN"
"targets",481,46160,"MEEKS, GREGORY W."
"targets",492,40850.11,"LEE, SHEILA"
"targets",502,35000,"COOPER, KELLY"
"targets",512,31875,"BOYDA, NANCY"
"targets",523,24214.84,"TUBERVILLE, THOMAS"
"targets",534,21378,"DENTON, JAKE"
"targets",545,19096.17,"LAHOOD, DARIN MCKAY"
"targets",557,15000,"HARRIS, KAMALA"
"targets",568,14029.43,"GLEICH, CAROLINE"
"targets",580,12000,"BARR, CALLIE"
"targets",592,10000,"DONALDS, BYRON"
"targets",605,7056.89,"LUTTRELL, MORGAN"
"targets",617,5146.39,"PHIPPEN, CAROLYN MARIE"
"targets",630,3899.23,"TRUMP, DONALD"
"targets",644,3214.72,"ABID, ZERQA"
"targets",657,2259.06,"PORTANTINO, ANTHONY"
"targets",671,1664.41,"TRUMP, DONALD"
"targets",685,1362.94,"SESSIONS, PETE"
"targets",699,996.42,"BARCA, PETER"
"targets",714,555.09,"SCANLON, MARY GAY"
"targets",729,272.5,"WITT, GLORIA"
"targets",744,1,"SCAFIDI, TYLER"
"pageviews",1,5120129,"JD Vance, 2024-07-15"
"pageviews",2,4260085,"2024 United States presidential election, 2024-11-06"
"pageviews",3,3811244,"Tim Walz, 2024-08-06"
"pageviews",4,3085430,"JD Vance, 2024-07-16"
"pageviews",5,2782082,"Donald Trump, 2024-11-06"
"pageviews",6,2532334,"Kamala Harris, 2024-07-22"
"pageviews",7,1588200,"Kamala Harris, 2024-07-23"
"pageviews",8,1539494,"Tim Walz, 2024-08-07"
"pageviews",9,1501857,"Kamala Harris, 2024-07-21"
"pageviews",10,1485955,"Kamala Harris, 2024-11-06"
"pageviews",11,1270641,"2024 United States presidential election, 2024-11-07"
"pageviews",12,1204578,"2024 United States presidential election, 2024-11-05"
"pageviews",13,1157241,"JD Vance, 2024-07-18"
"pageviews",14,1023715,"JD Vance, 2024-11-06"
"pageviews",15,988525,"JD Vance, 2024-07-17"
"pageviews",16,964676,"Kamala Harris, 2024-07-24"
"pageviews",17,948895,"Donald Trump, 2024-11-07"
"pageviews",18,831577,"Kamala Harris, 2024-08-23"
"pageviews",19,792587,"Donald Trump, 2024-07-14"
"pageviews",20,765872,"2024 United States presidential election, 2024-11-08"
"pageviews",21,745457,"Kamala Harris, 2024-07-25"
"pageviews",22,722256,"Project 2025, 2024-11-06"
"pageviews",23,667922,"Kamala Harris, 2024-08-01"
"pageviews",24,628644,"Kamala Harris, 2024-11-05"
"pageviews",25,594902,"Kamala Harris, 2024-07-26"
"pageviews",26,584016,"2024 United States presidential election, 2024-11-04"
"pageviews",27,578660,"2024 United States presidential election, 2024-11-10"
"pageviews",28,576184,"2024 United States presidential election, 2024-11-09"
"pageviews",29,573140,"Tim Walz, 2024-08-22"
"pageviews",30,560969,"Kamala Harris, 2024-09-11"
"pageviews",31,526805,"JD Vance, 2024-07-19"
"pageviews",32,515630,"Donald Trump, 2024-11-08"
"pageviews",33,513809,"Joe Biden, 2024-11-06"
"pageviews",34,503260,"Tim Walz, 2024-08-08"
"pageviews",35,497247,"Donald Trump, 2024-05-31"
"pageviews",36,495659,"JD Vance, 2024-11-07"
"pageviews",37,482218,"Project 2025, 2024-07-05"
"pageviews",38,478842,"Project 2025, 2024-07-06"
"pageviews",39,462817,"Joe Biden, 2024-07-22"
"pageviews",40,457590,"Project 2025, 2024-07-09"
"pageviews",41,456576,"JD Vance, 2024-10-02"
"pageviews",42,453288,"Project 2025, 2024-07-04"
"pageviews",43,451389,"Kamala Harris, 2024-07-31"
"pageviews",44,448452,"Project 2025, 2024-11-07"
"pageviews",45,442626,"Project 2025, 2024-07-03"
"pageviews",46,441306,"Kamala Harris, 2024-11-07"
"pageviews",47,428698,"Project 2025, 2024-07-10"
"pageviews",48,421085,"Joe Biden, 2024-07-21"
"pageviews",49,417817,"Project 2025, 2024-07-08"
"pageviews",50,409924,"2024 United States presidential election, 2024-11-11"
"pageviews",52,400054,"Kamala Harris, 2024-08-21"
"pageviews",53,395028,"Donald Trump, 2024-07-19"
"pageviews",54,392557,"Kamala Harris, 2024-07-27"
"pageviews",56,377022,"JD Vance, 2024-07-21"
"pageviews",57,372434,"Project 2025, 2024-07-14"
"pageviews",59,370190,"Donald Trump, 2024-07-15"
"pageviews",60,358773,"Donald Trump, 2024-11-09"
"pageviews",62,351767,"Donald Trump, 2024-11-05"
"pageviews",64,342863,"JD Vance, 2024-07-20"
"pageviews",65,339855,"2024 United States presidential election, 2024-11-03"
"pageviews",67,334177,"JD Vance, 2024-07-22"
"pageviews",69,314543,"Project 2025, 2024-07-21"
"pageviews",71,310736,"2024 United States presidential election, 2024-07-22"
"pageviews",73,307171,"Kamala Harris, 2024-07-28"
"pageviews",75,301563,"Project 2025, 2024-07-15"
"pageviews",77,295728,"JD Vance, 2024-07-25"
"pageviews",79,291866,"2024 United States presidential election, 2024-07-21"
"pageviews",81,285895,"Project 2025, 2024-07-13"
"pageviews",83,281698,"Kamala Harris, 2024-08-22"
"pageviews",85,278936,"2024 United States presidential election, 2024-11-13"
"pageviews",87,274075,"JD Vance, 2024-11-08"
"pageviews",90,265708,"Project 2025, 2024-11-08"
"pageviews",92,258924,"Kamala Harris, 2024-08-20"
"pageviews",95,254752,"Kamala Harris, 2024-08-07"
"pageviews",97,253884,"2024 United States presidential election, 2024-07-23"
"pageviews",100,248384,"Project 2025, 2024-07-17"
"pageviews",102,239968,"Donald Trump, 2024-07-22"
"pageviews",105,235992,"Kamala Harris, 2024-07-30"
"pageviews",108,227182,"Donald Trump, 2024-11-12"
"pageviews",111,225994,"Tim Walz, 2024-11-06"
