"precinct","voters","black","white","dem","rep","black_dem","white_dem"
"ANNX",825,195,630,228,597,178,50
"BMS",1388,267,1121,324,1064,245,79
"CENT",1008,347,661,375,633,323,52
"CGTC",880,198,682,226,654,183,43
"FMMS",1248,460,788,477,771,428,49
"HAFS",465,53,412,61,404,46,15
"HEFS",375,41,334,43,332,35,8
"HHPC",1058,380,678,445,613,351,94
"MCMS",1413,422,991,432,981,376,56
"NORTH HOUSTON SPORT COMPLEX",424,133,291,138,286,121,17
"PEC",1092,262,830,298,794,237,61
"ROZR",1606,225,1381,262,1344,208,54
"TMS",508,254,254,285,223,243,42
"TWPK",1095,330,765,380,715,308,72
"VFW",571,146,425,187,384,136,51
"VHS",1296,327,969,350,946,306,44
"WELLSTON CENTER",772,591,181,595,177,569,26
