"step","rows"
"Vote-history rows, 21 May 2024, D or R ballot",17805
"Self-reported race, imputation removed, Black or white",132452
"Registration extract rows carrying a precinct",127560
"Joined on registration number, all three present",16024
"Precinct rows written",17
