"race","in_file_2026","2020 general","2022 general","2024 general"
"WHITE",65116,35659,32158,45030
"BLACK",42603,18031,15885,23467
"HISPANIC/LATINO",4518,1416,1010,2154
"ASIAN/PACIFIC ISLANDER",3547,1349,936,1959
"AMERICAN INDIAN",1849,402,314,706
"ALASKAN NATIVE",4,0,0,4
"OTHER",7748,3606,3195,4369
"UNKNOWN",2175,128,105,645
