"measure","value"
"Last Party Voted blank, first 5 rows (%)","100.0"
"Last Party Voted blank, first 50 rows (%)","96.0"
"Last Party Voted blank, whole file (%)","31.9"
"Registration year, first 5 rows","2025 to 2025"
"Registration year, whole file","1949 to 2026"
"Registration number, first 5 rows","15715478 to 15759112"
"Registration number, whole file","00002779 to 19676150"
