"race","DEMOCRAT","no primary ballot on record","NON-PARTISAN","REPUBLICAN"
"ALASKAN NATIVE",0,0,4,0
"AMERICAN INDIAN",174,1020,591,64
"ASIAN/PACIFIC ISLANDER",224,1458,1558,307
"BLACK",13814,15641,12706,442
"HISPANIC/LATINO",355,2167,1711,285
"OTHER",1244,2952,2675,877
"UNKNOWN",169,1423,513,70
"WHITE",3554,16002,28845,16715
