"SUMLVL","LEVEL","S203_GEOID","ST","CNTY","NAMELSAD","LANGUAGE","VACIT","MVACIT","VACLEP","MVACLEP","ILLIT","MILLIT","LEPPCT","MLEPPCT","ILLRAT","MILLRAT","FLAG10","FLAG5","FLAG_EDU","FLAG_AIAN","FLAG_ANRC","FLAG_COV"
"040","State","0400000US06","06","000","California","Total Population",25490000,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"040","State","0400000US06","06","000","California","Hispanic",7593000,14960,1467000,5825,230500,2154,5.8,0,15.7,0.1,0,1,1,0,0,1
"040","State","0400000US12","12","000","Florida","Total Population",14990000,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"040","State","0400000US12","12","000","Florida","Hispanic",2982000,9462,895200,5571,62920,1203,6,0,7,0.1,0,1,1,0,0,1
"040","State","0400000US48","48","000","Texas","Total Population",18180000,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"040","State","0400000US48","48","000","Texas","Hispanic",5429000,11050,1026000,5723,130800,1671,5.6,0,12.7,0.2,0,1,1,0,0,1
"050","County","0500000US02013","02","013","Aleutians East Borough","Total Population",2242,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US02013","02","013","Aleutians East Borough","Yup'ik alone or in combination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1
"050","County","0500000US02016","02","016","Aleutians West Census Area","Total Population",3381,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US02016","02","016","Aleutians West Census Area","Filipino alone or in combination",857,51,178,27,9,5,5.3,0.8,5.1,2.6,0,1,1,0,0,1
"050","County","0500000US02050","02","050","Bethel Census Area","Total Population",11530,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US02050","02","050","Bethel Census Area","Yup'ik alone or in combination",8563,111,1559,172,162,19,13.5,1.5,10.4,1.5,0,1,1,1,1,1
"050","County","0500000US02060","02","060","Bristol Bay Borough","Total Population",682,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US02060","02","060","Bristol Bay Borough","Yup'ik alone or in combination",91,15,3,1,0,0,0.4,0.1,0,2.7,0,0,0,0,1,1
"050","County","0500000US02070","02","070","Dillingham Census Area","Total Population",3394,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US02070","02","070","Dillingham Census Area","Yup'ik alone or in combination",2411,54,235,20,54,9,6.9,0.6,23,4.1,0,1,1,1,1,1
"050","County","0500000US02122","02","122","Kenai Peninsula Borough","Total Population",44500,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US02122","02","122","Kenai Peninsula Borough","Yup'ik alone or in combination",478,83,17,5,1,0,0,0,5.9,2.3,0,0,1,0,1,1
"050","County","0500000US02150","02","150","Kodiak Island Borough","Total Population",8661,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US02150","02","150","Kodiak Island Borough","Yup'ik alone or in combination",70,27,5,4,0,0,0.1,0,0,3.2,0,0,0,0,1,1
"050","County","0500000US02150","02","150","Kodiak Island Borough","Filipino alone or in combination",1232,92,618,72,57,22,7.1,0.8,9.2,3.4,0,1,1,0,0,1
"050","County","0500000US02158","02","158","Kusilvak Census Area","Total Population",4880,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US02158","02","158","Kusilvak Census Area","Yup'ik alone or in combination",3829,72,304,23,43,7,6.2,0.5,14.1,2,0,1,1,1,1,1
"050","County","0500000US02164","02","164","Lake and Peninsula Borough","Total Population",1047,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US02164","02","164","Lake and Peninsula Borough","Aleut alone or in combination",423,119,9,6,2,2,0.9,0.5,22.2,10.5,0,0,1,1,0,1
"050","County","0500000US02164","02","164","Lake and Peninsula Borough","Yup'ik alone or in combination",149,28,6,2,0,0,0.6,0.1,0,4.9,0,0,0,1,1,1
"050","County","0500000US02180","02","180","Nome Census Area","Total Population",6390,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US02180","02","180","Nome Census Area","Yup'ik alone or in combination",1568,67,167,20,8,3,2.6,0.3,4.8,1.7,0,0,1,1,0,1
