"fips","county","state","total","one_race","white","black","aian","asian","nhpi","other_race","two_or_more","hispanic","not_hispanic","nh_white","nh_black","nh_aian","nh_asian","nh_nhpi","nh_other","nh_two","gq_total","gq_correctional","gq_juvenile","gq_nursing","gq_college","gq_military"
"48025","Bee County","Texas",31047,25339,15347,2395,212,221,4,7160,5708,19392,11655,8600,2316,54,211,2,65,407,7429,7242,0,130,19,0
"48027","Bell County","Texas",370647,317284,180426,85241,3454,11466,3764,32933,53363,93467,277180,156780,80759,1448,10884,3454,2063,21792,8733,971,38,1440,1848,4151
"48029","Bexar County","Texas",2009324,1484783,919729,161307,23193,68675,3549,308330,524541,1190958,818366,535732,147875,4554,65217,2726,8218,54044,38562,5919,514,7065,7079,12750
"48031","Blanco County","Texas",11374,10210,9255,72,87,44,7,745,1164,2092,9282,8707,68,36,38,0,70,363,70,16,0,40,0,0
"48033","Borden County","Texas",631,589,576,1,1,0,0,11,42,86,545,528,1,0,0,0,1,15,0,0,0,0,0,0
"48035","Bosque County","Texas",18235,16312,14483,279,155,80,3,1312,1923,3321,14914,13621,244,83,80,3,29,854,249,16,0,233,0,0
"48037","Bowie County","Texas",92893,86936,57482,23251,754,1094,84,4271,5957,7602,85291,55855,23084,554,1082,69,332,4315,5649,4733,0,610,128,0
"48039","Brazoria County","Texas",372031,316898,190232,55176,2739,26592,183,41976,55133,115202,256829,161833,53668,1022,26231,129,1374,12572,10314,8816,74,1124,0,0
"48041","Brazos County","Texas",233849,204686,140206,24341,1618,14763,233,23525,29163,63067,170782,123035,23569,502,14621,210,1009,7836,20807,2415,64,535,17502,0
"48043","Brewster County","Texas",9546,7647,6411,198,140,94,11,793,1899,3963,5583,4948,162,30,94,11,56,282,486,25,0,0,450,0
"48045","Briscoe County","Texas",1435,1341,1175,18,7,0,0,141,94,368,1067,1008,17,4,0,0,3,35,0,0,0,0,0,0
"48047","Brooks County","Texas",7076,3761,2914,25,22,29,1,770,3315,6242,834,724,8,9,29,0,12,52,473,412,0,61,0,0
"48049","Brown County","Texas",38095,34122,29326,1462,232,274,27,2801,3973,8211,29884,26672,1353,134,269,27,96,1333,1706,572,124,504,459,0
"48051","Burleson County","Texas",17642,15573,12152,1908,138,71,0,1304,2069,3712,13930,11258,1852,65,70,0,34,651,168,33,0,135,0,0
"48053","Burnet County","Texas",49130,43572,37845,643,373,428,15,4268,5558,11199,37931,34810,579,183,424,14,147,1774,974,680,0,261,0,0
"48055","Caldwell County","Texas",45883,36545,23633,2440,499,238,27,9708,9338,25468,20415,16560,2225,129,227,4,178,1092,2412,1172,160,322,0,0
"48057","Calhoun County","Texas",20106,15452,11356,426,116,1115,4,2435,4654,9858,10248,8374,361,34,1112,0,56,311,210,60,0,140,0,0
"48059","Callahan County","Texas",13708,12779,12154,133,80,53,7,352,929,1306,12402,11555,118,66,52,7,50,554,87,13,0,74,0,0
"48061","Cameron County","Texas",421017,250754,162707,2076,2883,2806,149,80133,170263,376680,44337,37107,1405,365,2596,80,846,1938,4248,2033,336,997,317,0
"48063","Camp County","Texas",12464,11185,7448,1898,63,108,8,1660,1279,3222,9242,6734,1877,28,105,8,34,456,69,0,0,69,0,0
"48065","Carson County","Texas",5807,5310,5069,20,54,22,8,137,497,558,5249,4873,19,46,19,1,7,284,41,18,0,0,0,0
"48067","Cass County","Texas",28454,26911,21477,4541,194,120,10,569,1543,1336,27118,21028,4518,155,119,10,86,1202,363,50,0,265,0,0
"48069","Castro County","Texas",7371,5400,3676,108,58,22,4,1532,1971,4784,2587,2328,95,39,22,4,9,90,114,30,0,84,0,0
"48071","Chambers County","Texas",46571,41158,32614,3227,337,640,1,4339,5413,10952,35619,29858,3148,161,622,0,215,1615,228,92,0,136,0,0
"48073","Cherokee County","Texas",50412,45529,32134,6426,464,263,18,6224,4883,11797,38615,30095,6359,128,263,18,123,1629,2173,1554,0,307,0,0
"48075","Childress County","Texas",6664,6048,4427,582,29,51,2,957,616,1942,4722,3852,572,20,51,2,16,209,1231,1192,0,39,0,0
"48077","Clay County","Texas",10218,9554,9178,39,94,50,0,193,664,641,9577,8941,35,78,50,0,31,442,72,16,0,56,0,0
"48079","Cochran County","Texas",2547,2114,1448,71,11,4,0,580,433,1527,1020,912,62,6,0,0,0,40,14,14,0,0,0,0
"48081","Coke County","Texas",3285,2939,2721,7,30,1,6,174,346,661,2624,2473,7,15,1,6,6,116,58,0,0,58,0,0
"48083","Coleman County","Texas",7684,7164,6582,151,65,32,0,334,520,1192,6492,6013,142,36,32,0,29,240,28,0,0,28,0,0
"48085","Collin County","Texas",1064465,946270,578412,110284,7490,189209,719,60156,118195,169158,895307,542472,108100,3874,188365,613,4910,46973,6816,900,77,2455,3106,0
"48087","Collingsworth County","Texas",2652,2365,1928,121,37,9,1,269,287,832,1820,1617,108,23,7,1,0,64,28,14,0,14,0,0
"48089","Colorado County","Texas",20557,18246,13169,2335,100,83,0,2559,2311,5990,14567,11761,2222,13,80,0,41,450,430,140,0,276,0,0
"48091","Comal County","Texas",161501,135471,118292,3880,1135,1974,167,10023,26030,43590,117911,105250,3584,514,1844,127,700,5892,1509,225,22,820,13,0
"48093","Comanche County","Texas",13594,11921,10295,48,116,38,3,1421,1673,3867,9727,9197,39,49,38,3,24,377,134,42,0,92,0,0
"48095","Concho County","Texas",3303,2984,2518,82,19,23,1,341,319,1033,2270,2097,69,9,19,1,16,59,1056,1012,0,44,0,0
"48097","Cooke County","Texas",41668,36936,31641,1233,550,314,20,3178,4732,8519,33149,29404,1181,360,307,13,125,1759,660,138,99,245,144,0
"48099","Coryell County","Texas",83093,73013,50529,12356,672,1910,1093,6453,10080,16482,66611,46213,11760,414,1816,1041,389,4978,12775,7590,0,300,21,4676
"48101","Cottle County","Texas",1380,1251,1027,96,5,0,2,121,129,327,1053,902,96,2,0,1,0,52,0,0,0,0,0,0
"48103","Crane County","Texas",4675,3537,2488,77,36,22,0,914,1138,3158,1517,1342,70,14,22,0,1,68,87,14,0,73,0,0
"48105","Crockett County","Texas",3098,2392,1882,18,30,10,1,451,706,1920,1178,1080,18,9,10,0,9,52,51,12,0,39,0,0
"48107","Crosby County","Texas",5133,4344,3257,151,42,12,1,881,789,2829,2304,2076,117,8,12,0,6,85,63,14,0,49,0,0
"48109","Culberson County","Texas",2188,1597,1014,21,25,28,0,509,591,1645,543,445,20,11,28,0,3,36,50,9,0,0,0,0
"48111","Dallam County","Texas",7115,5423,3879,76,121,13,3,1331,1692,3707,3408,3119,74,51,10,3,10,141,23,23,0,0,0,0
"48113","Dallas County","Texas",2613539,2192419,924283,574183,31453,183124,1716,477660,421120,1057835,1555704,724987,564741,6743,181314,1175,9990,66754,31686,8935,433,6889,10107,0
"48115","Dawson County","Texas",12456,10488,7609,899,100,56,4,1820,1968,6767,5689,4590,847,23,56,4,17,152,1579,1523,0,20,0,0
"48117","Deaf Smith County","Texas",18583,13993,9054,174,196,63,3,4503,4590,13925,4658,4233,107,47,44,0,40,187,160,64,0,96,0,0
"48119","Delta County","Texas",5230,4865,4317,312,48,37,5,146,365,394,4836,4189,312,42,37,5,30,221,59,0,0,59,0,0
"48121","Denton County","Texas",906422,790322,526363,97847,7472,93463,754,64423,116100,182778,723644,485646,95386,3582,92751,650,3909,41720,9352,529,111,2074,5306,0
"48123","DeWitt County","Texas",19824,17681,13313,1673,114,70,7,2504,2143,6890,12934,10854,1557,32,70,2,35,384,1534,1264,11,244,0,0
"48125","Dickens County","Texas",1770,1572,1363,30,12,2,2,163,198,512,1258,1178,18,0,1,2,7,52,2,2,0,0,0,0
"48127","Dimmit County","Texas",8615,5610,3852,89,54,71,13,1531,3005,7487,1128,898,72,8,68,10,12,60,177,128,0,46,0,0
"48129","Donley County","Texas",3258,2982,2648,172,31,10,1,120,276,356,2902,2537,167,27,10,1,6,154,233,5,0,47,180,0
"48131","Duval County","Texas",9831,6481,4994,160,52,45,0,1230,3350,7962,1869,937,145,13,45,0,8,721,598,588,0,10,0,0
"48133","Eastland County","Texas",17725,16266,14677,356,150,104,16,963,1459,2934,14791,13653,335,96,95,16,26,570,782,34,0,147,524,0
"48135","Ector County","Texas",165171,126571,79965,8031,1657,2339,356,34223,38600,100051,65120,51023,7430,568,2257,327,492,3023,2550,782,40,423,674,0
"48137","Edwards County","Texas",1422,1099,961,2,9,11,1,115,323,718,704,651,2,5,11,1,2,32,16,16,0,0,0,0
"48141","El Paso County","Texas",865657,555390,313741,29054,10337,12073,1885,188300,310267,715351,150306,98219,24415,2365,10692,1527,2422,10666,15960,5136,147,2046,1182,5864
"48139","Ellis County","Texas",192455,166796,118993,24305,1688,1582,218,20010,25659,52032,140423,106495,23738,710,1525,202,790,6963,1803,275,110,750,600,0
"48143","Erath County","Texas",42545,38356,32674,1247,416,353,14,3652,4189,9254,33291,30006,1194,215,348,13,104,1411,3756,58,67,289,3186,0
"48145","Falls County","Texas",16968,15621,9870,3792,114,56,8,1781,1347,3965,13003,8707,3708,55,51,8,42,432,2055,1959,0,83,0,0
"48147","Fannin County","Texas",35662,33049,28249,2217,417,152,25,1989,2613,4218,31444,27042,2199,309,145,20,112,1617,2959,2533,0,319,0,0
"48149","Fayette County","Texas",24435,21922,18286,1462,174,71,6,1923,2513,5216,19219,17041,1383,50,67,6,72,600,388,12,33,303,0,0
"48151","Fisher County","Texas",3672,3328,2921,107,30,14,2,254,344,973,2699,2496,92,15,13,2,11,70,27,0,0,0,0,0
"48153","Floyd County","Texas",5402,3949,3101,158,15,12,5,658,1453,3067,2335,2079,125,7,12,1,13,98,21,0,0,21,0,0
"48155","Foard County","Texas",1095,1030,924,19,0,5,1,81,65,197,898,845,19,0,3,1,2,28,40,0,0,40,0,0
"48157","Fort Bend County","Texas",822779,715862,282222,170978,4574,182537,371,75180,106917,198580,624199,243726,167964,1269,181522,276,4055,25387,4682,2923,148,814,0,0
"48159","Franklin County","Texas",10359,9396,8138,399,77,68,6,708,963,1455,8904,7876,394,39,68,6,61,460,70,48,0,22,0,0
"48161","Freestone County","Texas",19435,18238,13337,2765,146,73,14,1903,1197,3155,16280,12817,2740,64,66,11,46,536,1525,1330,27,150,0,0
"48163","Frio County","Texas",18385,14595,8518,719,130,199,9,5020,3790,14171,4214,3053,705,49,199,9,81,118,3570,2824,589,134,0,0
"48165","Gaines County","Texas",21598,17834,15175,282,112,75,10,2180,3764,8401,13197,12554,241,42,72,3,46,239,146,40,0,89,0,0
"48167","Galveston County","Texas",350682,303576,214512,44229,2703,12482,296,29354,47106,88636,262046,191358,43120,1036,12202,223,1455,12652,4901,2443,166,1249,818,0
"48169","Garza County","Texas",5816,5360,4325,297,32,28,0,678,456,3272,2544,2162,230,28,25,0,10,89,1771,1731,18,22,0,0
"48171","Gillespie County","Texas",26725,23364,21373,110,165,131,1,1584,3361,5766,20959,19884,84,69,127,1,100,694,353,45,0,276,0,0
"48173","Glasscock County","Texas",1116,966,858,8,7,0,3,90,150,387,729,710,8,0,0,3,0,8,0,0,0,0,0,0
"48175","Goliad County","Texas",7012,5987,5127,276,31,28,0,525,1025,2288,4724,4246,235,18,24,0,16,185,87,14,0,42,0,0
"48177","Gonzales County","Texas",19653,16388,11341,1186,156,67,10,3628,3265,9897,9756,8159,1075,41,63,6,45,367,285,78,23,176,0,0
"48179","Gray County","Texas",21227,18500,14631,868,205,128,0,2668,2727,6347,14880,13025,835,141,127,0,37,715,1540,1388,9,119,0,0
"48181","Grayson County","Texas",135543,121410,99852,7663,2387,1990,83,9435,14133,20868,114675,95211,7448,1876,1958,58,348,7776,2083,328,0,825,715,0
"48183","Gregg County","Texas",124239,112514,73043,25262,818,1639,55,11697,11725,24040,100199,68050,24974,424,1614,47,298,4792,3393,542,27,1008,1317,0
"48185","Grimes County","Texas",29268,26090,18591,3915,242,104,15,3223,3178,7361,21907,16910,3824,85,102,8,84,894,2670,2515,0,148,0,0
"48187","Guadalupe County","Texas",172706,139176,103127,12805,1384,3281,419,18160,33530,65233,107473,84063,11947,476,3066,353,774,6794,1820,359,7,641,692,0
"48189","Hale County","Texas",32522,26268,16925,1496,304,164,32,7347,6254,19489,13033,10693,1381,99,149,30,69,612,1907,1564,5,130,150,0
"48191","Hall County","Texas",2825,2497,1896,204,14,9,0,374,328,950,1875,1589,190,7,9,0,3,77,41,5,0,36,0,0
"48193","Hamilton County","Texas",8222,7600,7138,32,49,38,2,341,622,1045,7177,6805,32,37,36,2,17,248,164,0,0,164,0,0
"48195","Hansford County","Texas",5285,4581,3248,15,33,10,3,1272,704,2615,2670,2552,12,16,9,3,18,60,65,11,0,54,0,0
"48197","Hardeman County","Texas",3549,3246,2748,143,18,18,6,313,303,818,2731,2441,130,14,18,1,7,120,25,6,0,0,0,0
"48199","Hardin County","Texas",56231,52815,48005,3072,259,411,35,1033,3416,3417,52814,46934,3037,190,399,34,149,2071,390,8,0,361,0,0
"48201","Harris County","Texas",4731145,3930990,1720356,907063,55011,349268,4141,895151,800155,2034709,2696436,1309593,885517,8432,344762,3199,23262,121671,47997,12310,783,11229,14056,0
"48203","Harrison County","Texas",68839,63843,43925,13582,715,491,41,5089,4996,9839,59000,42039,13448,294,483,28,267,2441,2021,210,77,245,1428,0
"48205","Hartley County","Texas",5382,4840,3746,197,30,24,5,838,542,1631,3751,3403,191,15,24,5,1,112,825,771,0,51,0,0
"48207","Haskell County","Texas",5416,4950,4132,205,44,28,5,536,466,1377,4039,3628,181,28,22,5,24,151,496,463,0,33,0,0
"48209","Hays County","Texas",241067,192699,147092,9881,2175,5091,189,28271,48368,92871,148196,121568,9004,599,4822,144,1009,11050,7875,776,209,490,5985,0
"48211","Hemphill County","Texas",3382,2916,2372,5,29,11,0,499,466,1137,2245,2090,4,18,10,0,4,119,42,13,0,29,0,0
"48213","Henderson County","Texas",82150,75317,64501,4790,675,526,31,4794,6833,11242,70908,61854,4705,414,510,31,211,3183,1166,337,0,421,331,0
"48215","Hidalgo County","Texas",870781,517653,300554,4748,6155,9048,175,196973,353128,800001,70780,53338,3364,635,8604,78,1915,2846,7923,4492,227,1965,533,0
"48217","Hill County","Texas",35874,32158,26070,2111,368,189,20,3400,3716,7884,27990,24123,2055,137,188,15,87,1385,517,110,41,295,71,0
"48219","Hockley County","Texas",21537,17903,13760,645,227,52,4,3215,3634,10624,10913,9752,565,82,49,4,59,402,295,39,0,108,131,0
"48221","Hood County","Texas",61598,56051,51678,523,501,476,53,2820,5547,7958,53640,49815,495,340,468,53,180,2289,896,159,64,447,0,0
"48223","Hopkins County","Texas",36787,33621,27514,2405,321,290,12,3079,3166,6484,30303,25976,2373,198,277,4,85,1390,457,132,0,325,0,0
"48225","Houston County","Texas",22066,20843,13430,5195,131,138,10,1939,1223,3071,18995,12957,5163,94,138,8,58,577,2689,2499,0,190,0,0
"48227","Howard County","Texas",34860,29990,23664,1721,404,407,24,3770,4870,16174,18686,15672,1520,211,386,12,68,817,4938,4490,0,212,56,0
"48229","Hudspeth County","Texas",3202,2561,1874,16,39,10,0,622,641,2036,1166,1094,6,6,10,0,7,43,1016,996,0,0,0,0
"48231","Hunt County","Texas",99956,88424,70576,8014,1263,1016,157,7398,11532,19673,80283,65598,7812,722,979,151,301,4720,2984,193,0,380,2269,0
"48233","Hutchinson County","Texas",20617,18298,15269,469,391,111,2,2056,2319,4961,15656,13783,416,273,105,2,52,1025,284,45,0,118,108,0
"48235","Irion County","Texas",1513,1350,1200,7,16,0,1,126,163,349,1164,1112,6,9,0,1,1,35,8,0,0,0,0,0
"48237","Jack County","Texas",8472,7869,6663,311,70,41,5,779,603,1521,6951,6358,294,35,41,5,9,209,1076,1042,0,34,0,0
"48239","Jackson County","Texas",14988,12894,9782,1011,80,158,5,1858,2094,4829,10159,8510,937,36,158,5,102,411,378,45,0,308,0,0
"48241","Jasper County","Texas",32980,31407,24327,5594,182,127,19,1158,1573,2198,30782,23795,5572,127,114,16,72,1086,815,587,0,215,0,0
"48243","Jeff Davis County","Texas",1996,1664,1467,1,26,15,2,153,332,613,1383,1282,0,6,14,0,15,66,0,0,0,0,0,0
"48245","Jefferson County","Texas",256526,234053,108905,84835,1787,10080,112,28334,22473,58915,197611,96047,83856,622,9943,66,867,6210,13754,11365,53,1271,246,26
"48247","Jim Hogg County","Texas",4838,3064,2333,5,31,26,5,664,1774,4281,557,414,5,15,26,5,8,84,92,34,0,58,0,0
"48249","Jim Wells County","Texas",38891,27863,22187,265,264,158,16,4973,11028,30835,8056,6963,180,58,140,15,95,605,325,59,0,250,0,0
"48251","Johnson County","Texas",179927,157718,129863,6770,1719,1812,949,16605,22209,42613,137314,119226,6446,840,1726,929,612,7535,3366,2265,0,656,299,0
"48253","Jones County","Texas",19663,18141,12902,2024,120,114,7,2974,1522,5504,14159,11485,1978,66,111,4,41,474,5222,5073,0,102,0,0
"48255","Karnes County","Texas",14710,12091,8215,1174,87,151,4,2460,2619,7734,6976,5388,1116,26,145,1,61,239,3073,2929,0,144,0,0
"48257","Kaufman County","Texas",145310,126404,87435,21948,1413,2174,82,13352,18906,36165,109145,78626,21541,623,2107,70,435,5743,1510,416,0,503,156,0
"48259","Kendall County","Texas",44279,38018,34449,347,289,379,39,2515,6261,10029,34250,31767,315,138,355,36,202,1437,844,119,59,626,0,0
"48261","Kenedy County","Texas",350,223,137,1,7,0,1,77,127,261,89,73,0,7,0,1,2,6,2,0,0,0,0,0
"48263","Kent County","Texas",753,716,676,2,6,1,0,31,37,81,672,657,2,3,0,0,3,7,49,0,0,49,0,0
"48265","Kerr County","Texas",52598,45281,39702,789,338,606,50,3796,7317,13598,39000,35791,690,156,576,39,187,1561,1910,200,118,536,710,0
"48267","Kimble County","Texas",4286,3937,3533,8,30,34,3,329,349,986,3300,3136,8,14,33,3,8,98,9,9,0,0,0,0
"48269","King County","Texas",265,253,242,0,0,0,4,7,12,25,240,230,0,0,0,4,0,6,0,0,0,0,0,0
"48271","Kinney County","Texas",3129,2379,2012,47,33,10,2,275,750,1470,1659,1489,36,21,10,2,15,86,445,389,0,0,40,0
"48273","Kleberg County","Texas",31040,23171,17266,1129,246,817,1,3712,7869,21920,9120,6728,995,83,784,1,97,432,1332,0,0,166,1100,34
"48275","Knox County","Texas",3353,3048,2393,165,9,24,3,454,305,1130,2223,1935,146,8,24,3,5,102,95,3,0,92,0,0
"48283","La Salle County","Texas",6664,4378,3189,235,17,5,0,932,2286,4908,1756,1467,221,3,4,0,5,56,1385,1338,0,47,0,0
"48277","Lamar County","Texas",50088,46207,36479,6446,870,481,32,1899,3881,4412,45676,35354,6378,751,474,25,119,2575,666,120,0,396,133,0
"48279","Lamb County","Texas",13045,10001,7369,453,81,11,17,2070,3044,7449,5596,4981,392,15,4,5,24,175,166,31,0,135,0,0
"48281","Lampasas County","Texas",21627,18992,16337,741,233,252,86,1343,2635,4179,17448,15132,700,115,242,86,100,1073,202,44,25,113,0,0
"48285","Lavaca County","Texas",20337,18421,15821,1247,111,74,5,1163,1916,3936,16401,14564,1173,30,74,5,31,524,392,22,0,354,0,0
"48287","Lee County","Texas",17478,15247,11744,1691,99,61,2,1650,2231,4479,12999,10612,1631,47,57,1,37,614,352,22,210,102,0,0
"48289","Leon County","Texas",15719,14557,12391,945,107,111,6,997,1162,2446,13273,11659,921,54,111,6,47,475,42,39,0,0,0,0
"48291","Liberty County","Texas",91628,81331,55857,7171,1100,499,17,16687,10297,30797,60831,50044,7024,291,466,12,329,2665,4906,4573,0,305,0,0
"48293","Limestone County","Texas",22146,20425,14018,3726,147,162,18,2354,1721,5013,17133,12530,3636,72,160,18,60,657,1121,611,31,359,0,0
"48295","Lipscomb County","Texas",3059,2574,1969,4,37,2,1,561,485,1123,1936,1786,4,29,2,0,4,111,41,9,0,32,0,0
"48297","Live Oak County","Texas",11335,9471,8419,214,65,37,3,733,1864,4790,6545,5968,205,49,35,3,45,240,1503,1350,0,144,0,0
"48299","Llano County","Texas",21243,19569,18388,105,169,133,4,770,1674,2508,18735,17530,97,115,121,4,61,807,175,0,0,146,0,0
"48301","Loving County","Texas",64,58,56,0,1,0,0,1,6,1,63,56,0,1,0,0,1,5,0,0,0,0,0,0
"48303","Lubbock County","Texas",310639,267331,191717,27279,3206,9701,248,35180,43308,109170,201469,154994,25663,1436,9490,180,968,8738,11393,2003,111,1279,6770,0
"48305","Lynn County","Texas",5596,4939,3724,107,36,10,4,1058,657,2352,3244,2960,105,15,10,4,12,138,35,35,0,0,0,0
"48313","Madison County","Texas",13455,12513,7695,2610,107,106,1,1994,942,3415,10040,6984,2587,48,101,0,11,309,2419,2306,0,106,0,0
"48315","Marion County","Texas",9725,9102,6968,1857,86,48,0,143,623,389,9336,6869,1846,69,48,0,45,459,109,16,0,93,0,0
"48317","Martin County","Texas",5237,4469,3580,87,69,9,1,723,768,2255,2982,2780,81,22,9,1,19,70,5,5,0,0,0,0
"48319","Mason County","Texas",3953,3503,3188,9,14,2,0,290,450,883,3070,2948,4,0,2,0,16,100,7,7,0,0,0,0
"48321","Matagorda County","Texas",36255,30626,19753,3900,318,720,7,5928,5629,15455,20800,15355,3734,99,700,7,103,802,373,51,19,254,0,0
"48323","Maverick County","Texas",57887,32898,16845,181,1163,192,18,14499,24989,54936,2951,1574,129,835,182,4,110,117,472,316,0,138,0,0
"48307","McCulloch County","Texas",7630,6561,5821,98,38,39,1,564,1069,2369,5261,4904,92,7,39,0,12,207,75,23,0,52,0,0
"48309","McLennan County","Texas",260579,229896,156475,37518,2511,5010,189,28193,30683,68587,191992,139693,36130,901,4873,146,1065,9184,10095,1150,377,2765,5270,0
"48311","McMullen County","Texas",600,448,411,3,1,3,5,25,152,224,376,353,1,1,3,5,0,13,0,0,0,0,0,0
"48325","Medina County","Texas",50748,39999,31848,1366,414,261,42,6068,10749,25455,25293,22324,1252,158,215,38,188,1118,2146,1805,0,203,20,0
"48327","Menard County","Texas",1962,1740,1511,13,14,5,3,194,222,662,1300,1231,12,7,5,3,8,34,35,6,0,29,0,0
"48329","Midland County","Texas",169983,137579,98404,11049,1550,3983,191,22402,32404,73331,96652,76487,10465,686,3891,152,621,4350,1754,318,19,332,88,0
"48331","Milam County","Texas",24754,22158,17261,2183,147,119,18,2430,2596,6264,18490,15367,2097,67,111,11,84,753,346,117,65,164,0,0
"48333","Mills County","Texas",4456,3991,3654,30,15,5,0,287,465,728,3728,3498,25,10,4,0,6,185,157,31,44,82,0,0
"48335","Mitchell County","Texas",8990,8121,5399,961,88,54,1,1618,869,3454,5536,4328,925,34,54,1,11,183,2190,2113,0,50,0,0
"48337","Montague County","Texas",19965,18141,17066,81,194,84,4,712,1824,2361,17604,16342,73,155,84,4,34,912,222,41,0,147,0,0
"48339","Montgomery County","Texas",620443,535925,407926,35394,6049,21830,732,63994,84518,164089,456354,371403,34177,1884,21436,634,2522,24298,4166,2502,34,1086,0,0
"48341","Moore County","Texas",21358,16973,9445,695,419,1014,4,5396,4385,12647,8711,6499,654,97,982,1,83,395,128,42,0,80,0,0
"48343","Morris County","Texas",11973,11112,8043,2467,86,47,9,460,861,1182,10791,7716,2448,70,35,9,30,483,94,20,0,74,0,0
"48345","Motley County","Texas",1063,986,931,10,2,0,0,43,77,153,910,858,7,0,0,0,2,43,0,0,0,0,0,0
"48347","Nacogdoches County","Texas",64653,58923,40228,10709,414,767,12,6793,5730,13597,51056,37158,10567,191,760,10,190,2180,4290,222,0,449,3619,0
"48349","Navarro County","Texas",52624,45572,30019,6425,473,401,734,7520,7052,16049,36575,26996,6286,163,393,734,137,1866,1257,197,0,417,587,0
"48351","Newton County","Texas",12217,11656,9375,2086,60,24,0,111,561,344,11873,9249,2075,59,24,0,27,439,86,15,0,63,0,0
"48353","Nolan County","Texas",14738,12714,10235,712,108,104,5,1550,2024,5354,9384,8138,625,53,103,2,31,432,288,82,0,94,76,0
"48355","Nueces County","Texas",353178,261534,191405,14309,2942,8135,381,44362,91644,217052,136126,106165,12651,907,7712,281,1264,7146,7596,1899,50,1711,2322,126
"48357","Ochiltree County","Texas",10015,8254,5618,22,146,32,2,2434,1761,5470,4545,4245,14,31,28,2,21,204,47,10,0,37,0,0
"48359","Oldham County","Texas",1758,1598,1424,35,10,11,0,118,160,313,1445,1325,33,6,10,0,0,71,238,17,158,0,0,0
"48361","Orange County","Texas",84808,79407,66942,8081,459,1113,19,2793,5401,7265,77543,64935,7981,343,1108,13,196,2967,520,123,0,326,0,0
"48363","Palo Pinto County","Texas",28409,25842,22603,582,269,214,13,2161,2567,5614,22795,20778,552,149,211,12,69,1024,266,80,0,154,0,0
"48365","Panola County","Texas",22491,21057,16637,3263,172,105,11,869,1434,2190,20301,16098,3244,96,99,7,26,731,331,42,0,185,55,0
"48367","Parker County","Texas",148222,133872,122995,1738,1229,1035,116,6759,14350,19819,128403,117747,1636,878,990,97,470,6585,1382,263,34,719,244,0
"48369","Parmer County","Texas",9869,8193,5572,75,171,18,4,2353,1676,6504,3365,3187,53,11,14,0,39,61,120,20,0,100,0,0
"48371","Pecos County","Texas",15193,11740,6921,558,172,148,2,3939,3453,10845,4348,3473,505,33,143,0,35,159,1814,1734,0,80,0,0
"48373","Polk County","Texas",50123,46457,36343,4924,1019,340,2,3829,3666,7345,42778,34808,4869,914,340,0,135,1712,3814,3522,0,254,0,0
"48375","Potter County","Texas",118525,98979,61693,12561,1397,6172,41,17115,19546,45193,73332,50153,11999,636,6036,20,613,3875,7179,5630,26,1229,0,0
"48377","Presidio County","Texas",6131,3683,2331,27,48,86,0,1191,2448,4991,1140,961,25,16,85,0,9,44,43,43,0,0,0,0
"48379","Rains County","Texas",12164,11346,10394,270,112,55,3,512,818,1109,11055,10130,264,85,55,1,33,487,66,28,0,38,0,0
"48381","Randall County","Texas",140753,123378,105870,4992,1263,2737,60,8456,17375,31583,109170,95457,4567,794,2604,54,412,5282,2607,390,144,292,1520,0
"48383","Reagan County","Texas",3385,2594,1736,42,32,20,1,763,791,2283,1102,968,33,12,19,1,6,63,0,0,0,0,0,0
"48385","Real County","Texas",2758,2432,2213,28,20,13,3,155,326,692,2066,1940,22,8,12,3,2,79,105,0,34,51,0,0
"48387","Red River County","Texas",11587,11014,8700,1762,111,51,4,386,573,766,10821,8499,1738,102,51,0,13,418,149,39,0,110,0,0
"48389","Reeves County","Texas",14748,11067,8073,290,101,169,3,2431,3681,12510,2238,1697,224,27,165,3,39,83,3083,2981,0,39,0,0
"48391","Refugio County","Texas",6741,5413,4172,462,32,32,0,715,1328,3306,3435,2864,400,18,27,0,12,114,77,26,0,51,0,0
"48393","Roberts County","Texas",827,755,737,2,3,0,0,13,72,50,777,717,2,2,0,0,1,55,0,0,0,0,0,0
"48395","Robertson County","Texas",16757,15482,10502,3176,102,107,21,1574,1275,3528,13229,9505,3095,29,104,21,37,438,168,26,0,134,0,0
"48397","Rockwall County","Texas",107819,94391,74913,8398,899,3371,111,6699,13428,20560,87259,70198,8179,479,3306,75,344,4678,689,204,0,459,0,0
"48399","Runnels County","Texas",9900,8698,7480,146,86,24,7,955,1202,3354,6546,6062,132,39,24,6,15,268,174,33,0,141,0,0
"48401","Rusk County","Texas",52214,47962,33865,8326,401,231,24,5115,4252,9579,42635,32022,8240,195,231,18,162,1767,5056,4622,0,309,0,0
"48403","Sabine County","Texas",9894,9413,8426,745,51,53,0,138,481,393,9501,8307,734,51,52,0,35,322,122,0,0,114,0,0
"48405","San Augustine County","Texas",7918,7526,5352,1781,33,42,0,318,392,639,7279,5270,1768,19,36,0,0,186,212,0,0,190,0,0
"48407","San Jacinto County","Texas",27402,24982,20276,2134,219,88,20,2245,2420,4822,22580,19170,2083,123,86,15,74,1029,149,81,0,68,0,0
"48409","San Patricio County","Texas",68755,52670,42197,1195,544,886,87,7761,16085,38220,30535,26613,994,198,845,66,227,1592,367,219,0,114,0,0
