"fips","county","state","total","one_race","white","black","aian","asian","nhpi","other_race","two_or_more","hispanic","not_hispanic","nh_white","nh_black","nh_aian","nh_asian","nh_nhpi","nh_other","nh_two","gq_total","gq_correctional","gq_juvenile","gq_nursing","gq_college","gq_military"
"36029","Erie County","New York",954236,902420,693563,134795,5594,46384,280,21804,51816,59658,894578,678236,129874,4667,46090,199,3254,32258,27273,3409,105,6065,12219,0
"36031","Essex County","New York",37381,35403,34102,676,78,229,12,306,1978,978,36403,33714,610,74,229,7,133,1636,1791,830,158,384,80,0
"36033","Franklin County","New York",47555,45699,39036,1848,4141,191,0,483,1856,1387,46168,38559,1686,4102,191,0,91,1539,3947,2829,16,208,395,0
"36035","Fulton County","New York",53324,50005,47775,1068,121,349,4,688,3319,2134,51190,47051,966,89,343,0,164,2577,1547,469,16,398,130,0
"36037","Genesee County","New York",58388,55255,51541,1441,419,416,17,1421,3133,2752,55636,50960,1358,361,412,16,173,2356,2063,406,0,623,326,0
"36039","Greene County","New York",47931,44482,40490,2370,161,506,7,948,3449,3109,44822,39494,2159,100,500,3,238,2328,3108,2140,0,339,0,0
"36041","Hamilton County","New York",5107,4865,4785,31,14,12,1,22,242,100,5007,4769,30,14,12,1,5,176,119,4,0,0,25,0
"36043","Herkimer County","New York",60139,56900,55246,759,108,370,35,382,3239,1530,58609,54653,682,76,359,32,153,2654,1315,40,0,538,392,0
"36045","Jefferson County","New York",116721,108443,96244,6707,594,2248,309,2341,8278,7990,108731,92755,6271,461,2185,300,501,6258,6893,1185,23,524,183,4278
"36047","Kings County","New York",2736074,2498775,1028774,772050,20598,373680,1487,302186,237299,516426,2219648,968427,729696,3964,370776,718,32897,113170,45946,2562,400,9466,4629,0
"36049","Lewis County","New York",26582,25558,25121,109,57,76,11,184,1024,460,26122,24942,103,40,65,11,52,909,271,25,0,141,0,0
"36051","Livingston County","New York",61834,58436,55442,1191,145,657,6,995,3398,2721,59113,54611,1071,125,653,6,203,2444,4609,948,16,329,2879,0
