"year","vap_thousands","pct_citizen_basis","reported_voters","citizen_vap","actual_votes","cps_rate","actual_rate","over_report_pp","pct_white_nh","pct_black","pct_asian","pct_hispanic"
2024,260363,65.3,154395259,236439907,152320193,65.3,64.4224,0.877629,70.5,59.6,57.1,50.6
2020,252274,66.8,154643962,231502937,155507476,66.8,67.173,-0.373003,70.9,62.6,59.7,53.7
2016,245502,61.4,137481120,223910619,128838342,61.4,57.5401,3.85992,65.3,59.4,49,47.6
2012,235248,61.8,132915120,215073010,126849299,61.8,58.9796,2.82035,64.1,66.2,47.3,48
2008,225499,63.6,131240418,206352858,129446839,63.6,62.7308,0.869181,66.1,64.7,47.6,49.9
2004,215694,63.8,125749602,197099690,121069054,63.8,61.4253,2.37471,67.2,60,44.2,47.2
2000,202609,59.5,110827123,186264072,104330388,59.5,56.0121,3.48792,61.8,56.8,43.3,45.1
1996,193652,58.4,104959384,179724973,94686514,58.4,52.6841,5.71588,60.7,53,45,44
1992,185684,67.7,113824292,168130417,103756701,67.7,61.712,5.98797,70.2,59.2,53.9,51.6
1988,178098,62.2,102228252,164354103,90695171,62.2,55.1828,7.01722,64.2,55,NA,48
1984,169963,64.9,101807837,156868778,92032260,64.9,58.6683,6.23169,66.4,60.6,NA,50
1980,157085,64,92994320,145303625,84843024,64,58.3902,5.60984,66.2,53.9,NA,46
1976,146548,NA,86756416,NA,79973609,NA,NA,NA,NA,NA,NA,NA
1972,136203,NA,85807890,NA,75641921,NA,NA,NA,NA,NA,NA,NA
1968,116535,NA,79010730,NA,72514998,NA,NA,NA,NA,NA,NA,NA
1964,110604,NA,76648572,NA,69972432,NA,NA,NA,NA,NA,NA,NA
