"fips","name","state","votes","reason"
"02001","State House District 1","Alaska",8228,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02002","State House District 2","Alaska",9105,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02003","State House District 3","Alaska",10626,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02004","State House District 4","Alaska",8852,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02005","State House District 5","Alaska",7679,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02006","State House District 6","Alaska",11478,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02007","State House District 7","Alaska",9290,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02008","State House District 8","Alaska",10526,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02009","State House District 9","Alaska",11430,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02010","State House District 10","Alaska",8427,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02011","State House District 11","Alaska",9497,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02012","State House District 12","Alaska",8228,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02013","State House District 13","Alaska",7271,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02014","State House District 14","Alaska",7114,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02015","State House District 15","Alaska",8958,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02016","State House District 16","Alaska",9273,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02017","State House District 17","Alaska",7397,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02018","State House District 18","Alaska",4614,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02019","State House District 19","Alaska",4796,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02020","State House District 20","Alaska",6965,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02021","State House District 21","Alaska",8695,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02022","State House District 22","Alaska",5254,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02023","State House District 23","Alaska",10217,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02024","State House District 24","Alaska",9716,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02025","State House District 25","Alaska",10063,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02026","State House District 26","Alaska",9156,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02027","State House District 27","Alaska",8592,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02028","State House District 28","Alaska",8926,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02029","State House District 29","Alaska",10126,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02030","State House District 30","Alaska",10013,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02031","State House District 31","Alaska",6715,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02032","State House District 32","Alaska",5625,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02033","State House District 33","Alaska",8564,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02034","State House District 34","Alaska",9595,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02035","State House District 35","Alaska",9280,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02036","State House District 36","Alaska",9171,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02037","State House District 37","Alaska",4129,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02038","State House District 38","Alaska",3586,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02039","State House District 39","Alaska",3870,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"02040","State House District 40","Alaska",3050,"Alaska reports 40 State House Districts; the geography file has 30 boroughs"
"15001","Hawaii County","Hawaii",82823,"Hawaii lies outside the frame this map draws"
"15003","Honolulu County","Hawaii",340921,"Hawaii lies outside the frame this map draws"
"15007","Kauai County","Hawaii",30064,"Hawaii lies outside the frame this map draws"
"15009","Maui County","Hawaii",62893,"Hawaii lies outside the frame this map draws"
"11002","Ward 2","District of Columbia",37959,"summed into the District of Columbia, which is one unit in the geography"
"11003","Ward 3","District of Columbia",44584,"summed into the District of Columbia, which is one unit in the geography"
"11004","Ward 4","District of Columbia",42403,"summed into the District of Columbia, which is one unit in the geography"
"11005","Ward 5","District of Columbia",45114,"summed into the District of Columbia, which is one unit in the geography"
"11006","Ward 6","District of Columbia",48678,"summed into the District of Columbia, which is one unit in the geography"
"11007","Ward 7","District of Columbia",37037,"summed into the District of Columbia, which is one unit in the geography"
"11008","Ward 8","District of Columbia",29631,"summed into the District of Columbia, which is one unit in the geography"
