"fips","x","y","r","winner"
"13101",1723,969,1.8,"R"
"18167",1483,581,9.3,"R"
"23031",2066,271,16.7,"D"
"27031",1368,189,2.8,"D"
"38013",987,144,1.5,"R"
"38077",1162,269,4.2,"R"
"08089",899,658,4.3,"R"
"05079",1358,846,2.7,"R"
"13315",1691,911,2.7,"R"
"17147",1456,558,4.5,"R"
"18041",1588,563,4.6,"R"
"19135",1303,514,3,"R"
"28057",1489,827,4.8,"R"
"19195",1288,404,3,"R"
"36109",1863,384,9.9,"D"
"38103",1076,202,2.2,"R"
"47177",1584,742,6,"R"
"48067",1258,889,5.5,"R"
"51690",1795,678,3.5,"D"
"51720",1690,671,1.9,"R"
"48239",1169,1082,3.7,"R"
"20077",1115,699,2.3,"R"
"01027",1583,861,3.8,"R"
"20147",1073,572,2.4,"R"
"37165",1828,751,5.6,"R"
"48295",1032,737,1.6,"R"
"13233",1611,825,6.4,"R"
"18053",1549,523,7.3,"R"
"18113",1562,468,6.3,"R"
"19021",1222,434,4,"R"
"26025",1605,422,12,"R"
"29159",1311,633,6.3,"R"
"31185",1135,523,3.8,"R"
"39149",1608,524,7.3,"R"
"45087",1729,782,5.1,"R"
"31011",1121,486,2.5,"R"
"50009",1997,240,2.6,"R"
"55005",1349,304,7.4,"R"
"48191",1012,819,1.6,"R"
"48211",1031,762,1.9,"R"
"48263",1005,882,1,"R"
"06037",316,753,87.9,"D"
"20175",1012,693,3.1,"R"
"26019",1525,327,5.2,"R"
"37157",1808,677,10.3,"R"
"39039",1585,472,6.4,"R"
"48111",944,732,1.8,"R"
"13005",1734,925,3.2,"R"
"18021",1498,589,5,"R"
"19099",1307,476,6.5,"R"
"21001",1590,683,4.4,"R"
"26123",1527,361,7.8,"R"
"19177",1336,527,2.8,"R"
"29083",1279,647,4.8,"R"
"20067",996,674,2.2,"R"
"39037",1598,535,7.6,"R"
"46035",1120,387,4.4,"R"
"48019",1061,1047,5.4,"R"
"31075",992,469,0.9,"R"
"51540",1822,590,7,"D"
"38075",1014,148,1.6,"R"
"48109",853,953,1.3,"R"
"01003",1538,975,16.1,"R"
"32003",506,664,46.6,"D"
"12033",1529,1009,18.6,"R"
"12091",1573,973,15.5,"R"
"24011",1904,532,5.8,"R"
"42001",1857,518,11.3,"R"
"46099",1165,388,14,"R"
"13307",1654,916,1.7,"R"
"18049",1525,500,4.3,"R"
"20145",1074,649,2.4,"R"
"26009",1555,308,6,"R"
"27065",1281,285,4.5,"R"
"31151",1145,541,3.5,"R"
"31001",1104,538,5.5,"R"
"39147",1653,474,7.3,"R"
"46007",999,404,1.5,"R"
"46025",1135,334,2,"R"
"31035",1120,538,2.6,"R"
"48227",977,922,4.5,"R"
"48285",1156,1067,4.7,"R"
"55045",1386,429,6.8,"D"
"48507",1021,1074,2.7,"D"
"20081",1013,673,1.6,"R"
"20135",1050,632,1.7,"R"
"20109",1006,610,1.7,"R"
"31113",1036,486,1,"R"
"01031",1594,954,6.9,"R"
"06031",313,653,9.3,"R"
"27017",1309,242,6.6,"R"
"38021",1111,274,2.3,"R"
"13261",1661,912,5.1,"D"
"13165",1748,871,2.7,"R"
"19083",1295,451,4.2,"R"
"19093",1210,453,2.8,"R"
"20203",997,631,1.3,"R"
"27005",1203,239,6.4,"R"
"28137",1429,813,5.2,"R"
"31081",1121,520,3.4,"R"
"39173",1634,482,12,"R"
"46057",1153,343,2.6,"R"
"48441",1039,926,10.8,"R"
"48139",1182,984,14.5,"R"
"51840",1831,548,5,"D"
"55033",1342,339,7.4,"R"
"31171",1034,470,0.9,"R"
"04007",624,815,7.7,"R"
"21117",1601,642,13,"R"
"23009",2107,209,8.7,"D"
"24043",1845,537,12.4,"R"
"44001",2051,390,7.7,"D"
"51520",1720,675,4,"R"
"13123",1649,809,6.3,"R"
"16065",664,342,6,"R"
"17065",1467,647,3,"R"
"20073",1184,662,2.5,"R"
"26117",1561,360,8.6,"R"
"28071",1444,826,7,"R"
"31109",1162,527,18.2,"D"
"36123",1839,376,4.7,"R"
"39047",1647,565,5.2,"R"
"41023",428,258,3,"R"
"48309",1139,979,14.5,"R"
"48367",1079,918,13.9,"R"
"29215",1343,686,4.9,"R"
"48271",1012,1061,1.7,"R"
"31163",1088,505,1.9,"R"
"13213",1637,810,6.1,"R"
"16049",557,225,4.5,"R"
"28093",1443,808,5.6,"R"
"38009",1041,143,2.7,"R"
"08065",799,572,2.8,"D"
"17199",1452,664,8.3,"R"
"19127",1299,464,6,"R"
"19065",1336,429,4.5,"R"
"26077",1548,430,17.5,"D"
"29123",1404,682,3.5,"R"
"31111",1025,510,5.9,"R"
"20187",979,675,1.2,"R"
"39023",1635,541,11.5,"R"
"45023",1766,796,5.7,"R"
"48463",1037,1061,4.6,"R"
"28079",1448,899,4.2,"R"
"38041",981,252,1.7,"R"
"51685",1860,564,3.5,"D"
"13125",1712,851,1.9,"R"
"30051",720,129,1.4,"R"
"29510",1422,600,15.6,"D"
"08001",928,530,22,"D"
"12111",1874,1126,19.8,"R"
"53033",384,98,48.2,"D"
"13113",1612,896,12.6,"R"
"18065",1600,562,6.6,"R"
"20047",1071,663,1.6,"R"
"17045",1482,568,4.1,"R"
"28101",1465,914,4.4,"R"
"20069",1029,673,2.2,"R"
"38081",1139,274,2.1,"R"
"39073",1697,569,5.4,"R"
"48207",1046,884,2.2,"R"
"48081",1012,944,2,"R"
"48125",1006,862,1.5,"R"
