"quantity","before_simplification","after_simplification","difference"
"pct_counties_R",85.5902,85.5902,0
"pct_land_R",85.6948,85.6948,0
"pct_votes_R_counties",51.1489,51.1489,0
"national_margin",1.55986,1.55986,0
"county ring vertices",65370,65370,0
"grid cells",3109,3109,0
"dorling circles",3109,3109,0
