"fips","gcol","grow","gx","gy","winner"
"17041",147,65,1463,561,"R"
"20111",121,71,1177,627,"R"
"26065",158,51,1584,407,"D"
"26075",158,53,1584,429,"R"
"26081",154,50,1540,396,"D"
"21175",165,71,1661,627,"R"
"55055",145,51,1441,407,"R"
"27039",132,47,1298,363,"R"
"26127",152,48,1518,374,"R"
"17031",148,56,1474,462,"D"
"17049",146,68,1452,594,"R"
"17047",148,71,1474,627,"R"
"21023",161,68,1617,594,"R"
"27041",124,39,1210,275,"R"
"40073",115,82,1111,748,"R"
"46003",114,49,1100,385,"R"
"46125",118,50,1144,396,"R"
"46005",115,46,1111,352,"R"
"48003",98,97,924,913,"R"
"47021",153,80,1529,726,"R"
"48013",112,112,1078,1078,"R"
"42017",189,56,1925,462,"R"
"42025",187,54,1903,440,"R"
"46059",113,46,1089,352,"R"
"46077",117,46,1133,352,"R"
"46087",118,49,1144,385,"R"
"46097",117,47,1133,363,"R"
"49021",64,69,550,605,"R"
"56035",78,50,704,396,"R"
"55069",141,41,1397,297,"R"
"30037",83,35,759,231,"R"
"45061",177,85,1793,781,"D"
"48047",114,121,1100,1177,"D"
"55107",137,41,1353,297,"R"
"56027",96,50,902,396,"R"
"51065",181,69,1837,605,"R"
"51043",181,63,1837,539,"R"
"27101",123,48,1199,374,"R"
"48053",114,105,1100,1001,"R"
"27117",121,48,1177,374,"R"
"27133",121,49,1177,385,"R"
"51111",182,72,1848,638,"R"
"27147",130,47,1276,363,"R"
"29051",134,71,1320,627,"R"
"01057",151,90,1507,836,"R"
"20029",117,67,1133,583,"R"
"17017",141,64,1397,550,"R"
"47033",145,82,1441,748,"R"
"13247",166,90,1672,836,"D"
"31045",100,53,946,429,"R"
"16063",66,46,572,352,"R"
"16067",68,47,594,363,"R"
"17025",147,69,1463,605,"R"
"29221",139,73,1375,649,"R"
"42083",177,52,1793,418,"R"
"29121",133,65,1309,561,"R"
"27161",129,47,1265,363,"R"
"42093",184,53,1870,429,"R"
"26143",157,44,1573,330,"R"
"29011",128,76,1254,682,"R"
"38017",118,35,1144,231,"R"
"31119",117,57,1133,473,"R"
"38031",114,33,1100,209,"R"
"31135",104,61,990,517,"R"
"06091",43,56,319,462,"R"
"19047",124,56,1210,462,"R"
"17095",141,61,1397,517,"R"
"17099",145,59,1441,495,"R"
"08063",100,67,946,583,"R"
"39109",160,62,1606,528,"R"
"48283",110,114,1056,1100,"R"
"12093",180,115,1826,1111,"R"
"16037",67,41,583,297,"R"
"08095",101,62,957,528,"R"
"19113",136,55,1342,451,"D"
"19137",125,60,1221,506,"R"
"13061",162,99,1628,935,"D"
"39139",165,58,1661,484,"R"
"13091",168,95,1694,891,"R"
"19153",130,57,1276,473,"D"
"48445",99,93,935,869,"R"
"48447",111,94,1067,880,"R"
"17035",147,67,1463,583,"R"
"39159",163,61,1639,517,"R"
"13171",164,92,1650,858,"R"
"39011",160,60,1606,506,"R"
"13207",165,92,1661,858,"R"
"39063",161,58,1617,484,"R"
"48501",98,93,924,869,"R"
"13159",166,91,1672,847,"R"
"13257",166,85,1672,781,"R"
"19035",123,53,1199,429,"R"
"05025",135,91,1331,847,"R"
"19017",133,53,1309,429,"R"
"41055",48,32,374,198,"R"
"13175",169,94,1705,880,"R"
"13167",170,93,1716,869,"R"
