"fips","gcol","grow","gx","gy","winner"
"48151",106,96,1012,902,"R"
"21103",158,69,1584,605,"R"
"48063",126,95,1232,891,"R"
"27109",133,47,1309,363,"D"
"31095",118,64,1144,550,"R"
"31069",102,57,968,473,"R"
"45011",174,90,1760,836,"R"
"28023",148,98,1474,924,"R"
"46047",99,50,935,396,"R"
"48171",111,106,1067,1012,"R"
"19091",128,53,1254,429,"R"
"29007",136,68,1342,594,"R"
"40025",100,78,946,704,"R"
"20143",117,68,1133,594,"R"
"29089",133,68,1309,594,"R"
"48291",126,107,1232,1023,"R"
"18099",153,58,1529,484,"R"
"39131",164,66,1650,572,"R"
"30081",68,34,594,220,"R"
"31053",120,58,1166,484,"R"
"18133",152,64,1518,550,"R"
"48461",100,101,946,957,"R"
"18023",153,62,1529,528,"R"
"47025",164,77,1650,693,"R"
"28119",142,89,1408,825,"D"
"28035",147,102,1463,968,"R"
"12089",174,102,1760,968,"R"
"04025",64,82,550,748,"R"
"06115",39,57,275,473,"R"
"06019",43,69,319,605,"R"
"21083",147,78,1463,704,"R"
"24013",184,61,1870,517,"R"
"27135",123,27,1199,143,"R"
"28151",140,93,1386,869,"D"
"26011",159,45,1595,341,"R"
"08059",92,65,858,561,"D"
"37039",163,83,1639,759,"R"
"37009",171,76,1727,682,"R"
"39035",168,55,1694,451,"D"
"42015",183,51,1859,407,"R"
"47183",147,80,1463,726,"R"
"51117",182,73,1848,649,"R"
"17003",144,76,1430,682,"R"
"22031",130,99,1276,935,"R"
"27037",131,45,1287,341,"D"
"29115",131,65,1287,561,"R"
"20183",113,66,1089,572,"R"
"30043",74,34,660,220,"R"
"31019",112,61,1078,517,"R"
"21233",150,74,1496,660,"R"
"21229",158,72,1584,638,"R"
"37057",176,79,1782,715,"R"
"37025",175,81,1771,737,"R"
"39071",163,66,1639,572,"R"
"39083",166,60,1672,506,"R"
"41027",46,31,352,187,"D"
"42009",179,60,1815,506,"R"
"27173",122,45,1188,341,"R"
"47031",156,82,1562,748,"R"
"47091",170,77,1716,693,"R"
"47133",158,78,1584,704,"R"
"55081",139,47,1375,363,"R"
"56025",88,50,814,396,"R"
"41069",50,35,396,231,"R"
"48473",122,108,1188,1034,"R"
"48157",123,110,1199,1056,"D"
"48339",124,107,1210,1023,"R"
"51173",171,75,1727,671,"R"
"28051",143,94,1419,880,"D"
"53001",57,27,473,143,"R"
"51143",178,73,1804,649,"R"
"53035",45,21,341,77,"D"
"08047",91,64,847,550,"D"
"13217",165,90,1661,836,"D"
"16083",64,49,550,385,"R"
"17011",143,58,1419,484,"R"
"17009",139,65,1375,561,"R"
"17125",142,63,1408,539,"R"
"18057",154,63,1540,539,"R"
"18059",155,64,1551,550,"R"
"19167",121,51,1177,407,"R"
"21183",153,74,1529,660,"R"
"21119",166,73,1672,649,"R"
"25015",195,46,1991,352,"D"
"28127",144,99,1430,935,"R"
"28097",144,92,1430,858,"R"
"28153",149,100,1485,946,"R"
"31023",118,60,1144,506,"R"
"31059",117,63,1133,539,"R"
"36111",190,49,1936,385,"D"
"47095",144,80,1430,726,"R"
"48105",102,104,968,990,"R"
"54013",171,66,1727,572,"R"
"47127",154,84,1540,770,"R"
"01049",158,86,1584,792,"R"
"05143",128,82,1254,748,"R"
"09170",195,50,1991,396,"D"
"13291",164,85,1650,781,"R"
"19057",137,61,1353,517,"R"
"21163",155,72,1551,638,"R"
"06063",42,54,308,440,"R"
"21041",160,69,1606,605,"R"
"28075",148,96,1474,902,"R"
"30011",96,39,902,275,"R"
"26053",140,37,1386,253,"R"
"36087",192,51,1958,407,"R"
"37119",174,81,1760,737,"D"
"39123",163,55,1639,451,"R"
"42133",184,59,1870,495,"R"
"45051",182,86,1848,792,"R"
"49047",78,62,704,528,"R"
"53045",43,22,319,88,"R"
"54069",172,60,1738,506,"R"
"55079",147,51,1463,407,"D"
"13117",164,87,1650,803,"R"
"13009",167,92,1683,858,"R"
"13253",163,102,1639,968,"R"
"13019",168,99,1694,935,"R"
"18071",155,68,1551,594,"R"
"18063",153,64,1529,550,"R"
"18081",154,65,1540,561,"R"
"17013",140,68,1386,594,"R"
"19141",123,52,1199,418,"R"
"21209",160,70,1606,616,"R"
"21137",160,74,1606,660,"R"
"51069",180,63,1826,539,"R"
"51167",169,75,1705,671,"R"
"53065",60,22,506,88,"R"
"55011",135,46,1331,352,"R"
"40059",110,79,1056,715,"R"
"48421",102,80,968,726,"R"
"49019",77,66,693,572,"D"
"51135",182,71,1848,627,"R"
"05139",134,94,1320,880,"R"
"06053",36,69,242,605,"D"
"08069",92,61,858,517,"D"
"12101",173,111,1749,1067,"R"
"22117",144,103,1430,979,"R"
"26103",147,36,1463,242,"D"
"04013",64,89,550,825,"R"
"05115",132,85,1298,781,"R"
"06005",41,61,297,517,"R"
"19043",137,52,1353,418,"R"
"36031",190,39,1936,275,"D"
"37023",171,79,1727,715,"R"
"39077",165,57,1661,473,"R"
"40027",117,85,1133,781,"R"
"40139",103,79,979,715,"R"
"47069",146,85,1452,781,"R"
"47089",165,79,1661,715,"R"
"30015",80,28,726,154,"R"
"31015",114,52,1100,418,"R"
"47159",156,79,1562,715,"R"
"31129",115,64,1111,550,"R"
"48401",126,99,1232,935,"R"
"48485",112,91,1078,847,"R"
"48341",102,82,968,748,"R"
"48371",98,104,924,990,"R"
"49003",68,53,594,429,"R"
"26007",159,41,1595,297,"R"
"28139",147,86,1463,792,"R"
"32017",59,68,495,594,"R"
"36119",193,52,1969,418,"D"
"36063",175,46,1771,352,"R"
"36027",192,49,1958,385,"D"
"38035",118,31,1144,187,"R"
"40095",119,91,1155,847,"R"
"48479",110,117,1056,1133,"R"
"48273",115,119,1111,1155,"R"
"53071",55,30,451,176,"R"
"08027",91,71,847,627,"R"
"08109",87,71,803,627,"D"
"13137",167,85,1683,781,"R"
"17061",140,67,1386,583,"R"
"18031",156,66,1562,572,"R"
"16041",72,51,638,407,"R"
"19013",134,54,1320,440,"D"
"21089",165,68,1661,594,"R"
"21021",159,73,1595,649,"R"
"21093",156,73,1562,649,"R"
"21179",157,73,1573,649,"R"
"26091",160,54,1606,440,"R"
"27035",128,37,1254,253,"R"
"27143",127,45,1243,341,"R"
"28123",145,97,1441,913,"R"
"28009",146,87,1452,803,"R"
"28129",146,98,1452,924,"R"
"29195",131,68,1287,594,"R"
"31115",111,56,1067,462,"R"
"21099",156,75,1562,671,"R"
"35037",96,85,902,781,"R"
"36099",181,47,1837,363,"R"
"37051",181,81,1837,737,"D"
"40143",122,82,1188,748,"R"
"40091",123,85,1199,781,"R"
"42089",188,53,1914,429,"R"
"47147",153,78,1529,704,"R"
"21047",151,77,1507,693,"R"
"39043",165,56,1661,462,"R"
"35017",78,94,704,880,"D"
"35021",96,82,902,748,"R"
"05027",132,94,1298,880,"R"
"55065",140,53,1386,429,"R"
"51169",168,76,1694,682,"R"
"48149",119,108,1155,1034,"R"
"47053",146,81,1452,737,"R"
"25019",204,48,2090,374,"D"
"21039",146,77,1452,693,"R"
"45005",174,91,1760,847,"D"
"46011",120,46,1166,352,"R"
"51115",188,69,1914,605,"R"
"53075",59,28,495,154,"D"
"29131",134,72,1320,638,"R"
"26021",152,55,1518,451,"R"
"30017",94,36,880,242,"R"
"42053",175,54,1771,440,"R"
"29059",132,75,1298,671,"R"
"37131",185,74,1881,660,"D"
"12085",182,115,1848,1111,"R"
"12099",182,117,1848,1133,"D"
"13033",172,91,1738,847,"R"
"13151",164,90,1650,836,"D"
"29141",132,71,1298,627,"R"
"05029",133,85,1309,781,"R"
"29143",144,79,1430,715,"R"
"37021",168,80,1694,726,"D"
"25025",200,44,2046,330,"D"
"42011",186,56,1892,462,"R"
"47079",148,80,1474,726,"R"
"48007",118,115,1144,1111,"R"
"25017",199,44,2035,330,"D"
"13049",173,101,1749,957,"R"
"48377",91,107,847,1023,"D"
"06001",36,63,242,539,"D"
"47061",158,83,1584,759,"R"
"21055",149,75,1485,671,"R"
"09110",196,48,2002,374,"D"
"09120",194,51,1980,407,"D"
"09180",197,49,2013,385,"D"
"31165",98,53,924,429,"R"
"39075",167,59,1683,495,"R"
"25023",201,46,2057,352,"D"
"48009",112,92,1078,858,"R"
"46135",118,52,1144,418,"R"
"46067",117,50,1133,396,"R"
"47039",149,83,1485,759,"R"
"42021",178,58,1804,484,"R"
"41033",36,42,242,308,"R"
"50027",194,41,1980,297,"D"
"42055",181,59,1837,495,"R"
"22013",132,98,1298,924,"R"
"21063",165,70,1661,616,"R"
"48073",125,100,1221,946,"R"
"53053",46,24,352,110,"D"
"26089",153,42,1529,308,"D"
"29145",128,78,1254,704,"R"
"27097",127,39,1243,275,"R"
"42109",183,55,1859,451,"R"
"35047",92,83,858,759,"D"
"29149",138,79,1364,715,"R"
"46019",99,43,935,319,"R"
"47059",167,78,1683,704,"R"
"47063",165,78,1661,704,"R"
"46033",99,48,935,374,"R"
"45025",177,83,1793,759,"R"
"45027",178,87,1804,803,"R"
"31169",117,64,1133,550,"R"
"30099",75,27,671,143,"R"
"21079",160,73,1606,649,"R"
"22017",130,97,1276,913,"D"
"35003",78,88,704,814,"R"
"16071",70,51,616,407,"R"
"16045",60,40,506,286,"R"
"39087",166,68,1672,594,"R"
"42111",177,60,1793,506,"R"
"48167",126,110,1232,1056,"R"
"05045",135,86,1331,792,"R"
"46081",98,45,924,341,"R"
"42031",175,55,1771,451,"R"
"47085",150,81,1496,737,"R"
"45037",172,88,1738,814,"R"
"45043",181,88,1837,814,"R"
"54001",174,64,1760,550,"R"
"25005",200,47,2046,363,"D"
"28049",142,97,1408,913,"D"
"21123",157,72,1573,638,"R"
"29071",138,71,1364,627,"R"
"24005",185,60,1881,506,"D"
"22081",132,99,1298,935,"R"
"16079",64,27,550,143,"R"
"51179",182,66,1848,572,"D"
"24510",185,61,1881,517,"D"
"23001",200,36,2046,242,"R"
"23023",201,37,2057,253,"D"
"20037",126,76,1232,682,"R"
"48091",113,109,1089,1045,"R"
"48095",108,102,1034,968,"R"
"47093",163,80,1639,726,"R"
"27073",121,43,1177,319,"R"
"51075",182,69,1848,605,"R"
"51087",183,69,1859,605,"D"
"44003",199,47,2035,363,"D"
"49005",72,53,638,429,"R"
"16043",75,42,671,308,"R"
"24003",186,63,1892,539,"D"
"12001",173,106,1749,1012,"D"
"29077",131,77,1287,693,"R"
"06107",44,72,330,638,"R"
"24015",187,60,1903,506,"R"
"38055",107,32,1023,198,"R"
"37195",184,77,1870,693,"D"
"26037",157,50,1573,396,"R"
"23007",198,33,2024,209,"R"
"17029",147,66,1463,572,"R"
"47145",161,80,1617,726,"R"
"26003",150,36,1496,242,"R"
"37017",183,82,1859,748,"R"
"50001",192,39,1958,275,"D"
"47101",151,83,1507,759,"R"
"53005",53,29,429,165,"R"
"27081",121,46,1177,352,"R"
"31033",100,58,946,484,"R"
"42063",176,57,1782,473,"R"
"48247",112,120,1078,1166,"D"
"17093",146,57,1452,473,"D"
"18089",149,58,1485,484,"D"
"17097",147,54,1463,440,"D"
"16035",64,30,550,176,"R"
"47143",160,81,1606,737,"R"
"24019",188,64,1914,550,"R"
"16055",62,26,528,132,"R"
"47149",155,81,1551,737,"R"
"20049",121,76,1177,682,"R"
"19189",129,50,1265,396,"R"
"19085",123,58,1199,484,"R"
"26057",157,48,1573,374,"R"
"19053",129,62,1265,528,"R"
"29173",137,67,1353,583,"R"
"56021",94,58,880,484,"R"
"47125",151,79,1507,715,"R"
"49017",71,70,627,616,"R"
"27091",126,49,1232,385,"R"
"42069",186,52,1892,418,"D"
"42131",185,52,1881,418,"R"
"42073",172,57,1738,473,"R"
"42085",172,55,1738,451,"R"
"42077",187,55,1903,451,"D"
"29107",129,69,1265,605,"R"
"29117",130,65,1276,561,"R"
"29119",128,80,1254,726,"R"
"17131",139,59,1375,495,"R"
"24023",176,62,1782,528,"R"
"24025",186,60,1892,506,"R"
"47097",144,82,1430,748,"R"
"47157",143,85,1419,781,"D"
"21129",163,72,1639,638,"R"
"47167",144,83,1430,759,"R"
"21131",165,75,1661,671,"R"
"47135",150,82,1496,748,"R"
"55089",147,49,1463,385,"R"
"47161",150,79,1496,715,"R"
"29009",129,79,1265,715,"R"
"51033",184,67,1870,583,"R"
"05091",130,94,1276,880,"R"
"19151",126,53,1232,429,"R"
"38029",109,38,1045,264,"R"
"51149",185,71,1881,627,"R"
"22055",136,107,1342,1023,"R"
"51153",183,65,1859,561,"D"
"17163",142,71,1408,627,"D"
"46065",110,46,1056,352,"R"
"47023",148,84,1474,770,"R"
"22119",132,96,1298,902,"R"
"24037",186,66,1892,572,"R"
"21091",153,73,1529,649,"R"
"21135",164,68,1650,594,"R"
"48123",117,112,1133,1078,"R"
"06077",38,63,264,539,"R"
"21143",150,76,1496,682,"R"
"21149",152,74,1518,660,"R"
"21153",165,72,1661,638,"R"
"47179",168,78,1694,704,"R"
"51049",182,70,1848,616,"R"
"48043",96,107,902,1023,"R"
"55105",144,53,1430,429,"D"
"51057",185,67,1881,583,"R"
"05001",138,89,1364,825,"R"
"42095",188,54,1914,440,"R"
"34007",190,58,1936,484,"D"
"17185",149,71,1485,627,"R"
"37147",186,78,1892,704,"D"
"22019",132,107,1298,1023,"R"
"24041",187,63,1903,539,"R"
"47139",162,84,1628,770,"R"
"27027",121,35,1177,231,"D"
"21159",167,71,1683,627,"R"
"21161",162,68,1628,594,"R"
"55117",147,48,1463,374,"R"
"45065",170,87,1716,803,"R"
"56023",76,51,682,407,"R"
"37199",169,79,1705,715,"R"
"01113",161,96,1617,902,"D"
"06003",44,61,330,517,"D"
"55047",143,48,1419,374,"R"
"34019",189,55,1925,451,"R"
"24047",190,65,1936,561,"R"
"37167",176,81,1782,737,"R"
"22003",134,105,1320,1001,"R"
"22079",135,103,1331,979,"R"
"22115",132,103,1298,979,"R"
"21203",161,74,1617,660,"R"
"27055",136,49,1342,385,"R"
"21165",163,71,1639,627,"R"
"37085",181,79,1837,715,"R"
"49035",71,58,627,484,"D"
"49049",71,60,627,506,"R"
"51059",182,64,1848,550,"D"
"45077",168,84,1694,770,"R"
"45079",175,86,1771,792,"D"
"30039",71,33,627,209,"R"
"05021",141,80,1397,726,"R"
"27167",121,38,1177,264,"R"
"04009",72,92,638,858,"R"
"21207",159,76,1595,682,"R"
"21235",162,76,1628,682,"R"
"40053",116,79,1122,715,"R"
"47175",158,82,1584,748,"R"
"54089",173,71,1749,627,"R"
"37193",173,77,1749,693,"R"
"49039",71,63,627,539,"R"
"06093",39,46,275,352,"R"
"46051",120,43,1166,319,"R"
"45071",172,86,1738,792,"R"
"45083",171,83,1727,759,"R"
"51089",176,74,1782,660,"R"
"45085",177,87,1793,803,"D"
"53013",58,30,484,176,"R"
"55133",146,51,1452,407,"R"
"39101",163,60,1639,506,"R"
"37177",190,76,1936,682,"R"
"08079",85,73,781,649,"R"
"18111",150,58,1496,484,"R"
"51035",174,75,1760,671,"R"
"16031",67,50,583,396,"R"
"19119",121,50,1177,396,"R"
"37137",188,79,1914,715,"R"
"17005",144,69,1430,605,"R"
"18045",150,63,1496,539,"R"
"19095",134,57,1320,473,"R"
"16013",66,45,572,341,"D"
"48439",117,96,1133,902,"R"
"47045",145,81,1441,737,"R"
"37093",180,81,1826,737,"D"
"05125",134,88,1320,814,"R"
"26149",155,55,1551,451,"R"
"21219",152,77,1518,693,"R"
"26159",153,54,1529,440,"R"
"27103",127,46,1243,352,"R"
"49055",72,68,638,594,"R"
"27107",121,33,1177,209,"R"
"30023",71,34,627,220,"D"
"37175",168,82,1694,748,"R"
"01061",159,101,1595,957,"R"
"01069",161,101,1617,957,"R"
"51077",172,75,1738,671,"R"
"37031",189,80,1925,726,"R"
"47037",154,80,1540,726,"D"
"16033",72,42,638,308,"R"
"55015",146,46,1452,352,"R"
"21225",149,74,1485,660,"R"
"17043",147,56,1463,462,"D"
"17059",148,74,1474,660,"R"
"27009",128,40,1254,286,"R"
"21237",164,72,1650,638,"R"
"42041",182,58,1848,484,"R"
"29031",143,75,1419,671,"R"
"25013",195,47,1991,363,"D"
"29033",130,67,1276,583,"R"
"12071",176,118,1782,1144,"R"
"16053",65,48,561,374,"R"
"20121",126,71,1232,627,"R"
"05149",131,86,1287,792,"R"
"13025",173,99,1749,935,"R"
"19069",131,53,1287,429,"R"
"17177",142,54,1408,440,"R"
"18025",154,71,1540,627,"R"
"40133",120,86,1166,792,"R"
"38057",105,33,1001,209,"R"
"35053",84,88,770,814,"R"
"36067",183,45,1859,341,"D"
"45069",179,83,1815,759,"D"
"21013",164,76,1650,682,"R"
"27003",130,42,1276,308,"R"
"27013",128,48,1254,374,"R"
"21019",166,69,1672,605,"R"
"40047",116,81,1122,737,"R"
"21031",153,75,1529,671,"R"
"46013",115,41,1111,297,"R"
"48055",116,108,1122,1034,"R"
"53059",46,28,352,154,"R"
"51109",182,68,1848,594,"R"
"50011",191,36,1947,242,"D"
"30013",77,30,693,176,"R"
"29043",132,78,1298,704,"R"
"08014",93,63,869,539,"D"
"47029",166,79,1672,715,"R"
"51095",186,69,1892,605,"D"
"37063",181,77,1837,693,"D"
"37007",177,82,1793,748,"R"
"37141",185,82,1881,748,"R"
"40065",110,88,1056,814,"R"
"36107",184,49,1870,385,"R"
"37001",179,77,1815,693,"R"
"37149",170,82,1716,748,"R"
"39045",166,63,1672,539,"R"
"40011",114,83,1100,759,"R"
"40081",119,83,1155,759,"R"
"45015",179,89,1815,825,"R"
"55027",145,49,1441,385,"R"
"55141",140,45,1386,341,"R"
"40003",114,79,1100,715,"R"
"31149",111,54,1067,440,"R"
"31125",116,59,1122,495,"R"
"08075",99,61,935,517,"R"
"54065",180,61,1826,517,"R"
"47187",153,81,1529,737,"R"
"47005",149,81,1485,737,"R"
"48199",128,106,1254,1012,"R"
"32013",52,51,418,407,"R"
"42051",175,61,1771,517,"R"
"22111",135,96,1331,902,"R"
"28117",148,87,1474,803,"R"
"28029",142,99,1408,935,"R"
"29217",128,74,1254,660,"R"
"20083",109,72,1045,638,"R"
"20127",120,71,1166,627,"R"
"21169",157,76,1573,682,"R"
"48147",122,93,1188,869,"R"
"48187",115,109,1111,1045,"R"
"48077",114,92,1100,858,"R"
"48099",115,102,1111,968,"R"
"48325",110,110,1056,1056,"R"
"48375",102,84,968,770,"R"
"12009",180,110,1826,1056,"R"
"01063",151,94,1507,880,"D"
"17111",146,54,1452,440,"R"
"13179",174,96,1760,902,"D"
"26043",146,38,1452,264,"R"
"48049",111,99,1067,935,"R"
"53017",54,23,440,99,"R"
"54081",171,71,1727,627,"R"
"55139",145,46,1441,352,"R"
"37107",185,79,1881,715,"R"
"38059",107,36,1023,242,"R"
"39137",160,58,1606,484,"R"
"39059",169,61,1705,517,"R"
"41013",48,38,374,264,"R"
"42065",176,55,1782,451,"R"
"47043",152,80,1518,726,"R"
"30075",93,40,869,286,"R"
"29035",139,77,1375,693,"R"
"51003",180,67,1826,583,"D"
"51680",178,71,1804,627,"R"
"51101",185,68,1881,594,"R"
"55113",137,40,1353,286,"R"
"39163",166,65,1672,561,"R"
"06007",39,55,275,451,"R"
"23017",198,35,2024,231,"R"
"29003",126,65,1232,561,"R"
"29097",128,77,1254,693,"R"
"37187",188,76,1914,682,"D"
"46053",112,51,1078,407,"R"
"46021",110,40,1056,286,"R"
"47099",152,84,1518,770,"R"
"48315",128,96,1254,902,"R"
"48121",118,94,1144,880,"R"
"48025",116,115,1122,1111,"R"
"48497",116,94,1122,880,"R"
"48289",122,102,1188,968,"R"
"48505",110,121,1056,1177,"R"
"48083",109,100,1045,946,"R"
"55025",142,51,1408,407,"D"
"39053",167,67,1683,583,"R"
"46009",116,52,1122,418,"R"
"51036",185,69,1881,605,"D"
"56011",96,43,902,319,"R"
"31077",114,58,1100,484,"R"
"35031",80,81,726,737,"D"
"36029",176,48,1782,374,"D"
"12105",176,112,1782,1078,"R"
"46089",112,40,1078,286,"R"
"28055",140,96,1386,902,"R"
"48383",102,102,968,968,"R"
"04011",75,92,671,858,"R"
"05031",140,82,1386,748,"R"
"55111",141,49,1397,385,"R"
"55091",134,45,1320,341,"R"
"55001",141,47,1397,363,"R"
"30059",78,33,704,209,"R"
"04001",75,83,671,759,"D"
"10003",188,60,1914,506,"D"
"01121",157,92,1573,858,"R"
"47065",160,83,1606,759,"R"
"51133",187,67,1903,583,"R"
"51510",184,64,1870,550,"D"
"01099",153,100,1529,946,"R"
"05095",139,87,1375,803,"R"
"12103",172,113,1738,1089,"R"
"13185",169,101,1705,957,"R"
"16017",63,23,539,99,"R"
"17193",148,72,1474,638,"R"
"38085",107,38,1023,264,"D"
"47109",148,85,1474,781,"R"
"47121",161,81,1617,737,"R"
"49031",69,67,605,583,"R"
"20129",102,76,968,682,"R"
"18123",153,72,1529,638,"R"
"19059",125,50,1221,396,"R"
"24017",185,65,1881,561,"D"
"24021",183,61,1859,517,"D"
"05013",134,92,1320,858,"R"
"13097",162,90,1628,836,"D"
"13271",169,96,1705,902,"R"
"13243",163,98,1639,924,"D"
"13093",166,96,1672,902,"R"
"13007",164,100,1650,946,"R"
"13011",166,86,1672,792,"R"
"17165",147,74,1463,660,"R"
"06029",44,75,330,671,"R"
"22103",144,105,1430,1001,"R"
"23027",203,34,2079,220,"D"
"51775",176,71,1782,627,"R"
"29227",127,63,1243,539,"R"
"37011",170,78,1716,704,"R"
"48333",112,101,1078,957,"R"
"51640",173,75,1749,671,"R"
"26029",155,40,1551,286,"R"
"26151",163,47,1639,363,"R"
"24045",189,65,1925,561,"R"
"33003",197,38,2013,264,"R"
"17021",144,66,1430,572,"R"
"19121",128,59,1254,495,"R"
"20079",117,73,1133,649,"R"
"21081",161,67,1617,583,"R"
"21213",154,77,1540,693,"R"
"23025",199,30,2035,176,"R"
"25009",200,43,2046,319,"D"
"21195",168,72,1694,638,"R"
"54031",178,64,1804,550,"R"
"27155",121,40,1177,286,"R"
"05089",133,81,1309,737,"R"
"06073",49,87,385,803,"D"
"37095",190,77,1936,693,"R"
"41015",35,41,231,297,"R"
"26165",154,45,1540,341,"R"
"18101",152,69,1518,605,"R"
"28163",142,95,1408,891,"R"
"29113",139,69,1375,605,"R"
"21077",159,68,1595,594,"R"
"31079",114,61,1100,517,"R"
"26061",143,35,1419,231,"R"
"37073",187,73,1903,649,"R"
"39155",171,55,1727,451,"R"
"40067",115,90,1111,836,"R"
"08077",81,67,737,583,"R"
"09190",193,51,1969,407,"D"
"13047",160,84,1606,770,"R"
"13295",159,85,1595,781,"R"
"41011",36,38,242,264,"R"
"47073",166,77,1672,693,"R"
"12055",178,115,1804,1111,"R"
"50025",194,43,1980,319,"D"
"34041",189,54,1925,440,"R"
"35029",80,95,726,891,"R"
"22121",139,105,1375,1001,"R"
"37059",175,78,1771,704,"R"
"39169",167,58,1683,484,"R"
"40111",122,84,1188,770,"R"
"45019",180,91,1826,847,"D"
"46083",120,51,1166,407,"R"
"06067",39,60,275,506,"D"
"18029",158,66,1584,572,"R"
"19005",136,50,1342,396,"R"
"51093",187,72,1903,638,"R"
"51700",190,71,1936,627,"D"
"54071",177,66,1793,572,"R"
"41029",39,42,275,308,"R"
"42027",180,55,1826,451,"D"
"45059",171,85,1727,781,"R"
"47009",164,81,1650,737,"R"
"51185",171,73,1727,649,"R"
"12047",170,101,1716,957,"R"
"54051",172,61,1738,517,"R"
"12129",165,105,1661,1001,"R"
"13223",161,89,1617,825,"R"
"23005",200,38,2046,264,"D"
"24039",189,66,1925,572,"R"
"20119",107,77,1023,693,"R"
"29127",136,65,1342,561,"R"
"16039",62,44,528,330,"R"
"17167",143,65,1419,561,"R"
"18109",153,66,1529,572,"R"
"16029",74,49,660,385,"R"
"20173",117,75,1133,671,"R"
"47185",158,80,1584,726,"R"
"31017",110,53,1056,429,"R"
"48389",94,101,880,957,"R"
"48297",114,115,1100,1111,"R"
"51009",178,70,1804,616,"R"
"51683",183,63,1859,539,"D"
"13289",167,93,1683,869,"R"
"13043",172,94,1738,880,"R"
"18105",153,67,1529,583,"D"
"19105",137,55,1353,451,"R"
"19027",126,56,1232,462,"R"
"20061",120,69,1166,605,"R"
"21095",165,76,1661,682,"R"
"22127",134,99,1320,935,"R"
"29087",124,64,1210,550,"R"
"08037",87,64,803,550,"D"
"36117",181,45,1837,341,"R"
"21067",160,71,1606,627,"D"
"21141",153,77,1529,693,"R"
"21177",152,75,1518,671,"R"
"21011",163,70,1639,616,"R"
"22011",132,105,1298,1001,"R"
"18155",158,68,1584,594,"R"
"53037",51,25,407,121,"R"
"54049",173,63,1749,539,"R"
"32011",57,58,473,484,"R"
"40093",113,81,1089,737,"R"
"45081",172,87,1738,803,"R"
"13121",163,89,1639,825,"D"
"13105",168,87,1694,803,"R"
"13067",162,89,1628,825,"D"
"13177",165,98,1661,924,"R"
"08031",93,64,869,550,"D"
"38067",118,27,1144,143,"R"
"12019",174,104,1760,990,"R"
"27001",130,36,1276,242,"R"
"18115",158,67,1584,583,"R"
"28145",146,88,1452,814,"R"
"28013",146,90,1452,836,"R"
"28091",144,102,1430,968,"R"
"29091",136,79,1342,715,"R"
"21167",159,72,1595,638,"R"
"35057",87,86,803,792,"R"
"46117",107,45,1023,341,"R"
"48165",98,95,924,891,"R"
"51029",180,70,1826,616,"R"
"55099",139,40,1375,286,"R"
"01097",151,103,1507,979,"R"
"01039",157,101,1573,957,"R"
"18153",150,67,1496,583,"R"
"18047",158,65,1584,561,"R"
"19109",128,52,1254,418,"R"
"20207",123,74,1199,660,"R"
"21009",156,76,1562,682,"R"
"12121",170,104,1716,990,"R"
"48359",99,84,935,770,"R"
"53039",49,30,385,176,"R"
"13153",166,94,1672,880,"R"
"13089",164,89,1650,825,"D"
"13269",164,94,1650,880,"R"
"36025",188,48,1914,374,"R"
"36039",190,47,1936,363,"R"
"37099",167,82,1683,748,"R"
"40103",118,80,1144,726,"R"
"41005",44,32,330,198,"D"
"05015",130,81,1276,737,"R"
"11001",185,62,1881,528,"D"
"01043",154,89,1540,825,"R"
"17127",147,76,1463,682,"R"
"22043",134,101,1320,957,"R"
"22039",135,104,1331,990,"R"
"28017",147,90,1463,836,"R"
"29187",140,74,1386,660,"R"
"29041",132,67,1298,583,"R"
"29023",141,78,1397,704,"R"
"17115",145,65,1441,561,"R"
"18001",158,59,1584,495,"R"
"19079",129,55,1265,451,"R"
"19089",133,50,1309,396,"R"
"19145",125,61,1221,517,"R"
"21073",159,70,1595,616,"R"
"21029",156,72,1562,638,"R"
"24027",184,62,1870,528,"D"
"26145",159,48,1595,374,"R"
"42075",185,57,1881,473,"R"
"42119",182,55,1848,451,"R"
"45007",169,85,1705,781,"R"
"47117",154,83,1540,759,"R"
"31043",120,55,1166,451,"R"
"48455",125,103,1221,979,"R"
"18077",157,68,1573,594,"R"
"18083",150,69,1496,605,"R"
"21015",159,67,1595,583,"R"
"22105",143,105,1419,1001,"R"
"30019",95,26,891,132,"R"
"30035",74,23,660,99,"D"
"31099",112,63,1078,539,"R"
"31181",114,64,1100,550,"R"
"35009",96,88,902,814,"R"
"36093",190,45,1936,341,"D"
"27089",121,29,1177,165,"R"
"27051",122,39,1188,275,"R"
"18137",157,67,1573,583,"R"
"29093",140,75,1386,671,"R"
"31127",122,63,1188,539,"R"
"30109",98,34,924,220,"R"
"48491",116,105,1122,1001,"R"
"48411",112,103,1078,979,"R"
"48493",114,111,1100,1067,"R"
"51171",179,64,1815,550,"R"
"51760",184,69,1870,605,"D"
"33015",199,42,2035,308,"R"
"36003",178,50,1804,396,"R"
"36083",192,45,1958,341,"D"
"36055",179,46,1815,352,"D"
"48467",123,97,1199,913,"R"
"36113",190,42,1936,308,"R"
"40109",117,84,1133,770,"R"
"22099",138,106,1364,1012,"R"
"40117",119,81,1155,737,"R"
"29157",143,74,1419,660,"R"
"36051",179,48,1815,374,"R"
"37123",178,80,1804,726,"R"
