"rank","cum_land","cum_votes","cum_counties","winner"
1,0.0493,0.0001,0.0322,"R"
2,0.1705,0.0004,0.0643,"R"
3,0.1932,0.0005,0.0965,"R"
4,0.224,0.0006,0.1287,"R"
5,0.3822,0.0011,0.1608,"R"
6,0.462,0.0013,0.193,"R"
7,0.5216,0.0016,0.2252,"R"
8,0.5776,0.0018,0.2573,"R"
9,0.6495,0.0021,0.2895,"R"
10,0.7785,0.0026,0.3216,"R"
11,0.9331,0.0032,0.3538,"R"
12,1.2929,0.0048,0.386,"R"
13,1.4342,0.0055,0.4181,"R"
14,1.5472,0.0061,0.4503,"R"
15,1.6375,0.0066,0.4825,"R"
16,1.6787,0.0068,0.5146,"R"
17,1.7077,0.007,0.5468,"R"
18,1.7777,0.0075,0.579,"R"
19,1.8892,0.0082,0.6111,"R"
20,2.1235,0.0097,0.6433,"R"
21,2.2021,0.0103,0.6755,"R"
22,2.4063,0.0118,0.7076,"R"
23,2.4727,0.0123,0.7398,"R"
24,2.5314,0.0127,0.772,"R"
25,2.5556,0.0129,0.8041,"R"
26,2.645,0.0136,0.8363,"R"
27,2.6691,0.0138,0.8684,"R"
28,3.0119,0.0165,0.9006,"R"
29,3.1858,0.0179,0.9328,"R"
30,3.3152,0.019,0.9649,"R"
31,3.3538,0.0193,0.9971,"R"
32,3.3842,0.0196,1.0293,"R"
33,3.4239,0.0199,1.0614,"R"
34,3.457,0.0202,1.0936,"R"
35,3.5405,0.0209,1.1258,"R"
36,3.6294,0.0217,1.1579,"R"
37,3.6556,0.022,1.1901,"R"
38,3.7273,0.0226,1.2223,"R"
39,4.028,0.0254,1.2544,"R"
40,4.1089,0.0262,1.2866,"R"
41,4.1687,0.0268,1.3188,"R"
42,4.2267,0.0273,1.3509,"R"
43,4.4135,0.0291,1.3831,"R"
44,4.444,0.0293,1.4152,"R"
45,4.7193,0.032,1.4474,"R"
46,4.7739,0.0325,1.4796,"R"
47,4.8689,0.0335,1.5117,"R"
48,4.931,0.0341,1.5439,"R"
49,5.0076,0.0348,1.5761,"R"
50,5.2092,0.0369,1.6082,"R"
51,5.2345,0.0371,1.6404,"R"
52,5.3649,0.0384,1.6726,"D"
53,5.5314,0.0401,1.7047,"R"
54,5.5692,0.0405,1.7369,"R"
55,5.7445,0.0423,1.7691,"R"
56,5.8608,0.0435,1.8012,"R"
57,5.9579,0.0446,1.8334,"R"
58,6.0021,0.045,1.8656,"R"
59,6.0262,0.0453,1.8977,"R"
60,6.0651,0.0457,1.9299,"R"
61,6.0979,0.0461,1.962,"R"
62,6.1581,0.0468,1.9942,"R"
63,6.1825,0.047,2.0264,"R"
64,6.2455,0.0478,2.0585,"R"
65,6.3724,0.0493,2.0907,"R"
66,6.4025,0.0496,2.1229,"R"
67,6.4638,0.0503,2.155,"R"
68,6.495,0.0507,2.1872,"R"
69,6.5975,0.052,2.2194,"D"
70,6.857,0.0552,2.2515,"R"
71,6.9077,0.0558,2.2837,"R"
72,6.9834,0.0568,2.3159,"R"
73,7.0197,0.0572,2.348,"R"
74,7.0774,0.058,2.3802,"R"
75,7.1257,0.0586,2.4124,"R"
76,7.1592,0.059,2.4445,"R"
77,7.2424,0.0601,2.4767,"R"
78,7.2908,0.0607,2.5088,"R"
79,7.322,0.0611,2.541,"R"
80,7.4651,0.063,2.5732,"R"
81,7.4892,0.0634,2.6053,"R"
82,7.5524,0.0642,2.6375,"R"
83,7.5786,0.0646,2.6697,"R"
84,7.748,0.0669,2.7018,"R"
85,7.8824,0.0688,2.734,"R"
86,7.9129,0.0692,2.7662,"R"
87,8.1221,0.0722,2.7983,"R"
88,8.1526,0.0726,2.8305,"R"
89,8.2007,0.0733,2.8627,"R"
90,8.227,0.0737,2.8948,"R"
91,8.2461,0.074,2.927,"R"
92,8.2654,0.0743,2.9592,"R"
93,8.2983,0.0748,2.9913,"R"
94,8.3221,0.0751,3.0235,"R"
95,8.4085,0.0764,3.0556,"R"
96,8.4647,0.0773,3.0878,"R"
97,8.4957,0.0778,3.12,"R"
98,8.5192,0.0781,3.1521,"R"
99,8.5484,0.0786,3.1843,"R"
100,8.8156,0.0827,3.2165,"R"
101,9.0802,0.0868,3.2486,"R"
102,9.1581,0.088,3.2808,"D"
103,9.1979,0.0886,3.313,"R"
104,9.3646,0.0912,3.3451,"R"
105,9.3983,0.0917,3.3773,"R"
106,9.4292,0.0922,3.4095,"R"
107,9.7554,0.0974,3.4416,"R"
108,9.7858,0.0979,3.4738,"R"
109,9.8199,0.0984,3.506,"R"
110,9.8555,0.099,3.5381,"R"
111,9.8749,0.0993,3.5703,"R"
112,9.9193,0.1001,3.6024,"R"
113,9.9489,0.1005,3.6346,"R"
114,10.2939,0.1063,3.6668,"R"
115,10.3309,0.1069,3.6989,"D"
116,10.5,0.1097,3.7311,"R"
117,10.5556,0.1107,3.7633,"R"
118,10.5896,0.1112,3.7954,"R"
119,10.7508,0.114,3.8276,"R"
120,10.7909,0.1147,3.8598,"R"
121,10.8457,0.1157,3.8919,"R"
122,10.8865,0.1164,3.9241,"R"
123,11.116,0.1205,3.9563,"R"
124,11.1587,0.1213,3.9884,"R"
125,11.1899,0.1219,4.0206,"R"
126,11.2272,0.1226,4.0528,"R"
127,11.3804,0.1254,4.0849,"R"
128,11.4313,0.1263,4.1171,"R"
129,11.4543,0.1268,4.1492,"R"
130,11.5035,0.1277,4.1814,"R"
131,11.5194,0.128,4.2136,"D"
132,11.5533,0.1286,4.2457,"R"
133,11.5783,0.1291,4.2779,"D"
134,11.6655,0.1308,4.3101,"R"
135,11.6964,0.1314,4.3422,"R"
136,11.8299,0.1339,4.3744,"R"
137,11.9953,0.1371,4.4066,"R"
138,12.0264,0.1377,4.4387,"R"
139,12.1089,0.1394,4.4709,"R"
140,12.2965,0.1431,4.5031,"R"
141,12.3422,0.144,4.5352,"R"
142,12.3751,0.1446,4.5674,"R"
143,12.4087,0.1453,4.5995,"R"
144,12.5159,0.1475,4.6317,"D"
145,12.5619,0.1484,4.6639,"R"
146,12.6267,0.1497,4.696,"R"
147,12.7811,0.1528,4.7282,"R"
148,12.8231,0.1537,4.7604,"R"
149,13.1576,0.1606,4.7925,"R"
150,13.1923,0.1613,4.8247,"R"
151,13.4172,0.1659,4.8569,"R"
152,13.4439,0.1665,4.889,"R"
153,13.5006,0.1677,4.9212,"R"
154,13.5311,0.1684,4.9534,"R"
155,13.6163,0.1702,4.9855,"R"
156,13.6842,0.1717,5.0177,"R"
157,13.8194,0.1746,5.0499,"R"
158,13.9703,0.1778,5.082,"R"
159,13.9994,0.1785,5.1142,"R"
160,14.0379,0.1793,5.1463,"R"
161,14.0711,0.18,5.1785,"R"
162,14.1801,0.1824,5.2107,"R"
163,14.2049,0.183,5.2428,"R"
164,14.2432,0.1838,5.275,"R"
165,14.53,0.1902,5.3072,"R"
166,14.5562,0.1907,5.3393,"R"
167,14.5868,0.1914,5.3715,"R"
168,14.611,0.192,5.4037,"R"
169,14.7516,0.1951,5.4358,"R"
170,14.813,0.1965,5.468,"R"
171,14.8373,0.1971,5.5002,"R"
172,14.8861,0.1982,5.5323,"R"
173,14.9196,0.199,5.5645,"R"
174,14.9528,0.1998,5.5967,"R"
175,15.0014,0.2009,5.6288,"R"
176,15.0322,0.2016,5.661,"R"
177,15.0906,0.203,5.6931,"R"
178,15.178,0.2051,5.7253,"R"
179,15.2144,0.206,5.7575,"R"
180,15.2771,0.2075,5.7896,"R"
181,15.3028,0.2082,5.8218,"R"
182,15.3538,0.2094,5.854,"R"
183,15.4511,0.2118,5.8861,"R"
184,15.5162,0.2134,5.9183,"D"
185,15.5525,0.2143,5.9505,"R"
186,16.1335,0.2288,5.9826,"R"
187,16.1697,0.2297,6.0148,"R"
188,16.2375,0.2314,6.047,"R"
189,16.2738,0.2324,6.0791,"R"
190,16.3037,0.2331,6.1113,"R"
191,16.3928,0.2354,6.1435,"R"
192,16.4239,0.2361,6.1756,"R"
193,16.4743,0.2374,6.2078,"R"
194,16.5104,0.2384,6.2399,"R"
195,16.5517,0.2394,6.2721,"R"
196,16.5814,0.2402,6.3043,"R"
197,16.6129,0.241,6.3364,"R"
198,16.6408,0.2418,6.3686,"R"
199,16.6753,0.2427,6.4008,"R"
200,16.754,0.2448,6.4329,"R"
201,16.7933,0.2458,6.4651,"R"
202,16.8428,0.2472,6.4973,"R"
203,17.0032,0.2515,6.5294,"R"
204,17.0384,0.2524,6.5616,"R"
205,17.0732,0.2533,6.5938,"R"
206,17.2146,0.2572,6.6259,"R"
207,17.2387,0.2578,6.6581,"R"
208,17.2772,0.2589,6.6903,"D"
209,17.3101,0.2598,6.7224,"R"
210,17.4344,0.2632,6.7546,"D"
211,17.4648,0.264,6.7867,"R"
212,17.5118,0.2653,6.8189,"R"
213,17.5257,0.2657,6.8511,"R"
214,17.5769,0.2671,6.8832,"R"
215,17.6478,0.2691,6.9154,"D"
216,17.6724,0.2698,6.9476,"R"
217,17.7054,0.2707,6.9797,"R"
218,17.7865,0.273,7.0119,"R"
219,17.8499,0.2747,7.0441,"R"
220,17.8916,0.2759,7.0762,"R"
221,17.9047,0.2763,7.1084,"D"
222,18.5198,0.2938,7.1406,"R"
223,18.5493,0.2946,7.1727,"R"
224,18.5737,0.2953,7.2049,"R"
225,18.6029,0.2962,7.2371,"R"
226,18.7309,0.2999,7.2692,"R"
227,18.8274,0.3027,7.3014,"R"
228,18.8744,0.304,7.3335,"D"
229,19.0212,0.3083,7.3657,"R"
230,19.0598,0.3094,7.3979,"R"
231,19.0843,0.3102,7.43,"R"
232,19.1146,0.3111,7.4622,"R"
233,19.2417,0.3148,7.4944,"R"
234,19.3186,0.3171,7.5265,"R"
235,19.3592,0.3183,7.5587,"R"
236,19.5032,0.3227,7.5909,"R"
237,19.8559,0.3334,7.623,"R"
238,19.9624,0.3367,7.6552,"R"
239,20.0256,0.3386,7.6874,"R"
240,20.0759,0.3402,7.7195,"R"
241,20.1556,0.3426,7.7517,"R"
242,20.317,0.3477,7.7839,"R"
243,20.3469,0.3486,7.816,"R"
244,20.3772,0.3495,7.8482,"R"
245,20.4059,0.3504,7.8803,"R"
246,20.4605,0.3522,7.9125,"R"
247,20.5618,0.3554,7.9447,"D"
248,20.58,0.356,7.9768,"R"
249,20.6215,0.3573,8.009,"D"
250,20.6697,0.3589,8.0412,"R"
251,20.8218,0.3639,8.0733,"R"
252,20.8949,0.3663,8.1055,"R"
253,20.9707,0.3688,8.1377,"R"
254,21.0256,0.3706,8.1698,"R"
255,21.0564,0.3716,8.202,"R"
256,21.164,0.3752,8.2342,"R"
257,21.1971,0.3763,8.2663,"R"
258,21.24,0.3778,8.2985,"R"
259,21.2701,0.3788,8.3307,"R"
260,21.3033,0.3799,8.3628,"R"
261,21.4247,0.3841,8.395,"R"
262,21.4513,0.385,8.4271,"R"
263,21.5344,0.3879,8.4593,"R"
264,21.5651,0.3889,8.4915,"R"
265,21.6274,0.3911,8.5236,"R"
266,21.6467,0.3917,8.5558,"R"
267,21.6769,0.3928,8.588,"R"
268,21.715,0.3941,8.6201,"R"
269,21.7472,0.3952,8.6523,"R"
270,21.7911,0.3968,8.6845,"R"
271,21.8151,0.3976,8.7166,"R"
272,21.9212,0.4013,8.7488,"R"
273,21.9535,0.4024,8.781,"R"
274,21.9923,0.4038,8.8131,"R"
275,22.0668,0.4064,8.8453,"R"
276,22.0982,0.4075,8.8775,"R"
277,22.4089,0.4186,8.9096,"R"
278,22.4329,0.4194,8.9418,"R"
279,22.4591,0.4204,8.9739,"R"
280,22.4804,0.4212,9.0061,"R"
281,22.4982,0.4218,9.0383,"R"
282,22.5291,0.4229,9.0704,"R"
283,22.5615,0.4241,9.1026,"R"
284,22.6763,0.4284,9.1348,"R"
285,22.7146,0.4298,9.1669,"R"
286,22.7491,0.431,9.1991,"R"
287,22.8088,0.4333,9.2313,"R"
288,22.889,0.4362,9.2634,"R"
289,22.9922,0.4401,9.2956,"D"
290,23.0215,0.4412,9.3278,"R"
291,23.0638,0.4427,9.3599,"R"
292,23.0878,0.4436,9.3921,"R"
293,23.1339,0.4454,9.4243,"R"
294,23.2875,0.4512,9.4564,"D"
295,23.3675,0.4542,9.4886,"R"
296,23.4915,0.4588,9.5207,"R"
297,23.5217,0.46,9.5529,"R"
298,23.6151,0.4636,9.5851,"R"
299,23.6459,0.4648,9.6172,"R"
300,23.6865,0.4663,9.6494,"R"
301,23.7047,0.467,9.6816,"R"
302,23.724,0.4678,9.7137,"R"
303,23.7821,0.4701,9.7459,"R"
304,23.8061,0.471,9.7781,"R"
305,23.8296,0.4719,9.8102,"R"
306,23.8861,0.4741,9.8424,"R"
307,23.9071,0.475,9.8746,"R"
308,23.9376,0.4762,9.9067,"R"
309,23.9884,0.4782,9.9389,"R"
310,24.0102,0.4791,9.9711,"R"
311,24.0346,0.48,10.0032,"R"
312,24.198,0.4866,10.0354,"R"
313,24.2283,0.4878,10.0675,"R"
314,24.2587,0.4891,10.0997,"R"
315,24.278,0.4899,10.1319,"R"
316,24.3118,0.4912,10.164,"R"
317,24.3593,0.4932,10.1962,"R"
318,24.3873,0.4943,10.2284,"R"
319,24.4209,0.4957,10.2605,"R"
320,24.4475,0.4968,10.2927,"R"
321,24.5607,0.5014,10.3249,"R"
322,24.599,0.503,10.357,"R"
323,24.6182,0.5038,10.3892,"R"
324,24.7233,0.5082,10.4214,"R"
325,24.7544,0.5095,10.4535,"R"
326,24.7887,0.511,10.4857,"R"
327,24.8083,0.5118,10.5179,"R"
328,24.87,0.5145,10.55,"R"
329,24.9038,0.5159,10.5822,"R"
330,24.9281,0.5169,10.6143,"R"
331,24.9584,0.5182,10.6465,"R"
332,25.0345,0.5215,10.6787,"R"
333,25.0717,0.5231,10.7108,"R"
334,25.1404,0.5261,10.743,"R"
335,25.222,0.5297,10.7752,"R"
336,25.2924,0.5328,10.8073,"R"
337,25.3905,0.5371,10.8395,"R"
338,25.4318,0.5389,10.8717,"R"
339,25.4621,0.5402,10.9038,"R"
340,25.4769,0.5408,10.936,"R"
341,25.5641,0.5447,10.9682,"R"
342,25.6533,0.5486,11.0003,"R"
343,25.6842,0.55,11.0325,"R"
344,25.7127,0.5513,11.0647,"R"
345,25.8724,0.5585,11.0968,"D"
346,25.9015,0.5598,11.129,"R"
347,26.1363,0.5706,11.1611,"R"
348,26.1579,0.5716,11.1933,"R"
349,26.1847,0.5728,11.2255,"R"
350,26.2231,0.5746,11.2576,"R"
351,26.2819,0.5773,11.2898,"R"
352,26.3177,0.579,11.322,"R"
353,26.3332,0.5797,11.3541,"R"
354,26.3517,0.5806,11.3863,"R"
355,26.5053,0.5879,11.4185,"R"
356,26.5545,0.5903,11.4506,"D"
357,26.5838,0.5917,11.4828,"R"
358,26.6122,0.5931,11.515,"R"
359,26.6427,0.5945,11.5471,"R"
360,26.6737,0.596,11.5793,"R"
361,26.7343,0.599,11.6115,"R"
362,26.8049,0.6024,11.6436,"R"
363,26.8295,0.6036,11.6758,"R"
364,26.8681,0.6054,11.7079,"R"
365,26.8975,0.6069,11.7401,"R"
366,26.9666,0.6102,11.7723,"R"
367,26.9967,0.6117,11.8044,"R"
368,27.0681,0.6152,11.8366,"R"
369,27.1324,0.6184,11.8688,"R"
370,27.2664,0.625,11.9009,"R"
371,27.2983,0.6266,11.9331,"D"
372,27.328,0.628,11.9653,"R"
373,27.3729,0.6303,11.9974,"D"
374,27.5108,0.6373,12.0296,"R"
375,27.5543,0.6395,12.0618,"R"
