"fips","name","state","votes_dem","votes_gop","votes_tot","two","winner","margin","aland_km2","density","pop","cx","cy","gcol","grow","gx","gy","r","grid_shift_km"
"37157","Rockingham","North Carolina",15676,33447,49492,49123,"R",36.1765,1465.01,33.5309,91096,1800,683,177,76,1793,682,10.2528,11.2073
"39039","Defiance","Ohio",5667,13302,19153,18969,"R",40.2499,1065.62,17.8009,38286,1595,477,159,57,1595,473,6.37119,13.4695
"48111","Dallam","Texas",152,1285,1447,1437,"R",78.8448,3893.67,0.369061,7115,944,732,99,80,935,726,1.75358,8.35344
"13005","Bacon","Georgia",645,4186,4839,4831,"R",73.2975,735.776,6.56586,11140,1734,925,171,98,1727,924,3.21526,11.2073
"18021","Clay","Indiana",2495,9354,12050,11849,"R",57.8867,926.181,12.7934,26466,1514,576,151,66,1507,572,5.03546,5.01206
"19099","Jasper","Iowa",7141,12701,20149,19842,"R",28.0214,1891.8,10.4884,37813,1296,480,131,57,1287,473,6.51615,8.99693
"21001","Adair","Kentucky",1257,7643,8971,8900,"R",71.7528,1049.7,8.47859,18903,1591,678,158,75,1584,671,4.36409,5.01206
"26123","Newaygo","Michigan",8131,20630,29197,28761,"R",43.4582,2172.71,13.2374,49978,1539,373,153,47,1529,363,7.84513,15.0362
"19177","Van Buren","Iowa",778,2785,3622,3563,"R",56.3289,1255.61,2.83767,7203,1336,527,135,61,1331,517,2.76125,10.6976
"29083","Henry","Missouri",2535,8286,10932,10821,"R",53.1467,1805.06,5.99483,21946,1274,644,129,72,1265,638,4.81207,8.35344
"20067","Grant","Kansas",395,1793,2220,2188,"R",63.894,1488.75,1.46969,7352,996,674,104,75,990,671,2.16382,6.02375
"39037","Darke","Ohio",4583,22234,27000,26817,"R",65.8202,1549.08,17.3116,51881,1599,535,159,62,1595,528,7.57536,5.01206
"46035","Davison","South Dakota",2743,6208,9177,8951,"R",38.7108,1128.29,7.93328,19956,1120,387,115,49,1111,385,4.37657,11.6948
"48019","Bandera","Texas",2532,10939,13592,13471,"R",62.4081,2048.66,6.57551,20851,1061,1047,110,109,1056,1045,5.36906,8.35344
"31075","Grant","Nebraska",15,351,366,366,"R",91.8033,2011.63,0.181942,611,992,469,104,56,990,462,0.884991,8.99693
"51540","Charlottesville","Virginia",19435,3428,23303,22863,"D",-70.0127,26.5352,861.609,46553,1834,598,180,68,1826,594,6.99463,6.88842
"38075","Renville","North Dakota",179,993,1203,1172,"R",69.4539,2272.05,0.515834,2282,1014,148,106,27,1012,143,1.58366,8.35344
"48109","Culberson","Texas",319,451,781,770,"R",17.1429,9873.44,0.077987,2188,853,953,91,100,847,946,1.28364,3.73577
"01003","Baldwin","Alabama",24934,95798,121808,120732,"R",58.6953,4117.78,29.3197,231767,1525,986,152,103,1518,979,16.0735,5.01206
"32003","Clark","Nevada",520187,493052,1031223,1013239,"D",-2.67805,20439.3,49.5731,2265461,470,684,56,76,462,682,46.5644,10.1624
"12033","Escambia","Florida",64601,96407,162754,161008,"R",19.7543,1701.62,94.6207,321905,1543,991,154,104,1540,990,18.5619,12.1628
"12091","Okaloosa","Florida",32074,80309,113634,112383,"R",42.9202,2408.24,46.6661,211668,1573,984,157,103,1573,979,15.5077,13.0485
"24011","Caroline","Maryland",4860,11053,16276,15913,"R",38.9179,827.35,19.2337,33293,1920,538,188,62,1914,528,5.83545,10.6976
"42001","Adams","Pennsylvania",19842,40248,60650,60090,"R",33.9591,1343.1,44.7396,103852,1862,503,183,59,1859,495,11.3396,8.35344
"46099","Minnehaha","South Dakota",39923,51842,93986,91765,"R",12.9886,2089.73,43.9125,197214,1166,390,120,49,1166,385,14.0132,13.0485
"13307","Webster","Georgia",544,790,1336,1334,"R",18.4408,543.01,2.45668,2348,1647,911,163,96,1639,902,1.68957,10.1624
"18049","Fulton","Indiana",2097,6633,8851,8730,"R",51.9588,954.133,9.14966,20480,1538,497,153,59,1529,495,4.3222,11.6948
"20145","Pawnee","Kansas",625,2003,2675,2628,"R",52.4353,1953.53,1.34526,6253,1074,649,111,73,1067,649,2.37143,13.4695
"26009","Antrim","Michigan",6330,10341,16882,16671,"R",24.0597,1232,13.5316,23431,1555,307,155,41,1551,297,5.97281,11.2073
"27065","Kanabec","Minnesota",2718,6818,9682,9536,"R",42.995,1350.96,7.05867,16032,1281,286,130,39,1276,275,4.51733,13.0485
"31151","Saline","Nebraska",1855,3734,5655,5589,"R",33.6196,1486.84,3.75899,14292,1152,535,118,62,1144,528,3.45832,6.88842
"31001","Adams","Nebraska",4100,10077,14364,14177,"R",42.1598,1458.84,9.71802,31205,1104,538,114,62,1100,528,5.50796,11.2073
"39147","Seneca","Ohio",7765,17241,25262,25006,"R",37.8949,1427.15,17.5216,55069,1645,482,163,57,1639,473,7.3151,8.35344
"46007","Bennett","South Dakota",389,676,1088,1065,"R",26.9484,3068.21,0.347108,3381,999,404,104,50,990,396,1.50964,10.1624
"46025","Clark","South Dakota",415,1382,1842,1797,"R",53.8119,2479.94,0.724613,3837,1135,334,117,44,1133,330,1.96098,8.99693
"31035","Clay","Nebraska",577,2677,3310,3254,"R",64.536,1482.22,2.19535,6104,1120,538,115,62,1111,528,2.6388,13.4695
"48227","Howard","Texas",1759,7817,9640,9576,"R",63.2623,2333.03,4.10453,34860,977,922,102,97,968,913,4.52679,11.6948
"48285","Lavaca","Texas",1235,9215,10486,10450,"R",76.3636,2511.54,4.1608,20337,1156,1067,119,111,1155,1067,4.72886,16.7902
"55045","Green","Wisconsin",10903,10843,22026,21746,"D",-0.275913,1512.67,14.3759,37093,1413,431,142,53,1408,429,6.82163,8.35344
"48507","Zavala","Texas",1984,1482,3492,3466,"D",-14.4836,3360.27,1.03147,9670,1037,1087,108,112,1034,1078,2.72341,10.1624
"20081","Haskell","Kansas",221,1045,1278,1266,"R",65.0869,1495.77,0.846385,3780,1013,673,106,75,1012,671,1.64594,13.4695
"20135","Ness","Kansas",129,1205,1363,1334,"R",80.6597,2783.56,0.479242,2687,1050,632,109,71,1045,627,1.68957,1.67069
"20109","Logan","Kansas",183,1186,1400,1369,"R",73.2652,2779.04,0.492616,2762,1006,610,105,69,1001,605,1.71159,1.67069
"31113","Logan","Nebraska",25,409,440,434,"R",88.4793,1478.1,0.29362,716,1036,486,108,58,1034,484,0.963703,11.6948
"01031","Coffee","Alabama",4601,17495,22270,22096,"R",58.3545,1758.57,12.5648,53465,1594,954,158,100,1584,946,6.8763,12.1628
"06031","Kings","California",15519,25074,41501,40593,"R",23.5385,3602.6,11.2677,152486,304,635,41,71,297,627,9.32017,6.88842
"27017","Carlton","Minnesota",9905,10435,20746,20340,"R",2.6057,2230.47,9.11914,36207,1301,250,132,36,1298,242,6.59741,8.35344
"38021","Dickey","North Dakota",557,1829,2435,2386,"R",53.311,2930.55,0.81418,4999,1111,274,115,38,1111,264,2.25961,16.7902
"13261","Sumter","Georgia",6136,5869,12049,12005,"D",-2.22407,1250.65,9.59904,29616,1661,912,165,96,1661,902,5.0685,16.7902
"13165","Jenkins","Georgia",1179,2217,3409,3396,"R",30.5654,899.706,3.77457,8674,1743,867,172,92,1738,858,2.69577,8.35344
"19083","Hardin","Iowa",2553,5790,8434,8343,"R",38.799,1474.5,5.6582,16878,1289,452,131,55,1287,451,4.22532,13.4695
"19093","Ida","Iowa",826,2771,3642,3597,"R",54.0728,1117.61,3.21846,7005,1210,453,124,55,1210,451,2.7744,15.403
"20203","Wichita","Kansas",107,740,860,847,"R",74.7344,1861.08,0.455113,2152,997,631,104,71,990,627,1.34629,5.01206
"27005","Becker","Minnesota",6435,12961,19696,19396,"R",33.6461,3405.93,5.69477,35183,1203,239,123,35,1199,231,6.4425,6.88842
"28137","Tate","Mississippi",3555,9185,12861,12740,"R",44.1915,1048.33,12.1526,28064,1426,810,143,87,1419,803,5.22135,5.01206
"31081","Hamilton","Nebraska",1067,4416,5547,5483,"R",61.0797,1403.85,3.90569,9429,1121,520,115,61,1111,517,3.42537,12.1628
"39173","Wood","Ohio",30016,36877,67565,66893,"R",10.2567,1598.45,41.8486,132248,1626,468,161,56,1617,462,11.9643,8.35344
"46057","Hamlin","South Dakota",610,2560,3226,3170,"R",61.5142,1313.3,2.41376,6164,1153,343,118,45,1144,341,2.60452,11.6948
"48441","Taylor","Texas",13624,41198,55386,54822,"R",50.2973,2371.23,23.1197,143208,1039,926,108,98,1034,924,10.8312,8.35344
"48139","Ellis","Texas",33850,64763,99485,98613,"R",31.3478,2423.64,40.6879,192455,1162,929,119,98,1155,924,14.5266,3.73577
"51840","Winchester","Virginia",6407,5252,11822,11659,"D",-9.90651,23.8095,489.678,28120,1835,543,180,62,1826,528,4.99492,23.9206
"55033","Dunn","Wisconsin",10643,14726,25674,25369,"R",16.0944,2201.9,11.5214,45440,1330,325,134,43,1320,319,7.368,10.6976
"31171","Thomas","Nebraska",44,348,393,392,"R",77.551,1845.51,0.212408,669,1034,470,108,56,1034,462,0.915886,14.2744
"04007","Gila","Arizona",8504,18901,27648,27405,"R",37.9383,12322.1,2.22406,53272,624,815,70,88,616,814,7.65796,12.1628
"21117","Kenton","Kentucky",30859,48444,80875,79303,"R",22.1744,415.367,190.923,169064,1609,590,160,67,1606,583,13.027,6.88842
"23009","Hancock","Maine",19817,15549,36251,35366,"D",-12.0681,4110.65,8.60351,55478,2107,209,205,33,2101,209,8.69944,13.0485
"24043","Washington","Maryland",27260,44054,73001,71314,"R",23.5494,1185.66,60.1473,154705,1847,523,181,61,1837,517,12.3534,10.6976
"44001","Bristol","Rhode Island",17458,10048,28117,27506,"D",-26.9396,62.5008,440.091,50793,2048,371,200,46,2046,352,7.67206,32.9511
"51520","Bristol","Virginia",2231,5197,7479,7428,"R",39.93,33.3362,222.821,17219,1710,687,169,76,1705,682,3.98689,1.67069
"13123","Gilmer","Georgia",3413,14976,18481,18389,"R",62.88,1103.8,16.6597,31353,1636,789,162,85,1628,781,6.27303,8.35344
"16065","Madison","Idaho",2767,13925,17358,16692,"R",66.8464,1215.4,13.7338,52913,664,342,74,45,660,341,5.97658,11.2073
"17065","Hamilton","Illinois",739,3385,4181,4124,"R",64.161,1125.73,3.6634,7993,1467,647,147,72,1463,638,2.97069,8.99693
"20073","Greenwood","Kansas",541,2299,2884,2840,"R",61.9014,2961.14,0.959089,6016,1184,662,121,74,1177,660,2.46523,8.99693
"26117","Montcalm","Michigan",10368,23946,34835,34314,"R",39.5699,1826.79,18.7837,66614,1561,387,155,49,1551,385,8.56907,13.4695
"28071","Lafayette","Mississippi",8956,14050,23409,23006,"R",22.142,1636.09,14.0616,55813,1444,826,145,89,1441,825,7.01647,12.1628
"31109","Lancaster","Nebraska",81012,74215,157633,155227,"D",-4.37875,2169.27,71.5573,322608,1168,521,120,61,1166,517,18.2256,8.99693
"36123","Yates","New York",4401,6098,10499,10499,"R",16.1634,875.777,11.9882,24774,1839,374,181,48,1837,374,4.73993,15.403
"39047","Fayette","Ohio",2773,9706,12571,12479,"R",55.5573,1052.47,11.8569,28951,1643,553,163,64,1639,550,5.16759,6.88842
"41023","Grant","Oregon",813,3483,4421,4296,"R",62.1508,11726.9,0.366336,7233,428,258,52,37,418,253,3.03201,10.6976
"48309","McLennan","Texas",33863,64606,99490,98469,"R",31.221,2685.02,36.6735,260579,1145,964,118,101,1144,957,14.516,11.2073
"48367","Parker","Texas",14872,75168,90802,90040,"R",66.9658,2340.62,38.4684,148222,1122,906,116,96,1122,902,13.8808,13.4695
"29215","Texas","Missouri",1589,9855,11525,11444,"R",72.23,3049.11,3.75323,24487,1343,686,136,76,1342,682,4.94865,11.2073
"48271","Kinney","Texas",346,1063,1419,1409,"R",50.8872,3523.77,0.399856,3129,1012,1061,106,110,1012,1056,1.73642,13.0485
