"cid","name","office","party","total","against","committees"
"P00009423","HARRIS, KAMALA","P","DEMOCRATIC PARTY",966596406.64,259098116.07,266
"P80000722","HARRIS, KAMALA","P","DEMOCRATIC PARTY",337422894.99,294070507.3,97
"P80001571","TRUMP, DONALD","P","REPUBLICAN PARTY",322163608.76,185025194.79,233
"S4OH00192","MORENO, BERNIE","S","REPUBLICAN PARTY",153138089.91,85912659.27,36
"S6OH00163","BROWN, SHERROD","S","DEMOCRATIC PARTY",143746931.52,117991161.8,61
"S6PA00217","CASEY, ROBERT","S","DEMOCRATIC PARTY",131841572.19,111096730.24,62
"P40010977","HALEY, NIKKI","P","REPUBLICAN PARTY",122189231.46,19957017.82,15
"S2PA00661","MCCORMICK, DAVE","S","REPUBLICAN PARTY",110875978.39,80767875.08,32
"S4MT00183","SHEEHY, TIM","S","REPUBLICAN PARTY",84774892.5,65243325.08,43
"S6MT00162","TESTER, R. JON","S","DEMOCRATIC PARTY",83585895.43,66985649.64,48
"S4MI00470","SLOTKIN, ELISSA","S","DEMOCRATIC PARTY",79233747.52,54260212.59,49
"S4MI00595","ROGERS, MICHAEL","S","REPUBLICAN PARTY",65158566.79,41066112.11,26
"S2WI00219","BALDWIN, TAMMY","S","DEMOCRATIC PARTY",59914538.59,51598529.56,46
"S2NV00308","BROWN, SAM","S","REPUBLICAN PARTY",58977528.13,46700281.5,28
"S4TX00722","ALLRED, COLIN","S","DEMOCRATIC PARTY",48730909.26,37076228.45,30
"S4WI00256","HOVDE, ERIC","S","REPUBLICAN PARTY",47417214.53,40092545.41,21
"S4AZ00139","GALLEGO, RUBEN","S","DEMOCRATIC PARTY",46362620.76,23018268.27,46
"S8NV00156","ROSEN, JACKY","S","DEMOCRATIC PARTY",39023303.49,31362660.58,44
"P40013039","DESANTIS, RON","P","REPUBLICAN PARTY",36471012.67,31605101.97,10
"S4MD00327","ALSOBROOKS, ANGELA","S","DEMOCRATIC PARTY",35207691.23,31243049.8,21
"S4AZ00220","LAKE, KARI","S","REPUBLICAN PARTY",32342167.07,30253380.56,25
"S4NE00207","OSBORN, DAN","S","INDEPENDENT",22247078.42,8855091.45,16
"P40011793","KENNEDY, ROBERT","P","INDEPENDENT",21074899.08,7446167.52,10
"P40013518","BURGUM, DOUG","P","REPUBLICAN PARTY",18726812.51,2789.29,2
"H2MI07123","BARRETT, THOMAS","H","REPUBLICAN PARTY",17797152.37,16704635.91,17
"S4MD00483","HOGAN, LARRY","S","REPUBLICAN PARTY",17519309.38,16153228.85,12
"H0CA48198","STEEL, MICHELLE","H","REPUBLICAN PARTY",16481426.68,12425782.35,18
"H2CA13131","DUARTE, JOHN","H","REPUBLICAN PARTY",16463989.26,15592043.99,10
"P40012155","SCOTT, TIMOTHY","P","REPUBLICAN PARTY",16078771.72,32196.71,6
"H4NC01137","BUCKHOUT, LAURIE","H","REPUBLICAN PARTY",15286384.51,14907893.05,16
"H4ME02291","THERIAULT, AUSTIN LEO","H","REPUBLICAN PARTY",14964876.33,14381183.11,9
"H2WA03100","KENT, JOSEPH","H","REPUBLICAN PARTY",14591137.22,13619811.65,15
"H4AZ06045","SCHWEIKERT, DAVID","H","REPUBLICAN PARTY",14527497.36,13664327.5,17
"H2OR05209","CHAVEZ-DEREMER, LORI","H","REPUBLICAN PARTY",14500058.89,11712521.73,26
"H4PA08124","BRESNAHAN, ROB","H","REPUBLICAN PARTY",14155665.19,13401742.29,12
"H2NY19127","MOLINARO, MARCUS","H","REPUBLICAN PARTY",14066807.04,12393659.23,18
"H0NY16143","BOWMAN, JAMAAL","H","DEMOCRATIC PARTY",14053054.6,12038763.16,12
"H2NY04277","DESPOSITO, ANTHONY","H","REPUBLICAN PARTY",13805378.89,13637012.75,15
"H0CA25105","GARCIA, MICHAEL","H","REPUBLICAN PARTY",13764176.66,11422409.5,14
"H8PA15195","MACKENZIE, RYAN","H","REPUBLICAN PARTY",13623229.76,13079350.68,15
"H4CO08034","EVANS, TIMOTHY","H","REPUBLICAN PARTY",13359393.45,11939942.01,20
"H2AZ02360","CISCOMANI, JUAN","H","REPUBLICAN PARTY",13344189.17,10679249.25,21
"H4CA47085","MIN, DAVE","H","DEMOCRATIC PARTY",12289252.98,8095051,20
"H6NE02125","BACON, DON","H","REPUBLICAN PARTY",12196216.8,8653161.04,28
"H2CA20094","VALADAO, DAVID","H","REPUBLICAN PARTY",11861095.88,8759891.14,18
"S2TX00312","CRUZ, RAFAEL","S","REPUBLICAN PARTY",11779427.76,2778518.44,32
"H2AK01083","BEGICH, NICHOLAS III","H","REPUBLICAN PARTY",11496296.54,10466783.64,9
"H4NY03283","PILIP, MAZI","H","REPUBLICAN PARTY",11394133.52,10777363.88,15
"H8NM02156","HERRELL, STELLA","H","REPUBLICAN PARTY",11159733.76,10428507.48,18
"H4OH13153","COUGHLIN, KEVIN","H","REPUBLICAN PARTY",10996160.77,10252446.43,15
"S2WI00268","HOVDE, ERIC","S","REPUBLICAN PARTY",10928544.74,7622832.96,10
"H8IA02043","MILLER-MEEKS, MARIANNETTE","H","REPUBLICAN PARTY",10786427.13,8419318.79,12
"H2CO08020","CARAVEO, YADIRA","H","DEMOCRATIC PARTY",10641431.86,4581441.94,23
"S4CA00522","PORTER, KATHERINE","S","DEMOCRATIC PARTY",10534813.01,10044813.01,2
"S4CA00803","GARVEY, STEVE","S","REPUBLICAN PARTY",10034736.33,9869363,2
"H8MO01143","BUSH, CORI","H","DEMOCRATIC PARTY",9985079.86,7343363.06,13
"H4OH09169","MERRIN, DEREK","H","REPUBLICAN PARTY",9960295.74,9319403.99,16
"H2IA03119","NUNN, ZACH","H","REPUBLICAN PARTY",9773927.04,7522172.8,16
"H2MI10150","JAMES, JOHN","H","REPUBLICAN PARTY",9734364,8964690.12,12
"H2NY17162","LAWLER, MICHAEL","H","REPUBLICAN PARTY",9533103.12,7985890.77,15
"S4UT00282","CURTIS, JOHN","S","REPUBLICAN PARTY",9348899.31,129232.47,8
"H2CA37023","CALVERT, KEN","H","REPUBLICAN PARTY",9242036.02,9022450.55,18
"P40011991","DESANTIS, RONALD","P","REPUBLICAN PARTY",9208387.42,9208387.42,2
"H8NY22177","RILEY, JOSH","H","DEMOCRATIC PARTY",9156634.83,3241112.93,21
"P80006665","TRUMP, DONALD","P","",9023940.42,9023940.42,1
"S4FL00611","DEBBIE, MUCARSEL-POWELL,","S","DEMOCRATIC PARTY",8791284.55,8587075.4,10
"H2CA47196","BAUGH, SCOTT","H","",8622476.37,8594535.04,2
"S2NE00094","FISCHER, DEBRA","S","REPUBLICAN PARTY",8616084.37,7833493.72,12
"H2AK01158","PELTOLA, MARY","H","DEMOCRATIC PARTY",8510414.73,5014418.45,18
"P80005816","BIDEN, JOSEPH","P","",8412381.71,8412381.71,1
"H2VA07170","ANDERSON, DERRICK","H","REPUBLICAN PARTY",8333609.82,5753326.12,11
"H6NY03247","SUOZZI, THOMAS","H","DEMOCRATIC PARTY",8149861.08,2957709.58,24
"H8ME02185","GOLDEN, JARED","H","DEMOCRATIC PARTY",8080911.64,6475437.4,14
"H2PA04135","PERRY, SCOTT","H","REPUBLICAN PARTY",8024214.07,7072284.06,24
"H2WA03217","GLUESENKAMP PEREZ, MARIE","H","DEMOCRATIC PARTY",7988903.62,5856991.56,8
"H0MI08141","JUNGE, PAUL","H","REPUBLICAN PARTY",7542914.1,7504549.48,13
"H0WI03175","VAN ORDEN, DERRICK","H","REPUBLICAN PARTY",7359962.29,7179192.16,16
"H4NY04158","GILLEN, LAURA","H","",7303021.71,2117502.44,18
"S4OH00200","LAROSE, FRANK","S","REPUBLICAN PARTY",7282461.72,4033494.14,3
"H4CA27111","WHITESIDES, GEORGE","H","DEMOCRATIC PARTY",6945546.21,2434845.27,13
"H4NY16087","LATIMER, GEORGE","H","DEMOCRATIC PARTY",6939596,1344974.15,6
"H4AZ01194","SHAH, AMISH","H","DEMOCRATIC PARTY",6718266.22,2504731.47,18
"H2NC02287","DAVIS, DON","H","DEMOCRATIC PARTY",6653221.38,1478976.66,13
"P40011082","RAMASWAMY, VIVEK","P","REPUBLICAN PARTY",6624580.55,70389.66,3
"S4NV00288","BROWN, SAM","S","",6454902.73,0,4
"H4OR05304","BYNUM, JANELLE","H","DEMOCRATIC PARTY",6357196.95,2353915.59,12
"S2OH00477","DOLAN, MATT","S","REPUBLICAN PARTY",6301885.39,3172118.14,6
"H8PA15229","WILD, SUSAN","H","DEMOCRATIC PARTY",6251845.97,1497106.77,26
"S4WV00332","JUSTICE, JAMES CONLEY II","S","REPUBLICAN PARTY",6124623.16,2129059.66,7
"H0VA05160","GOOD, ROBERT","H","REPUBLICAN PARTY",6023093.69,3595970.67,15
"P40013765","SUAREZ, FRANCIS X.","P","REPUBLICAN PARTY",5941886.77,0,1
"H2VA02064","KIGGANS, JENNIFER","H","REPUBLICAN PARTY",5873675.73,4968261.51,14
"H2NY22212","WILLIAMS, BRANDON","H","REPUBLICAN PARTY",5689150.26,5604068.79,12
"H2CA13115","GRAY, ADAM","H","DEMOCRATIC PARTY",5637868.7,3852501.35,14
"H4MO01134","BELL, WESLEY","H","DEMOCRATIC PARTY",5633751.2,655005.14,7
"H4CA45170","TRAN, DEREK","H","DEMOCRATIC PARTY",5502002.04,420066,16
"H4MT01041","ZINKE, RYAN","H","REPUBLICAN PARTY",5489140.34,5323413.91,7
"H2CA21233","SALAS, RUDY","H","DEMOCRATIC PARTY",5482421.96,1859354.44,12
"H4MO03221","ONDER, ROBERT","H","REPUBLICAN PARTY",5434679.36,3738244.36,11
"H4NY22085","MANNION, JOHN","H","DEMOCRATIC PARTY",5229397.67,1400747.6,19
"P60008521","CHRISTIE, CHRISTOPHER","P","REPUBLICAN PARTY",5100687.59,117974.06,3
"H4PA10104","STELSON, JANELLE","H","DEMOCRATIC PARTY",5099866.94,4199922.11,16
"H2NE02132","VARGAS, ANTHONY","H","DEMOCRATIC PARTY",4978605.93,3532130.6,12
"P40011983","OLIVER, CHASE","P","LIBERTARIAN PARTY",4864420.62,0,3
"H0SC01394","MACE, NANCY","H","REPUBLICAN PARTY",4567707.1,3578229.09,7
"H4MD03156","ELFRETH, SARAH","H","DEMOCRATIC PARTY",4396845.79,0,4
"H4AZ03117","TERAN, RAQUEL","H","DEMOCRATIC PARTY",4383071.1,796619.8,11
"H2CA42205","ROLLINS, WILL","H","DEMOCRATIC PARTY",4298850.74,3237933.74,16
"S4UT00290","HATCH, BRENT","S","REPUBLICAN PARTY",4287811.07,0,1
"H2AZ02311","ENGEL, KIRSTEN","H","DEMOCRATIC PARTY",4268154.57,873793.78,14
"H4VA07234","VINDMAN, YEVGENY","H","DEMOCRATIC PARTY",4162052.06,1788392.32,12
"H8VA10080","HELMER, DANIEL","H","DEMOCRATIC PARTY",4133673.16,13673.4,3
"S4IN00196","BANKS, JAMES E. HON.","S","REPUBLICAN PARTY",4021248.2,0,4
"H0NY17174","JONES, MONDAIRE","H","DEMOCRATIC PARTY",4008971.92,104097.95,19
"H4TX23120","HERRERA, BRANDON","H","REPUBLICAN PARTY",3884766.72,3775535.02,8
"H2OH09031","KAPTUR, MARCY","H","DEMOCRATIC PARTY",3862141.05,2811237.35,14
"H4OK00026","BONDAR, PAUL L","H","REPUBLICAN PARTY",3834503.6,3834503.6,1
"H4MO03239","SCHAEFER, KURT","H","REPUBLICAN PARTY",3785990.23,1301501.16,8
"H4VA05071","MCGUIRE, JOHN","H","",3762920.62,3430087.62,9
"H2NM02191","VASQUEZ, GABRIEL","H","DEMOCRATIC PARTY",3734882.56,3133159.69,14
"H4NY18117","ESPOSITO, ALISON","H","REPUBLICAN PARTY",3638916.26,3004524.13,11
"H4MI07210","HERTEL, CURTIS","H","DEMOCRATIC PARTY",3604173.28,2579786.62,9
"H4CA16197","LICCARDO, SAM","H","DEMOCRATIC PARTY",3495772.56,459035.17,6
"H4SC01339","TEMPLETON, CATHERINE","H","REPUBLICAN PARTY",3492531.13,1676356.13,7
"H2MI10176","MARLINGA, CARL","H","DEMOCRATIC PARTY",3356024.64,287279.75,9
"H0NJ07261","KEAN, THOMAS","H","REPUBLICAN PARTY",3317103.06,2997056.16,5
"H2OH13264","SYKES, EMILIA","H","DEMOCRATIC PARTY",3280809.69,1733590.89,17
"H4AZ07043","GALLEGO, RUBEN","H","DEMOCRATIC PARTY",3164652.96,91058,8
"H4IN08264","HOSTETTLER, JOHN","H","",3078699.46,3078699.46,2
"H4TX26149","GILL, BRANDON","H","REPUBLICAN PARTY",3045518.57,2127496.79,6
"S2MO00528","KUNCE, LUCAS","S","DEMOCRATIC PARTY",3018691.38,3018691.38,1
"P20002424","TERRY, RANDALL","P","",2980275.48,0,1
"H4WA06117","RANDALL, EMILY","H","DEMOCRATIC PARTY",2861122.88,0,5
"H0TX15124","DE LA CRUZ, MONICA","H","REPUBLICAN PARTY",2825344.16,1933249.06,6
"S4UT00217","STAGGS, TRENT","S","REPUBLICAN PARTY",2809503.72,1914107.01,6
"H2TX34113","FLORES, MAYRA NOHEMI","H","REPUBLICAN PARTY",2796024.25,2782119.55,6
"H4AZ03109","ANSARI, YASSAMIN","H","DEMOCRATIC PARTY",2783423.67,118662.14,8
"H4IN03174","STUTZMAN, MARLIN","H","",2770243.87,2368166.25,4
"H2NV04011","HORSFORD, STEPHEN","H","DEMOCRATIC PARTY",2767667.61,88130.33,11
"S2OH00386","MORENO, BERNIE","S","",2733554.36,0,4
"H6TX15162","GONZALEZ, VICENTE","H","DEMOCRATIC PARTY",2693846.07,1358604.16,10
"H4NY01204","AVLON, JOHN","H","DEMOCRATIC PARTY",2668766.69,100012.59,6
"H4CA49149","GUNDERSON, MATT","H","REPUBLICAN PARTY",2648310.79,2642357.83,4
"H4GA03126","JACK, BRIAN","H","REPUBLICAN PARTY",2620882.29,106878,7
"S4MD00319","TRONE, DAVID","S","DEMOCRATIC PARTY",2602227.88,2581262.88,3
"H4IA03172","BACCAM, LANON","H","DEMOCRATIC PARTY",2573451.98,1526020,9
"H4AL02170","FIGURES, SHOMARI","H","DEMOCRATIC PARTY",2513437.45,39875.45,7
"H8NY19223","RYAN, PATRICK","H","DEMOCRATIC PARTY",2477377.55,70971.05,13
