"sid","name","total","against","pct_against","candidates"
"C00669259","FF PAC",505077660.37,577328.88,0.1,3
"C00825851","MAKE AMERICA GREAT AGAIN INC.",366080859.12,308361117.45,84.2,7
"C00865444","WinSenate",315025998.46,290805485.69,92.3,19
"C00495028","HMP",241069107.74,219363604.86,91,78
"C00571703","Senate Leadership Fund",211093032.88,200413136.72,94.9,11
"C00687103","Americans for Prosperity Action, Inc. (AFP Action) DBA CVA Action and DBA LIBRE Action",160499762.25,52252982.26,32.6,89
"C00878801","PRESERVE AMERICA PAC",112321879.52,112266879.52,100,2
"C00000935","DCCC",102986088.56,97760983.8,94.9,44
"C00828061","SFA Fund, Inc",99891785.59,35570479.15,35.6,5
"C00492140","AB PAC",86042846.48,86042846.48,100,1
"C00867036","RIGHT FOR AMERICA",69583233.16,51119938.98,73.5,2
"C00844613","WIN IT BACK PAC",62802353.62,61368815.73,97.7,23
"C00487363","American Crossroads",60227818.91,60013430.74,99.6,5
"C00836221","DEFEND AMERICAN JOBS",59326857.44,1531014.96,2.6,20
"C00849489","KEYSTONE RENEWAL PAC",54394982.49,41333144.35,76,2
"C00486845","LCV Victory Fund",53368286.97,17029960.67,31.9,69
"C00075820","NRCC",50576806.62,50282135.37,99.4,29
"C00042366","DSCC",43754853.31,43754853.31,100,5
"C00571588","RESTORATION PAC",42747110.92,41859266.33,97.9,5
"C00835959","Fairshake",40665514.98,13529359.01,33.3,29
"C00799031","UNITED DEMOCRACY PROJECT (UDP)",39044058.49,24958615.07,63.9,14
"C00848440","Protect Progress",34523202.41,239713.5,0.7,21
"C00849729","Last Best Place PAC",33816255.22,32027579.78,94.7,2
"C00870030","MARYLAND'S FUTURE",31564723.68,31206739.39,98.9,2
"C00609388","BlackPAC",29697063.54,694077.85,2.3,7
"C00473918","Women Vote",29282154.34,19391464.25,66.2,15
"C00752691","One For All Committee",27330342.49,0,0,8
"C00796045","Truth and Courage PAC",25817658.83,21952920.49,85,2
"C00881987","DUTY TO AMERICA PAC",23591142.83,23154436.91,98.1,2
"C00693838","MORE JOBS, LESS GOVERNMENT",22914874.23,16063520.37,70.1,4
"C00804856","Republican Accountability PAC",22787963.85,22753094.09,99.8,3
"C00027466","NRSC",21361846.75,21280189.99,99.6,6
"C00744920","CFFE PAC",21318636.17,1275786.17,6,10
"C00853861","GLCF, INC.",21184890.58,4488561.58,21.2,2
"C00891291","RBG PAC",20476000,0,0,1
"C00724203","Somos PAC",20102307.24,456942.11,2.3,17
"C00842344","BEST OF AMERICA PAC",19009955.72,285932.5,1.5,2
"C00886614","YOUR COMMUNITY PAC",18975432.96,2658590.04,14,8
"C00487470","CLUB FOR GROWTH ACTION",18655912.21,12968685.37,69.5,26
"C00834630","BUCKEYE VALUES PAC",18180496.57,18047313.77,99.3,6
"C00876482","Retire Career Politicians",17599137.38,7294667.92,41.4,4
"C00870592","FIX WASHINGTON PAC",16581630.12,15728144.74,94.9,2
"C00840546","TRUST IN THE MISSION PAC",14978801.31,0,0,1
"C00620971","For Our Future",14456166.18,455430.5,3.2,24
