"sid","cid","side","amount"
"C00365536","H8NM02156","O",597950.06
"C00365536","H2TX34113","O",597444.88
"C00804823","H8MO01143","O",595279.95
"C00687103","H4OH13153","S",593766.49
"C00779595","P80000722","O",592300.82
"C00890335","H2WI03130","O",592000
"C00890335","H4VA02060","O",592000
"C00840702","H4OH09169","O",590702.52
"C00804823","H4AZ03109","S",588437.5
"C00825091","H4AK00156","O",587175.09
"C90019589","P00009423","S",586608.73
"C00876391","H4VA10279","S",584469.33
"C00836221","H4AZ08124","S",582915
"C00493262","S6MT00162","S",582661.68
"C00835959","H2IL13153","S",582374
"C00835967","H4GA03126","S",581671.9
"C00753277","S0GA00559","S",581584.57
"C00890335","H2CA21233","O",581000
"C00486845","H2NE02132","S",579844.14
"C00669259","P80001571","O",577328.88
"C00799031","H4CA34083","O",576452.51
"C00687103","H4PA08124","S",576382.27
"C00831404","H2IA03119","S",573954
"C90009317","P80001571","O",572366.16
"C00832980","H4AZ08108","S",572246.65
"C00341396","P80001571","O",567933.13
"C00489856","S4AZ00220","S",566757.83
"C00544387","S2PA00661","S",566650
"C00879965","P00009423","O",566300
"C00890657","S4MD00483","S",563696.24
"C00745745","P00009423","S",560791.99
"C00486845","H8PA15195","O",560592.09
"C00688655","H2CA37023","O",560393.88
"C00800995","P00009423","S",560144
"C00688655","H4CA47085","S",559985.72
"C00418897","H2VA02064","O",558918
"C00657866","H2KY04121","S",558571.31
"C00698936","H4IN03174","O",554413.13
"C00887141","H4NY04158","S",553264
"C00876391","H4AZ01194","S",552024.66
"C90022120","P00009423","S",551120.16
"C00634774","P80001571","S",550218.87
"C90022369","S4AZ00188","S",550000
"C00878041","H8OR02161","S",549960
"C00752691","S6MT00162","S",548604.08
"C00890335","H4IA03172","O",547000
"C00877191","H4NY04158","S",546434.09
"C00865444","S8FL00273","O",545000
"C00868026","H4IN08249","S",541881.5
"C00687103","H2VA02064","S",541260.75
"C00718353","P80000722","S",540000
"C00504530","H6NY03247","O",534951.94
"C00625533","H2OH09031","S",532563.9
"C00808998","H0WI03175","O",531547.3
"C00487470","H4SC01339","O",530957.78
"C00836221","H4NC08090","S",530839.55
"C00882555","S4MI00470","O",530825.73
"C00873877","P00009423","S",528398.71
"C00873877","S6PA00217","S",528398.71
"C00495028","H4VA07234","S",528044.56
"C00489856","S2NE00094","S",528032.88
"C00000935","H4NV03167","O",527274.05
"C00011114","S4AZ00139","S",526000
"C00684258","P80000722","S",525882.62
"C00754051","S6PA00217","S",524276.96
"C00494021","P00009423","O",524100
"C00883561","P80001571","S",523502.61
"C00826073","S4WV00324","S",523450
"C00532630","P00009423","O",523000
"C00890053","P00009423","S",522800.29
"C00486845","H0WI03175","O",518283.45
"C00486845","H6NE02125","O",517596.08
"C00886093","P80000722","S",515542.22
"C00657866","S2ND00115","S",515310
"C00707844","S4AZ00220","O",514105
"C00848440","H8CA34266","S",511329
"C00836221","H4MT02098","S",509959.16
"C00418897","S4TX00722","S",509500
"C00486845","H2CA37023","O",509261.75
"C00365536","H2OR06124","O",509235.62
"C00873679","H2WA03100","O",508435
"C00872085","H4SC01339","S",507811.05
"C00836221","H4NC14015","S",506553
"C00011114","S2NV00308","O",506020
"C00544387","S4WI00256","S",504525
"C00687103","H6CO05142","S",504372.51
"C00887703","P80001571","S",504176.07
"C00687103","H4AZ08140","S",504152.5
"C00495028","H4VA02060","S",504053.54
"C00836221","H4IN08249","S",504020
"C00724203","H2CA21233","S",502907.5
"C00724203","H2CA13115","S",502504.16
"C00844613","H4MO03239","O",501084.08
"C00867861","S4MI00694","S",500744.53
"C00740225","H6CA48245","O",500000
"C00573261","S4MT00183","O",500000
"C00854299","H4NJ07149","O",499600
"C00571703","P80001571","S",498473
"C00540443","S2PA00661","O",497750
"C00872127","H4SC01339","S",495244.11
"C00486845","S4MI00595","O",494644.13
"C00799031","H0IL07167","O",494453.18
"C00004036","S6OH00163","S",493924
"C00811166","S6MT00162","O",491872.74
"C00487470","H4TX26149","S",491384.77
"C00483883","S4MT00183","O",490116.64
"C00854869","S4CA00522","S",490000
"C00486845","H0CA48198","O",488516.96
"C00710848","H4MO01134","S",487753
"C00550970","H4TX32089","S",487320.69
"C00687103","H6CA48245","S",486097.77
"C00608943","S4UT00282","S",485993.44
"C00365536","H2NJ08232","S",485899.83
"C00487470","H0SC01394","S",485249.07
"C00865725","H4CA16239","O",485100.1
"C00868604","S6MT00162","S",483694.83
"C00882555","S4MI00470","S",483373.02
"C00657866","H4IN08108","S",482417.17
"C00493262","S4MT00183","O",480957.5
"C00883207","H4MO03239","S",479980
"C00495028","H2NE02132","S",479538.88
"C00689745","P00009423","S",479498.72
"C00681478","H4OH02206","S",478000
"C00872150","H4CO03407","O",475935.32
"C00490375","S2WI00219","S",473761.67
"C00662221","H2PA04135","S",473563.88
"C00890335","H8ME02185","O",473545
"C00633248","H4OR05304","S",473514.9
"C00528448","P00009423","S",472073.97
"C00835041","S8NV00156","S",471786.92
"C00365536","H4AZ03117","S",471146.64
"C00852244","H4ME02291","S",470812.22
"C00448696","S4AZ00220","S",470044.3
"C00687103","H4OH09169","S",469008.93
"C00838268","S4VA00312","S",468834.5
"C00769232","S4MI00595","S",468500
"C00871368","H2CO03351","S",467400
"C00495028","H4NY04158","S",466857.12
"C00889931","P80001571","S",466715.62
"C00710848","H4AZ03109","S",465631.5
"C00487470","H4ND00061","O",463211.3
"C00687103","H4OH01109","S",462879.7
"C00887141","H4NY22085","S",462620
"C00692319","H8PA15195","O",461334.01
"C00886804","S4OH00192","S",460700
"C00030718","S2TX00312","S",459258
"C00891077","H4CA16197","O",459035.17
"C00418897","H4NH02399","S",458787.84
"C00418897","H4NH02332","O",455149.08
"C00852244","H8ME02185","O",455000
"C00838169","S2NV00308","S",454980
"C00687103","H2CT05222","S",453780.12
"C00757294","H2AK01158","S",453651.28
"C00885137","P00009423","S",451452
"C00840702","H2WA03100","O",450000
"C00840702","H4CO08034","O",450000
"C00624817","H4NY22085","S",450000
"C00860148","H4MI03268","S",449448.62
"C00739771","H4CA47085","S",447994.81
"C00701805","H4NC06052","S",447601.16
"C00833566","H4UT02387","S",447346.95
"C00620021","S4NE00207","S",447133.61
"C00874156","H4MO03221","O",442844.65
"C00053553","S6MT00162","S",442651
"C00011114","S8NV00156","S",442040.63
"C00647966","P00009423","S",440467.94
"C00827253","P80001571","O",440083.04
"C00877191","H6NY03247","S",439300.2
"C00620971","P80001571","O",438947.36
"C00754051","H2NV04011","S",438071.86
"C00881987","P80001571","S",436705.92
"C90022427","P00009423","S",436545.68
"C00752089","P80000722","S",435176.81
"C00772152","H0TX35015","S",434209.44
"C00754051","H8NV03036","S",433035.66
"C00487470","H4GA03126","S",430698.74
"C00418897","H2IA03119","O",430412.69
"C00698936","H4NY03283","S",430193.45
"C00692319","H4MT01090","S",429751.16
"C00448696","S4NV00288","S",429464.98
"C00826263","H0TX35015","S",429146.27
"C00756569","H4AZ01194","S",426488.65
"C00487470","H4PA10104","O",425768.69
"C00857011","P40013039","S",425609.67
"C00000422","H8IA02043","S",425000
"C00886614","H2MT02092","S",424664.07
"C00707844","H2CA37023","O",424163.75
"C00692319","H4OH09185","S",423263.12
"C00844613","H2AK01158","O",422749.54
"C00857631","H4TX26149","S",421766.05
"C00833228","S4WI00256","O",421000
"C00846428","H4FL25030","S",420150.37
"C00486845","H4MT01041","O",419938.73
"C00448696","S4MT00183","S",418106.52
"C00559906","P80001571","S",416000
"C00490375","S4AZ00139","S",415591.6
"C00848440","H4AZ01202","S",415300
"C00876094","S4MD00483","O",415000
"C00418897","S4MI00470","S",414508.63
"C00486845","H2VA02064","O",414507.19
"C00504522","P80001571","S",413923
"C00007922","P80000722","S",413809.77
"C00890392","P00009423","S",413676
"C00687103","H2NC13243","S",413615.6
"C00734657","S6MT00162","S",413103.02
"C00495028","H2CO08020","S",412219.53
"C00486845","H0MI08141","O",410400.44
"C00000422","H2CO08020","S",410000
"C00812495","P00009423","S",410000
"C00488486","S6OH00163","S",409704
"C00418897","H4VA07234","S",408300.37
"C00875856","S2MA00170","O",407982.62
"C00559906","S2WI00219","O",406037
"C00754051","H8NV03200","S",405199.96
"C00687103","H4IL17101","S",404587.05
"C90022252","P80001571","S",404446.31
"C00687103","H8NM02156","S",402964.8
"C00710848","P80000722","S",402900
"C00707844","H8NM02156","O",402514.76
"C90015140","P80001571","O",402386.63
"C00483883","H2AZ02360","O",401250
"C00483883","H4AZ06045","O",401250
"C00365536","H4RI01174","S",400353.75
"C00754192","H4CA45170","S",400205.58
"C00740225","H2NY22212","O",400000
"C00011114","S2PA00661","O",400000
"C00606962","H4RI01216","S",400000
"C00011114","S4MI00470","S",400000
"C00486845","H4VA07234","S",399468.09
"C00879379","H4WA06117","S",398874.8
"C00513176","H4AZ03117","S",397671.77
"C00786830","H4PA10104","S",395599.46
"C00687103","H8PA15195","S",395317.01
"C90011172","H4MI07210","S",393552
"C00657866","H0IN03198","S",393226
"C00487470","H4IN03232","O",392867.63
"C00733915","P00009423","S",392405.21
"C00486845","H2NY19127","O",391630.94
"C00473918","H4NH02399","S",391621.72
"C00630665","H4NY16087","O",391613.31
"C00550970","H4MD06225","S",390074.47
"C00692319","H4PA08124","O",389737.65
"C00885707","H4CO08034","O",389000
"C00752691","S4AZ00139","S",388444.07
"C00495028","H2PA17079","S",387539.52
"C00350991","P00009423","S",387298.19
"C00786830","H2WA03217","S",386949.42
"C00822536","P80000722","S",386769
"C00528554","H4TX23120","O",385758.25
"C00868679","S4OH00192","O",383889.27
"C00868679","S6OH00163","S",383889.27
"C90019563","P00009423","S",383500
"C00855379","H2NJ08232","O",382086.25
"C00514125","H4NC01129","O",381904.94
"C00568931","P80000722","S",380799.71
"C00857011","P80001571","O",379921.75
"C00804823","H8OR02161","O",379500
"C00804823","H4OR05304","S",379500
"C00855809","S8MO00160","O",379164.6
"C00504530","H4CA45170","O",378777
"C00000935","H4NY18117","O",377585.9
"C90022351","P00009423","S",377272.09
"C00835041","S4OH00192","O",377000
"C00866368","H4NC01129","O",375939
"C00075820","H2OR04095","O",375407.8
"C00568444","H2AK01158","S",375000
"C00863472","H2AK01158","S",375000
"C00870766","H4OH09151","O",373365
"C00884239","P00009423","S",373142.64
"C00487470","H4IN03158","O",372803.95
"C00854299","H8NM02156","O",372500
"C00754051","H4NY04158","S",372241.23
"C00688580","H2CA37023","O",371761.5
"C00486845","H8NM02156","O",371277.53
"C00473918","H8PA15195","O",368596.74
"C00634774","S4MI00595","S",368277.39
"C00869073","S4WI00256","O",365738.17
"C90022500","P00009423","S",365598.49
"C00866368","H4NC13116","O",365380.5
"C00835967","H4ND00053","O",363325.1
"C00692319","H4OR05353","S",362746.76
"C00870311","P80000722","O",362706.46
"C00648808","H8ME02185","S",360000
"C00495028","H8PA15229","S",358864.94
"C00886002","H4FL22136","S",358067
"C00870030","S4MD00483","S",357984.29
"C00698936","H0CA48198","S",357500
"C00844613","H0SC01394","S",357291.43
"C00835967","H2SC04147","O",356453.61
"C00486845","S4WI00256","O",354959.55
"C00448696","S4WI00256","S",354753.9
"C00489799","S2PA00661","O",354671.24
"C00365536","H2CO08020","S",354265.37
"C90011172","H8NM02156","O",354000
"C00523621","S4AZ00139","S",353291.55
"C00855064","S4UT00217","O",353009.27
"C00707844","H0MI08141","O",352542
"C00606962","H2PA18200","S",352280
"C00872150","P80001571","O",352113.07
"C00883207","H4MO03221","O",351914.7
"C00523621","H6NV03139","S",351848.47
"C00606962","H0NY16143","S",351806.24
"C00530766","S2WI00219","O",350749.81
"C90018177","H2NM02191","S",350008.65
"C00685297","H4OH13153","O",350000
"C90016437","S4MD00483","S",350000
"C90016437","S4MT00183","S",350000
"C00772152","S8MS00196","S",346640
"C00606962","H4AZ03117","S",346019.94
"C00880070","P00009423","O",341000
"C00879221","S2TX00312","O",340000
"C00865444","S2WI00219","S",339032.75
"C00620971","S6OH00163","S",338233.5
"C00738674","S4MT00183","O",337356.88
"C00647966","P80000722","S",335014.52
"C90011156","S6OH00163","S",334055.37
"C00707844","H4AZ06045","O",333751.39
"C00885913","S4NE00207","S",333500
"C00486845","H4MI07210","S",332518.93
"C00746628","P80001571","O",330000
"C00745745","S6PA00217","S",329729.36
"C00745745","S2PA00661","O",329729.34
"C00804633","H4AZ08108","O",328069
"C00804633","H4AZ08124","S",328069
"C00746107","H4AZ03117","S",327905.48
"C00657866","S4WV00324","S",327661.48
"C90022484","P00009423","S",327658.24
"C00453704","P80001571","O",327218.25
"C00865246","H4CA30149","S",327100.52
"C00756940","P00009423","S",326704.76
"C00756940","S4TX00722","S",326704.76
"C00840702","H0WI03175","O",325000
"C00864363","H2OR05209","O",325000
"C00740225","S2TX00312","O",325000
"C00880906","S4NJ00540","S",324788.85
"C00880906","S4NJ00466","O",324788.84
"C00486845","H2OR05209","O",323866.99
"C00025254","H8MN05239","S",323481.66
"C00698936","H4NY18117","S",323280.74
"C00887992","P00009423","S",323100
"C00495028","H4KS03212","O",322140.4
"C00620971","S8NV00156","S",320578.21
"C00799031","H2KY04121","O",319783.3
"C00550970","H4DE00045","S",319660.59
"C00495028","H2MI10176","S",319561.41
"C00745745","P80001571","O",319286.6
"C00698936","H4WA03122","S",317849
"C00000935","H8PA15229","S",317344.22
"C00544387","S4AZ00220","S",316925
"C00000935","H4NY22085","S",316626.7
"C90018904","P80000722","O",316107.87
"C00550970","H2CA42205","S",315861.35
"C00757419","S2TX00312","O",315000
"C00489815","H8CT05245","S",314727
"C00808998","H2PA04135","O",314154.07
"C00692319","H2CA20094","O",314152.54
"C00772152","H4SC01313","S",313565
"C00418897","H4NC01137","O",313387.82
"C00448696","S4WV00324","S",312951.24
"C00840702","H0MI08141","O",312293
"C00854893","S2NE00094","O",311453.74
"C00874115","P80001571","O",311343.59
"C90022500","S4NJ00466","S",310220.75
"C00757419","P80001571","O",310000
"C00860148","H4MI03243","O",306297.97
"C90022542","S8NV00156","S",305570.65
"C00836916","P80001571","S",305100.78
"C00687103","H8CA39240","S",304862.95
"C00504530","H2AK01083","S",303494.56
"C00752378","S6MT00162","S",302675
"C00620971","H8PA15229","S",301289
"C90011172","H4NY18117","O",300408
"C00821439","P80001571","S",300087.37
"C00720649","P80001571","S",300046.67
"C00724203","S4NM00183","O",300000
"C00540203","H2CA20094","S",300000
"C00868612","H4LA06211","S",300000
"C00489815","H4NY22085","S",299985.76
"C90009994","S6MT00162","S",299985
"C00687103","H2TN05446","S",299917.3
"C00486845","H4VA02060","S",299470.93
"C00825091","S8AK00090","O",299236.74
"C00687103","H4NY18117","S",298194.09
"C00692319","H4VA02086","S",297624.35
"C00568931","P80001571","O",297400.21
"C00487470","H4AZ01194","O",296954.1
"C00873679","H2WA03217","S",296460.63
"C00878678","H4FL08168","S",296427.94
"C00881482","S6MT00162","O",295286
"C00881482","S4MT00183","S",295286
"C00075820","P80001571","S",294671.25
"C00780841","H4TX32055","S",294538.08
"C00736637","P80001571","O",294341.66
"C00817122","S4MT00183","S",293868.69
"C00487470","S4IN00196","S",293613.32
"C00757419","H2CA13115","S",293500
"C00662221","H4IN03174","S",293168.9
"C00343459","S8TN00337","S",290569.2
"C00544767","P80000722","O",290200
"C00736637","P80000722","S",289802.93
"C00687103","H4PA17166","S",289634.57
"C90022542","P00009423","S",289417.68
"C00528554","H2MI10176","O",287279.75
"C00739557","P00009423","S",287213.41
"C00528554","H4AZ01194","O",286578
"C00842344","P80000722","O",285932.5
"C00687103","H4IN05179","S",284968.32
"C00692319","H6MN02131","S",284052.07
"C00633248","H6NE02125","O",284033
"C00692319","H4CO08034","O",283945.03
"C00890335","H2CA42205","O",283932.5
"C90011156","S6PA00217","S",283885.99
"C00857425","P40013039","S",283275
"C00552851","H2AZ01354","S",283183.48
"C00828061","P80000722","O",283152.6
"C00620971","H2PA17079","S",283054
"C00890053","P80001571","O",282800.29
"C00544387","H4SC04093","S",282529
"C90011172","P00009423","S",282125.07
"C00632398","S6MT00162","S",282056
"C00786830","H2CA42205","S",279099.42
"C00494021","P80001571","S",278900
"C00744920","H4NY22085","S",276532.5
"C00486845","H2CA42205","S",275960.28
"C00874503","H4WI08085","S",275786.91
"C00884817","P80001571","O",275202.52
"C00568931","S4MI00470","S",274955.93
"C00831404","H4NJ03197","S",274264.85
"C00769232","S4MI00470","O",273800
"C00844282","P80001571","O",273415.18
"C00887851","P00009423","O",272385.3
"C00754051","H6NY03247","S",272362.38
"C00365536","H4CO08034","O",271975.29
"C00889279","P00009423","S",271970.32
"C00634774","S4OH00192","S",271678.49
"C00889246","S4RI00085","S",271584.58
"C00365536","H4CA16197","S",271062.23
"C00878686","H0SC01394","O",270397.14
"C00754051","S6OH00163","S",269920.65
"C00739565","H0NJ07261","S",268199.9
"C00003632","P80000722","S",268057
"C00848739","H4PA01111","O",267879
"C00486845","H4AZ01194","S",267563.69
"C00418897","H4AZ01202","S",267521.13
"C00343459","S6OH00163","S",265674.86
"C00687103","H4WV02205","S",265673.14
"C00772152","H2NC13243","S",264642
"C00544387","H4AZ08108","O",264600
"C00710848","S6PA00217","S",262595
"C00687103","H2OH09189","S",261872.33
"C00844613","H2NM02191","O",260265.06
"C00608943","H4WA04104","S",259276.03
"C00707844","H2WI03130","S",258564.25
"C00490375","H4CA16239","S",258058.55
"C00877233","S4UT00282","S",257863.5
"C00074450","P80001571","S",257841.03
"C00836221","H4MO03221","S",257694.85
"C00832980","H4AZ08124","O",257682.57
"C00772152","H4OH02214","S",257023
"C00489815","H4AZ03117","S",256060.16
"C00573261","S4OH00192","O",255800
"C00004036","S4AZ00139","S",255740.34
"C00473918","H4OH13153","O",255476.38
"C00864512","S4NE00207","S",255000
"C00030718","H0TX35015","S",254890.46
"C00835967","H4ND00061","S",254849.78
"C00000935","H2OH09031","S",254272.05
"C00530766","S6MT00162","O",253068.94
"C00528554","P80001571","S",252649.62
"C00486845","H0CA25105","O",252570.84
"C00707844","H0CA25105","O",252543
"C00881805","P80001571","S",251377
"C00487470","S4AZ00139","O",250262.09
"C00740225","H0MI08141","O",250000
"C00864363","H0TX15124","O",250000
"C00688655","H2NY22212","O",250000
"C00740225","H4NC01137","O",250000
"C00688655","H4NY18117","O",250000
"C00740225","H4PA08124","O",250000
"C00495028","H4WA08139","O",250000
"C00688655","H6NE02125","O",250000
"C00483883","P80001571","O",250000
"C00734400","H0TX14234","S",250000
"C00624817","H2AK01158","S",250000
"C00624817","H4PA10104","S",250000
"C00803593","H4WA04104","S",250000
"C00624817","H6NV04020","S",250000
"C90015140","H6NY03247","S",250000
"C00760124","S4MT00183","S",250000
"C00877787","S4MT00183","S",250000
"C00804823","S6PA00217","S",250000
"C00473918","H4RI01174","S",249932.08
"C00648808","P00009423","S",249483
"C00030718","S8FL00273","S",249050
"C00699801","H6FL09070","S",248562.94
"C00853770","H2NC02287","S",247200
"C00891275","S2WI00219","O",247000
"C00752691","S4MI00470","S",246063.22
"C00707844","S4MT00183","O",246055
"C00343459","S8NV00156","S",245143.56
"C00687103","H4KS02164","S",244940.15
"C00738674","S6PA00217","S",244327.86
"C00758011","P00009423","S",243258.5
"C00886093","P00009423","S",243062.76
"C00811786","P00009423","S",242500
"C00868935","H2OH08082","S",242303.8
"C00853770","H2CA03157","S",241521.42
"C00495028","H4PA17166","O",240000
"C00844613","H4ND00053","S",239790.46
"C00848440","H4AL02162","O",239713.5
"C00625236","P40013724","S",239300
"C00811166","S2NV00308","S",239075.52
"C00827030","P80001571","O",238900
"C00704593","S4NE00207","S",238500
"C90013269","P40011793","O",238000
"C00835041","S2NV00308","O",236550
"C00550970","H0NY17174","S",235722.94
"C00825737","P00009423","S",235467.58
"C00540443","H0NY17174","S",235329.67
"C00737411","H8NY22177","O",235164.81
"C00692202","H0NY16143","S",234600
"C00687103","H2CO08020","O",234145.75
"C00685693","S6PA00217","S",233354.5
"C00418897","H4PA17166","O",233048.87
"C90022559","P00009423","S",232755.53
"C90019472","S4MT00183","O",232743.82
"C00824292","H4IN08108","S",232725
"C90011156","S4MI00470","S",232262.41
"C00732172","H4AZ03109","S",231735.78
"C00839159","P80001571","S",230764.77
"C00571703","S4MT00183","S",230094.39
"C00483883","H2MI07123","O",229402.18
"C00552851","H0FL13158","S",229383
"C00883785","H0CO03165","O",228024.82
"C00674697","P80001571","O",227821.61
"C00418897","H4NJ03197","S",227593.83
"C00785899","H0NY15160","S",227134.2
"C00624817","P00009423","S",226021.91
"C00687103","H8PA15229","O",225521.67
"C00486845","H8PA15229","S",225353.07
"C00688580","H4IA03172","O",225179.5
"C00744920","S4NE00207","S",225000
"C00418897","S8NV00156","S",223274.04
"C90011156","S2WI00219","S",222889.42
"C00030718","S6OH00163","S",222838.3
"C00883322","S2TX00312","S",221760
"C00876482","P40011983","S",220369.62
"C00486845","H2NY17162","O",219542.57
"C00859355","P80000722","S",217749.99
"C00687103","H2OH13264","O",217114.84
"C00687103","H4IN06136","S",216783.25
"C00737411","H4OR05304","O",215690.95
"C00848440","H2NJ08232","S",215063
"C00772152","H4MT02098","S",215052
"C00495028","H4IA03172","S",214500
"C00487363","P80001571","S",214388.17
"C00878264","H6FL01390","S",214354.26
"C00780841","H4NH02399","S",214297.6
"C00495028","H4NV03167","O",213949.98
"C00724203","S2WI00219","S",213267.47
"C00836221","H2OK04055","S",212498.4
"C00863084","P80001571","O",212295.96
"C00000935","H6TX15162","S",210380.27
"C00848440","H4MD02232","S",209386.9
"C00634774","S4WI00256","S",207310.61
"C00495028","H4OR04125","O",205611.52
"C00882233","P00009423","S",205384.74
"C00552851","H2PA04135","S",205119.9
"C00854299","H4CO08034","O",205000
"C00701888","P80001571","O",205000
"C00544387","S2WI00219","O",205000
"C00687103","H4VA07234","O",203875
"C00573261","S6MT00162","S",203727
"C00811166","S6PA00217","O",203558.37
"C00662221","H0AL01055","O",200950
"C00828061","P40013039","S",200690
"C90011172","H4OH09169","O",200670
"C00685693","H4VA07275","S",200434.52
"C00864363","H2PA04135","O",200000
"C00859660","H4CA16197","S",200000
"C00707844","H4CA47085","S",200000
"C00486845","H4NJ07107","S",200000
"C00486845","H8CT05245","S",200000
"C90019662","P80000722","S",200000
"C00769232","S2NV00156","S",200000
"C00769232","S4AZ00220","S",200000
"C00173153","S4MI00470","S",200000
"C90011172","H2NY22212","O",199982.06
"C00854299","H2WA03100","O",199500
"C00486845","H2IA02111","S",199468.09
"C00754754","P00009423","S",199355.33
"C90011172","H2OH13264","S",199162
"C90011172","H2OH09031","S",199070
"C00687103","H4MI07210","O",198875
"C90011172","H4NY22085","S",198678.06
"C90021304","P00009423","S",197476.17
"C00532630","H2SC04147","S",197250
"C00562777","P80000722","S",197125
"C00687103","H4NC13116","S",196030.35
"C00173153","H2IA02111","S",196000
"C90019589","S4MI00470","S",195301.5
"C00483883","H2PA04135","O",195200.59
"C00687103","H2AK01158","O",195056.77
"C00882381","H2PA04135","O",195000
"C00486845","H2MI10150","O",194903.74
"C00486845","H2MI10176","S",194903.74
"C00552851","H0CO03165","S",194588.31
"C90011172","H4OH13153","O",194428
"C00739565","H4NJ07107","O",194313.64
"C00473918","H2AK01083","O",194256
"C00483883","H8PA15229","S",194232.8
"C00843110","H4WI03201","S",194000
"C00173153","H2OR05209","S",192300
"C00030718","S6PA00217","S",191962
"C00678839","P00009423","S",191212.44
"C00871368","H2IA02111","S",190800
"C00886614","H6NE02125","O",190563
"C00544387","S6PA00217","O",190000
"C00657866","H6FL01119","S",190000
"C90022922","P80001571","S",190000
"C00847673","P80001571","O",189954
"C00866368","H4NC13140","S",189866.93
"C00871012","H2MT02092","O",189500
"C00620971","H0MI03316","S",188607.5
"C00011114","H2NV04011","S",187276.86
"C90018045","P80001571","O",186780.48
"C00808998","H4AZ06045","O",186227.07
"C00487470","H2NM02191","O",185953.96
"C00760124","S4OH00192","S",185000
"C00490375","H0NY16143","S",184213.09
"C00887778","S6MT00162","S",183618.33
"C00828608","P00009423","O",183588.45
"C00831404","S4AZ00139","S",183175.3
"C00882431","H4MO01134","S",182801.09
"C00687103","H2CA03157","S",182470.8
"C00738674","S4AZ00139","S",182168.77
"C00754069","H4NY03283","O",181992
"C00634774","S2PA00661","S",181896.75
"C00657866","S4MI00694","S",181056.52
"C00698936","H4OR05304","O",180720
"C00011114","H2CO08020","S",180476.51
"C00797340","H2NM02191","S",180185.12
"C00794396","H8AL02171","S",180168.98
"C00710848","H4AZ03117","O",180056.17
"C00495028","H4MI07210","S",179868.6
"C00004036","S6PA00217","S",179749.94
"C90022120","P80001571","O",179257.68
"C00634774","S2NE00094","S",178525.59
"C00530766","S6PA00217","O",177032.83
"C00530766","S2PA00661","S",177032.83
"C00681825","P80001571","S",177000
"C00831404","H8NY19223","S",176671.16
"C00855924","S4WV00332","S",176584.22
"C00835967","H4NC08066","O",175870.3
"C00662221","H4VA05071","S",175455
"C00864363","H4MD03156","S",175000
"C00770149","H6NV04020","S",175000
"C00770149","H8KS03155","S",175000
"C00770149","H8MI08102","S",175000
"C00770149","H8NJ11142","S",175000
"C00770149","H8PA06087","S",175000
"C00770149","H8VA07094","S",175000
"C00770149","H8WA08189","S",175000
"C00738815","H8MN05239","S",174866.28
"C00870204","H4CA16049","S",174835.64
"C00710848","P80001571","O",172500
"C00684969","P80001571","O",172300
"C00891275","S4AZ00139","O",171577
"C00865717","H4CA40098","S",171520.71
"C00030718","H2VA02064","S",170844
"C00887141","H8NY19223","S",170500
"C00866269","H4CA20199","O",170448.49
"C00000935","H2NE02132","S",170273.04
"C00495028","H4IL17101","O",170000
"C00633248","H4NJ03197","S",170000
"C00882019","P00009423","S",170000
"C00832691","S4CA00555","S",170000
"C00818161","H4NH02373","S",169972.45
"C00685552","H4AZ03117","S",169860
"C00550970","H2CA37023","O",169834.47
"C00524181","S2NV00308","S",169646.54
"C00865444","S8NV00156","S",169363.21
"C00689745","S8NV00156","S",168409.9
"C00710848","H4OH13153","O",167724
"C00831404","H2PA17103","S",167458.15
"C00550970","S2WI00219","S",167022.1
"C90022773","P00009423","S",166740.29
"C00831404","H8VA10080","S",165408.68
"C00720649","S4CA00803","S",165373.33
"C00681825","P80000722","O",165000
"C00878652","H2WA04165","O",163775.45
"C00878652","H4WA04179","S",163775.45
"C00878652","H4WA04104","O",163775.44
"C00787945","P60012465","S",162439.34
"C90023052","P00009423","S",162262.85
"C00865923","H0IN05326","S",161488.43
"C90022898","S4NE00207","",161300.66
"C90022898","S4NE00207","S",161300.66
"C00887778","S4MT00183","O",161015
"C00099259","P00009423","O",160500
"C00772152","H0AR03055","S",160500
"C00630665","H2PA18200","S",160000
"C00365536","H2WA03100","O",159349.8
"C90011172","H8PA15195","O",159024
"C90011800","P80001571","S",158903.04
"C00876391","H4OR03150","S",158740.39
"C00754051","P80000722","S",158144.11
"C00835041","S6PA00217","S",158099.99
"C00853770","H4NV03167","S",157573.72
"C00785899","H2VT01076","S",157319.1
"C00874842","H4VA10204","O",157282.72
"C00707844","H4UT02254","S",156949.51
"C00724203","P80001571","O",156942.11
"C00486845","H4IA03172","S",156914.89
"C00688655","H4CA45170","S",155800.85
"C00835041","S2WI00219","S",153863.16
"C00607374","P80000722","O",153314.55
"C00807321","P80001571","O",153200
"C00732172","H4AZ01228","S",152992.42
"C00687103","H4WA04104","S",152850
"C00890665","P00009423","S",152500
"C00890665","S4MI00470","S",152500
"C00874750","P80000722","S",151443.33
"C00707844","H2NY01190","O",151275.68
"C00786830","H2PA04135","O",150922.99
"C00848440","H2NY10308","S",150853
"C00859660","H4WI03201","O",150800
"C00486845","H2NY04277","O",150494.32
"C00891135","S2TX00312","O",150011.42
"C00891135","S4TX00888","S",150011.42
"C00864363","H2AZ02360","O",150000
"C00863472","H2VA02064","O",150000
"C00495028","H2OH13264","S",150000
"C00853770","H4CO03357","S",150000
"C00710848","H4VA10204","S",150000
