"sid","cid","side","amount"
"C00609388","S6PA00217","S",2264594.56
"C00000935","H4OR05304","S",2247044.8
"C00845685","S4OH00192","O",2229013.12
"C00633248","H4OR03192","S",2212990
"C00718353","P00009423","S",2197942.14
"C00625533","S6OH00163","S",2196114.24
"C00495028","H2TX34113","O",2184674.67
"C00495861","P80000722","S",2184239.97
"C00744920","S6OH00163","S",2180920
"C00881474","H6FL01119","O",2151218.3
"C00882381","P00009423","S",2143107.11
"C00544551","S4NE00207","O",2140500.03
"C00871368","H8PA15229","S",2137100
"C00487470","S4WV00332","O",2129007.49
"C00487470","S2OH00477","O",2127589.61
"C00854893","S4NE00207","S",2126580
"C00811166","P80001571","S",2112739.86
"C00487470","H4CA47085","O",2105431.31
"C00835959","H0NY16143","O",2078023
"C00495028","H2IA03119","O",2076712.49
"C00799031","H4TX23120","O",2060409.76
"C00888172","P00009423","O",2058292.5
"C00811166","S4MT00183","S",2058194.87
"C00075820","H2AK01158","O",2039789.04
"C00075820","H2OH09031","O",2033272.86
"C00483883","S4MI00595","O",2027080.4
"C00707844","S2NV00308","O",2017277.44
"C00740225","S2PA00661","O",2010000
"C00808121","H6NE02125","S",2009768
"C00075820","H4NY04158","O",2008847.29
"C00486845","S2PA00661","O",2002392.85
"C00756569","H4AZ07043","S",1996215.13
"C00053553","P00009423","O",1988972.27
"C00835959","H8NY19223","S",1987660
"C00633248","H2OR05209","O",1984237.76
"C00882381","P80001571","O",1979726.63
"C00864272","H4CA16247","S",1967036.5
"C00724203","S4AZ00139","S",1959400.37
"C00075820","H4OR05304","O",1957504.64
"C00835959","H2AK01158","S",1927706
"C00835942","S2OH00477","S",1927391.4
"C00486845","S6OH00163","S",1925008.5
"C00835959","H8CA39240","S",1924213
"C00859355","H4NY04158","S",1916274.2
"C00865444","S4MI00470","S",1898853.44
"C00858381","P40010977","S",1897240.14
"C00486845","S2WI00219","S",1878845.21
"C00887968","P00009423","S",1871000
"C00836221","H8SC04250","S",1859957.22
"C00612820","P80000722","S",1857702.04
"C00718353","P80001571","O",1852510.74
"C00075820","H8NY22177","O",1845948.12
"C00495028","H4CA49149","O",1836435.83
"C00835959","H2NV04011","S",1836196
"C00504530","H2CA42205","O",1834149.25
"C00864926","H4NC08066","O",1829252
"C00000935","H2NY17162","O",1827709.23
"C00075820","H2NE02132","O",1824169.89
"C00864926","H4IN03174","O",1813753.12
"C00752048","P80000722","S",1811486.46
"C00865444","S4AZ00139","S",1796753.3
"C00849729","S6MT00162","S",1788675.44
"C00886614","S6MT00162","S",1776808.47
"C00486845","S4MI00470","S",1753323.99
"C90021155","P00009423","S",1751474.45
"C00631549","P80000722","S",1739615
"C90022518","P00009423","O",1736189.59
"C00724203","S8NV00156","S",1726532.5
"C00799031","H8CA34266","S",1723990.15
"C00762666","P00009423","S",1717397.41
"C00559906","P00009423","O",1706947.5
"C00707844","S4MI00595","O",1705848.64
"C00875856","S4MA00358","S",1703292.79
"C00877787","S2TX00312","S",1700000
"C00754051","S8NV00156","S",1695960.61
"C00540443","H2MI07123","O",1687371.6
"C00495028","H0TX15124","O",1683249.06
"C00668905","H0VA07133","S",1679793.13
"C00808121","H2NE02132","O",1668478
"C00857177","P80000722","S",1666389.71
"C00495028","H4AZ01194","S",1664717.98
"C00488742","H2NC02287","S",1641595.73
"C00053553","S4MT00183","S",1635408.57
"C00835959","H2AZ02360","S",1625297
"C00771477","P00009423","O",1619957.69
"C00523621","P00009423","S",1614570.57
"C00864348","P80001571","O",1606650
"C00668905","H2VA07170","S",1574994.65
"C90022328","H2WA04165","O",1571585.74
"C90022328","H4AZ08140","S",1570250
"C00799031","H4IN08264","O",1567918.74
"C00752691","S2WI00219","S",1545786.63
"C00869321","H4AZ03117","S",1540375.35
"C00836221","S4UT00217","O",1531014.96
"C00004036","P80001571","O",1526881.28
"C00668905","H4VA07234","O",1524017.32
"C00000935","H2AK01083","O",1521326.1
"C00744920","S6MT00162","S",1521320
"C00075820","H2OH13264","O",1516476.05
"C00835959","H2OR05209","S",1514369.6
"C00864926","H4IN08264","O",1510780.72
"C00876391","P00009423","S",1502739.79
"C00707844","S4OH00192","O",1501725.5
"C00495028","H2CA21233","S",1492468.97
"C00848440","H4WA06117","S",1491153
"C00075820","H2PA17079","O",1482866.2
"C00752691","S6PA00217","S",1457564.56
"C00418897","H0CA48198","O",1455400.81
"C00882555","P00009423","O",1453933.36
"C00483883","P00009423","S",1450787.14
"C00865055","H6NY03247","O",1449640.5
"C00075820","H2NC02287","O",1446276.66
"C00488742","H2NY19127","S",1435811
"C00530766","S6OH00163","O",1435522.6
"C00486845","H4CA47085","S",1409942.5
"C90022849","P80001571","S",1407280.2
"C00835959","H8MO01143","O",1406523
"C00885947","P40011983","S",1400000
"C00886614","H2MI10176","S",1399993.94
"C00495028","H4CA47085","S",1396043.91
"C00486845","H4CA27111","S",1386055.72
"C00488742","H2NY17162","S",1384692.1
"C00075820","H4NY22085","O",1380747.6
"C00657866","H4VA07200","S",1379685
"C00075820","H8CA10126","O",1377746.02
"C00769232","S4AZ00139","O",1375550
"C00865444","S2TX00312","O",1373567.89
"C00053553","S2PA00661","S",1371100.39
"C00848440","H4AZ03109","S",1367647
"C00000935","H8PA15195","O",1367625.74
"C00418897","H4VA10253","S",1364447.62
"C00885707","H2CO08020","S",1360931.3
"C00630665","H8MO01143","S",1353037.69
"C00075820","H6TX15162","O",1345604.16
"C00864926","H2CO05216","O",1342399.73
"C00769232","S6MT00162","O",1342300
"C00834630","S4OH00200","O",1339493.98
"C00000935","H2CA21233","S",1337017.69
"C00486845","H2AZ02360","O",1331374.47
"C00871368","H2WA03217","S",1326400
"C00000935","H2NY22212","O",1326362.23
"C00847236","S4NV00288","S",1318618.82
"C00473918","S2NV00308","O",1314460.31
"C00836221","H4GA03126","S",1308411.86
"C00609388","P80000722","S",1307677
"C00835959","H2CA20094","S",1306862.6
"C00495028","H0NY17174","S",1293047.43
"C00486845","S8NV00156","S",1292959.96
"C00687103","S8NV00156","O",1288635.59
"C00859355","H0NY17174","S",1281886.86
"C00486845","P80001571","O",1279794.19
"C00075820","H2CA21233","O",1278354.44
"C00744920","S4NM00183","O",1275786.17
"C00724203","S6PA00217","S",1272156.59
"C00075820","H8PA15229","O",1271585.1
"C00574749","P80001571","S",1270794.55
"C00811166","S6OH00163","O",1267657.23
"C00826263","H4TX23120","O",1267398.84
"C00786830","H2NY01190","O",1264000
"C00488742","H2CA20094","S",1263328.6
"C00609388","S4MD00327","S",1250713.43
"C00487470","H4MO03221","S",1248619.24
"C00687103","H4CO08034","S",1228668.8
"C90019472","S6MT00162","S",1219187.33
"C00844613","H4CA47085","O",1213523.59
"C90019316","P80001571","O",1209390.38
"C00495028","H4NY18117","O",1205836.12
"C00487470","H4NC06052","O",1205710.01
"C00790923","S2OH00477","S",1202375.85
"C00634261","P40011678","O",1201000
"C00495028","H6NY03247","S",1194206.37
"C90011156","P80001571","O",1185342.83
"C00748475","H0VA05160","S",1181218.41
"C00724203","S4MI00470","S",1172986.32
"C00540443","H0CA25105","O",1168151.5
"C00488742","H0CA25105","S",1164661.6
"C00486845","H4OH13153","O",1154287.74
"C90010620","P00009423","S",1151181.19
"C00864926","H4TX26149","O",1149491
"C00844613","H4SC01339","O",1145398.35
"C00835967","H4MO03221","O",1142691.34
"C00831552","P40011850","S",1140258.67
"C00871368","H2WI03130","S",1138050
"C00620971","S4MI00470","S",1136768.89
"C00747121","S4TX00722","O",1136464.21
"C00879973","P00009423","S",1133000
"C00657866","S4MI00595","O",1131440
"C00769232","S2WI00219","O",1129397.74
"C00489799","P80000722","S",1127387.18
"C00874156","H4MO03239","S",1125126.32
"C00859355","H8NY22177","S",1119339.88
"C00365536","S4AZ00139","S",1118296.92
"C00075820","H4MI08218","O",1117574.33
"C00687103","H4CO03357","S",1109282.12
"C00733352","H2CA42205","O",1103850
"C00746107","P80001571","O",1093601.41
"C00891259","P00009423","S",1089807.92
"C00011114","S6OH00163","S",1085181.93
"C00756569","H8CA45148","S",1083435.27
"C00053553","S6MT00162","O",1083041.24
"C00744920","H2MI10176","S",1077450
"C00540443","H2AZ02360","O",1066503.93
"C00544387","P00009423","O",1066102.93
"C00012476","P00009423","S",1062960
"C00418897","H0WI03175","O",1057822
"C00883520","P80001571","S",1054578.23
"C00883520","P00009423","O",1054578.22
"C00750182","P40012155","S",1047773.7
"C00486845","H2VA07170","O",1045928.34
"C00486845","H4NY04158","S",1045379.59
"C00864926","H4MO03221","O",1038463.81
"C00688655","H2NY19127","O",1030045.18
"C00495028","H8NY22177","S",1029547.41
"C00853713","P00009423","S",1025000
"C00075820","H4AZ01194","O",1024084.38
"C00490375","S6OH00163","S",1022279.93
"C00859355","H6NY03247","S",1021759
"C00811166","P00009423","O",1017643.93
"C00835959","H0CA25105","S",1012931.01
"C00848440","H2MI13204","S",1010142
"C00815928","P40013039","S",1010000
"C00855213","H8AL02171","O",1008234
"C00772152","H0WI08117","S",1006031.39
"C00872655","S4WI00256","O",1003478.37
"C00688655","S4MI00595","O",1000706
"C00688655","S2PA00661","O",1000021.87
