"id","kind","name","total","pct_against","degree","office","party","x","y"
"H2MI13204","candidate","THANEDAR, SHRI",1010142,0,1,"H","DEMOCRATIC PARTY",425.2,113.8
"H2NC02287","candidate","DAVIS, DON",6653221.38,22.2,2,"H","DEMOCRATIC PARTY",335.1,265.1
"H2NE02132","candidate","VARGAS, ANTHONY",4978605.93,70.9,1,"H","DEMOCRATIC PARTY",296.2,234.9
"H2NM02191","candidate","VASQUEZ, GABRIEL",3734882.56,83.9,1,"H","DEMOCRATIC PARTY",202.6,382.3
"H2NV04011","candidate","HORSFORD, STEPHEN",2767667.61,3.2,1,"H","DEMOCRATIC PARTY",492.5,360.9
"H2NY04277","candidate","DESPOSITO, ANTHONY",13805378.89,98.8,2,"H","REPUBLICAN PARTY",387.9,531
"H2NY17162","candidate","LAWLER, MICHAEL",9533103.12,83.8,2,"H","REPUBLICAN PARTY",354.6,520
"H2NY19127","candidate","MOLINARO, MARCUS",14066807.04,88.1,2,"H","REPUBLICAN PARTY",324.6,524.4
"H2NY22212","candidate","WILLIAMS, BRANDON",5689150.26,98.5,2,"H","REPUBLICAN PARTY",478.5,471
"H2OH09031","candidate","KAPTUR, MARCY",3862141.05,72.8,1,"H","DEMOCRATIC PARTY",182.1,346.7
"H2OH13264","candidate","SYKES, EMILIA",3280809.69,52.8,1,"H","DEMOCRATIC PARTY",214.9,353.7
"H2OR05209","candidate","CHAVEZ-DEREMER, LORI",14500058.89,80.8,3,"H","REPUBLICAN PARTY",364.7,400.9
"H2PA04135","candidate","PERRY, SCOTT",8024214.07,88.1,2,"H","REPUBLICAN PARTY",315.4,443.3
"H2PA17079","candidate","CARTWRIGHT, MATT",2453436.58,64.9,1,"H","DEMOCRATIC PARTY",203.6,315.2
"H2TX34113","candidate","FLORES, MAYRA NOHEMI",2796024.25,99.5,1,"H","REPUBLICAN PARTY",382.2,582.6
"H2VA02064","candidate","KIGGANS, JENNIFER",5873675.73,84.6,1,"H","REPUBLICAN PARTY",461.1,553.3
"H2VA07170","candidate","ANDERSON, DERRICK",8333609.82,69,2,"H","REPUBLICAN PARTY",449.4,363.9
"H2WA03100","candidate","KENT, JOSEPH",14591137.22,93.3,2,"H","REPUBLICAN PARTY",425.2,536
"H2WA03217","candidate","GLUESENKAMP PEREZ, MARIE",7988903.62,73.3,1,"H","DEMOCRATIC PARTY",174.1,310.1
"H4AL02170","candidate","FIGURES, SHOMARI",2513437.45,1.6,1,"H","DEMOCRATIC PARTY",433.5,77.3
"H4AZ01194","candidate","SHAH, AMISH",6718266.22,37.3,2,"H","DEMOCRATIC PARTY",345.7,376.5
"H4AZ03109","candidate","ANSARI, YASSAMIN",2783423.67,4.3,1,"H","DEMOCRATIC PARTY",456.8,55
