"key","value"
"raw_rows","73449"
"clean_rows","73433"
"dropped","16"
"clean_usd","4753715423.49"
"noid_rows","9469"
"noid_usd","587067842.27"
"noid_pct","12.9"
"committees","879"
"candidates","745"
"edges","4022"
"cand_median_deg","2"
"cand_max_deg","266"
"comm_median_deg","2"
"comm_max_deg","114"
"widest_committee","NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND"
"widest_n","114"
"most_targeted","HARRIS, KAMALA"
"most_targeted_n","266"
"trump_spellings","9"
"trump_ids","9"
"trump_noid","1533"
"harris_spellings","7"
"harris_ids","7"
"harris_noid","1602"
"big_committees","97"
"big_attack","26"
"slice_nodes","153"
"slice_edges","248"
"slice_pct","70.6"
"names_per_id_max","4"
"ids_with_many_names","63"
