"from_2020","to_2024","weight","pop"
"APPLING|1B","APPLING|1B",1,1856
"CHATHAM|SAVANNAH CHRISTIAN S","CHATHAM|SILK HOPE BAPTIST CHURCH",1,2858
"CHATHAM|SAVANNAH HIGH SCHOOL","CHATHAM|SAVANNAH HIGH SCHOOL",1,1865
"CHATHAM|SAVANNAH HOLY CHURCH OF GOD","CHATHAM|COMPASSION CHRISTIAN, HENDERSON",1,5550
"CHATHAM|SAVANNAH PRIMITIVE BAPTIST CHURCH","CHATHAM|SAVANNAH PRIMITIVE BAPTIST CHURCH",1,2841
"CHATHAM|SEED CHURCH","CHATHAM|SEED CHURCH",1,5096
"CHATHAM|SENIOR CITIZEN CENTER","CHATHAM|BUTLER PRESBYTERIAN CHURCH ED BLDG",1,1624
"CHATHAM|SILK HOPE BAPTIST CHURCH","CHATHAM|SILK HOPE BAPTIST CHURCH",1,1639
"CHATHAM|SKID IS PRES CHURCH","CHATHAM|SKIDAWAY COMMUNITY CHURCH",1,2753
"CHATHAM|SKIDAWAY ISLAND BAPTIST","CHATHAM|SKIDAWAY ISLAND METHODIST CHURCH",1,1960
"CHATHAM|SKIDAWAY ISLAND STAT","CHATHAM|SKIDAWAY ISLAND METHODIST CHURCH",1,2034
"CHATHAM|SOUTHSIDE BAPTIST CH","CHATHAM|SOUTHSIDE BAPTIST CH",1,1949
"CHATHAM|SOUTHSIDE FIRE TRAINING CENTER","CHATHAM|SOUTHSIDE FIRE TRAINING CENTER",1,2784
"CHATHAM|ST PETERS EPISCOPAL","CHATHAM|ST PETERS EPISCOPAL",1,2631
"CHATHAM|ST. THOMAS EPISCOPAL CHURCH","CHATHAM|ST. THOMAS EPISCOPAL CHURCH",1,1293
"CHATHAM|STATION 1","CHATHAM|ELKS LODGE",1,3206
"CHATHAM|STATION 3","CHATHAM|GEORGETOWN ELEMENTARY",1,5562
"CHATHAM|STILLWELL TOWERS","CHATHAM|COASTAL CATHEDRAL MISSION CAMPUS",1,2505
"CHATHAM|TATUMVILLE COMMUNITY CENTER","CHATHAM|JONESVILLE BAPTIST CHURCH",1,4415
"CHATHAM|TEMPLE MICKVE ISRAEL","CHATHAM|TEMPLE MICKVE ISRAEL",1,2279
"CHATHAM|THE LIGHT CHURCH","CHATHAM|THE LIGHT CHURCH",1,2286
"CHATHAM|THE SANCTUARY","CHATHAM|THE SANCTUARY",1,1893
"CHATHAM|THUNDERBOLT MUN COMP","CHATHAM|THUNDERBOLT MUN COMP",1,3161
"CHATHAM|TOMPKINS RECREATION CENTER","CHATHAM|TOMPKINS RECREATION CENTER",1,1507
"CHATHAM|TRINITY LUTHERAN CHURCH","CHATHAM|TRINITY LUTHERAN CHURCH",1,4923
"CHATHAM|TYBEE IS SCH CAFE","CHATHAM|TYBEE OLD SCHOOL CAFE",1,1705
"CHATHAM|W W LAW CENTER","CHATHAM|W W LAW CENTER",1,2219
"CHATHAM|WEST BROAD STREET YMCA","CHATHAM|WEST BROAD STREET YMCA",1,2529
"CHATHAM|WHITE BLUFF PRESBYTERIAN CHURCH","CHATHAM|WHITE BLUFF PRESBYTERIAN CHURCH",1,2771
"CHATHAM|WILLIAMS COURT APTS","CHATHAM|WILLIAMS COURT APTS",1,2273
"CHATHAM|WILMINGTON ISLAND PRESBYTERIAN CHURCH","CHATHAM|WILMINGTON ISLAND PRESBYTERIAN CHURCH",1,3094
"CHATHAM|WILMINGTON ISLAND UNITED METHODIST CHURCH","CHATHAM|WILMINGTON ISLAND UNITED METHODIST CHURCH",1,4799
"CHATHAM|WINDSOR FOREST BAPTIST CHURCH SCHOOL","CHATHAM|WINDSOR FOREST BAPTIST CHURCH SCHOOL",1,2675
"CHATHAM|WINDSOR HALL","CHATHAM|WINDSOR HALL",1,2819
"CHATHAM|WOODLAWN BAPTIST CHURCH","CHATHAM|WOODLAWN BAPTIST CHURCH",1,2259
"CHATHAM|WOODVILLE-TOMPKINS TECHNICAL INST","CHATHAM|RESURRECTION OF OUR LORD CATHOLIC CHURCH",1,826
"CHATTAHOOCHEE|ACTIVITY CENTER","CHATTAHOOCHEE|ACTIVITY CENTER",1,2551
"CHATTOOGA|ALPINE","CHATTOOGA|MENLO",1,1235
"CHATTOOGA|CLOUDLAND-TELOGA","CHATTOOGA|TRION",0.603671,888
"CHATTOOGA|CLOUDLAND-TELOGA","CHATTOOGA|MENLO",0.396329,583
"CHATTOOGA|COLDWATER","CHATTOOGA|LYERLY",1,399
"CHATTOOGA|DIRTSELLER","CHATTOOGA|LYERLY",1,250
"CHATTOOGA|DIRTTOWN","CHATTOOGA|DIRTTOWN",1,1294
"CHATTOOGA|HAYWOOD","CHATTOOGA|HAYWOOD",1,227
"CHATTOOGA|LYERLY","CHATTOOGA|LYERLY",1,1416
"CHATTOOGA|PENNVILLE","CHATTOOGA|TRION",1,1825
"CHATTOOGA|SEMINOLE","CHATTOOGA|LYERLY",1,284
"CHATTOOGA|SUBLIGNA","CHATTOOGA|SUBLIGNA",1,699
"CHATTOOGA|SUMMERVILLE","CHATTOOGA|SUMMERVILLE",1,9261
"CHATTOOGA|TRION","CHATTOOGA|TRION",1,6604
"CHEROKEE|AIR ACRES","CHEROKEE|AIR ACRES",1,4298
"CHEROKEE|ARNOLD MILL","CHEROKEE|ARNOLD MILL",1,6539
"CHEROKEE|AVERY","CHEROKEE|AVERY",1,4432
"CHEROKEE|BALL GROUND","CHEROKEE|BALL GROUND",1,5236
"CHEROKEE|BASCOMB","CHEROKEE|BASCOMB",1,5371
"CHEROKEE|BELLS","CHEROKEE|CLARK CREEK",1,8819
"CHEROKEE|BOOTH","CHEROKEE|BOOTH",1,5470
"CHEROKEE|BRADSHAW","CHEROKEE|BRADSHAW",1,5504
"CHEROKEE|BRIDGEMILL","CHEROKEE|BRIDGEMILL",1,6385
"CHEROKEE|CANTON","CHEROKEE|HICKORY LOG",1,12914
"CHEROKEE|CARMEL","CHEROKEE|CARMEL",1,6848
"CHEROKEE|CLAYTON","CHEROKEE|AIRPORT",1,6499
"CHEROKEE|CONNS CREEK","CHEROKEE|CONNS CREEK",1,1321
"CHEROKEE|DEER RUN","CHEROKEE|DEER RUN",1,4053
"CHEROKEE|DIXIE","CHEROKEE|DIXIE",1,8540
"CHEROKEE|FREEHOME","CHEROKEE|FREE HOME",1,7091
"CHEROKEE|HICKORY FLAT","CHEROKEE|HICKORY FLAT",1,10061
"CHEROKEE|HIGHTOWER","CHEROKEE|HIGHTOWER",1,4441
"CHEROKEE|HILLSIDE","CHEROKEE|HILLSIDE",1,3689
"CHEROKEE|HOLLY SPRINGS","CHEROKEE|HOLLY SPRINGS",1,4828
"CHEROKEE|KELLOGG","CHEROKEE|BELLS",1,8637
"CHEROKEE|LIBERTY","CHEROKEE|LIBERTY",1,12485
"CHEROKEE|LITTLE RIVER","CHEROKEE|LITTLE RIVER",1,10018
"CHEROKEE|MACEDONIA","CHEROKEE|MACEDONIA",1,6420
"CHEROKEE|MOUNTAIN ROAD","CHEROKEE|MOUNTAIN ROAD",1,4098
"CHEROKEE|NEESE","CHEROKEE|LICKSKILLET",1,11192
"CHEROKEE|OAK GROVE","CHEROKEE|OAK GROVE",1,5057
"CHEROKEE|R M MOORE","CHEROKEE|R M MOORE",1,4972
"CHEROKEE|R T JONES","CHEROKEE|CANTON",1,5146
"CHEROKEE|ROSECREEK","CHEROKEE|ROSECREEK",1,4638
"CHEROKEE|SALACOA","CHEROKEE|SALACOA",1,959
"CHEROKEE|SIXES","CHEROKEE|SIXES",1,3850
"CHEROKEE|SUTALLEE","CHEROKEE|SUTALLEE",1,3255
"CHEROKEE|TEASLEY","CHEROKEE|RIVER GREEN",1,13083
"CHEROKEE|TOONIGH","CHEROKEE|TOONIGH",1,9203
"CHEROKEE|UNION HILL","CHEROKEE|UNION HILL",1,5374
"CHEROKEE|UNIVETER","CHEROKEE|UNIVETER",1,7967
"CHEROKEE|VICTORIA","CHEROKEE|VICTORIA",1,3711
"CHEROKEE|WALESKA","CHEROKEE|WALESKA",1,3516
"CHEROKEE|WILDCAT","CHEROKEE|WILDCAT",1,4570
"CHEROKEE|WOODLANDS","CHEROKEE|WOODLANDS",1,5160
"CHEROKEE|WOODSTOCK","CHEROKEE|WOODSTOCK",1,10797
"CLARKE|1A","CLARKE|1A",0.758723,3827
"CLARKE|1A","CLARKE|2B",0.128073,646
"CLARKE|1A","CLARKE|4A",0.113204,571
"CLARKE|1B","CLARKE|4A",0.549124,2884
"CLARKE|1B","CLARKE|1B",0.334349,1756
"CLARKE|1B","CLARKE|1D",0.086824,456
"CLARKE|1B","CLARKE|1A",0.029703,156
"CLARKE|1C","CLARKE|1C",0.898807,2638
"CLARKE|1C","CLARKE|1D",0.101193,297
"CLARKE|1D","CLARKE|1D",0.815876,2734
"CLARKE|1D","CLARKE|1C",0.168905,566
"CLARKE|1D","CLARKE|1B",0.015219,51
"CLARKE|2A","CLARKE|2A",0.836424,6044
"CLARKE|2A","CLARKE|2B",0.163576,1182
"CLARKE|2B","CLARKE|2B",0.480683,4168
"CLARKE|2B","CLARKE|2C",0.338831,2938
"CLARKE|2B","CLARKE|3B",0.180487,1565
"CLARKE|3A","CLARKE|3A",0.366579,1665
"CLARKE|3A","CLARKE|7B",0.339278,1541
"CLARKE|3A","CLARKE|5A",0.234919,1067
"CLARKE|3A","CLARKE|5C",0.059225,269
"CLARKE|3B","CLARKE|3B",0.697567,6938
"CLARKE|3B","CLARKE|3A",0.216569,2154
"CLARKE|3B","CLARKE|2B",0.074502,741
"CLARKE|3B","CLARKE|5C",0.011361,113
"CLARKE|4A","CLARKE|8A",0.539732,2418
"CLARKE|4A","CLARKE|7C",0.341518,1530
"CLARKE|4A","CLARKE|4A",0.117634,527
"CLARKE|4A","CLARKE|2C",0.001116,5
"CLARKE|4B","CLARKE|7C",0.539184,6832
"CLARKE|4B","CLARKE|3B",0.255465,3237
"CLARKE|4B","CLARKE|4B",0.150422,1906
"CLARKE|4B","CLARKE|3A",0.054929,696
"CLARKE|5A","CLARKE|5B",0.486214,2028
"CLARKE|5A","CLARKE|5C",0.297291,1240
"CLARKE|5A","CLARKE|5A",0.19228,802
"CLARKE|5A","CLARKE|7B",0.024215,101
"CLARKE|5B","CLARKE|6A",0.371353,1540
"CLARKE|5B","CLARKE|5B",0.365324,1515
"CLARKE|5B","CLARKE|5D",0.263323,1092
"CLARKE|5C","CLARKE|5C",0.910876,2412
"CLARKE|5C","CLARKE|3A",0.041918,111
"CLARKE|5C","CLARKE|7B",0.041541,110
"CLARKE|5C","CLARKE|5D",0.005665,15
"CLARKE|5D","CLARKE|5D",1,5454
"CLARKE|6A","CLARKE|6A",0.535796,2582
"CLARKE|6A","CLARKE|6B",0.464204,2237
"CLARKE|6B","CLARKE|6B",0.4291,2436
"CLARKE|6B","CLARKE|5A",0.338735,1923
"CLARKE|6B","CLARKE|6A",0.232165,1318
"CLARKE|6C","CLARKE|6C",1,5007
"CLARKE|6D","CLARKE|5A",0.569082,1594
"CLARKE|6D","CLARKE|6C",0.430918,1207
"CLARKE|7A","CLARKE|7A",0.832941,3894
"CLARKE|7A","CLARKE|4B",0.167059,781
"CLARKE|7B","CLARKE|7B",0.635348,3300
"CLARKE|7B","CLARKE|3A",0.331536,1722
"CLARKE|7B","CLARKE|7A",0.033115,172
"CLARKE|7C","CLARKE|4B",0.745593,3807
"CLARKE|7C","CLARKE|7C",0.074031,378
"CLARKE|7C","CLARKE|7A",0.057383,293
"CLARKE|7C","CLARKE|8C",0.051312,262
"CLARKE|7C","CLARKE|7B",0.036232,185
"CLARKE|7C","CLARKE|1C",0.022131,113
"CLARKE|7C","CLARKE|3A",0.013318,68
"CLARKE|8A","CLARKE|8B",0.623985,3075
"CLARKE|8A","CLARKE|1B",0.376015,1853
"CLARKE|8B","CLARKE|8C",0.401175,1297
"CLARKE|8B","CLARKE|1D",0.258893,837
"CLARKE|8B","CLARKE|8B",0.21095,682
"CLARKE|8B","CLARKE|1B",0.128982,417
"CLARKE|8C","CLARKE|8A",0.525923,3520
"CLARKE|8C","CLARKE|8C",0.409532,2741
"CLARKE|8C","CLARKE|1C",0.064545,432
"CLAY|BLUFFTON","CLAY|BLUFFTON",1,501
"CLAY|COURT HOUSE","CLAY|COURT HOUSE",1,555
"CLAY|DAYS CROSS ROAD","CLAY|DAYS CROSS ROAD",1,537
"CLAY|OLD HEAD START","CLAY|OLD HEAD START",1,670
"CLAY|ZETTO","CLAY|ZETTO",1,585
"CLAYTON|ELLENWOOD 1","CLAYTON|ELLENWOOD 1",1,4216
"CLAYTON|ELLENWOOD 2","CLAYTON|ELLENWOOD 2",1,4793
"CLAYTON|FOREST PARK 1","CLAYTON|FOREST PARK 1",1,7376
"CLAYTON|FOREST PARK 2","CLAYTON|FOREST PARK 2",1,5384
"CLAYTON|FOREST PARK 3","CLAYTON|FOREST PARK 3",1,5078
"CLAYTON|FOREST PARK 4","CLAYTON|FOREST PARK 4",1,3398
"CLAYTON|FOREST PARK 5","CLAYTON|FOREST PARK 5",1,8768
"CLAYTON|FOREST PARK 6","CLAYTON|FOREST PARK 6",1,2620
"CLAYTON|JONESBORO 1","CLAYTON|JONESBORO 1",1,4481
"CLAYTON|JONESBORO 10","CLAYTON|JONESBORO 10",1,5515
"CLAYTON|JONESBORO 11","CLAYTON|JONESBORO 11",0.60833,3184
"CLAYTON|JONESBORO 11","CLAYTON|JONESBORO 22",0.39167,2050
"CLAYTON|JONESBORO 12","CLAYTON|JONESBORO 12",1,4238
"CLAYTON|JONESBORO 13","CLAYTON|JONESBORO 13",1,2818
"CLAYTON|JONESBORO 14","CLAYTON|JONESBORO 14",1,5113
"CLAYTON|JONESBORO 15","CLAYTON|JONESBORO 15",1,4580
"CLAYTON|JONESBORO 16","CLAYTON|JONESBORO 16",1,3979
"CLAYTON|JONESBORO 17","CLAYTON|JONESBORO 17",1,4336
"CLAYTON|JONESBORO 18","CLAYTON|JONESBORO 18",1,5079
"CLAYTON|JONESBORO 19","CLAYTON|JONESBORO 19",0.978986,4845
"CLAYTON|JONESBORO 19","CLAYTON|JONESBORO 1",0.021014,104
"CLAYTON|JONESBORO 2","CLAYTON|JONESBORO 20",0.561655,3366
"CLAYTON|JONESBORO 2","CLAYTON|JONESBORO 2",0.438345,2627
"CLAYTON|JONESBORO 3","CLAYTON|JONESBORO 21",0.703791,4196
"CLAYTON|JONESBORO 3","CLAYTON|JONESBORO 3",0.296209,1766
"CLAYTON|JONESBORO 4","CLAYTON|JONESBORO 4",1,3996
"CLAYTON|JONESBORO 5","CLAYTON|JONESBORO 5",1,2997
"CLAYTON|JONESBORO 6","CLAYTON|JONESBORO 6",1,3135
"CLAYTON|JONESBORO 7","CLAYTON|JONESBORO 7",1,4643
"CLAYTON|JONESBORO 8","CLAYTON|JONESBORO 8",1,6865
"CLAYTON|JONESBORO 9","CLAYTON|JONESBORO 9",1,3684
"CLAYTON|LAKE CITY","CLAYTON|LAKE CITY",0.996181,5738
"CLAYTON|LAKE CITY","CLAYTON|MORROW 1",0.003819,22
"CLAYTON|LOVEJOY 1","CLAYTON|LOVEJOY 1",1,5619
"CLAYTON|LOVEJOY 2","CLAYTON|LOVEJOY 2",1,5369
"CLAYTON|LOVEJOY 3","CLAYTON|LOVEJOY 3",1,2027
"CLAYTON|LOVEJOY 4","CLAYTON|LOVEJOY 4",0.635055,3308
"CLAYTON|LOVEJOY 4","CLAYTON|LOVEJOY 8",0.364945,1901
"CLAYTON|LOVEJOY 5","CLAYTON|LOVEJOY 5",1,5283
"CLAYTON|LOVEJOY 6","CLAYTON|LOVEJOY 6",0.988081,5637
"CLAYTON|LOVEJOY 6","CLAYTON|LOVEJOY 3",0.011919,68
"CLAYTON|LOVEJOY 7","CLAYTON|LOVEJOY 7",1,5521
"CLAYTON|MORROW 1","CLAYTON|MORROW 1",1,5626
"CLAYTON|MORROW 10","CLAYTON|MORROW 10",1,3128
"CLAYTON|MORROW 11","CLAYTON|MORROW 11",1,2743
"CLAYTON|MORROW 2","CLAYTON|MORROW 2",1,3716
"CLAYTON|MORROW 3","CLAYTON|MORROW 3",1,4891
"CLAYTON|MORROW 4","CLAYTON|MORROW 4",1,3227
"CLAYTON|MORROW 5","CLAYTON|MORROW 5",1,4441
"CLAYTON|MORROW 6","CLAYTON|MORROW 6",1,4603
"CLAYTON|MORROW 7","CLAYTON|MORROW 7",1,3423
"CLAYTON|MORROW 8","CLAYTON|MORROW 8",1,5039
"CLAYTON|MORROW 9","CLAYTON|MORROW 9",1,2078
"CLAYTON|OAK 1","CLAYTON|OAK 1",1,4155
"CLAYTON|OAK 2","CLAYTON|OAK 2",1,2713
"CLAYTON|OAK 3","CLAYTON|OAK 3",1,4903
"CLAYTON|OAK 4","CLAYTON|OAK 4",0.679223,4057
"CLAYTON|OAK 4","CLAYTON|OAK 6",0.320777,1916
"CLAYTON|OAK5","CLAYTON|OAK5",1,2337
"CLAYTON|PANHANDLE 1","CLAYTON|PANHANDLE 1",1,3542
"CLAYTON|PANHANDLE 2","CLAYTON|PANHANDLE 2",1,4639
"CLAYTON|RIVERDALE 1","CLAYTON|RIVERDALE 1",1,3031
"CLAYTON|RIVERDALE 10","CLAYTON|RIVERDALE 10",1,5388
"CLAYTON|RIVERDALE 11","CLAYTON|RIVERDALE 11",1,2496
"CLAYTON|RIVERDALE 12","CLAYTON|RIVERDALE 12",1,4275
"CLAYTON|RIVERDALE 2","CLAYTON|RIVERDALE 2",1,5449
"CLAYTON|RIVERDALE 3","CLAYTON|RIVERDALE 3",1,4543
"CLAYTON|RIVERDALE 4","CLAYTON|RIVERDALE 4",1,6756
"CLAYTON|RIVERDALE 5","CLAYTON|RIVERDALE 5",0.989372,4282
"CLAYTON|RIVERDALE 5","CLAYTON|RIVERDALE 9",0.010628,46
"CLAYTON|RIVERDALE 6","CLAYTON|RIVERDALE 6",1,6532
"CLAYTON|RIVERDALE 7","CLAYTON|RIVERDALE 7",1,5919
"CLAYTON|RIVERDALE 8","CLAYTON|RIVERDALE 8",0.85,3383
"CLAYTON|RIVERDALE 8","CLAYTON|RIVERDALE 3",0.069598,277
"CLAYTON|RIVERDALE 8","CLAYTON|RIVERDALE 1",0.041206,164
"CLAYTON|RIVERDALE 8","CLAYTON|RIVERDALE 12",0.039196,156
"CLAYTON|RIVERDALE 9","CLAYTON|RIVERDALE 9",1,3913
"CLINCH|ARABIA","CLINCH|ARABIA",1,209
"CLINCH|ARGYLE","CLINCH|ARGYLE",1,671
"CLINCH|DUPONT","CLINCH|DUPONT",1,550
"CLINCH|FARGO","CLINCH|FARGO",1,372
"CLINCH|HOMERVILLE","CLINCH|HOMERVILLE",1,4947
"COBB|ACWORTH 1A","COBB|ACWORTH 1A",0.983479,7322
"COBB|ACWORTH 1A","COBB|NORTH COBB 01",0.016521,123
"COBB|ACWORTH 1B","COBB|ACWORTH 1B",0.999321,7358
"COBB|ACWORTH 1B","COBB|NORTH COBB 01",0.000679,5
"COBB|ACWORTH 1C","COBB|ACWORTH 1C",0.976233,7147
"COBB|ACWORTH 1C","COBB|NORTH COBB 01",0.020489,150
"COBB|ACWORTH 1C","COBB|BAKER 01",0.003278,24
"COBB|ADDISON 01","COBB|ADDISON 01",1,3173
"COBB|AUSTELL 1A","COBB|AUSTELL 1A",0.510538,4021
"COBB|AUSTELL 1A","COBB|AUSTELL 1B",0.459751,3621
"COBB|AUSTELL 1A","COBB|CLARKDALE 02",0.011427,90
"COBB|AUSTELL 1A","COBB|CLARKDALE 01",0.0113,89
"COBB|AUSTELL 1A","COBB|MABLETON 5B",0.006983,55
"COBB|BAKER 01","COBB|BAKER 01",1,7198
"COBB|BELLS FERRY 02","COBB|BELLS FERRY 02",1,3977
"COBB|BELLS FERRY 03","COBB|BELLS FERRY 03",1,3763
"COBB|BELLS FERRY 04","COBB|BELLS FERRY 04",1,4918
"COBB|BIG SHANTY 01","COBB|BIG SHANTY 01",0.970588,3597
"COBB|BIG SHANTY 01","COBB|KENNESAW 1A",0.023206,86
"COBB|BIG SHANTY 01","COBB|KENNESAW 3A",0.006206,23
"COBB|BIG SHANTY 02","COBB|BIG SHANTY 02",1,4109
"COBB|BIRNEY 01","COBB|BIRNEY 01",1,4172
"COBB|BIRNEY 02","COBB|MABLETON 6B",0.752355,3834
"COBB|BIRNEY 02","COBB|MABLETON 4A",0.129513,660
"COBB|BIRNEY 02","COBB|BIRNEY 01",0.118132,602
"COBB|BLACKWELL 01","COBB|BLACKWELL 01",1,3766
"COBB|BRYANT 01","COBB|MABLETON 1B",0.587636,1730
"COBB|BRYANT 01","COBB|MABLETON 1A",0.412364,1214
"COBB|BRYANT 02","COBB|MABLETON 2B",0.560886,6407
"COBB|BRYANT 02","COBB|MABLETON 1B",0.439114,5016
"COBB|CHALKER 01","COBB|CHALKER 01",1,11175
"COBB|CHATTAHOOCHEE 01","COBB|CHATTAHOOCHEE 01",1,10127
"COBB|CHEATHAM HILL 02","COBB|CHEATHAM HILL 02",0.988701,3850
"COBB|CHEATHAM HILL 02","COBB|MARIETTA 4C",0.011299,44
"COBB|CHEATHAM HILL 03","COBB|CHEATHAM HILL 03",1,5146
"COBB|CHESTNUT RIDGE 01","COBB|CHESTNUT RIDGE 01",1,3859
"COBB|CLARKDALE 01","COBB|CLARKDALE 01",0.976864,2660
"COBB|CLARKDALE 01","COBB|POWDER SPRINGS 2A",0.013588,37
"COBB|CLARKDALE 01","COBB|AUSTELL 1B",0.005509,15
"COBB|CLARKDALE 01","COBB|AUSTELL 1A",0.00404,11
"COBB|CLARKDALE 02","COBB|CLARKDALE 02",0.958198,6785
"COBB|CLARKDALE 02","COBB|AUSTELL 1B",0.024855,176
"COBB|CLARKDALE 02","COBB|CLARKDALE 01",0.015817,112
"COBB|CLARKDALE 02","COBB|POWDER SPRINGS 3A",0.00113,8
"COBB|COOPER 01","COBB|MABLETON 6A",0.350873,2974
"COBB|COOPER 01","COBB|MABLETON 5A",0.340255,2884
"COBB|COOPER 01","COBB|CLARKDALE 01",0.308872,2618
"COBB|DAVIS 01","COBB|DAVIS 01",1,2783
"COBB|DICKERSON 01","COBB|DICKERSON 01",1,3788
"COBB|DOBBINS 01","COBB|DOBBINS 01",0.999301,5721
"COBB|DOBBINS 01","COBB|SMYRNA 1A",0.000699,4
"COBB|DOBBINS 02","COBB|DOBBINS 02",0.948984,6306
"COBB|DOBBINS 02","COBB|SMYRNA 3A",0.046501,309
"COBB|DOBBINS 02","COBB|SMYRNA 1A",0.002408,16
"COBB|DOBBINS 02","COBB|SMYRNA 2A",0.002107,14
"COBB|DODGEN 01","COBB|DODGEN 01",1,2734
"COBB|DOWELL 01","COBB|DOWELL 01",1,4359
"COBB|DURHAM 01","COBB|DURHAM 01",1,5317
"COBB|EAST PIEDMONT 01","COBB|EAST PIEDMONT 01",0.975616,3841
"COBB|EAST PIEDMONT 01","COBB|MARIETTA 5B",0.020574,81
"COBB|EAST PIEDMONT 01","COBB|CHALKER 01",0.00381,15
"COBB|EASTSIDE 01","COBB|EASTSIDE 01",1,3941
"COBB|EASTSIDE 02","COBB|EASTSIDE 02",1,5201
"COBB|ELIZABETH 01","COBB|ELIZABETH 01",1,5857
"COBB|ELIZABETH 02","COBB|ELIZABETH 02",1,3302
"COBB|ELIZABETH 03","COBB|ELIZABETH 03",1,3634
"COBB|ELIZABETH 04","COBB|ELIZABETH 04",0.979855,4329
"COBB|ELIZABETH 04","COBB|MARIETTA 6A",0.020145,89
"COBB|ELIZABETH 05","COBB|ELIZABETH 05",1,3958
"COBB|FAIR OAKS 02","COBB|FAIR OAKS 02",1,9715
"COBB|FAIR OAKS 04","COBB|FAIR OAKS 04",0.999763,12660
"COBB|FAIR OAKS 04","COBB|SMYRNA 5A",0.000237,3
"COBB|FORD 01","COBB|FORD 01",1,3972
"COBB|FREY 01","COBB|FREY 01",1,3272
"COBB|FULLERS PARK 01","COBB|FULLERS PARK 01",1,4842
"COBB|GARRISON MILL 01","COBB|GARRISON MILL 01",1,3628
"COBB|GRITTERS 01","COBB|GRITTERS 01",1,5504
"COBB|HARMONY-LELAND 01","COBB|MABLETON 3C",0.370064,3533
"COBB|HARMONY-LELAND 01","COBB|MABLETON 3B",0.34084,3254
"COBB|HARMONY-LELAND 01","COBB|MABLETON 2A",0.289096,2760
"COBB|HARRISON 01","COBB|HARRISON 01",1,3950
"COBB|HAYES 01","COBB|HAYES 01",0.965173,4933
"COBB|HAYES 01","COBB|KENNESAW 2A",0.034827,178
"COBB|HIGHTOWER 01","COBB|HIGHTOWER 01",1,5348
"COBB|KELL 01","COBB|KELL 01",0.973754,2560
"COBB|KELL 01","COBB|NICHOLSON 01",0.026246,69
"COBB|KEMP 01","COBB|KEMP 01",1,2374
"COBB|KEMP 02","COBB|KEMP 02",1,5202
"COBB|KEMP 03","COBB|KEMP 03",1,4871
"COBB|KENNESAW 1A","COBB|KENNESAW 1A",1,4357
"COBB|KENNESAW 2A","COBB|KENNESAW 2A",0.998206,5565
"COBB|KENNESAW 2A","COBB|MARS HILL 02",0.001794,10
"COBB|KENNESAW 3A","COBB|KENNESAW 3A",0.989751,9464
"COBB|KENNESAW 3A","COBB|PINE MOUNTAIN 02",0.010249,98
"COBB|KENNESAW 4A","COBB|KENNESAW 4A",1,5278
"COBB|KENNESAW 5A","COBB|KENNESAW 5A",0.967265,7712
"COBB|KENNESAW 5A","COBB|KENNESAW 4A",0.030478,243
"COBB|KENNESAW 5A","COBB|NORTH COBB 01",0.002258,18
"COBB|LASSITER 01","COBB|LASSITER 01",1,4721
"COBB|LINDLEY 01","COBB|MABLETON 4C",0.897953,5746
"COBB|LINDLEY 01","COBB|NICKAJACK 01",0.075637,484
"COBB|LINDLEY 01","COBB|SMYRNA 7A",0.02641,169
"COBB|LOST MOUNTAIN 01","COBB|LOST MOUNTAIN 01",1,4402
"COBB|LOST MOUNTAIN 02","COBB|LOST MOUNTAIN 02",1,5237
"COBB|LOST MOUNTAIN 03","COBB|LOST MOUNTAIN 03",1,6872
"COBB|LOST MOUNTAIN 04","COBB|LOST MOUNTAIN 04",1,3379
"COBB|MABLETON 01","COBB|MABLETON 5B",0.641011,4539
"COBB|MABLETON 01","COBB|MABLETON 5A",0.302923,2145
"COBB|MABLETON 01","COBB|MABLETON 4A",0.056066,397
"COBB|MABLETON 02","COBB|MABLETON 3A",0.511508,2889
"COBB|MABLETON 02","COBB|MABLETON 5B",0.486367,2747
"COBB|MABLETON 02","COBB|AUSTELL 1A",0.002125,12
"COBB|MABLETON 03","COBB|MABLETON 4B",0.853896,3682
"COBB|MABLETON 03","COBB|MABLETON 4C",0.08975,387
"COBB|MABLETON 03","COBB|SMYRNA 7A",0.056354,243
"COBB|MABLETON 04","COBB|MABLETON 4A",0.974414,1828
"COBB|MABLETON 04","COBB|SMYRNA 7A",0.025586,48
"COBB|MABRY 01","COBB|MABRY 01",1,2006
"COBB|MACLAND 01","COBB|MACLAND 01",1,5734
"COBB|MARIETTA 1A","COBB|MARIETTA 1A",0.938249,9937
"COBB|MARIETTA 1A","COBB|DOBBINS 01",0.056369,597
"COBB|MARIETTA 1A","COBB|OREGON 03",0.005382,57
"COBB|MARIETTA 2A","COBB|MARIETTA 2A",1,2475
"COBB|MARIETTA 2B","COBB|MARIETTA 2B",1,6069
"COBB|MARIETTA 3A","COBB|MARIETTA 3A",1,5566
"COBB|MARIETTA 3B","COBB|MARIETTA 3B",1,3333
"COBB|MARIETTA 4A","COBB|MARIETTA 4A",1,2701
"COBB|MARIETTA 4B","COBB|MARIETTA 4B",0.996109,3328
"COBB|MARIETTA 4B","COBB|ELIZABETH 01",0.003891,13
"COBB|MARIETTA 4C","COBB|MARIETTA 4C",1,3147
"COBB|MARIETTA 5A","COBB|MARIETTA 5A",1,4334
