"from_2020","to_2024","weight","pop"
"APPLING|1B","APPLING|1B",1,1856
"BIBB|HOWARD 5","BIBB|HOWARD 5",1,3834
"BIBB|HOWARD 6","BIBB|HOWARD 6",1,2934
"BIBB|HOWARD 7","BIBB|HOWARD 7",1,3789
"BIBB|RUTLAND 1","BIBB|RUTLAND 1",1,7940
"BIBB|RUTLAND 2","BIBB|RUTLAND 2",1,4781
"BIBB|VINEVILLE 1","BIBB|VINEVILLE 1",1,5777
"BIBB|VINEVILLE 2","BIBB|VINEVILLE 2",1,2940
"BIBB|VINEVILLE 3","BIBB|VINEVILLE 3",1,4414
"BIBB|VINEVILLE 4","BIBB|VINEVILLE 4",1,5795
"BIBB|VINEVILLE 5","BIBB|VINEVILLE 5",1,3117
"BIBB|VINEVILLE 6","BIBB|VINEVILLE 6",1,4373
"BIBB|WARRIOR 1","BIBB|WARRIOR 1",1,3469
"BIBB|WARRIOR 2","BIBB|WARRIOR 2",1,5278
"BLECKLEY|1","BLECKLEY|1",1,12583
"BRANTLEY|HOBOKEN","BRANTLEY|HOBOKEN",1,5043
"BRANTLEY|NAHUNTA","BRANTLEY|NAHUNTA",1,6332
"BRANTLEY|WAYNESVILLE","BRANTLEY|WAYNESVILLE",1,6646
"BROOKS|BARWICK","BROOKS|BARWICK",1,476
"BROOKS|BRIGGS","BROOKS|BRIGGS",1,3401
"BROOKS|DIXIE","BROOKS|DIXIE",1,1465
"BROOKS|MORVEN","BROOKS|MORVEN",1,2888
"BROOKS|NANKIN","BROOKS|NANKIN",1,1086
"BROOKS|PAVO","BROOKS|PAVO",1,862
"BROOKS|QUITMAN","BROOKS|QUITMAN",1,6123
"BRYAN|BLACK CREEK","BRYAN|LANIER",0.537288,2183
"BRYAN|BLACK CREEK","BRYAN|OLIVE BRANCH BAPTIST CHURCH",0.462712,1880
"BRYAN|DANIELSIDING","BRYAN|DANIEL SIDING",1,2989
"BRYAN|ELLABELL","BRYAN|OLIVE BRANCH BAPTIST CHURCH",1,3126
"BRYAN|HWY 144 EAST","BRYAN|TIMBER TRAIL",0.413652,3830
"BRYAN|HWY 144 EAST","BRYAN|NEW BEGINNINGS",0.359434,3328
"BRYAN|HWY 144 EAST","BRYAN|DEVAUL HENDERSON PARK GYM",0.226914,2101
"BRYAN|J.F.GREGORY PARK","BRYAN|WETLANDS CENTER",1,3598
"BRYAN|KELLER","BRYAN|SPIRIT OF PEACE LUTHERAN CHURCH",1,5718
"BRYAN|PEMBROKE","BRYAN|HARN COMMUNITY CENTER",1,3819
"BRYAN|PUBLIC SAFETY COMPX","BRYAN|DEVAUL HENDERSON PARK GYM",1,3736
"BRYAN|RH RECREATION COMPX","BRYAN|FIRST BAPTIST CHURCH",0.709494,3871
"BRYAN|RH RECREATION COMPX","BRYAN|TIMBER TRAIL",0.290506,1585
"BRYAN|WAYS STATION","BRYAN|FIRST BAPTIST CHURCH",1,2974
"BULLOCH|BAY","BULLOCH|BAY",1,2310
"BULLOCH|BLITCH","BULLOCH|BLITCH",1,2518
"BULLOCH|BROOKLET","BULLOCH|BROOKLET",1,5079
"BULLOCH|CHURCH","BULLOCH|CHURCH",1,9633
"BULLOCH|EMIT","BULLOCH|EMIT",1,5564
"BULLOCH|FAIR","BULLOCH|FAIR",1,12679
"BULLOCH|HAGIN","BULLOCH|HAGIN",1,3494
"BULLOCH|LEEFIELD","BULLOCH|LEEFIELD",1,1501
"BULLOCH|LOCKHART","BULLOCH|LOCKHART",1,1006
"BULLOCH|NEVILS","BULLOCH|NEVILS",1,1910
"BULLOCH|PITTMAN PARK","BULLOCH|PITTMAN PARK",1,16707
"BULLOCH|PORTAL","BULLOCH|PORTAL",1,2607
"BULLOCH|REGISTER","BULLOCH|REGISTER",1,1515
"BULLOCH|SINKHOLE","BULLOCH|SINKHOLE",1,693
"BULLOCH|STATESBORO","BULLOCH|STATESBORO",1,10706
"BULLOCH|STILSON","BULLOCH|STILSON",1,3177
"BURKE|ALEXANDER","BURKE|ALEXANDER",1,597
"BURKE|BLAKENEY","BURKE|BLAKENEY",1,1056
"BURKE|FOUR POINTS","BURKE|FOUR POINTS",1,3647
"BURKE|GIRARD","BURKE|GIRARD",1,1013
"BURKE|GOUGH","BURKE|GOUGH",1,564
"BURKE|GREENSCUT","BURKE|GREENSCUT",1,1537
"BURKE|KEYSVILLE","BURKE|KEYSVILLE",1,788
"BURKE|MIDVILLE","BURKE|MIDVILLE",1,660
"BURKE|MUNNERLYN","BURKE|MUNNERLYN",1,292
"BURKE|NORTH WAYNESBORO","BURKE|NORTH WAYNESBORO",1,4531
"BURKE|SARDIS","BURKE|SARDIS",1,1656
"BURKE|SCOTTS CROSSROADS","BURKE|SCOTTS CROSSROADS",1,355
"BURKE|SOUTH WAYNESBORO","BURKE|SOUTH WAYNESBORO",1,4977
"BURKE|ST. CLAIR","BURKE|ST. CLAIR",1,632
"BURKE|TELFAIR","BURKE|TELFAIR",1,1835
"BURKE|VIDETTE","BURKE|VIDETTE",1,456
"BUTTS|BUTTS COUNTY ADMIN BLDG","BUTTS|BUTTS COUNTY ADMINISTRATION JUDICIAL CENTER",1,25434
"CALHOUN|ARLINGTON","CALHOUN|ARLINGTON",1,791
"CALHOUN|EDISON","CALHOUN|EDISON",1,1078
"CALHOUN|EDISON-ARLINGTON","CALHOUN|EDISON-ARLINGTON",1,811
"CALHOUN|LEARY","CALHOUN|LEARY",1,711
"CALHOUN|MORGAN","CALHOUN|MORGAN",1,2182
"CAMDEN|BROWNTOWN","CAMDEN|WEST KINGSLAND",1,1181
"CAMDEN|EAST KINGSLAND","CAMDEN|EAST KINGSLAND",1,10472
"CAMDEN|HARRIETTS BLUFF","CAMDEN|HARRIETTS BLUFF",1,2673
"CAMDEN|KINGSLAND","CAMDEN|HISTORIC KINGSLAND",1,3306
"CAMDEN|MUSH BLUFF","CAMDEN|ST. MARYS",0.774681,3335
"CAMDEN|MUSH BLUFF","CAMDEN|NORTH ST MARYS",0.225319,970
"CAMDEN|NORTH KINGSLAND","CAMDEN|HISTORIC KINGSLAND",1,3806
"CAMDEN|NORTH ST MARYS","CAMDEN|NORTH ST MARYS",1,6360
"CAMDEN|SOUTH ST MARYS","CAMDEN|SOUTH ST MARYS",1,2918
"CAMDEN|ST. MARYS","CAMDEN|ST. MARYS",1,5806
"CAMDEN|TARBORO","CAMDEN|TARBORO",1,1354
"CAMDEN|WAVERLY","CAMDEN|WAVERLY",1,1880
"CAMDEN|WEST KINGSLAND","CAMDEN|WEST KINGSLAND",0.763145,3077
"CAMDEN|WEST KINGSLAND","CAMDEN|HISTORIC KINGSLAND",0.236855,955
"CAMDEN|WEST SAINT MARYS","CAMDEN|WEST SAINT MARYS",1,4088
"CAMDEN|WOODBINE","CAMDEN|WOODBINE",1,2587
"CANDLER|JACK STRICKLAND COMMUNITY CENTER","CANDLER|JACK STRICKLAND COMMUNITY CENTER",1,10981
"CARROLL|BETHANY","CARROLL|BETHANY",0.998482,6576
"CARROLL|BETHANY","CARROLL|LAKESHORE",0.001518,10
"CARROLL|BONNER","CARROLL|BONNER",1,5964
"CARROLL|BOWDON","CARROLL|BOWDON",1,4539
"CARROLL|BOWDON JUNCTION","CARROLL|MT HOLLY",1,2000
"CARROLL|BURSON CENTER","CARROLL|CARROLL EMC",1,2162
"CARROLL|BURWELL","CARROLL|SHILOH",1,2044
"CARROLL|CENTER POINT","CARROLL|CENTER POINT",0.983634,2344
"CARROLL|CENTER POINT","CARROLL|TEMPLE CITY",0.016366,39
"CARROLL|CLEM","CARROLL|CLEM",0.993504,4741
"CARROLL|CLEM","CARROLL|OAK GROVE",0.003353,16
"CARROLL|CLEM","CARROLL|TABERNACLE",0.003143,15
"CARROLL|COUNTY ADMIN BLDG","CARROLL|NEVA LOMASON",1,3777
"CARROLL|FAIRFIELD","CARROLL|FAIRFIELD",1,4339
"CARROLL|HULETT","CARROLL|MARS HILL",1,3189
"CARROLL|KANSAS","CARROLL|KANSAS",1,1538
"CARROLL|LAKESHORE REC CENTER","CARROLL|LAKESHORE",1,2495
"CARROLL|MT ZION","CARROLL|MT ZION",1,3715
"CARROLL|OAK GROVE","CARROLL|OAK GROVE",0.972614,2344
"CARROLL|OAK GROVE","CARROLL|TABERNACLE",0.027386,66
"CARROLL|OLD CAMP CHURCH","CARROLL|OLD CAMP",0.993848,2908
"CARROLL|OLD CAMP CHURCH","CARROLL|UWG",0.006152,18
"CARROLL|ROOPVILLE","CARROLL|ROOPVILLE",1,4186
"CARROLL|SANDHILL","CARROLL|MIDWAY",0.981643,6203
"CARROLL|SANDHILL","CARROLL|FAIRFIELD",0.01266,80
"CARROLL|SANDHILL","CARROLL|VR SPORTS COMPLEX",0.005697,36
"CARROLL|TABERNACLE CHURCH","CARROLL|TABERNACLE",1,2193
"CARROLL|TEMPLE CITY","CARROLL|TEMPLE CITY",1,5026
"CARROLL|TEMPLE COUNTY","CARROLL|TEMPLE COUNTY",0.990391,6081
"CARROLL|TEMPLE COUNTY","CARROLL|TEMPLE CITY",0.009609,59
"CARROLL|TYUS","CARROLL|TYUS",1,2452
"CARROLL|UNIVERSITY OF W. GA","CARROLL|UWG",1,5265
"CARROLL|V R COUNTY NORTH","CARROLL|VR GOLD DUST",0.999081,7606
"CARROLL|V R COUNTY NORTH","CARROLL|VR POWELL PARK",0.000919,7
"CARROLL|V R COUNTY SOUTH","CARROLL|VR SPORTS COMPLEX",0.990299,3981
"CARROLL|V R COUNTY SOUTH","CARROLL|VR POWELL PARK",0.009701,39
"CARROLL|VILLA RICA CITY","CARROLL|VR POWELL PARK",0.997306,9624
"CARROLL|VILLA RICA CITY","DOUGLAS|MIRROR LAKE ELEMENTA",0.002694,26
"CARROLL|WEST CARROLLTON","CARROLL|CATHERINE HARDY",0.999304,8611
