county,precincts,Donald J. Trump,Kamala D. Harris,Chase Oliver,Jill Stein,Claudia De la Cruz,Cornel West,total,dem_two_party_pct
Appling,9,6761,1560,8,5,0,0,8334,18.75
Atkinson,4,2350,700,6,1,0,0,3057,22.95
Bacon,1,4186,645,6,2,0,0,4839,13.35
Baker,5,883,590,1,2,0,0,1476,40.05
Baldwin,14,9574,9159,59,33,0,0,18825,48.89
Banks,13,9358,1136,15,10,0,0,10519,10.83
Barrow,8,30730,12949,183,72,0,0,43934,29.65
Bartow,17,43271,13942,242,92,0,0,57547,24.37
Ben Hill,1,4281,2199,14,7,0,0,6501,33.94
Berrien,5,6841,1209,15,3,0,0,8068,15.02
Bibb,31,26658,42172,215,136,0,0,69181,61.27
Bleckley,1,4685,1339,13,7,0,0,6044,22.23
Brantley,3,7744,736,16,4,0,0,8500,8.68
Brooks,7,4560,2629,8,13,0,0,7210,36.57
Bryan,10,16738,7779,79,55,0,0,24651,31.73
Bulloch,16,20985,11514,110,48,0,0,32657,35.43
Burke,16,6027,4994,33,16,0,0,11070,45.31
Butts,1,9424,3544,39,12,0,0,13019,27.33
Calhoun,5,900,1153,3,0,0,0,2056,56.16
Camden,11,17819,8405,115,54,0,0,26393,32.05
Candler,1,3366,1196,3,3,0,0,4568,26.22
Carroll,28,42536,17634,216,108,0,0,60494,29.31
Catoosa,11,27150,7704,137,47,0,0,35038,22.1
Charlton,6,3607,1007,9,5,0,0,4628,21.82
Chatham,87,57336,82758,571,444,0,0,141109,59.07
Chattahoochee,1,982,703,6,3,0,0,1694,41.72
Chattooga,7,8769,1896,28,13,0,0,10706,17.78
Cherokee,43,112142,48838,869,432,0,0,162281,30.34
Clarke,24,16049,36297,297,244,0,0,52887,69.34
Clay,5,663,771,6,2,0,0,1442,53.77
Clayton,70,16877,94203,298,351,0,0,111729,84.81
Clinch,5,2201,702,3,2,0,0,2908,24.18
Cobb,148,168679,228404,2335,1951,0,0,401369,57.52
Coffee,6,11388,4295,22,10,0,0,15715,27.39
Colquitt,19,12451,4114,31,15,0,0,16611,24.84
Columbia,46,53657,31624,338,301,0,0,85920,37.08
Cook,8,5374,1956,18,9,0,0,7357,26.68
Coweta,24,57204,28111,415,186,0,0,85916,32.95
Crawford,5,4742,1582,11,5,0,0,6340,25.02
Crisp,5,5099,2993,17,7,0,0,8116,36.99
Dade,7,6804,1343,35,18,0,0,8200,16.48
Dawson,4,16115,3350,66,30,13,6,19580,17.21
DeKalb,191,62622,299630,1557,2199,0,0,366008,82.71
Decatur,10,7140,4372,22,15,0,0,11549,37.98
Dodge,16,6249,2081,13,7,0,0,8350,24.98
Dooly,5,2243,1921,7,6,0,0,4177,46.13
Dougherty,25,9904,23831,63,52,0,0,33850,70.64
Douglas,25,23996,46240,233,252,0,0,70721,65.84
Early,5,2718,2158,1,2,0,0,4879,44.26
Echols,1,1307,127,1,3,0,0,1438,8.86
Effingham,20,26943,9144,111,46,0,0,36244,25.34
Elbert,11,6860,2700,19,10,0,0,9589,28.24
Emanuel,11,6919,2673,22,5,0,0,9619,27.87
Evans,1,3011,1214,12,7,0,0,4244,28.73
Fannin,12,13232,2807,44,13,0,0,16096,17.5
Fayette,36,38177,35822,377,257,0,0,74633,48.41
Floyd,19,31631,12862,167,78,0,0,44738,28.91
Forsyth,29,91281,45509,701,758,0,0,138249,33.27
Franklin,7,10459,1647,25,9,0,0,12140,13.6
Fulton,466,144648,384741,2507,3324,0,0,535220,72.68
Gilmer,13,14976,3413,75,17,0,0,18481,18.56
Glascock,4,1534,133,3,0,0,0,1670,7.98
Glynn,17,27558,16144,124,86,0,0,43912,36.94
Gordon,12,22495,4982,94,35,0,0,27606,18.13
Grady,13,7385,3290,31,12,0,0,10718,30.82
Greene,5,8215,4514,45,12,0,0,12786,35.46
Gwinnett,156,173041,242507,1923,3210,0,0,420681,58.36
Habersham,6,19142,4036,63,39,0,0,23280,17.41
Hall,31,72991,28347,450,185,0,0,101973,27.97
Hancock,10,1364,2864,7,5,0,0,4240,67.74
Haralson,12,14239,2065,39,21,0,0,16364,12.67
Harris,12,16283,5976,61,33,0,0,22353,26.85
Hart,7,11064,3210,42,15,0,0,14331,22.49
Heard,6,5335,859,14,2,0,0,6210,13.87
Henry,37,44982,83253,445,354,0,0,129034,64.92
Houston,17,45090,35907,339,178,0,0,81514,44.33
Irwin,2,3340,986,12,4,0,0,4342,22.79
Jackson,4,36497,10472,208,66,0,0,47243,22.3
Jasper,3,7203,1881,25,9,0,0,9118,20.71
Jeff Davis,9,4935,924,9,4,0,0,5872,15.77
Jefferson,8,3765,3674,19,5,0,0,7463,49.39
Jenkins,5,2217,1179,9,4,0,0,3409,34.72
Johnson,4,2913,1066,5,0,0,0,3984,26.79
Jones,10,11079,4959,40,14,0,0,16092,30.92
Lamar,4,7575,2795,33,9,0,0,10412,26.95
Lanier,1,2726,995,13,2,0,0,3736,26.74
Laurens,15,15460,7820,46,26,0,0,23352,33.59
Lee,10,12655,4957,45,26,0,0,17683,28.15
Liberty,12,9441,13459,75,53,0,0,23028,58.77
Lincoln,7,3559,1351,15,6,0,0,4931,27.52
Long,7,4557,2476,15,8,0,0,7056,35.21
Lowndes,18,28081,19487,140,87,0,0,47795,40.97
Lumpkin,1,14339,3356,81,32,0,0,17808,18.97
Macon,5,1916,2755,11,4,0,0,4686,58.98
Madison,12,12951,3753,57,26,0,0,16787,22.47
Marion,5,2348,1253,11,9,0,0,3621,34.8
McDuffie,7,6562,3937,30,8,0,0,10537,37.5
