county,precinct,registered,ballots_cast,Donald J. Trump,Kamala D. Harris,Chase Oliver,Jill Stein,Claudia De la Cruz,Cornel West,total,dem_two_party_pct
DeKalb,Peachtree Middle,,,594,1747,8,23,0,0,2372,74.63
DeKalb,Pine Lake,,,47,397,0,5,0,0,449,89.41
DeKalb,Piney Grove,,,85,1233,2,8,0,0,1328,93.55
DeKalb,Pleasantdale Road,,,442,1642,8,18,0,0,2110,78.79
DeKalb,Ponce de Leon,,,297,2523,17,25,0,0,2862,89.47
DeKalb,Princeton Elem,,,113,1406,3,4,0,0,1526,92.56
DeKalb,Rainbow Elem,,,114,2143,4,3,0,0,2264,94.95
DeKalb,Redan Elem,,,114,1842,2,4,0,0,1962,94.17
DeKalb,Redan Middle,,,106,1418,4,7,0,0,1535,93.04
DeKalb,Redan Road,,,118,1525,4,3,0,0,1650,92.82
DeKalb,Redan-Trotti Library,,,147,2308,10,3,0,0,2468,94.01
DeKalb,Rehoboth,,,382,1079,12,10,0,0,1483,73.85
DeKalb,Rock Chapel Elem,,,114,1715,7,1,0,0,1837,93.77
DeKalb,Rock Chapel Road,,,297,2831,7,10,0,0,3145,90.51
DeKalb,Rockbridge Elem,,,240,1431,3,11,0,0,1685,85.64
DeKalb,Rockbridge Road,,,201,2534,6,21,0,0,2762,92.65
DeKalb,Rowland Elem,,,193,1766,6,10,0,0,1975,90.15
DeKalb,Rowland Road,,,179,1102,4,12,0,0,1297,86.03
DeKalb,Sagamore Hills Elem,,,671,1903,17,9,0,0,2600,73.93
DeKalb,Salem Middle,,,142,2574,4,10,0,0,2730,94.77
DeKalb,Scott,,,315,1699,9,13,0,0,2036,84.36
DeKalb,Shadow Rock Elem,,,205,2747,7,14,0,0,2973,93.06
DeKalb,Shamrock,,,247,1081,6,6,0,0,1340,81.4
DeKalb,Shaw-Robert Shaw Elem,,,242,1843,4,31,0,0,2120,88.39
DeKalb,Silver Lake,,,1430,2164,12,22,0,0,3628,60.21
DeKalb,Skyland,,,709,1019,11,12,0,0,1751,58.97
DeKalb,Smoke Rise,,,609,1111,13,11,0,0,1744,64.59
DeKalb,Snapfinger Elem,,,69,1139,5,2,0,0,1215,94.29
DeKalb,Snapfinger Road,,,202,3481,4,14,0,0,3701,94.52
DeKalb,Snapfinger Road N,,,104,1285,4,9,0,0,1402,92.51
DeKalb,Snapfinger Road S,,,82,1217,3,12,0,0,1314,93.69
DeKalb,South Deshon,,,149,1953,3,9,0,0,2114,92.91
DeKalb,South Hairston,,,164,1790,3,6,0,0,1963,91.61
DeKalb,Stephenson High,,,227,2103,8,13,0,0,2351,90.26
DeKalb,Stephenson Middle,,,234,2241,9,15,0,0,2499,90.55
DeKalb,Stone Mill Elem,,,206,1240,8,6,0,0,1460,85.75
DeKalb,Stone Mountain Elem,,,394,1283,7,12,0,0,1696,76.51
DeKalb,Stone Mtn,,,189,787,3,3,0,0,982,80.64
DeKalb,Stone Mtn Champion,,,236,1402,6,18,0,0,1662,85.59
DeKalb,Stone Mtn Middle,,,191,1168,4,9,0,0,1372,85.95
DeKalb,Stonecrest Library,,,190,2523,3,8,0,0,2724,93.0
DeKalb,Stoneview Elem,,,106,1019,3,5,0,0,1133,90.58
DeKalb,Terry Mill,,,128,1592,4,19,0,0,1743,92.56
DeKalb,Tilly Mill Road,,,571,744,15,5,0,0,1335,56.58
DeKalb,Toney Elem,,,76,889,1,7,0,0,973,92.12
DeKalb,Tucker,,,598,1616,11,20,0,0,2245,72.99
DeKalb,Tucker Library,,,906,1906,16,35,0,0,2863,67.78
DeKalb,Valley Brook,,,142,615,6,7,0,0,770,81.24
DeKalb,Wadsworth,,,101,1677,5,13,0,0,1796,94.32
DeKalb,Warren Tech,,,231,603,5,14,0,0,853,72.3
DeKalb,Wesley Chapel Library,,,109,1897,5,8,0,0,2019,94.57
DeKalb,White Oak,,,109,1333,2,9,0,0,1453,92.44
DeKalb,Winnona Park,,,150,1703,8,2,0,0,1863,91.91
DeKalb,Winters Chapel,,,484,661,12,4,0,0,1161,57.73
DeKalb,Woodridge Elem,,,194,1927,0,9,0,0,2130,90.85
DeKalb,Woodrow Road,,,139,1647,6,9,0,0,1801,92.22
DeKalb,Woodward,,,381,1611,12,20,0,0,2024,80.87
DeKalb,Wynbrooke Elem,,,203,2204,2,7,0,0,2416,91.57
DeKalb,Young Road,,,81,1158,0,2,0,0,1241,93.46
Decatur,Attapulgus,,,457,713,2,1,0,0,1173,60.94
Decatur,Bainbridge-Fairgrounds,,,1072,1006,1,5,0,0,2084,48.41
Decatur,Brinson,,,521,120,0,2,0,0,643,18.72
Decatur,Climax,,,612,160,1,1,0,0,774,20.73
Decatur,Joe L. Sweet Jr. Community Center,,,668,677,5,2,0,0,1352,50.33
Decatur,Kendrick,,,342,90,0,0,0,0,432,20.83
Decatur,Kirbo Center,,,1777,833,8,3,0,0,2621,31.92
Decatur,Mt. Pleasant,,,406,63,0,0,0,0,469,13.43
Decatur,Recovery,,,441,104,4,0,0,0,549,19.08
Decatur,West Bainbridge,,,844,606,1,1,0,0,1452,41.79
Dodge,Chaun,,,270,52,0,0,0,0,322,16.15
Dodge,Clark,,,74,3,0,0,0,0,77,3.9
Dodge,Eddin,,,551,242,3,0,0,0,796,30.52
Dodge,Empir,,,319,34,0,0,0,0,353,9.63
Dodge,Jaybi,,,108,54,0,0,0,0,162,33.33
Dodge,Jones,,,297,37,0,0,0,0,334,11.08
Dodge,Lee,,,2024,1143,8,4,0,0,3179,36.09
Dodge,McCra,,,216,28,0,0,0,0,244,11.48
Dodge,Milan,,,204,45,0,0,0,0,249,18.07
Dodge,Mitch,,,257,53,0,0,0,0,310,17.1
Dodge,Mulli,,,306,71,0,1,0,0,378,18.83
Dodge,Plain,,,350,33,0,1,0,0,384,8.62
Dodge,Pondt,,,448,105,1,1,0,0,555,18.99
Dodge,Rawli,,,484,156,0,0,0,0,640,24.38
Dodge,Vilul,,,150,8,1,0,0,0,159,5.06
Dodge,Yonke,,,191,17,0,0,0,0,208,8.17
Dooly,Byromville,,,240,209,1,0,0,0,450,46.55
Dooly,Lilly,,,227,228,0,1,0,0,456,50.11
Dooly,Pinehurst,,,283,95,0,1,0,0,379,25.13
Dooly,Unadilla,,,556,556,1,4,0,0,1117,50.0
Dooly,Vienna,,,937,833,5,0,0,0,1775,47.06
Dougherty,2nd Mt. Zion Church,,,513,427,4,0,0,0,944,45.43
Dougherty,ASU East Campus,,,16,450,0,0,0,0,466,96.57
Dougherty,ASU West Campus,,,540,1931,5,3,0,0,2479,78.15
Dougherty,Albany High School,,,866,1247,3,6,0,0,2122,59.02
Dougherty,Albany Middle School,,,78,801,2,1,0,0,882,91.13
Dougherty,Alice Coachman Elementary,,,32,439,0,0,0,0,471,93.21
Dougherty,Bill Miller Community Center,,,104,933,0,1,0,0,1038,89.97
Dougherty,Christ Church,,,945,656,1,1,0,0,1603,40.97
Dougherty,Covenant Church,,,524,770,0,3,0,0,1297,59.51
Dougherty,First Mount Olive,,,23,539,2,3,0,0,567,95.91
Dougherty,Greenbriar Church,,,1377,1491,5,3,0,0,2876,51.99
Dougherty,International Studies,,,263,512,1,2,0,0,778,66.06
Dougherty,Lamar Reese School,,,49,593,2,2,0,0,646,92.37
Dougherty,Litman Cathedral,,,27,631,0,1,0,0,659,95.9
Dougherty,Merry Acres Middle,,,722,855,6,2,0,0,1585,54.22
Dougherty,Mt. Zion Center,,,61,1579,3,2,0,0,1645,96.28
Dougherty,Pine Bluff Baptist Church,,,400,882,1,2,0,0,1285,68.8
Dougherty,Putney 1st Baptist Church,,,773,831,3,4,0,0,1611,51.81
Dougherty,Radium Middle School,,,96,327,1,2,0,0,426,77.3
Dougherty,Robert H. Harvey Elementary,,,37,1026,1,2,0,0,1066,96.52
Dougherty,Sherwood Elementary School,,,651,1148,3,3,0,0,1805,63.81
Dougherty,Shiloh Baptist Church,,,35,597,2,0,0,0,634,94.46
Dougherty,Turner Elementary School,,,211,1333,4,4,0,0,1552,86.33
Dougherty,Westover High School,,,1442,2178,11,5,0,0,3636,60.17
Dougherty,Westtown School,,,119,1655,3,0,0,0,1777,93.29
Douglas,Arbor Station,,,514,1376,7,8,0,0,1905,72.8
Douglas,Atlanta West,,,283,1736,6,7,0,0,2032,85.98
Douglas,Beulah Baptist Church,,,1017,1299,14,5,0,0,2335,56.09
Douglas,Boundary Waters,,,450,2602,7,11,0,0,3070,85.26
Douglas,Chapel Hill High School,,,1246,3373,11,26,0,0,4656,73.02
Douglas,Chapel Hill Middle School,,,673,2208,10,13,0,0,2904,76.64
Douglas,Chestnut Log,,,661,2186,9,12,0,0,2868,76.78
Douglas,Deer Lick Park,,,714,1141,4,11,0,0,1870,61.51
Douglas,Dog River Library,,,2772,1555,13,6,0,0,4346,35.94
Douglas,Dorsett Shoals,,,1166,1225,10,9,0,0,2410,51.23
Douglas,Elizabeth Baptist Church,,,906,839,5,1,0,0,1751,48.08
Douglas,Ephesus Baptist Church,,,2216,962,15,3,0,0,3196,30.27
Douglas,Factory Shoals Middle School,,,768,2906,16,11,0,0,3701,79.1
Douglas,First Baptist Lithia Springs,,,554,721,5,6,0,0,1286,56.55
Douglas,Golden Methodist Church,,,481,3069,7,6,0,0,3563,86.45
Douglas,Lithia Springs High School,,,718,3638,16,17,0,0,4389,83.52
Douglas,Lutheran Church,,,877,2207,8,22,0,0,3114,71.56
Douglas,Mirror Lake Elementary,,,1997,2897,15,19,0,0,4928,59.19
Douglas,Old Courthouse,,,943,2228,13,14,0,0,3198,70.26
Douglas,Prays Mill,,,2007,2062,10,15,0,0,4094,50.68
Douglas,St Julians Episcopal,,,613,884,5,3,0,0,1505,59.05
Douglas,St. Theresa's,,,613,1239,4,9,0,0,1865,66.9
Douglas,Stewart,,,299,1654,9,3,0,0,1965,84.69
Douglas,Turner Middle School,,,974,1509,11,10,0,0,2504,60.77
Douglas,Winston Elementary School,,,534,724,3,5,0,0,1266,57.55
Early,Arlington,,,307,328,1,0,0,0,636,51.65
Early,Blakely,,,747,1279,0,1,0,0,2027,63.13
Early,Cedar Springs,,,667,165,0,1,0,0,833,19.83
Early,Cuba,,,556,290,0,0,0,0,846,34.28
Early,Urquhart,,,441,96,0,0,0,0,537,17.88
Echols,Statenville,,,1307,127,1,3,0,0,1438,8.86
Effingham,1A,,,1687,458,8,1,0,0,2154,21.35
Effingham,1B,,,1650,318,5,2,0,0,1975,16.16
Effingham,1C,,,1107,255,8,1,0,0,1371,18.72
Effingham,1D,,,1288,239,6,2,0,0,1535,15.65
Effingham,2A,,,1407,564,8,4,0,0,1983,28.61
Effingham,2B,,,971,267,3,3,0,0,1244,21.57
Effingham,2C,,,1440,554,5,5,0,0,2004,27.78
Effingham,2D,,,1829,702,4,2,0,0,2537,27.74
Effingham,3A,,,927,163,4,1,0,0,1095,14.95
Effingham,3B,,,1386,423,6,4,0,0,1819,23.38
Effingham,3C,,,818,261,4,2,0,0,1085,24.19
Effingham,3D,,,1794,784,10,3,0,0,2591,30.41
Effingham,3E,,,825,181,4,1,0,0,1011,17.99
Effingham,4A,,,2196,705,9,4,0,0,2914,24.3
Effingham,4B,,,1077,628,2,2,0,0,1709,36.83
Effingham,4C,,,1439,370,5,1,0,0,1815,20.45
Effingham,5A,,,1903,729,6,1,0,0,2639,27.7
Effingham,5B,,,1078,431,4,1,0,0,1514,28.56
Effingham,5C,,,1164,655,5,3,0,0,1827,36.01
Effingham,5D,,,957,457,5,3,0,0,1422,32.32
Elbert,Centerville,,,663,132,4,0,0,0,799,16.6
Elbert,Elberton,,,1436,1205,1,4,0,0,2646,45.63
Elbert,Eliam,,,496,112,2,1,0,0,611,18.42
Elbert,Gaines,,,434,67,0,1,0,0,502,13.37
Elbert,Goshen,,,1084,228,1,2,0,0,1315,17.38
Elbert,Longstreet,,,413,124,2,1,0,0,540,23.09
Elbert,Moss-Ruckersville,,,300,102,2,0,0,0,404,25.37
Elbert,Petersburg,,,276,51,1,1,0,0,329,15.6
Elbert,Pike,,,836,367,3,0,0,0,1206,30.51
Elbert,Webbsboro,,,269,90,0,0,0,0,359,25.07
Elbert,Wyche,,,653,222,3,0,0,0,878,25.37
Emanuel,Adrian,,,509,75,3,0,0,0,587,12.84
Emanuel,Blundale,,,600,31,0,0,0,0,631,4.91
Emanuel,Canoochee,,,425,85,0,1,0,0,511,16.67
Emanuel,Cross-Green,,,81,106,0,0,0,0,187,56.68
Emanuel,Garfield,,,306,65,0,0,0,0,371,17.52
Emanuel,Nunez,,,254,49,0,0,0,0,303,16.17
Emanuel,Oak Park,,,478,43,0,0,0,0,521,8.25
Emanuel,Stillmore,,,289,132,2,0,0,0,423,31.35
Emanuel,Summertown,,,311,81,1,0,0,0,393,20.66
Emanuel,Swainsboro,,,2846,1648,14,3,0,0,4511,36.67
Emanuel,Twin City,,,820,358,2,1,0,0,1181,30.39
Evans,Veteran's Community Center,,,3011,1214,12,7,0,0,4244,28.73
Fannin,Colwell,,,746,183,3,1,0,0,933,19.7
Fannin,Fairplay,,,796,190,3,0,0,0,989,19.27
Fannin,Flinthill,,,2001,320,5,3,0,0,2329,13.79
Fannin,Hemptown,,,959,203,2,1,0,0,1165,17.47
Fannin,Hothouse,,,798,156,2,0,0,0,956,16.35
Fannin,Mineral Bluff,,,1353,251,5,0,0,0,1609,15.65
Fannin,Mobile,,,793,126,1,0,0,0,920,13.71
Fannin,Morganton,,,1400,276,8,5,0,0,1689,16.47
Fannin,Noontootla,,,591,156,2,0,0,0,749,20.88
Fannin,Skeniah,,,213,50,0,0,0,0,263,19.01
Fannin,Sugar Creek,,,1519,361,5,1,0,0,1886,19.2
Fannin,Toccoa,,,2063,535,8,2,0,0,2608,20.59
Fayette,Aberdeen,,,870,531,7,1,0,0,1409,37.9
Fayette,Antioch,,,834,606,5,7,0,0,1452,42.08
Fayette,Banks,,,496,684,12,1,0,0,1193,57.97
Fayette,Blackrock,,,569,1495,8,7,0,0,2079,72.43
Fayette,Braelinn,,,1044,456,4,1,0,0,1505,30.4
Fayette,Brooks,,,1932,369,6,3,0,0,2310,16.04
Fayette,Camp Creek,,,1017,528,10,1,0,0,1556,34.17
Fayette,Dogwood,,,1663,1226,21,5,0,0,2915,42.44
Fayette,Europe,,,320,2218,6,14,0,0,2558,87.39
Fayette,Fayetteville East,,,515,945,8,2,0,0,1470,64.73
Fayette,Fayetteville West,,,620,1041,6,7,0,0,1674,62.67
Fayette,Fielding Ridge,,,1644,1146,14,9,0,0,2813,41.08
Fayette,Flat Creek,,,916,618,12,2,0,0,1548,40.29
Fayette,Flint,,,451,933,4,2,0,0,1390,67.41
Fayette,Harps Crossing,,,762,701,6,1,0,0,1470,47.92
Fayette,Hopeful,,,597,1144,5,2,0,0,1748,65.71
Fayette,Jeff Davis,,,652,1354,7,17,0,0,2030,67.5
Fayette,Kedron,,,2580,2312,19,26,0,0,4937,47.26
Fayette,Kenwood,,,151,566,6,2,0,0,725,78.94
Fayette,Mcintosh,,,1689,1041,12,9,0,0,2751,38.13
Fayette,Morning Creek,,,808,1505,7,6,0,0,2326,65.07
Fayette,Murphy,,,1139,1363,13,12,0,0,2527,54.48
Fayette,Oak Grove,,,630,402,7,3,0,0,1042,38.95
Fayette,Oak Ridge,,,657,1084,7,9,0,0,1757,62.26
Fayette,Rareover,,,1545,883,16,7,0,0,2451,36.37
Fayette,Rising Star,,,2013,983,15,8,0,0,3019,32.81
Fayette,Sandy Creek,,,1306,2470,18,22,0,0,3816,65.41
Fayette,Shakerag East,,,809,481,12,8,0,0,1310,37.29
Fayette,Shakerag West,,,604,407,10,3,0,0,1024,40.26
Fayette,Spring Hill,,,1023,1645,9,16,0,0,2693,61.66
Fayette,Starrsmill,,,2202,767,18,11,0,0,2998,25.83
Fayette,Whitewater,,,1928,1050,20,7,0,0,3005,35.26
Fayette,Willow Pond,,,1155,1387,14,14,0,0,2570,54.56
Fayette,Willowbend,,,977,620,7,5,0,0,1609,38.82
Fayette,Windgate,,,508,313,13,4,0,0,838,38.12
Fayette,Woolsey,,,1551,548,13,3,0,0,2115,26.11
Floyd,Alto Park,,,3174,1776,10,6,0,0,4966,35.88
Floyd,Cave Spring,,,943,262,5,1,0,0,1211,21.74
Floyd,Chulio,,,822,146,1,1,0,0,970,15.08
Floyd,Coosa (N. Carolina),,,1192,281,7,0,0,0,1480,19.08
Floyd,East Rome,,,2499,1794,22,13,0,0,4328,41.79
Floyd,Etowah,,,2428,632,15,3,0,0,3078,20.65
Floyd,Everett Springs,,,264,45,0,1,0,0,310,14.56
Floyd,Floyd Springs,,,1207,190,5,3,0,0,1405,13.6
Floyd,Foster's Mill,,,744,91,3,2,0,0,840,10.9
Floyd,Garden Lakes,,,2663,1631,26,10,0,0,4330,37.98
Floyd,Glenwood,,,2228,729,13,8,0,0,2978,24.65
Floyd,Howell,,,1121,119,2,0,0,0,1242,9.6
Floyd,Lindale,,,2676,712,18,4,0,0,3410,21.02
Floyd,New Armuchee,,,1344,265,1,2,0,0,1612,16.47
Floyd,North Rome,,,2427,1588,14,9,0,0,4038,39.55
Floyd,Shannon,,,2311,420,11,4,0,0,2746,15.38
Floyd,South Floyd,,,1986,352,2,2,0,0,2342,15.06
Floyd,South Rome,,,497,724,4,4,0,0,1229,59.3
Floyd,Town Rome,,,1105,1105,8,5,0,0,2223,50.0
Forsyth,01 Big Creek,,,4163,3114,34,55,0,0,7366,42.79
Forsyth,02 Brandywine,,,1579,1695,18,85,0,0,3377,51.77
Forsyth,04 Chestatee,,,2223,444,15,4,0,0,2686,16.65
Forsyth,05 Coal Mountain,,,3638,1212,21,14,0,0,4885,24.99
Forsyth,06 Crossroads,,,4466,1438,34,8,0,0,5946,24.36
Forsyth,07 Cumming,,,5190,2284,38,27,0,0,7539,30.56
Forsyth,08 Mashburn,,,3243,1517,27,22,0,0,4809,31.87
Forsyth,10 Midway,,,5765,2653,41,41,0,0,8500,31.52
Forsyth,15 Heardsville,,,3853,1304,33,11,0,0,5201,25.29
Forsyth,16 Otwell,,,4458,1391,27,9,0,0,5885,23.78
Forsyth,19 Old Atlanta,,,1750,1161,7,20,0,0,2938,39.88
Forsyth,21 South Forsyth,,,1298,948,13,27,0,0,2286,42.21
Forsyth,25 Windermere,,,3782,2813,28,39,0,0,6662,42.65
Forsyth,34 Fowler,,,3203,1870,24,45,0,0,5142,36.86
Forsyth,35 Johns Creek,,,3033,2594,33,42,0,0,5702,46.1
Forsyth,36 Nichols,,,3344,2494,23,47,0,0,5908,42.72
Forsyth,38 Daves Creek,,,3934,2580,25,42,0,0,6581,39.61
Forsyth,39 Mathis,,,2290,1274,7,15,0,0,3586,35.75
Forsyth,40 West Forsyth,,,4046,1912,37,38,0,0,6033,32.09
Forsyth,41 Grassland,,,1815,1158,19,47,0,0,3039,38.95
Forsyth,42 Keith Bridge,,,2612,665,12,7,0,0,3296,20.29
Forsyth,43 Lakeland,,,2703,1996,16,21,0,0,4736,42.48
Forsyth,44 Lanier,,,1817,442,11,3,0,0,2273,19.57
Forsyth,45 Mountainside,,,3244,1116,26,19,0,0,4405,25.6
Forsyth,46 Sawmill Branch,,,2182,1176,23,30,0,0,3411,35.02
Forsyth,47 Riverclub,,,1374,644,15,5,0,0,2038,31.91
Forsyth,49 Cheatam Creek,,,1685,914,16,12,0,0,2627,35.17
Forsyth,50 Browns Bridge,,,3923,1418,37,9,0,0,5387,26.55
Forsyth,51 Matt,,,4668,1282,41,14,0,0,6005,21.55
Franklin,Canon,,,889,112,2,2,0,0,1005,11.19
Franklin,Carnesville,,,1857,228,4,1,0,0,2090,10.94
Franklin,Lavonia,,,1395,368,5,3,0,0,1771,20.87
Franklin,Northeast Franklin,,,1959,315,8,0,0,0,2282,13.85
Franklin,Royston,,,1276,296,1,0,0,0,1573,18.83
Franklin,Southwest Franklin,,,1807,187,5,3,0,0,2002,9.38
Franklin,West Franklin,,,1276,141,0,0,0,0,1417,9.95
Fulton,01A,,,282,2699,10,22,0,0,3013,90.54
Fulton,01B,,,337,3434,19,25,0,0,3815,91.06
Fulton,01C,,,60,801,6,6,0,0,873,93.03
Fulton,01D,,,73,762,1,6,0,0,842,91.26
Fulton,01E,,,275,2434,24,15,0,0,2748,89.85
Fulton,01F,,,30,461,2,2,0,0,495,93.89
Fulton,01G,,,147,1597,7,14,0,0,1765,91.57
Fulton,01H,,,24,430,2,1,0,0,457,94.71
Fulton,01I,,,0,0,0,0,0,0,0,
Fulton,01J,,,95,1446,5,9,0,0,1555,93.84
Fulton,01P,,,41,590,3,3,0,0,637,93.5
Fulton,01R,,,27,362,2,4,0,0,395,93.06
Fulton,01S,,,95,945,2,2,0,0,1044,90.87
Fulton,01T,,,100,926,4,6,0,0,1036,90.25
Fulton,02A,,,400,1983,16,9,0,0,2408,83.21
Fulton,02A1,,,286,1048,13,6,0,0,1353,78.56
Fulton,02B,,,180,1256,6,9,0,0,1451,87.47
Fulton,02C,,,106,996,3,10,0,0,1115,90.38
Fulton,02D,,,629,3179,17,27,0,0,3852,83.48
Fulton,02E,,,148,1327,9,15,0,0,1499,89.97
Fulton,02F1,,,331,1854,23,13,0,0,2221,84.85
Fulton,02F2,,,60,431,3,4,0,0,498,87.78
Fulton,02G,,,417,2279,17,22,0,0,2735,84.53
Fulton,02J,,,173,1283,5,7,0,0,1468,88.12
Fulton,02K,,,142,841,8,6,0,0,997,85.55
Fulton,02L1,,,168,758,3,5,0,0,934,81.86
Fulton,02L1A,,,288,1849,9,22,0,0,2168,86.52
Fulton,02L1B,,,312,1556,14,14,0,0,1896,83.3
Fulton,02L2,,,329,1778,5,14,0,0,2126,84.39
Fulton,02S,,,68,484,3,4,0,0,559,87.68
Fulton,02W,,,143,668,7,8,0,0,826,82.37
Fulton,03A,,,59,762,2,4,0,0,827,92.81
Fulton,03B,,,14,227,1,0,0,0,242,94.19
Fulton,03C,,,76,820,1,4,0,0,901,91.52
Fulton,03D,,,40,403,0,0,0,0,443,90.97
Fulton,03E,,,86,982,5,9,0,0,1082,91.95
Fulton,03F,,,203,1041,9,13,0,0,1266,83.68
Fulton,03G,,,20,319,0,1,0,0,340,94.1
Fulton,03H,,,29,396,0,1,0,0,426,93.18
Fulton,03I,,,158,820,5,5,0,0,988,83.84
Fulton,03L,,,18,216,0,0,0,0,234,92.31
Fulton,03M,,,100,542,4,4,0,0,650,84.42
Fulton,03N,,,102,1118,3,7,0,0,1230,91.64
Fulton,03P1A,,,423,2531,13,39,0,0,3006,85.68
Fulton,03P1B,,,0,0,0,0,0,0,0,
Fulton,03P2,,,2,63,0,0,0,0,65,96.92
Fulton,03S,,,28,405,1,4,0,0,438,93.53
Fulton,03T,,,44,691,1,2,0,0,738,94.01
Fulton,04A,,,33,583,0,4,0,0,620,94.64
Fulton,04B,,,47,1006,1,6,0,0,1060,95.54
Fulton,04C,,,2,62,0,0,0,0,64,96.88
Fulton,04D,,,62,825,3,1,0,0,891,93.01
Fulton,04F,,,171,1285,7,8,0,0,1471,88.26
Fulton,04G,,,26,451,2,7,0,0,486,94.55
Fulton,04I,,,91,719,5,10,0,0,825,88.77
Fulton,04J,,,10,269,0,2,0,0,281,96.42
Fulton,04K,,,62,1182,3,5,0,0,1252,95.02
Fulton,04L,,,62,888,5,14,0,0,969,93.47
Fulton,04M,,,20,315,1,4,0,0,340,94.03
Fulton,04S,,,64,1147,4,7,0,0,1222,94.72
Fulton,04T,,,45,661,4,6,0,0,716,93.63
Fulton,04V,,,79,1238,4,7,0,0,1328,94.0
Fulton,04W,,,11,667,1,2,0,0,681,98.38
Fulton,04X1,,,94,1084,3,6,0,0,1187,92.02
Fulton,04X2,,,32,345,1,3,0,0,381,91.51
Fulton,05A1,,,250,2448,16,12,0,0,2726,90.73
Fulton,05A2,,,270,2520,12,22,0,0,2824,90.32
Fulton,05B,,,83,1092,2,10,0,0,1187,92.94
Fulton,05C,,,3,30,0,1,0,0,34,90.91
Fulton,05D,,,23,200,1,2,0,0,226,89.69
Fulton,05F,,,4,24,0,1,0,0,29,85.71
Fulton,05J,,,41,380,1,5,0,0,427,90.26
Fulton,05K,,,123,1199,2,5,0,0,1329,90.7
Fulton,06B,,,220,1086,6,8,0,0,1320,83.15
Fulton,06D,,,377,2063,8,6,0,0,2454,84.55
Fulton,06D1,,,535,2341,20,6,0,0,2902,81.4
Fulton,06D2,,,364,1655,19,8,0,0,2046,81.97
Fulton,06E,,,260,1243,9,7,0,0,1519,82.7
Fulton,06F,,,336,1647,22,6,0,0,2011,83.06
Fulton,06G,,,57,315,5,1,0,0,378,84.68
Fulton,06I,,,254,1864,7,13,0,0,2138,88.01
Fulton,06J,,,327,1848,14,11,0,0,2200,84.97
Fulton,06L1,,,174,638,1,2,0,0,815,78.57
Fulton,06L2,,,168,425,4,1,0,0,598,71.67
Fulton,06N,,,425,978,13,4,0,0,1420,69.71
Fulton,06Q,,,24,227,0,4,0,0,255,90.44
Fulton,06R,,,254,1058,4,6,0,0,1322,80.64
Fulton,06R1,,,26,101,0,0,0,0,127,79.53
Fulton,07A,,,872,1041,15,1,0,0,1929,54.42
Fulton,07A1,,,1069,2479,14,18,0,0,3580,69.87
Fulton,07B,,,1295,1140,20,7,0,0,2462,46.82
Fulton,07C,,,1135,2348,15,19,0,0,3517,67.41
Fulton,07D,,,662,1134,8,8,0,0,1812,63.14
Fulton,07D1,,,412,900,5,11,0,0,1328,68.6
Fulton,07E,,,466,1148,5,15,0,0,1634,71.13
Fulton,07F,,,250,317,8,6,0,0,581,55.91
Fulton,07F1,,,755,1377,13,13,0,0,2158,64.59
Fulton,07H,,,578,1014,13,3,0,0,1608,63.69
Fulton,07J,,,756,1552,15,11,0,0,2334,67.24
Fulton,07M,,,358,1094,1,21,0,0,1474,75.34
Fulton,07N,,,174,927,1,7,0,0,1109,84.2
Fulton,08A,,,1066,1165,16,9,0,0,2256,52.22
Fulton,08B,,,1357,1539,13,11,0,0,2920,53.14
Fulton,08C,,,121,94,3,0,0,0,218,43.72
Fulton,08C1,,,569,428,3,1,0,0,1001,42.93
Fulton,08D,,,533,373,8,1,0,0,915,41.17
Fulton,08E,,,1021,1046,16,6,0,0,2089,50.6
Fulton,08F1,,,948,883,13,1,0,0,1845,48.23
Fulton,08G,,,717,1238,6,6,0,0,1967,63.32
Fulton,08H,,,933,1067,11,8,0,0,2019,53.35
Fulton,08J,,,934,1469,17,4,0,0,2424,61.13
Fulton,08K,,,276,461,2,0,0,0,739,62.55
Fulton,08L,,,834,2222,25,9,0,0,3090,72.71
Fulton,08M,,,1040,1070,9,9,0,0,2128,50.71
Fulton,08N1,,,319,348,11,2,0,0,680,52.17
Fulton,08N2,,,451,790,7,4,0,0,1252,63.66
Fulton,08P,,,108,521,3,5,0,0,637,82.83
Fulton,08P1,,,66,439,1,3,0,0,509,86.93
Fulton,09A,,,687,2685,20,16,0,0,3408,79.63
Fulton,09B,,,9,228,0,0,0,0,237,96.2
Fulton,09C,,,84,1543,3,4,0,0,1634,94.84
Fulton,09D,,,71,969,4,6,0,0,1050,93.17
Fulton,09E,,,162,1288,3,11,0,0,1464,88.83
Fulton,09F,,,1058,1902,28,10,0,0,2998,64.26
Fulton,09G,,,97,374,1,5,0,0,477,79.41
Fulton,09H,,,93,533,5,3,0,0,634,85.14
Fulton,09I,,,46,631,1,4,0,0,682,93.21
Fulton,09J,,,0,0,0,0,0,0,0,
Fulton,09K,,,69,876,5,3,0,0,953,92.7
Fulton,09K1,,,116,1371,3,9,0,0,1499,92.2
Fulton,09L,,,52,416,4,0,0,0,472,88.89
Fulton,09M,,,345,1808,22,9,0,0,2184,83.98
Fulton,09N,,,520,2217,13,28,0,0,2778,81.0
Fulton,10A,,,95,1655,6,2,0,0,1758,94.57
Fulton,10B,,,87,1937,6,15,0,0,2045,95.7
