"id","part","x","y","tgt","pop"
1,1,0.798,4.7431,"43 LAKELAND",0
1,1,0.7609,4.7421,"43 LAKELAND",0
1,1,0.3675,4.24,"43 LAKELAND",0
1,1,0.269,4.1502,"43 LAKELAND",0
1,1,0.1839,4.0903,"43 LAKELAND",0
1,1,0.0445,4.0241,"43 LAKELAND",0
1,1,0.0467,3.9972,"43 LAKELAND",0
1,1,0.138,4.0347,"43 LAKELAND",0
1,1,0.3088,4.1435,"43 LAKELAND",0
1,1,0.4438,4.2823,"43 LAKELAND",0
1,1,0.5782,4.4632,"43 LAKELAND",0
1,1,0.798,4.7431,"43 LAKELAND",0
2,1,5.1968,4.7094,"08 MASHBURN",0
2,1,5.1851,4.6873,"08 MASHBURN",0
2,1,5.2838,4.6154,"08 MASHBURN",0
2,1,5.4548,4.5121,"08 MASHBURN",0
2,1,5.594,4.4265,"08 MASHBURN",0
2,1,5.4531,4.5345,"08 MASHBURN",0
2,1,5.3039,4.6281,"08 MASHBURN",0
2,1,5.1968,4.7094,"08 MASHBURN",0
3,1,5.4548,4.5121,"25 WINDERMERE",48
3,1,5.3552,4.3677,"25 WINDERMERE",48
3,1,5.3842,4.295,"25 WINDERMERE",48
3,1,5.4163,4.2728,"25 WINDERMERE",48
3,1,5.4995,4.242,"25 WINDERMERE",48
3,1,5.5527,4.2748,"25 WINDERMERE",48
3,1,5.6298,4.399,"25 WINDERMERE",48
3,1,5.594,4.4265,"25 WINDERMERE",48
3,1,5.4548,4.5121,"25 WINDERMERE",48
4,1,4.2662,2.8247,"25 WINDERMERE",1656
4,1,4.2291,2.7674,"25 WINDERMERE",1656
4,1,4.2546,2.713,"25 WINDERMERE",1656
4,1,4.403,2.6168,"25 WINDERMERE",1656
4,1,4.515,2.5929,"25 WINDERMERE",1656
4,1,4.7454,2.5922,"25 WINDERMERE",1656
4,1,4.8295,2.6296,"25 WINDERMERE",1656
4,1,4.9182,2.6293,"25 WINDERMERE",1656
4,1,5.0351,2.558,"25 WINDERMERE",1656
4,1,5.0713,2.4705,"25 WINDERMERE",1656
4,1,5.0122,2.3943,"25 WINDERMERE",1656
4,1,5.0707,2.3167,"25 WINDERMERE",1656
4,1,5.0733,2.1263,"25 WINDERMERE",1656
4,1,5.1818,1.9739,"25 WINDERMERE",1656
4,1,5.2947,1.8686,"25 WINDERMERE",1656
4,1,5.3928,1.8121,"25 WINDERMERE",1656
4,1,5.4256,1.7741,"25 WINDERMERE",1656
4,1,5.5457,1.8714,"25 WINDERMERE",1656
4,1,5.6385,1.9661,"25 WINDERMERE",1656
4,1,5.7977,2.0854,"25 WINDERMERE",1656
4,1,5.868,2.1911,"25 WINDERMERE",1656
4,1,5.8647,2.2612,"25 WINDERMERE",1656
4,1,5.8169,2.3814,"25 WINDERMERE",1656
4,1,5.8288,2.4339,"25 WINDERMERE",1656
4,1,5.8361,2.5988,"25 WINDERMERE",1656
4,1,5.8701,2.6884,"25 WINDERMERE",1656
4,1,5.9146,2.759,"25 WINDERMERE",1656
4,1,5.7979,2.7511,"25 WINDERMERE",1656
4,1,5.68,2.8091,"25 WINDERMERE",1656
4,1,5.6051,2.8693,"25 WINDERMERE",1656
4,1,5.5013,2.9303,"25 WINDERMERE",1656
